,saltstack/salt,cfengine/core,ansible/ansible
2012-02-05,12.0,0,4
2012-02-06,13.200000000000001,1,0
2012-02-07,-1.6399999999999988,8,0
2012-02-08,21.272,6,0
2012-02-09,-2.291199999999998,1,0
2012-02-10,5.803776000000001,3,0
2012-02-11,-5.153894399999999,4,0
2012-02-12,13.529351680000001,0,0
2012-02-13,-7.499585023999998,5,0
2012-02-14,14.5515469824,21,0
2012-02-15,1.097662873600001,0,0
2012-02-16,-5.0030754816,13,0
2012-02-17,7.4279225344,9,0
2012-02-18,-2.9446402048000007,0,0
2012-02-19,-0.2968069120000001,1,0
2012-02-20,15.463809536,11,0
2012-02-21,0.762950656000001,19,0
2012-02-22,8.903976140800001,1,0
2012-02-23,-3.292435148799999,14,13
2012-02-24,-5.8184336384,4,41
2012-02-25,22.435634688,8,22
2012-02-26,2.477216972800001,0,5
2012-02-27,6.531000627200001,16,29
2012-02-28,9.800340787200001,17,54
2012-02-29,6.867890483200002,9,10
2012-03-01,9.7144244224,6,0
2012-03-02,12.235607961600001,10,9
2012-03-03,3.1255510016000017,0,26
2012-03-04,16.0293889024,4,0
2012-03-05,-3.1632941055999986,2,17
2012-03-06,27.7683991552,8,17
2012-03-07,-8.500947046399997,14,11
2012-03-08,2.7081155583999994,9,7
2012-03-09,6.433234739200001,1,22
2012-03-10,-5.254103859200001,4,21
2012-03-11,-0.8643866623999994,0,12
2012-03-12,-0.4510931967999987,9,14
2012-03-13,7.6671785984,7,14
2012-03-14,12.5799619584,4,20
2012-03-15,6.285884825600002,5,8
2012-03-16,35.7370514432,9,14
2012-03-17,34.9060179968,0,2
2012-03-18,6.868435558400002,6,20
2012-03-19,42.605979443200006,16,3
2012-03-20,8.511254835200006,2,8
2012-03-21,-11.607949312000002,16,8
2012-03-22,-15.255919513600006,1,18
2012-03-23,-6.7679409152000005,3,5
2012-03-24,-10.6451862528,1,14
2012-03-25,-1.1325496320000017,2,2
2012-03-26,-7.8633120768,4,9
2012-03-27,7.9683843072,1,30
2012-03-28,17.6970159104,12,15
2012-03-29,8.424320000000002,3,9
2012-03-30,-10.469363711999996,3,6
2012-03-31,5.6820524032,0,41
2012-04-01,0.8928079871999994,0,6
2012-04-02,-0.1273239552000014,8,16
2012-04-03,38.8900149248,6,14
2012-04-04,7.077456998400002,6,20
2012-04-05,0.4598699008000011,5,10
2012-04-06,-1.1224554495999968,6,6
2012-04-07,-1.2326457344000001,2,2
2012-04-08,-4.079820083200001,0,0
2012-04-09,4.578187161599999,3,1
2012-04-10,7.208754175999999,16,9
2012-04-11,2.451961753600001,3,8
2012-04-12,-8.862714060799998,5,14
2012-04-13,2.4561584128,2,26
2012-04-14,-1.2970639359999998,0,10
2012-04-15,-4.980540416,0,1
2012-04-16,8.4966124544,5,8
2012-04-17,3.966900326400001,13,39
2012-04-18,23.5052466176,4,20
2012-04-19,4.296044646400004,4,42
2012-04-20,29.231133900800003,0,6
2012-04-21,-0.9841668095999978,1,15
2012-04-22,-9.6342790144,1,13
2012-04-23,3.8073410560000003,1,7
2012-04-24,6.860397568,3,34
2012-04-25,30.260661555200002,20,8
2012-04-26,-0.07233996799999431,2,22
2012-04-27,-11.229757952,3,22
2012-04-28,-7.9063570432,0,9
2012-04-29,5.854192742399999,0,0
2012-04-30,-2.298112716800002,9,0
2012-05-01,16.8480492544,2,13
2012-05-02,38.623471308800006,10,32
2012-05-03,-9.2239837184,3,13
2012-05-04,-2.3529616383999965,3,5
2012-05-05,3.0698551296000005,1,4
2012-05-06,-7.5846619136000015,0,17
2012-05-07,-0.9958334464000007,8,7
2012-05-08,1.5769701376,3,25
2012-05-09,5.3561042944,6,5
2012-05-10,29.8557308928,4,36
2012-05-11,-6.724710297599998,6,16
2012-05-12,4.8654424064,3,2
2012-05-13,27.6593712128,0,6
2012-05-14,0.5004122112000005,13,10
2012-05-15,-6.030865407999997,1,8
2012-05-16,-4.056946585599999,0,2
2012-05-17,5.571634892799999,1,2
2012-05-18,-3.1639204863999986,5,0
2012-05-19,8.4444761088,21,4
2012-05-20,-1.0463079423999986,0,6
