,TryGhost/Ghost,decaporg/decap-cms,strapi/strapi
2016-02-25,0,2.0,0
2016-02-26,0,0.6000000000000001,0
2016-02-27,2,-0.3600000000000001,0
2016-02-28,3,-0.17600000000000016,0
2016-02-29,1,-0.11520000000000005,1
2016-03-01,9,-0.08467200000000004,0
2016-03-02,2,-0.06639360000000004,6
2016-03-03,4,-0.05428224000000003,0
2016-03-04,0,-0.04570214399999989,0
2016-03-05,0,-0.03932641279999987,0
2016-03-06,0,-0.012469350399999964,0
2016-03-07,5,0.0,2
2016-03-08,1,0.0,0
2016-03-09,0,0.0,5
2016-03-10,0,0.0,2
2016-03-11,0,0.0,4
2016-03-12,1,0.0,0
2016-03-13,1,0.0,0
2016-03-14,3,0.0,0
2016-03-15,7,0.0,3
2016-03-16,0,0.0,1
2016-03-17,1,0.0,3
2016-03-18,1,0.0,1
2016-03-19,0,0.0,0
2016-03-20,3,0.0,0
2016-03-21,12,0.0,0
2016-03-22,18,0.0,8
2016-03-23,1,0.0,5
2016-03-24,7,0.0,0
2016-03-25,5,0.0,4
2016-03-26,2,0.0,0
2016-03-27,0,0.0,1
2016-03-28,1,0.0,2
2016-03-29,7,0.0,1
2016-03-30,4,0.0,0
2016-03-31,13,0.0,1
2016-04-01,2,0.0,0
2016-04-02,1,0.0,0
2016-04-03,2,0.0,0
2016-04-04,16,0.0,4
2016-04-05,2,0.0,1
2016-04-06,4,0.0,0
2016-04-07,0,0.0,4
2016-04-08,30,0.0,0
2016-04-09,5,0.0,0
2016-04-10,6,0.0,0
2016-04-11,6,0.0,0
2016-04-12,4,0.0,3
2016-04-13,11,0.0,0
2016-04-14,26,0.0,3
2016-04-15,6,0.0,1
2016-04-16,0,0.0,0
2016-04-17,0,0.0,0
2016-04-18,5,0.0,0
2016-04-19,18,0.0,3
2016-04-20,7,0.0,0
2016-04-21,3,0.0,5
2016-04-22,0,0.0,1
2016-04-23,0,0.0,0
2016-04-24,0,0.0,0
2016-04-25,2,0.0,0
2016-04-26,16,0.0,2
2016-04-27,1,0.0,0
2016-04-28,19,0.0,0
2016-04-29,1,0.0,0
2016-04-30,0,0.0,0
