,brave/brave-browser,adblockplus/adblockplus,gorhill/ublock
2016-11-09,4,0.0,2
2016-11-10,11,0.0,3
2016-11-11,0,0.0,0
2016-11-12,3,0.0,4
2016-11-13,0,0.0,1
2016-11-14,0,0.0,2
2016-11-15,0,0.0,0
2016-11-16,2,0.0,1
2016-11-17,3,0.0,6
2016-11-18,1,1.0,1
2016-11-19,0,-0.3999999999999999,0
2016-11-20,0,-0.12,0
2016-11-21,1,0.9359999999999999,0
2016-11-22,3,0.5584,1
2016-11-23,1,-0.5499519999999999,2
2016-11-24,0,-0.2069632,0
2016-11-25,1,-0.12397056000000004,0
2016-11-26,2,-0.08670771200000005,0
2016-11-27,0,-0.06571335680000003,0
2016-11-28,12,-0.04133376,2
2016-11-29,6,-0.03352627199999999,0
2016-11-30,0,0.9720461312,0
2016-12-01,0,-0.4127981567999999,2
2016-12-02,0,-0.12,3
2016-12-03,0,-0.064,2
2016-12-04,0,-0.04160000000000005,0
2016-12-05,0,-0.029952000000000017,0
2016-12-06,1,-0.022963200000000007,0
2016-12-07,1,-0.018370559999999994,9
2016-12-08,0,-0.015155711999999993,4
2016-12-09,1,-0.012798156799999997,0
2016-12-10,1,0.0,0
2016-12-11,0,0.0,0
2016-12-12,0,0.0,0
2016-12-13,0,0.0,1
2016-12-14,5,0.0,3
2016-12-15,4,0.0,4
2016-12-16,2,0.0,1
2016-12-17,0,0.0,0
2016-12-18,0,0.0,0
2016-12-19,1,0.0,2
2016-12-20,0,0.0,0
2016-12-21,1,1.0,1
2016-12-22,1,-0.3999999999999999,0
2016-12-23,2,-0.12,0
2016-12-24,0,-0.064,0
2016-12-25,0,-0.04160000000000005,3
2016-12-26,0,-0.029952000000000017,3
2016-12-27,0,-0.022963200000000007,1
2016-12-28,0,-0.018370559999999994,0
2016-12-29,1,-0.015155711999999993,4
2016-12-30,0,-0.012798156799999997,3
2016-12-31,0,0.0,0
2017-01-01,1,0.0,0
2017-01-02,0,0.0,1
2017-01-03,0,0.0,0
2017-01-04,0,0.0,0
2017-01-05,1,2.0,0
2017-01-06,1,-0.7999999999999998,2
2017-01-07,0,-0.24,5
2017-01-08,0,-0.128,4
2017-01-09,0,-0.0832000000000001,5
2017-01-10,0,-0.059904000000000034,0
2017-01-11,1,-0.04592640000000001,0
2017-01-12,0,-0.03674111999999999,1
2017-01-13,0,-0.030311423999999986,0
2017-01-14,0,-0.025596313599999993,0
2017-01-15,0,0.0,0
2017-01-16,0,0.0,0
2017-01-17,0,0.0,1
2017-01-18,0,0.0,7
2017-01-19,2,3.0,3
2017-01-20,0,-1.1999999999999997,5
2017-01-21,0,-0.36,0
2017-01-22,0,-0.192,3
2017-01-23,0,-0.12480000000000013,7
2017-01-24,0,0.910144,3
2017-01-25,0,-0.4688895999999999,3
2017-01-26,1,-0.17511168,2
2017-01-27,0,-0.10946713599999998,2
2017-01-28,0,-0.07999447040000005,1
2017-01-29,0,-0.029952000000000017,0
2017-01-30,0,-0.022963200000000007,0
2017-01-31,0,-0.018370559999999994,0
2017-02-01,0,-0.015155711999999993,2
2017-02-02,0,-0.012798156799999997,0
2017-02-03,0,0.0,2
2017-02-04,0,0.0,0
2017-02-05,0,0.0,3
2017-02-06,0,0.0,3
2017-02-07,0,0.0,1
2017-02-08,0,0.0,0
2017-02-09,3,0.0,1
2017-02-10,2,0.0,0
2017-02-11,0,0.0,1
2017-02-12,0,0.0,1
2017-02-13,0,0.0,2
2017-02-14,1,0.0,0
2017-02-15,0,0.0,0
2017-02-16,0,0.0,1
2017-02-17,0,0.0,0
2017-02-18,0,0.0,3
2017-02-19,0,0.0,2
2017-02-20,0,0.0,0
2017-02-21,0,0.0,0
2017-02-22,0,0.0,0
2017-02-23,0,0.0,0
2017-02-24,0,0.0,0
2017-02-25,0,0.0,0
2017-02-26,0,0.0,0
2017-02-27,0,0.0,1
2017-02-28,0,0.0,1
2017-03-01,0,0.0,0
2017-03-02,0,0.0,2
2017-03-03,0,1.0,1
2017-03-04,0,-0.3999999999999999,0
2017-03-05,0,-0.12,5
2017-03-06,0,-0.064,2
2017-03-07,0,0.9583999999999999,1
2017-03-08,0,-0.42995199999999995,1
2017-03-09,1,0.8570367999999999,0
2017-03-10,0,-0.4823705599999999,1
2017-03-11,0,-0.17675571200000004,2
2017-03-12,0,-0.10675015680000002,1
2017-03-13,0,-0.06456320000000006,3
2017-03-14,0,-0.048322560000000014,3
2017-03-15,8,-0.038118912,0
2017-03-16,0,0.9688312832,2
2017-03-17,0,-0.4151557119999999,0
2017-03-18,0,-0.13279815679999998,1
2017-03-19,1,-0.064,0
2017-03-20,0,-0.04160000000000005,3
2017-03-21,1,1.970048,1
2017-03-22,0,-0.8229631999999998,1
2017-03-23,3,-0.25837055999999997,1
2017-03-24,10,-0.143155712,1
2017-03-25,0,-0.0959981568000001,3
2017-03-26,0,-0.059904000000000034,0
2017-03-27,0,-0.04592640000000001,2
2017-03-28,2,-0.03674111999999999,0
2017-03-29,0,-0.030311423999999986,0
2017-03-30,0,-0.025596313599999993,0
2017-03-31,1,0.0,1
2017-04-01,0,0.0,12
2017-04-02,0,0.0,4
2017-04-03,0,0.0,6
2017-04-04,0,0.0,2
2017-04-05,0,0.0,1
2017-04-06,0,0.0,0
2017-04-07,0,1.0,1
2017-04-08,0,-0.3999999999999999,1
2017-04-09,0,-0.12,2
2017-04-10,0,-0.064,0
2017-04-11,0,-0.04160000000000005,0
2017-04-12,0,-0.029952000000000017,1
2017-04-13,0,-0.022963200000000007,0
2017-04-14,0,-0.018370559999999994,1
2017-04-15,0,-0.015155711999999993,1
2017-04-16,0,-0.012798156799999997,0
2017-04-17,0,0.0,0
2017-04-18,0,0.0,0
2017-04-19,1,0.0,0
2017-04-20,9,0.0,0
2017-04-21,1,0.0,0
2017-04-22,0,0.0,4
2017-04-23,2,0.0,2
2017-04-24,0,0.0,3
2017-04-25,0,0.0,1
