,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2015-03-16,3.0,10,3
2015-03-17,4.5,15,1
2015-03-18,1.625,6,34
2015-03-19,-0.4375,9,8
2015-03-20,3.3828125,10,7
2015-03-21,-4.00390625,1,8
2015-03-22,-1.3583984375,0,15
2015-03-23,3.19970703125,12,17
2015-03-24,0.445098876953125,38,17
2015-03-25,1.5825653076171875,5,15
2015-03-26,2.07269287109375,12,13
2015-03-27,-2.5342559814453125,6,15
2015-03-28,-1.7128448486328125,0,1
2015-03-29,-0.823272705078125,0,17
2015-03-30,-0.4931640625,14,23
2015-03-31,-0.3585205078125,10,14
2015-04-01,0.722747802734375,4,9
2015-04-02,-0.6861724853515625,3,13
2015-04-03,-0.250213623046875,11,7
2015-04-04,-0.1301422119140625,0,1
2015-04-05,-0.0499725341796875,0,1
2015-04-06,0.97265625,6,4
2015-04-07,1.4794921875,2,5
2015-04-08,-1.14111328125,12,4
2015-04-09,1.674407958984375,7,4
2015-04-10,-0.1749725341796875,0,10
2015-04-11,-0.85546875,1,3
2015-04-12,-0.3251953125,0,0
2015-04-13,-0.19775390625,1,1
2015-04-14,2.860931396484375,6,0
2015-04-15,-0.6054534912109375,2,0
2015-04-16,-0.949554443359375,7,0
2015-04-17,-0.35479736328125,5,0
2015-04-18,-0.214599609375,0,0
2015-04-19,-0.1320037841796875,0,0
2015-04-20,0.9111328125,36,3
2015-04-21,2.43115234375,2,3
2015-04-22,-1.680389404296875,18,8
2015-04-23,-0.4833221435546875,5,11
2015-04-24,-0.2374725341796875,17,10
2015-04-25,-0.14453125,0,13
2015-04-26,-0.1025390625,0,7
2015-04-27,1.92236328125,3,6
2015-04-28,2.938568115234375,7,5
2015-04-29,-2.3001861572265625,7,1
2015-04-30,-0.6577301025390625,3,1
2015-05-01,-0.328125,0,2
2015-05-02,-0.2109375,0,0
2015-05-03,-0.150390625,0,1
2015-05-04,0.8857421875,5,19
2015-05-05,-0.59063720703125,7,15
2015-05-06,-0.199188232421875,0,6
2015-05-07,-0.10614013671875,2,2
2015-05-08,-0.0390625,6,7
2015-05-09,-0.02734375,0,4
2015-05-10,-0.0205078125,0,0
2015-05-11,-0.01611328125,11,2
2015-05-12,0.986907958984375,4,16
2015-05-13,2.4890899658203125,8,13
2015-05-14,2.375,8,7
2015-05-15,-1.4375,11,4
2015-05-16,-1.2265625,0,11
2015-05-17,-0.51953125,0,4
2015-05-18,2.6787109375,11,1
2015-05-19,7.27392578125,13,2
2015-05-20,-4.045806884765625,6,3
2015-05-21,3.0523529052734375,8,5
2015-05-22,-3.4058990478515625,6,2
2015-05-23,-0.177825927734375,0,0
2015-05-24,-1.1700897216796875,0,0
2015-05-25,-0.58056640625,14,0
2015-05-26,4.595977783203125,5,5
2015-05-27,6.1917266845703125,11,2
2015-05-28,6.6558074951171875,4,11
2015-05-29,-5.5343780517578125,9,14
2015-05-30,-3.3284759521484375,0,11
2015-05-31,-1.501373291015625,1,8
2015-06-01,2.0467071533203125,7,10
2015-06-02,7.82861328125,11,14
2015-06-03,4.113739013671875,9,11
2015-06-04,9.155746459960938,3,24
2015-06-05,-6.2797088623046875,2,10
