,apache/openwhisk,aws/chalice,serverless/serverless
2016-05-31,3,7,10
2016-06-01,6,1,22
2016-06-02,3,7,23
2016-06-03,4,0,5
2016-06-04,7,0,0
2016-06-05,0,0,1
2016-06-06,3,0,23
2016-06-07,0,0,3
2016-06-08,1,1,4
2016-06-09,12,0,28
2016-06-10,2,1,26
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,3,0,3
2016-06-14,4,0,7
2016-06-15,9,0,50
2016-06-16,9,0,7
2016-06-17,3,0,17
2016-06-18,0,0,1
2016-06-19,0,0,3
2016-06-20,7,0,17
2016-06-21,13,0,24
2016-06-22,7,0,18
2016-06-23,7,0,16
2016-06-24,5,0,32
2016-06-25,0,0,0
2016-06-26,0,0,0
2016-06-27,2,0,20
2016-06-28,4,0,15
2016-06-29,7,0,11
2016-06-30,4,0,4
2016-07-01,6,0,2
2016-07-02,3,0,0
2016-07-03,0,0,0
2016-07-04,3,0,13
2016-07-05,4,0,0
2016-07-06,11,1,1
2016-07-07,4,9,12
2016-07-08,2,2,4
2016-07-09,0,11,0
2016-07-10,2,0,1
2016-07-11,5,17,3
2016-07-12,4,2,19
2016-07-13,1,3,14
2016-07-14,5,1,0
2016-07-15,3,0,21
2016-07-16,1,0,0
2016-07-17,1,0,0
2016-07-18,4,1,1
2016-07-19,5,0,3
2016-07-20,3,0,9
2016-07-21,6,0,3
2016-07-22,2,11,14
2016-07-23,0,0,1
2016-07-24,2,0,0
2016-07-25,3,0,25
2016-07-26,2,1,32
2016-07-27,1,0,13
2016-07-28,2,8,5
2016-07-29,3,4,20
2016-07-30,5,1,0
2016-07-31,1,0,0
2016-08-01,7,15,14
2016-08-02,3,1,19
2016-08-03,7,1,18
2016-08-04,3,8,27
2016-08-05,2,0,15
2016-08-06,1,0,3
2016-08-07,0,2,2
2016-08-08,0,1,13
2016-08-09,1,0,5
2016-08-10,4,1,14
2016-08-11,2,6,11
2016-08-12,3,0,9
2016-08-13,3,0,12
2016-08-14,0,0,5
2016-08-15,2,0,19
2016-08-16,14,4,10
2016-08-17,3,0,5
2016-08-18,5,3,4
2016-08-19,6,1,10
2016-08-20,0,0,1
2016-08-21,5,0,4
2016-08-22,2,0,9
2016-08-23,4,2,12
2016-08-24,1,0,20
2016-08-25,5,0,4
2016-08-26,4,8,7
2016-08-27,2,0,0
2016-08-28,0,0,1
2016-08-29,6,0,6
2016-08-30,20,0,2
2016-08-31,7,0,66
2016-09-01,8,8,6
2016-09-02,9,0,17
2016-09-03,3,0,5
2016-09-04,0,0,0
2016-09-05,0,0,29
2016-09-06,7,7,21
2016-09-07,5,0,11
2016-09-08,4,1,19
2016-09-09,5,0,8
2016-09-10,0,0,4
2016-09-11,1,0,2
2016-09-12,1,0,28
2016-09-13,4,0,14
2016-09-14,10,1,5
2016-09-15,2,0,11
2016-09-16,6,0,10
2016-09-17,0,0,3
2016-09-18,3,0,0
2016-09-19,2,0,8
2016-09-20,5,0,17
2016-09-21,6,8,5
2016-09-22,7,1,15
2016-09-23,4,0,18
2016-09-24,0,0,0
2016-09-25,0,0,2
2016-09-26,2,0,20
2016-09-27,5,0,16
2016-09-28,3,3,20
2016-09-29,1,0,2
2016-09-30,2,0,12
2016-10-01,0,0,13
2016-10-02,0,0,1
2016-10-03,1,0,14
2016-10-04,7,0,22
2016-10-05,1,0,16
2016-10-06,0,0,8
2016-10-07,3,6,22
2016-10-08,0,0,0
2016-10-09,0,0,4
2016-10-10,1,11,21
2016-10-11,2,2,46
2016-10-12,2,3,41
2016-10-13,4,11,46
2016-10-14,0,0,16
2016-10-15,0,0,5
2016-10-16,0,0,0
2016-10-17,6,1,16
2016-10-18,1,0,29
2016-10-19,2,4,54
2016-10-20,5,0,29
2016-10-21,0,3,25
2016-10-22,1,0,5
2016-10-23,0,0,7
2016-10-24,4,5,28
2016-10-25,0,1,22
2016-10-26,3,0,11
2016-10-27,4,9,23
2016-10-28,6,4,27
2016-10-29,1,0,0
2016-10-30,0,0,3
2016-10-31,2,0,23
2016-11-01,2,2,39
2016-11-02,2,0,28
2016-11-03,1,0,15
2016-11-04,1,0,17
2016-11-05,0,0,6
2016-11-06,0,0,1
2016-11-07,1,5,18
2016-11-08,1,3,24
2016-11-09,1,2,7
2016-11-10,7,5,7
2016-11-11,0,5,9
2016-11-12,0,0,3
2016-11-13,0,0,0
2016-11-14,0,1,10
2016-11-15,1,10,10
2016-11-16,1,0,7
2016-11-17,8,4,12
2016-11-18,8,0,15
2016-11-19,0,0,4
2016-11-20,0,1,6
2016-11-21,0,0,27
2016-11-22,6,3,16
2016-11-23,2,2,7
2016-11-24,1,0,21
2016-11-25,1,0,5
2016-11-26,0,0,5
2016-11-27,0,0,4
2016-11-28,4,2,12
2016-11-29,4,1,16
2016-11-30,0,2,4
2016-12-01,5,2,39
2016-12-02,2,0,23
2016-12-03,2,1,2
2016-12-04,0,0,5
2016-12-05,3,0,14
2016-12-06,4,1,14
2016-12-07,12,0,20
