,TryGhost/Ghost,decaporg/decap-cms,strapi/strapi
2020-02-25,1.0,7,21
2020-02-26,3.8,4,44
2020-02-27,21.12,3,25
2020-02-28,-4.767999999999999,5,30
2020-02-29,-1.9856000000000018,0,4
2020-03-01,-1.2159360000000008,0,2
2020-03-02,12.1382272,3,39
2020-03-03,0.7395660799999999,3,27
2020-03-04,6.628471807999999,7,48
2020-03-05,3.8135919616,4,58
2020-03-06,-2.115207065599999,1,35
2020-03-07,1.0673062911999998,0,2
2020-03-08,-1.6861184000000005,0,1
2020-03-09,14.94521344,3,44
2020-03-10,3.005041664000001,0,20
2020-03-11,-2.3213304832000006,0,3
2020-03-12,1.0771093503999996,4,21
2020-03-13,2.1552487424000004,2,15
2020-03-14,-1.8842293248000002,0,2
2020-03-15,-1.0588452864000004,0,0
2020-03-16,20.2304268288,1,14
2020-03-17,3.219872768000002,0,4
2020-03-18,1.2394192895999998,1,6
2020-03-19,4.117831475199999,7,5
2020-03-20,20.9870606336,4,33
2020-03-21,-6.5000148992,0,4
2020-03-22,-3.1071702016000025,4,2
2020-03-23,6.966228479999999,6,30
2020-03-24,0.6751482880000013,1,30
2020-03-25,47.2625427456,0,26
2020-03-26,12.467528396800002,1,51
2020-03-27,-1.8637020160000013,0,30
2020-03-28,-6.7168145408000015,0,3
2020-03-29,-3.057267609600001,1,1
2020-03-30,11.098744319999998,1,55
2020-03-31,0.019699711999999536,2,39
2020-04-01,11.121309798399999,14,41
2020-04-02,4.555465318400003,3,21
2020-04-03,4.959877632000002,1,31
2020-04-04,-4.4802989056,0,0
2020-04-05,3.6856352767999985,2,0
2020-04-06,16.247454208,3,18
2020-04-07,20.5236770816,5,31
2020-04-08,21.0319417344,0,3
2020-04-09,-2.645317632000001,5,31
2020-04-10,10.740199423999998,2,15
2020-04-11,-7.101927424,0,2
2020-04-12,-3.9487370240000024,4,5
2020-04-13,10.269173247999998,2,7
2020-04-14,7.269335449600001,3,19
2020-04-15,10.881013350400002,4,41
2020-04-16,15.008776601600001,1,24
2020-04-17,18.7571206144,0,24
2020-04-18,-8.7150445568,1,1
2020-04-19,-4.409585356800003,3,0
2020-04-20,20.17263104,4,22
2020-04-21,23.273122304,3,9
2020-04-22,22.4614775808,3,21
2020-04-23,15.829554483199999,0,16
2020-04-24,-11.1145462784,1,22
2020-04-25,-5.927264870400002,0,0
2020-04-26,-3.931345510400001,0,4
2020-04-27,31.27346944,1,23
2020-04-28,10.018087424,1,8
2020-04-29,9.6683409408,1,40
2020-04-30,26.956491264,4,23
2020-05-01,27.718112563200002,0,0
2020-05-02,-13.3072964608,0,3
2020-05-03,-6.584563200000005,0,4
2020-05-04,-1.4713036800000028,3,25
2020-05-05,3.0173317120000007,1,21
2020-05-06,8.6470825984,0,15
2020-05-07,8.8109451264,0,19
2020-05-08,19.335039692800002,0,5
2020-05-09,-8.053356031999996,0,1
2020-05-10,-3.8351430656000014,0,0
2020-05-11,3.8038502399999987,4,0
2020-05-12,-0.824728576,3,16
2020-05-13,0.8374274047999997,3,19
2020-05-14,-2.0700197888,0,40
2020-05-15,-0.32429752319999916,0,10
2020-05-16,-1.0986797055999982,0,0
2020-05-17,1.3338214400000008,4,2
