,pulsar-edit/pulsar,neovim/neovim,microsoft/vscode
2023-11-13,3,24,50
2023-11-14,3,15,56
2023-11-15,2,2,77
2023-11-16,17,18,57
2023-11-17,5,30,83
2023-11-18,3,6,5
2023-11-19,0,4,9
2023-11-20,0,7,43
2023-11-21,2,8,62
2023-11-22,0,11,33
2023-11-23,4,13,39
2023-11-24,1,5,35
2023-11-25,0,8,2
2023-11-26,0,9,7
2023-11-27,0,22,60
2023-11-28,0,18,28
2023-11-29,4,20,67
2023-11-30,0,22,33
2023-12-01,0,9,43
2023-12-02,1,11,7
2023-12-03,0,3,7
2023-12-04,0,7,42
2023-12-05,0,9,62
2023-12-06,1,18,63
2023-12-07,1,19,39
2023-12-08,1,9,64
2023-12-09,0,12,6
2023-12-10,0,3,9
2023-12-11,0,7,24
2023-12-12,4,13,47
2023-12-13,3,12,41
2023-12-14,0,14,39
2023-12-15,1,8,67
2023-12-16,19,18,8
2023-12-17,0,6,5
2023-12-18,4,12,48
2023-12-19,8,14,63
2023-12-20,0,7,38
2023-12-21,0,11,4
2023-12-22,0,19,2
2023-12-23,0,9,1
2023-12-24,0,7,1
2023-12-25,0,8,0
2023-12-26,0,7,0
2023-12-27,0,8,0
2023-12-28,0,18,0
2023-12-29,1,3,2
2023-12-30,1,9,7
2023-12-31,2,1,1
2024-01-01,0,8,0
2024-01-02,0,21,2
2024-01-03,16,7,17
2024-01-04,0,9,26
2024-01-05,0,9,33
2024-01-06,1,5,1
2024-01-07,24,2,1
2024-01-08,0,4,55
2024-01-09,3,9,33
2024-01-10,1,2,36
2024-01-11,62,5,40
2024-01-12,5,14,37
2024-01-13,5,10,5
2024-01-14,1,9,10
2024-01-15,1,7,31
2024-01-16,12,17,34
2024-01-17,1,23,42
2024-01-18,20,14,60
2024-01-19,4,9,33
2024-01-20,20,5,4
2024-01-21,13,8,1
2024-01-22,5,23,62
2024-01-23,2,12,28
2024-01-24,1,17,39
2024-01-25,7,11,25
2024-01-26,1,8,29
2024-01-27,10,11,3
2024-01-28,6,15,0
2024-01-29,12,16,54
2024-01-30,8,1,47
2024-01-31,0,4,61
2024-02-01,1,12,47
2024-02-02,5,7,51
2024-02-03,3,12,4
2024-02-04,3,4,1
2024-02-05,1,10,24
2024-02-06,2,13,29
2024-02-07,0,5,55
2024-02-08,0,23,41
2024-02-09,5,11,60
2024-02-10,7,14,9
2024-02-11,3,13,3
2024-02-12,0,15,61
2024-02-13,0,9,90
2024-02-14,0,2,35
2024-02-15,6,14,59
2024-02-16,13,17,62
2024-02-17,1,6,3
2024-02-18,2,11,6
2024-02-19,0,9,48
2024-02-20,1,9,23
2024-02-21,0,9,50
2024-02-22,0,16,35
2024-02-23,0,5,52
2024-02-24,0,13,5
2024-02-25,0,9,1
2024-02-26,0,9,44
2024-02-27,0,8,44
2024-02-28,0,14,44
2024-02-29,0,10,31
2024-03-01,2,12,19
2024-03-02,1,6,4
2024-03-03,8,9,4
2024-03-04,1,5,47
2024-03-05,1,3,15
2024-03-06,0,11,40
2024-03-07,4,8,65
2024-03-08,0,26,40
2024-03-09,2,14,3
2024-03-10,2,14,0
2024-03-11,0,19,39
2024-03-12,0,13,67
2024-03-13,0,9,67
2024-03-14,0,17,51
2024-03-15,0,12,59
2024-03-16,4,17,4
2024-03-17,0,6,6
2024-03-18,5,12,63
2024-03-19,1,22,41
2024-03-20,4,7,77
2024-03-21,4,15,101
2024-03-22,2,3,69
2024-03-23,6,10,12
2024-03-24,0,7,11
2024-03-25,2,13,10
2024-03-26,1,9,66
2024-03-27,0,17,35
2024-03-28,0,20,70
2024-03-29,1,14,28
2024-03-30,0,6,12
2024-03-31,4,10,10
2024-04-01,1,21,71
2024-04-02,0,9,46
2024-04-03,0,7,54
2024-04-04,5,3,48
2024-04-05,3,16,37
2024-04-06,9,12,8
2024-04-07,0,5,8
2024-04-08,2,9,60
2024-04-09,0,20,56
2024-04-10,2,13,31
2024-04-11,0,10,25
2024-04-12,4,21,35
2024-04-13,2,15,13
2024-04-14,6,16,2
2024-04-15,8,10,18
2024-04-16,4,26,38
2024-04-17,0,5,52
2024-04-18,4,8,45
2024-04-19,4,6,66
2024-04-20,2,8,5
2024-04-21,1,11,2
2024-04-22,0,10,44
2024-04-23,0,10,34
2024-04-24,0,3,48
2024-04-25,0,12,30
2024-04-26,0,18,42
2024-04-27,0,7,12
