,golang/go,gcc-mirror/gcc,llvm/llvm-project
2008-05-03,0,13,5.0
2008-05-04,0,12,20.5
2008-05-05,0,11,25.875
2008-05-06,1,28,80.49249999999999
2008-05-07,0,17,-2.8748125000000044
2008-05-08,2,21,6.239323750000008
2008-05-09,4,13,19.820887687500004
2008-05-10,0,17,-2.747846093749997
2008-05-11,0,9,-13.69457031882812
2008-05-12,0,20,37.56042741874219
2008-05-13,0,11,12.471776421862497
2008-05-14,0,25,29.513953091614063
2008-05-15,2,43,0.7105115138796876
2008-05-16,1,27,15.876318719828127
2008-05-17,0,13,-10.426655313128126
2008-05-18,0,14,-6.24637745587656
2008-05-19,0,15,22.230049033279688
2008-05-20,0,77,37.28016292305156
2008-05-21,0,26,2.1366879322937464
2008-05-22,0,17,12.589268806803126
2008-05-23,0,32,39.334979746203125
2008-05-24,0,12,-6.543053105849999
2008-05-25,0,13,-8.065773397054684
2008-05-26,0,60,-2.6562536221874957
2008-05-27,0,68,29.29607048712031
2008-05-28,1,38,2.337244432971872
2008-05-29,0,20,28.838288951504687
2008-05-30,0,9,55.1056864087125
2008-05-31,0,7,-5.527091982623439
2008-06-01,0,6,-2.257976165315622
2008-06-02,0,18,2.7004820801875056
2008-06-03,0,12,11.391668637515625
2008-06-04,7,11,26.073509998296874
2008-06-05,5,6,23.989090073609376
2008-06-06,18,19,7.627681691923435
2008-06-07,15,13,-5.449056797681251
2008-06-08,3,12,11.267792266634375
2008-06-09,15,13,24.498538994901562
2008-06-10,2,8,5.158542421281247
2008-06-11,7,19,14.108429936421878
2008-06-12,14,17,0.004115329292186942
2008-06-13,5,17,-0.3496515502296873
2008-06-14,2,9,-8.726546862709377
2008-06-15,1,12,1.8815150545500003
2008-06-16,6,8,56.94480788685313
2008-06-17,6,16,19.78930348782343
2008-06-18,13,27,4.754862524048438
2008-06-19,5,15,14.021369180696876
2008-06-20,1,12,28.520425601753125
2008-06-21,3,7,12.965160427092187
2008-06-22,1,5,-13.505827865554686
2008-06-23,2,9,23.931788935662507
2008-06-24,8,16,17.891126832906245
2008-06-25,9,14,11.281345974679688
2008-06-26,17,23,25.60259856456875
2008-06-27,12,23,9.004734473715622
2008-06-28,8,19,2.529673567317186
2008-06-29,1,16,-10.151462594253125
2008-06-30,6,13,33.03773083199531
2008-07-01,3,12,18.325295178810936
2008-07-02,2,37,35.33833710130938
2008-07-03,9,18,22.412509588887502
2008-07-04,5,16,-20.713486841651562
2008-07-05,2,7,-1.4352388819749997
2008-07-06,2,9,-12.386943091557812
2008-07-07,5,29,34.8972741420375
2008-07-08,11,15,26.505387600934373
2008-07-09,13,17,74.68012997191406
2008-07-10,4,14,8.614698303279681
2008-07-11,4,11,17.95406886619844
2008-07-12,10,5,-14.675773623999998
2008-07-13,4,5,-6.071566038598434
2008-07-14,6,20,21.729989664225002
2008-07-15,14,17,29.440362284595313
2008-07-16,9,18,11.027894272785936
2008-07-17,10,11,8.278577225757811
2008-07-18,7,20,8.309831410417186
2008-07-19,7,13,0.3137524745593723
2008-07-20,2,8,-10.037599471142187
2008-07-21,3,18,52.65453997980469
2008-07-22,5,7,19.550798507645307
2008-07-23,4,11,2.0903136433546834
2008-07-24,6,11,3.0194521830312517
2008-07-25,8,13,55.83396431138594
2008-07-26,4,6,1.9690103735812485
2008-07-27,5,7,-6.6607734622968735
2008-07-28,8,11,-2.2435598739999953
2008-07-29,5,27,5.572677508118748
2008-07-30,5,41,8.301045733129683
2008-07-31,6,80,-3.7314759568984393
2008-08-01,5,69,-4.896747839145313
2008-08-02,2,5,-5.065337274495315
2008-08-03,3,6,-1.8896499105109408
2008-08-04,12,62,12.534513572051562
2008-08-05,9,65,39.34992816105781
2008-08-06,2,54,18.36479868244531
2008-08-07,3,16,29.018641313484377
2008-08-08,7,31,23.851207881223438
2008-08-09,3,16,6.335445132595314
2008-08-10,5,7,1.9300638628062536
2008-08-11,8,8,7.034702201989067
2008-08-12,15,30,11.407332495803125
2008-08-13,4,19,21.445207394557812
2008-08-14,0,13,4.98492373324531
2008-08-15,0,7,-5.9844145318656246
2008-08-16,0,11,10.06201741933906
2008-08-17,0,8,36.81755626582188
2008-08-18,0,25,5.504056364171873
2008-08-19,0,11,28.503189904003126
2008-08-20,3,73,34.529933411725
2008-08-21,2,21,30.495359758121875
2008-08-22,2,59,8.067722375514062
2008-08-23,0,13,34.76716487100938
2008-08-24,0,14,-7.778627305653124
2008-08-25,0,10,14.23400273809844
2008-08-26,0,14,24.052083714439064
2008-08-27,0,14,18.078363726496875
2008-08-28,2,36,25.89596196690156
2008-08-29,7,40,-0.5643290454250014
2008-08-30,2,15,-2.105696983345311
2008-08-31,0,24,-5.546983821282815
2008-09-01,1,21,4.6749463116734375
2008-09-02,5,27,23.074585859584374
2008-09-03,11,32,35.07456852438594
2008-09-04,8,31,21.59192563912187
2008-09-05,3,21,21.387670614695313
2008-09-06,1,16,-19.179796898792187
2008-09-07,0,9,-0.5160352320796839
2008-09-08,5,17,37.06273989040781
2008-09-09,8,38,40.39218305567656
2008-09-10,9,22,7.3755940582484385
2008-09-11,11,28,22.19456185129219
2008-09-12,19,9,-6.691376406306251
2008-09-13,6,19,-6.996009101176561
2008-09-14,1,9,-12.033890646801563
