,ethereum/go-ethereum,hyperledger/besu,NethermindEth/nethermind
2018-12-09,0,0.0,1
2018-12-10,17,7.0,0
2018-12-11,7,0.8999999999999995,0
2018-12-12,2,2.365,0
2018-12-13,3,2.0685000000000002,9
2018-12-14,7,1.9203625000000004,10
2018-12-15,0,-2.1865292499999995,2
2018-12-16,0,-0.0707767874999995,0
2018-12-17,3,3.97992549625,14
2018-12-18,4,1.8543367113906246,0
2018-12-19,0,3.7849524120734372,0
2018-12-20,2,4.169127848239063,0
2018-12-21,3,0.60779763500625,0
2018-12-22,4,-2.7423726324937494,0
2018-12-23,1,-1.3860512391812496,0
2018-12-24,0,-0.9012455355156249,0
2018-12-25,0,-0.6771730170609376,0
2018-12-26,0,-0.5270146132265628,0
2018-12-27,0,0.6245816802249996,0
2018-12-28,1,-0.5684665917562506,0
2018-12-29,2,-0.26359075969218776,0
2018-12-30,0,-0.11383365293125006,6
2018-12-31,0,0.9598375,5
2019-01-01,0,-0.32972025000000005,2
2019-01-02,2,0.8717191375000001,8
2019-01-03,6,0.62154272625,4
2019-01-04,5,2.538960783234375,7
2019-01-05,2,-0.10780366323281254,10
2019-01-06,1,0.2620566375000002,3
2019-01-07,6,6.3276599762500005,2
2019-01-08,1,2.5461346707343746,0
2019-01-09,1,3.520355200517188,0
2019-01-10,4,1.0839406719843754,1
2019-01-11,5,3.452029436251563,0
2019-01-12,0,-2.0893059497796873,0
2019-01-13,0,-0.796126517714062,0
2019-01-14,0,13.620463141251562,3
2019-01-15,7,7.616452025657812,15
2019-01-16,4,1.865681431042188,1
2019-01-17,7,4.893925613242188,0
2019-01-18,3,-3.5276896014593753,2
2019-01-19,1,-2.2857483397749996,0
2019-01-20,0,1.7217893425875,0
2019-01-21,2,6.320142551251562,0
2019-01-22,2,6.758546876532812,0
2019-01-23,4,4.622781668554687,0
2019-01-24,14,1.5793971813484369,4
2019-01-25,2,1.38652661648125,14
2019-01-26,2,-2.1189380396093753,5
2019-01-27,1,-2.703448150731249,0
2019-01-28,2,4.350864768454688,1
2019-01-29,8,19.993420509928125,3
2019-01-30,7,11.56192012148281,0
2019-01-31,1,9.587988695532813,4
2019-02-01,2,1.1832484828125,0
2019-02-02,0,-7.815317740723437,8
2019-02-03,1,-1.0252548379281237,0
2019-02-04,7,9.411637193534375,0
2019-02-05,4,1.7816329031562503,6
2019-02-06,5,5.461430422493749,0
2019-02-07,17,2.7197819715828118,5
2019-02-08,6,3.2758708555468745,2
2019-02-09,0,-4.5097345733453125,6
2019-02-10,0,-0.9689900793109372,5
2019-02-11,0,7.590793140953124,7
2019-02-12,10,7.446660014848437,7
2019-02-13,3,4.201699370098437,0
2019-02-14,13,2.371500333465625,0
2019-02-15,2,-0.11126982270156205,0
2019-02-16,1,-4.044812668735937,0
2019-02-17,1,-2.168118608360937,0
2019-02-18,15,12.569717565735937,9
2019-02-19,15,21.71519559587812,0
2019-02-20,6,8.579224378984375,0
2019-02-21,7,1.0421693710500008,1
2019-02-22,3,-4.821409235203124,0
2019-02-23,1,-2.874021889690624,1
2019-02-24,2,-2.528883391164062,0
2019-02-25,5,7.41104263,0
2019-02-26,9,15.152132936531249,6
2019-02-27,4,1.4858974233187485,0
2019-02-28,9,3.258614625417187,0
2019-03-01,6,-4.207507532095313,14
2019-03-02,2,-2.603695605857812,0
2019-03-03,0,-1.4252995719796875,1
2019-03-04,4,13.07893896926875,2
2019-03-05,2,7.173667819110936,7
2019-03-06,4,-0.5098528301406251,3
2019-03-07,11,0.2060473551875006,8
2019-03-08,6,-1.8914544599843754,0
2019-03-09,0,-2.659741952109375,0
