,vsouza/awesome-ios,raywenderlich/swift-style-guide,matteocrippa/awesome-swift
2015-02-07,-1.2955570361750008,0,0
2015-02-08,1.3315062949281256,0,0
2015-02-09,1.3514627250000002,0,0
2015-02-10,2.367275245000001,0,0
2015-02-11,10.27580734521875,0,6
2015-02-12,-1.5657893309625002,0,2
2015-02-13,-0.8390597520890621,0,4
2015-02-14,-0.528558694676562,0,0
2015-02-15,-0.3997388403234362,0,0
2015-02-16,-0.25809430603124917,0,0
2015-02-17,0.7860024426468756,0,0
2015-02-18,0.7324666971312503,0,0
2015-02-19,-0.2754480007796873,0,0
2015-02-20,-0.16588737789531233,0,2
2015-02-21,-0.04916249999999994,0,0
2015-02-22,-0.036779249999999875,0,1
2015-02-23,-0.02927876249999991,0,2
2015-02-24,-0.024255708749999928,0,3
2015-02-25,0.9793379907343751,0,2
2015-02-26,-0.11796716555156254,0,1
2015-02-27,7.9466011474640625,0,12
2015-02-28,-0.8285000000000007,0,3
2015-03-01,-0.3806625000000002,0,6
2015-03-02,-0.24411675000000013,0,9
2015-03-03,0.8215379875000006,0,7
2015-03-04,-0.24002769624999964,0,1
2015-03-05,11.840135586984376,0,5
2015-03-06,-0.3256484225359384,0,3
2015-03-07,-0.7372090041250001,0,5
2015-03-08,-0.47030757028750003,0,0
2015-03-09,0.710387987500001,0,0
2015-03-10,-0.3251571962499994,0,6
2015-03-11,1.7713707869843756,0,1
2015-03-12,-0.38318522003593725,0,0
2015-03-13,6.7634240475625,0,2
2015-03-14,-0.8834712934468754,1,0
2015-03-15,-0.3778858650359375,0,0
2015-03-16,-0.24282719625000002,0,2
2015-03-17,5.819470161984375,0,2
2015-03-18,3.2565965049640626,0,2
2015-03-19,1.2187292864687498,0,4
2015-03-20,0.35454642117812485,0,1
2015-03-21,6.505046808890626,1,0
2015-03-22,6.959857532248438,0,0
2015-03-23,3.6717359249999997,0,3
2015-03-24,-1.2316062275000004,0,0
2015-03-25,-0.7418629380937495,0,2
2015-03-26,1.455366977721876,0,2
2015-03-27,1.411793680075001,0,0
2015-03-28,-0.5799017418374994,0,0
2015-03-29,-0.376936676145312,0,0
2015-03-30,6.710868046873438,0,1
2015-03-31,2.111409114634375,0,6
2015-04-01,4.284448212320312,1,5
2015-04-02,-0.8830114175000006,0,0
2015-04-03,-0.49646151853124965,0,1
2015-04-04,-0.3532390811031244,0,0
2015-04-05,-0.26059454257187414,1,0
2015-04-06,2.8022743387500006,2,1
2015-04-07,1.5339306576406253,0,5
2015-04-08,9.522034611951563,0,5
2015-04-09,-1.2485381226859382,13,4
2015-04-10,2.3890182373203124,0,2
2015-04-11,-0.6746752500000002,0,2
2015-04-12,-0.4133445374999991,0,0
2015-04-13,0.6937273862500006,0,0
2015-04-14,7.6555000434531255,0,3
2015-04-15,18.951379603860936,0,1
2015-04-16,-1.5404668727281265,0,2
2015-04-17,3.6340678858906243,1,1
2015-04-18,-1.3251216890468753,0,1
2015-04-19,-0.8340425701078106,0,2
2015-04-20,-0.6018872962499986,0,1
2015-04-21,2.5190126169843765,0,2
2015-04-22,3.2994349558390637,0,0
2015-04-23,-0.8704608393499995,0,0
2015-04-24,-0.49851384498437457,0,0
2015-04-25,-0.2322279176140622,0,0
2015-04-26,-0.17299451267968693,0,0
2015-04-27,1.8960469625000003,0,2
2015-04-28,1.7140708612500002,0,0
2015-04-29,1.636920275953125,0,9
2015-04-30,-0.4104698096703126,0,3
2015-05-01,-0.22192041014374986,0,2
2015-05-02,-0.1305584999999998,0,2
2015-05-03,0.9001174750000003,0,0
2015-05-04,0.8192550825000002,0,2
2015-05-05,5.78735195646875,0,2
2015-05-06,1.2683782763968745,0,3
2015-05-07,5.444903168896875,1,0
2015-05-08,5.085423044928125,0,0
2015-05-09,0.9197462374999998,0,1
2015-05-10,1.1967187912500001,0,0
2015-05-11,2.2831574157343755,0,5
2015-05-12,8.221471131948437,0,2
2015-05-13,-1.3969936981296875,0,2
2015-05-14,3.2208775062531254,0,8
2015-05-15,-0.9178147856656247,0,5
2015-05-16,0.4293728391906261,0,1
2015-05-17,-0.4902539212468744,0,0
2015-05-18,0.6846764676468758,0,2
2015-05-19,0.6616870896312506,0,7
2015-05-20,-0.3296219247484371,0,1
2015-05-21,11.790418792176563,0,3
2015-05-22,5.699402235437499,0,7
2015-05-23,3.678531643606249,0,0
2015-05-24,2.804152924484374,0,0
2015-05-25,2.894895438714063,0,0
2015-05-26,3.9187994907343757,0,1
2015-05-27,-1.1860410655515619,0,6
2015-05-28,0.2641089549640635,0,2
2015-05-29,1.3520973075625011,0,0
2015-05-30,-0.6886604527906238,0,2
2015-05-31,-0.4027401178296868,0,2
2015-06-01,6.731885137757813,0,15
2015-06-02,6.11522110654375,0,2
2015-06-03,1.8581675122781245,0,13
2015-06-04,1.1060880160703122,0,3
2015-06-05,6.2891067944843755,0,2
2015-06-06,-0.1604902285671872,0,3
2015-06-07,-0.7557365425718745,0,1
2015-06-08,1.4960347887500007,0,0
2015-06-09,4.410508897640626,0,2
2015-06-10,-0.9088550226109371,0,4
2015-06-11,-0.49993513679843715,0,1
2015-06-12,0.681023930110938,0,1
2015-06-13,-0.33041559243124935,0,1
2015-06-14,2.779731944232813,0,1
2015-06-15,-0.42489630753593755,0,9
2015-06-16,0.7697323927187503,0,0
2015-06-17,-0.26625602014999994,0,2
2015-06-18,2.837856224820313,0,0
2015-06-19,4.61205605375,0,1
2015-06-20,-0.7047168505156254,0,0
2015-06-21,1.6317033087140624,0,4
2015-06-22,0.5536455484531251,0,0
2015-06-23,8.622046996142188,0,2
2015-06-24,-1.1316381005156255,1,1
2015-06-25,-0.5823150037859374,0,2
2015-06-26,4.606430579703125,0,0
2015-06-27,-0.8014413976859369,0,2
2015-06-28,0.552605582320313,0,0
2015-06-29,3.6088115652187502,0,4
2015-06-30,3.3254782156625002,1,0
2015-07-01,0.2164025803234375,0,11
2015-07-02,1.4439377646765625,0,3
2015-07-03,4.4867647687500005,0,1
2015-07-04,-0.8266205775781248,0,3
2015-07-05,-0.47286550892968715,0,0
2015-07-06,2.6934671019843757,0,5
2015-07-07,7.460245097901563,0,2
2015-07-08,1.87512986654375,0,2
2015-07-09,1.1233388218406248,0,1
2015-07-10,-0.7079914598171875,0,0
2015-07-11,3.546210479850001,0,0
2015-07-12,0.27059819982031297,0,0
2015-07-13,0.4917475612500005,0,2
2015-07-14,7.551825953453125,0,3
2015-07-15,3.8825018245171874,0,1
2015-07-16,1.9082873481656248,0,1
2015-07-17,4.113239516360937,0,0
2015-07-18,-0.03325125257187489,0,2
2015-07-19,-0.7052754608124994,0,4
2015-07-20,-0.48962476940937416,0,5
2015-07-21,-0.3526895480515615,0,5
2015-07-22,2.7188538745890636,0,0
2015-07-23,0.4697597133843754,0,2
2015-07-24,1.6256703045234377,0,2
2015-07-25,-0.4146318189359376,0,2
2015-07-26,0.7679499243046878,0,2
2015-07-27,0.7655883974640626,0,2
2015-07-28,1.7580722125000001,0,2
2015-07-29,-0.35217660125,0,0
2015-07-30,2.794714839703125,0,2
2015-07-31,-0.4507315131234375,0,1
2015-08-01,-0.23313924106718728,0,0
2015-08-02,0.8412130861781252,0,3
2015-08-03,0.7910264657343753,0,7
2015-08-04,5.7664951919484375,0,4
2015-08-05,1.2594784839328121,0,6
2015-08-06,-0.5692412938218752,0,0
2015-08-07,0.673515810953125,0,1
2015-08-08,-0.335450320107812,0,0
2015-08-09,4.79271879125,0,0
2015-08-10,6.339632415734375,0,5
2015-08-11,-1.056515868051563,0,0
2015-08-12,-0.5616128731296876,0,0
2015-08-13,-0.3855042537468746,0,0
2015-08-14,1.746887348678126,0,0
2015-08-15,-0.3881956255156246,0,0
2015-08-16,-0.2460014212859371,0,2
2015-08-17,0.8175025611718754,0,0
2015-08-18,0.7497025462109379,0,2
2015-08-19,4.7639745322484375,0,2
2015-08-20,-0.5998240250000004,0,0
2015-08-21,0.7036501074999999,0,0
2015-08-22,-0.29841587603124997,0,0
2015-08-23,15.805611032428125,0,1
2015-08-24,5.266660541249999,0,2
2015-08-25,13.472865428234375,0,1
2015-08-26,5.639447603198436,0,7
2015-08-27,1.9254975698859376,0,0
2015-08-28,1.356906541070313,0,2
2015-08-29,-0.35091526301562337,0,4
2015-08-30,1.9659166699640647,0,0
2015-08-31,4.929736930500002,0,1
2015-09-01,3.6369841245656263,0,0
2015-09-02,2.731772967014063,0,1
2015-09-03,6.839505635335938,0,1
2015-09-04,-0.4467324235999999,0,4
2015-09-05,-0.8868930829406245,0,3
2015-09-06,0.4167482156265633,0,2
2015-09-07,0.47225696841718867,0,0
2015-09-08,1.5146805330484385,0,3
2015-09-09,8.46247768470625,0,4
2015-09-10,11.778658402757813,0,2
2015-09-11,5.0799851394812485,0,0
2015-09-12,1.3111371041968742,0,1
2015-09-13,-0.23635056128593734,0,1
2015-09-14,-0.8951492842656238,0,8
2015-09-15,4.356732079448439,4,9
2015-09-16,5.998210342682814,0,3
2015-09-17,-1.3332774109624996,0,3
2015-09-18,2.2092635967234378,0,2
2015-09-19,6.174581124673438,0,1
2015-09-20,-1.1588118530484373,0,0
2015-09-21,6.386107816876563,0,9
2015-09-22,8.882511078714062,0,9
2015-09-23,5.366514811171875,0,1
2015-09-24,6.389224258710938,0,0
2015-09-25,0.27115535599843743,0,0
2015-09-26,0.8146969372031259,0,2
2015-09-27,1.9918861637828136,0,8
2015-09-28,2.006814783498439,0,4
2015-09-29,24.067691758890625,0,14
2015-09-30,5.868514428342186,0,3
2015-10-01,1.5292386885312492,0,2
2015-10-02,2.188312360623437,0,1
2015-10-03,0.4505863736812519,0,3
2015-10-04,3.808417292646877,0,0
2015-10-05,5.660465204631251,0,3
2015-10-06,-1.5788190154046866,0,1
2015-10-07,6.019812300751564,0,0
2015-10-08,0.5718450344609383,0,0
2015-10-09,13.075217015114063,0,3
2015-10-10,1.0378166327937492,0,2
2015-10-11,0.6680278950750003,0,0
2015-10-12,21.9695626061,0,9
2015-10-13,-1.9981150412890631,0,2
2015-10-14,3.357606133498438,0,2
2015-10-15,0.4363909913906252,0,6
2015-10-16,3.7663026212171897,0,1
2015-10-17,3.6657930489593764,0,3
2015-10-18,2.627368195450001,0,1
2015-10-19,6.797941040110938,0,3
2015-10-20,1.4281813368187504,0,1
2015-10-21,-0.24243067759218673,0,3
2015-10-22,-0.7704716226140619,0,5
2015-10-23,0.4573235675390638,0,6
2015-10-24,-0.49217730139999893,0,2
2015-10-25,0.6464805372421883,0,6
2015-10-26,1.6468801277578131,0,1
2015-10-27,-0.4222475155187497,0,0
