,strapi/strapi,decaporg/decap-cms,TryGhost/Ghost
2016-04-25,0.0,0,2
2016-04-26,2.0,0,16
2016-04-27,-0.7999999999999998,0,1
2016-04-28,-0.24,0,19
2016-04-29,-0.128,0,1
2016-04-30,-0.0832000000000001,0,0
2016-05-01,-0.059904000000000034,0,0
2016-05-02,-0.04592640000000001,0,1
2016-05-03,0.96325888,0,4
2016-05-04,-0.4303114239999999,0,1
2016-05-05,-0.1455963136,0,6
2016-05-06,-0.064,0,1
2016-05-07,-0.04160000000000005,0,6
2016-05-08,-0.029952000000000017,0,17
2016-05-09,-0.022963200000000007,0,4
2016-05-10,-0.018370559999999994,0,0
2016-05-11,-0.015155711999999993,0,34
2016-05-12,-0.012798156799999997,0,13
2016-05-13,0.0,0,11
2016-05-14,2.0,0,3
2016-05-15,-0.7999999999999998,0,2
2016-05-16,-0.24,0,9
2016-05-17,-0.128,0,9
2016-05-18,-0.0832000000000001,0,10
2016-05-19,-0.059904000000000034,0,8
2016-05-20,-0.04592640000000001,0,23
2016-05-21,-0.03674111999999999,0,4
2016-05-22,-0.030311423999999986,0,9
2016-05-23,-0.025596313599999993,0,10
2016-05-24,0.0,0,8
2016-05-25,0.0,0,5
2016-05-26,5.0,0,0
2016-05-27,-1.9999999999999996,0,8
2016-05-28,-0.6,0,3
2016-05-29,-0.32,0,2
2016-05-30,-0.20800000000000024,1,6
2016-05-31,-0.1497600000000001,2,2
2016-06-01,-0.11481600000000003,0,9
2016-06-02,-0.09185279999999997,0,9
2016-06-03,-0.07577855999999997,0,12
2016-06-04,-0.06399078399999998,0,7
2016-06-05,0.0,2,1
2016-06-06,0.0,8,7
2016-06-07,0.0,4,6
2016-06-08,0.0,4,8
2016-06-09,0.0,0,27
2016-06-10,0.0,3,25
2016-06-11,0.0,0,12
2016-06-12,0.0,0,0
2016-06-13,0.0,0,16
2016-06-14,0.0,0,14
2016-06-15,0.0,0,15
2016-06-16,0.0,4,6
2016-06-17,0.0,4,6
2016-06-18,0.0,6,12
2016-06-19,0.0,0,1
2016-06-20,0.0,0,6
2016-06-21,0.0,0,10
2016-06-22,0.0,3,3
2016-06-23,0.0,0,6
2016-06-24,0.0,0,0
2016-06-25,0.0,0,0
