,microsoft/vscode,neovim/neovim,pulsar-edit/pulsar
2016-01-13,46,10,26
2016-01-14,40,14,22
2016-01-15,32,17,25
2016-01-16,0,7,2
2016-01-17,2,10,3
2016-01-18,75,16,1
2016-01-19,40,4,17
2016-01-20,42,10,4
2016-01-21,55,13,2
2016-01-22,34,8,3
2016-01-23,16,6,3
2016-01-24,4,10,1
2016-01-25,90,11,11
2016-01-26,16,3,11
2016-01-27,50,12,18
2016-01-28,59,18,10
2016-01-29,18,9,2
2016-01-30,3,9,1
2016-01-31,1,25,0
2016-02-01,41,28,25
2016-02-02,33,14,20
2016-02-03,42,10,2
2016-02-04,54,5,18
2016-02-05,47,8,15
2016-02-06,2,5,1
2016-02-07,2,9,0
2016-02-08,33,1,23
2016-02-09,54,35,15
2016-02-10,19,13,20
2016-02-11,25,17,13
2016-02-12,54,2,55
2016-02-13,4,5,4
2016-02-14,7,9,1
2016-02-15,17,27,3
2016-02-16,34,11,25
2016-02-17,30,14,31
2016-02-18,50,2,28
2016-02-19,79,8,9
2016-02-20,6,6,0
2016-02-21,15,18,4
2016-02-22,54,21,14
2016-02-23,34,18,6
2016-02-24,41,5,3
2016-02-25,48,9,23
2016-02-26,23,2,13
2016-02-27,0,8,0
2016-02-28,7,13,16
2016-02-29,33,10,13
2016-03-01,50,6,79
2016-03-02,20,20,6
2016-03-03,56,2,8
2016-03-04,46,7,20
2016-03-05,4,15,3
2016-03-06,2,0,2
2016-03-07,37,7,12
2016-03-08,53,3,9
2016-03-09,30,7,7
2016-03-10,35,3,21
2016-03-11,68,7,11
2016-03-12,4,0,5
2016-03-13,12,1,5
2016-03-14,21,0,14
2016-03-15,64,3,14
2016-03-16,56,1,4
2016-03-17,45,5,15
2016-03-18,37,4,21
2016-03-19,3,0,4
2016-03-20,1,0,1
2016-03-21,3,2,8
2016-03-22,14,0,12
2016-03-23,25,0,14
2016-03-24,55,1,6
2016-03-25,7,0,27
2016-03-26,0,0,2
2016-03-27,5,0,0
2016-03-28,1,1,21
2016-03-29,29,4,11
2016-03-30,38,5,26
2016-03-31,61,3,18
2016-04-01,34,5,11
2016-04-02,1,2,9
2016-04-03,3,1,1
2016-04-04,35,2,5
2016-04-05,36,0,26
2016-04-06,30,2,13
2016-04-07,47,1,19
2016-04-08,42,6,13
2016-04-09,1,2,8
2016-04-10,1,4,3
2016-04-11,41,6,15
2016-04-12,20,7,9
2016-04-13,44,5,7
2016-04-14,36,1,15
2016-04-15,19,14,18
2016-04-16,7,2,5
2016-04-17,2,100,1
2016-04-18,45,20,13
2016-04-19,65,13,5
2016-04-20,45,12,13
2016-04-21,92,5,11
2016-04-22,36,5,10
2016-04-23,10,3,1
2016-04-24,26,5,4
2016-04-25,50,21,29
2016-04-26,10,2,39
2016-04-27,28,11,16
2016-04-28,29,14,19
2016-04-29,35,12,15
2016-04-30,17,4,4
2016-05-01,2,6,5
2016-05-02,51,3,9
2016-05-03,29,9,11
2016-05-04,63,2,14
2016-05-05,3,4,7
2016-05-06,49,18,5
2016-05-07,0,7,4
2016-05-08,1,5,0
2016-05-09,15,1,0
2016-05-10,45,20,4
2016-05-11,47,2,3
2016-05-12,40,5,4
2016-05-13,51,0,4
2016-05-14,6,13,1
2016-05-15,4,16,2
2016-05-16,26,5,12
2016-05-17,40,27,12
2016-05-18,58,2,7
2016-05-19,61,12,10
2016-05-20,60,20,4
2016-05-21,17,8,2
2016-05-22,17,9,1
2016-05-23,58,11,21
2016-05-24,19,2,19
2016-05-25,53,13,22
2016-05-26,50,3,13
2016-05-27,37,6,5
2016-05-28,2,15,0
2016-05-29,0,5,0
2016-05-30,40,14,6
2016-05-31,33,6,0
2016-06-01,57,11,6
2016-06-02,86,6,2
2016-06-03,54,4,6
2016-06-04,5,5,2
2016-06-05,4,9,1
2016-06-06,50,7,5
2016-06-07,51,17,3
2016-06-08,51,3,11
2016-06-09,52,11,6
2016-06-10,29,15,6
2016-06-11,15,4,4
2016-06-12,7,1,0
2016-06-13,43,3,9
2016-06-14,85,1,16
2016-06-15,77,12,10
2016-06-16,71,6,3
2016-06-17,43,3,5
2016-06-18,1,7,7
2016-06-19,9,0,1
2016-06-20,47,5,5
2016-06-21,47,1,3
2016-06-22,42,0,3
2016-06-23,57,18,2
2016-06-24,69,15,3
2016-06-25,14,6,14
2016-06-26,19,4,0
2016-06-27,63,1,1
2016-06-28,19,3,6
2016-06-29,57,2,7
2016-06-30,51,1,10
2016-07-01,24,6,0
2016-07-02,10,1,18
2016-07-03,1,12,1
2016-07-04,30,0,4
2016-07-05,42,1,2
2016-07-06,52,3,8
2016-07-07,62,0,1
2016-07-08,38,38,6
2016-07-09,1,11,4
2016-07-10,5,4,0
2016-07-11,35,0,10
2016-07-12,47,5,16
2016-07-13,50,9,11
2016-07-14,49,0,11
2016-07-15,37,2,3
2016-07-16,8,2,3
2016-07-17,0,3,1
2016-07-18,20,4,4
2016-07-19,23,2,7
2016-07-20,33,3,10
2016-07-21,35,0,20
2016-07-22,29,0,15
2016-07-23,0,0,0
2016-07-24,1,7,2
