,python/cpython,ruby/ruby,php/php-src
2016-01-05,1,7,20.0
2016-01-06,15,2,20.0
2016-01-07,13,12,20.9
2016-01-08,8,14,5.039999999999997
2016-01-09,8,16,1.9797499999999992
2016-01-10,5,8,-0.3659099999999986
2016-01-11,32,4,29.204791250000003
2016-01-12,9,17,24.5832973
2016-01-13,2,9,3.648320872187499
2016-01-14,11,8,16.0264044904375
2016-01-15,14,11,19.515661403084376
2016-01-16,27,9,-5.024811534253123
2016-01-17,5,13,6.14301073209844
2016-01-18,14,8,28.070965415039066
2016-01-19,15,17,7.923174287693752
2016-01-20,16,5,10.760768977682813
2016-01-21,16,7,11.978093734317188
2016-01-22,23,15,3.0357071068640646
2016-01-23,4,13,-1.1318064255937474
2016-01-24,3,8,6.800106635387503
2016-01-25,3,8,11.637023186609378
2016-01-26,6,8,7.021638884942189
2016-01-27,6,12,2.1976076084328136
2016-01-28,22,2,12.91046099429844
2016-01-29,4,14,77.17261855496093
2016-01-30,15,3,0.40823516331562004
2016-01-31,5,7,3.345979964967186
2016-02-01,6,9,9.589634355287501
2016-02-02,8,12,39.62895566995782
2016-02-03,4,4,8.751369265590627
2016-02-04,8,13,17.3226734658125
2016-02-05,2,6,7.087039467085939
2016-02-06,5,12,-3.046627404289058
2016-02-07,5,12,0.46806022571875516
2016-02-08,19,10,7.501850860000005
2016-02-09,3,17,8.215441359957817
2016-02-10,14,8,5.066342114309377
2016-02-11,9,2,9.356212803918751
2016-02-12,0,5,0.3304130838156256
2016-02-13,5,6,11.151147879970313
2016-02-14,3,5,13.576099131001563
2016-02-15,5,14,56.04182594286563
2016-02-16,2,7,5.397506200949995
2016-02-17,0,16,3.8361035614687484
2016-02-18,9,5,41.95183797547969
2016-02-19,8,9,-5.238853327724998
2016-02-20,4,5,-2.2303021707281214
2016-02-21,11,5,-1.100122754310934
2016-02-22,10,11,19.46956191753282
2016-02-23,3,6,1.9087162277531284
2016-02-24,14,7,28.954225289926566
2016-02-25,9,9,-2.902492452607814
2016-02-26,13,8,2.1379480109578144
2016-02-27,4,7,-0.4345387601843731
2016-02-28,7,9,7.412413501396879
2016-02-29,1,8,33.95147127639687
2016-03-01,13,5,21.087406831084373
2016-03-02,22,5,33.77808431111562
2016-03-03,0,7,14.241227413284372
2016-03-04,6,12,-2.8545931634312494
2016-03-05,1,3,-3.6792127751499972
2016-03-06,15,5,-0.5931796049609317
2016-03-07,8,14,2.807536337787506
2016-03-08,22,12,0.7877572186140669
2016-03-09,4,20,19.109458504050004
2016-03-10,1,9,24.71718696770625
2016-03-11,10,7,13.472183089020312
2016-03-12,9,3,-4.032476117301565
2016-03-13,8,5,5.796543237392188
2016-03-14,21,10,4.655907105218752
2016-03-15,15,16,17.742483378600003
2016-03-16,9,15,10.494695327023438
2016-03-17,13,30,58.561529149064064
2016-03-18,17,20,7.682453299807809
2016-03-19,13,12,-5.827760855287501
2016-03-20,10,8,11.569326996853126
2016-03-21,10,15,24.119847872125007
2016-03-22,28,8,3.654850388603128
2016-03-23,36,8,2.9331172494359397
2016-03-24,19,17,1.5867276995625033
2016-03-25,26,8,10.21988026752813
2016-03-26,4,6,5.767016447021878
2016-03-27,14,7,2.4134883156750018
2016-03-28,3,11,1.9357639472656265
2016-03-29,11,13,38.183430843773436
2016-03-30,13,8,18.817271125603124
2016-03-31,11,17,8.068494242317186
2016-04-01,10,4,1.9474565534203112
2016-04-02,4,5,-3.0920026606328097
2016-04-03,8,1,10.915513568642192
2016-04-04,1,10,21.17929897709844
2016-04-05,8,6,14.841603585257815
2016-04-06,9,9,26.699116696731252
2016-04-07,0,9,12.303603759937499
2016-04-08,10,5,21.165559542434377
2016-04-09,14,6,7.589409376439063
2016-04-10,12,8,1.5597447835343772
2016-04-11,19,12,9.561740733296878
2016-04-12,12,5,18.274546288407816
2016-04-13,10,14,-1.6078392169093725
2016-04-14,12,16,13.007912490832815
2016-04-15,24,22,6.38055067210469
2016-04-16,21,6,19.907261639696877
2016-04-17,9,2,-4.2029825751375
2016-04-18,12,13,20.700672462689063
2016-04-19,23,6,3.12167846058125
2016-04-20,8,6,16.065033741939065
2016-04-21,1,10,10.2362157901625
2016-04-22,2,17,-2.5216903158578114
2016-04-23,15,19,5.727957465518752
2016-04-24,24,15,4.6438092377812525
2016-04-25,13,9,3.7755440404234406
2016-04-26,13,13,5.062897689390627
