,ansible/ansible,cfengine/core,saltstack/salt
2012-02-05,4,0,12.0
2012-02-06,0,1,13.200000000000001
2012-02-07,0,8,-1.6399999999999988
2012-02-08,0,6,21.272
2012-02-09,0,1,-2.291199999999998
2012-02-10,0,3,5.803776000000001
2012-02-11,0,4,-5.153894399999999
2012-02-12,0,0,13.529351680000001
2012-02-13,0,5,-7.499585023999998
2012-02-14,0,21,14.5515469824
2012-02-15,0,0,1.097662873600001
2012-02-16,0,13,-5.0030754816
2012-02-17,0,9,7.4279225344
2012-02-18,0,0,-2.9446402048000007
2012-02-19,0,1,-0.2968069120000001
2012-02-20,0,11,15.463809536
2012-02-21,0,19,0.762950656000001
2012-02-22,0,1,8.903976140800001
2012-02-23,13,14,-3.292435148799999
2012-02-24,41,4,-5.8184336384
2012-02-25,22,8,22.435634688
2012-02-26,5,0,2.477216972800001
2012-02-27,29,16,6.531000627200001
2012-02-28,54,17,9.800340787200001
2012-02-29,10,9,6.867890483200002
2012-03-01,0,6,9.7144244224
2012-03-02,9,10,12.235607961600001
2012-03-03,26,0,3.1255510016000017
2012-03-04,0,4,16.0293889024
2012-03-05,17,2,-3.1632941055999986
2012-03-06,17,8,27.7683991552
2012-03-07,11,14,-8.500947046399997
2012-03-08,7,9,2.7081155583999994
2012-03-09,22,1,6.433234739200001
2012-03-10,21,4,-5.254103859200001
2012-03-11,12,0,-0.8643866623999994
2012-03-12,14,9,-0.4510931967999987
2012-03-13,14,7,7.6671785984
2012-03-14,20,4,12.5799619584
2012-03-15,8,5,6.285884825600002
2012-03-16,14,9,35.7370514432
2012-03-17,2,0,34.9060179968
2012-03-18,20,6,6.868435558400002
2012-03-19,3,16,42.605979443200006
2012-03-20,8,2,8.511254835200006
2012-03-21,8,16,-11.607949312000002
2012-03-22,18,1,-15.255919513600006
2012-03-23,5,3,-6.7679409152000005
2012-03-24,14,1,-10.6451862528
2012-03-25,2,2,-1.1325496320000017
2012-03-26,9,4,-7.8633120768
2012-03-27,30,1,7.9683843072
2012-03-28,15,12,17.6970159104
2012-03-29,9,3,8.424320000000002
2012-03-30,6,3,-10.469363711999996
2012-03-31,41,0,5.6820524032
2012-04-01,6,0,0.8928079871999994
2012-04-02,16,8,-0.1273239552000014
2012-04-03,14,6,38.8900149248
2012-04-04,20,6,7.077456998400002
2012-04-05,10,5,0.4598699008000011
2012-04-06,6,6,-1.1224554495999968
2012-04-07,2,2,-1.2326457344000001
2012-04-08,0,0,-4.079820083200001
2012-04-09,1,3,4.578187161599999
2012-04-10,9,16,7.208754175999999
2012-04-11,8,3,2.451961753600001
2012-04-12,14,5,-8.862714060799998
2012-04-13,26,2,2.4561584128
2012-04-14,10,0,-1.2970639359999998
2012-04-15,1,0,-4.980540416
2012-04-16,8,5,8.4966124544
2012-04-17,39,13,3.966900326400001
2012-04-18,20,4,23.5052466176
2012-04-19,42,4,4.296044646400004
2012-04-20,6,0,29.231133900800003
2012-04-21,15,1,-0.9841668095999978
2012-04-22,13,1,-9.6342790144
2012-04-23,7,1,3.8073410560000003
2012-04-24,34,3,6.860397568
2012-04-25,8,20,30.260661555200002
2012-04-26,22,2,-0.07233996799999431
