,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-09-05,5.0,2,1
2019-09-06,-4.440892098500626e-16,7,1
2019-09-07,2.5999999999999996,0,1
2019-09-08,0.3599999999999999,0,0
2019-09-09,-1.3360000000000003,3,0
2019-09-10,1.82496,1,0
2019-09-11,1.8156799999999995,0,0
2019-09-12,-0.9555328000000003,3,1
2019-09-13,1.04315392,0,0
2019-09-14,0.5747246079999995,0,0
2019-09-15,2.5301878783999996,0,0
2019-09-16,-0.695783424,0,1
2019-09-17,-0.7371107328000002,0,0
2019-09-18,-3.0150503424000004,5,0
2019-09-19,0.9315008512,4,0
2019-09-20,-0.8317419520000002,4,0
2019-09-21,1.7487074303999999,7,1
2019-09-22,0.6795128831999997,6,0
2019-09-23,3.5187822591999995,0,0
2019-09-24,-0.33844613120000044,4,0
2019-09-25,0.4898122751999998,3,0
2019-09-26,1.5465437183999997,2,0
2019-09-27,-1.0580157440000004,0,0
2019-09-28,-2.0118744064,0,2
2019-09-29,-0.6446226432,0,1
2019-09-30,0.6515073023999998,0,0
2019-10-01,1.2026891263999997,1,0
2019-10-02,1.5740044287999995,0,0
2019-10-03,3.8812895231999995,0,1
2019-10-04,-3.079289548800001,0,0
2019-10-05,-1.5137080320000003,0,0
2019-10-06,-0.5172263935999999,0,1
2019-10-07,3.7464491008,2,0
2019-10-08,5.4618841088,1,0
2019-10-09,-4.3523093504000006,0,0
2019-10-10,0.19269591039999945,2,0
2019-10-11,2.1161551871999995,0,2
2019-10-12,-2.9985158144,0,0
2019-10-13,1.2351220736,0,0
2019-10-14,6.419237580799999,1,0
2019-10-15,-4.2625871872,1,0
2019-10-16,1.1924700159999997,0,0
2019-10-17,0.5126003711999996,2,0
2019-10-18,-0.4923515904000002,0,0
2019-10-19,-1.9172310016000003,0,0
2019-10-20,1.393480192,0,2
2019-10-21,3.4968455167999997,0,0
2019-10-22,-1.4196330496000007,0,0
2019-10-23,2.9939341311999996,0,0
2019-10-24,-2.579980902400001,0,0
2019-10-25,6.5109548032,4,0
2019-10-26,-0.3421083648000005,0,0
2019-10-27,-3.2372980736000008,0,0
2019-10-28,1.2043706367999998,5,0
2019-10-29,-0.5509518336000001,6,0
2019-10-30,1.0076715008,1,2
2019-10-31,-0.45248399360000047,5,0
2019-11-01,4.0833507328,0,1
2019-11-02,-4.1973223424000015,0,1
2019-11-03,-1.0423763968,0,0
2019-11-04,3.5221475328,0,0
2019-11-05,2.3560933375999995,0,0
2019-11-06,-2.616532684800001,0,0
2019-11-07,-0.47937832960000026,5,1
2019-11-08,4.8608893952,2,0
2019-11-09,-4.995409305600001,0,0
2019-11-10,1.6771557376,0,0
2019-11-11,1.5111031807999997,0,0
2019-11-12,-0.21216286720000044,5,0
2019-11-13,0.2281502719999997,2,0
2019-11-14,6.3003696128,2,0
2019-11-15,-0.25910691840000055,2,0
2019-11-16,-0.17984419840000054,0,0
2019-11-17,-4.558655590400001,0,0
2019-11-18,3.5600675840000005,5,0
2019-11-19,-1.8431415296000004,0,1
2019-11-20,2.6403095552,0,1
2019-11-21,10.0923725824,16,0
2019-11-22,-3.5598980096000012,9,1
2019-11-23,-1.9446279168,0,0
2019-11-24,0.6958138367999993,0,1
