,apache/airflow,PrefectHQ/prefect,orchest/orchest
2021-07-12,10,1,12.0
2021-07-13,7,0,5.6000000000000005
2021-07-14,13,26,0.4399999999999995
2021-07-15,14,33,7.183999999999999
2021-07-16,4,31,15.1728
2021-07-17,3,27,-4.039232
2021-07-18,4,2,-2.622233600000002
2021-07-19,17,18,9.31044096
2021-07-20,10,33,4.548023296000001
2021-07-21,13,46,0.5273787392
2021-07-22,13,49,-2.6565128192000005
2021-07-23,6,31,5.4343927808
2021-07-24,1,23,-2.5298256895999987
2021-07-25,8,3,-1.3622408192000002
2021-07-26,17,28,8.199762329599999
2021-07-27,9,47,1.5894062080000007
2021-07-28,14,43,8.9812765696
2021-07-29,10,27,0.7476927488000005
2021-07-30,7,5,11.6572355584
2021-07-31,6,0,-4.112937984
2021-08-01,10,0,-2.054888652800001
2021-08-02,12,15,10.678648319999999
2021-08-03,6,7,7.605542912000001
2021-08-04,12,18,4.0448118784
2021-08-05,5,33,5.3821476864
2021-08-06,6,2,2.1971122176
2021-08-07,7,12,-3.2313373696
2021-08-08,6,5,-1.8814125056000006
2021-08-09,8,35,1.7774745599999993
2021-08-10,12,33,-0.5537008639999996
2021-08-11,8,27,2.7796140032000007
2021-08-12,11,20,2.4488221696000005
2021-08-13,14,26,27.4003954688
2021-08-14,4,4,-6.620758425599998
2021-08-15,6,6,-2.8080385024000023
2021-08-16,6,24,-0.6997529600000012
2021-08-17,9,25,10.581650944
2021-08-18,16,19,-3.4217618431999997
2021-08-19,26,9,8.2618377216
2021-08-20,12,27,-1.2079031296
2021-08-21,4,8,-2.095857049599999
2021-08-22,2,1,-1.3284719615999996
2021-08-23,16,8,9.30592768
2021-08-24,13,13,12.459931648000001
2021-08-25,5,24,7.759518105600001
2021-08-26,3,15,9.5602429952
2021-08-27,12,31,2.0062694399999996
2021-08-28,3,6,-4.008828928000001
2021-08-29,0,36,-2.2474667008000013
2021-08-30,15,30,2.4114687999999993
2021-08-31,14,8,-2.03562752
2021-09-01,15,28,-1.3283850239999992
2021-09-02,7,17,7.068331520000001
2021-09-03,18,22,38.796052787200004
2021-09-04,2,0,-9.217428889599997
2021-09-05,2,6,-1.8330006528000031
2021-09-06,6,9,8.295493119999998
2021-09-07,9,28,-2.9994388479999996
2021-09-08,10,27,-1.436283801600001
2021-09-09,23,53,8.151805439999999
2021-09-10,16,32,11.642230784
2021-09-11,13,48,-3.893004595199997
2021-09-12,15,14,0.29105039359999996
2021-09-13,9,74,7.003065855999999
2021-09-14,8,70,10.9320809472
2021-09-15,16,38,0.5465947136000002
2021-09-16,13,40,12.8191077376
2021-09-17,7,41,12.9183159296
2021-09-18,17,26,5.761053696
2021-09-19,9,25,-5.569571328000001
2021-09-20,9,77,0.016743833599998315
2021-09-21,13,108,-1.6953915392
2021-09-22,16,104,-2.0279945215999993
2021-09-23,15,85,2.5845126144
2021-09-24,13,148,14.208823296
2021-09-25,6,30,-2.291817062399998
2021-09-26,6,18,-0.3559232511999997
2021-09-27,9,65,5.3167588352
2021-09-28,18,107,-2.3558338560000003
2021-09-29,19,132,3.734713036799999
2021-09-30,21,137,3.1386909696
2021-10-01,8,198,-2.055507968
2021-10-02,0,51,-1.1735438335999997
2021-10-03,6,45,-0.8131400703999997
2021-10-04,2,139,-0.46788116479999997
2021-10-05,25,160,-0.3554766847999996
2021-10-06,11,19,1.7259369472000001
2021-10-07,21,16,1.4434278400000005
2021-10-08,15,11,4.305714688
2021-10-09,10,0,-1.3183467519999998
2021-10-10,6,0,-0.5632000000000005
2021-10-11,14,7,8.641728
2021-10-12,17,2,8.9400704
2021-10-13,16,3,1.8776089599999999
2021-10-14,14,13,2.523227135999999
2021-10-15,10,6,-2.3687477248000004
2021-10-16,3,0,-1.3363012608000004
2021-10-17,3,0,1.0648980479999997
2021-10-18,1,0,6.92726272
2021-10-19,11,7,-1.3055073279999996
2021-10-20,11,6,-1.3932665855999997
2021-10-21,11,0,0.17506498560000028
2021-10-22,11,3,-0.7021573119999996
2021-10-23,5,7,-0.42109235200000006
2021-10-24,3,0,-0.27081984000000014
2021-10-25,6,2,1.781782016
2021-10-26,9,0,7.417496883200001
2021-10-27,8,19,21.1054286848
2021-10-28,10,12,7.634603929600001
2021-10-29,17,25,-1.9055877120000018
2021-10-30,9,1,-3.0763413504000017
2021-10-31,1,0,-1.8819456000000012
2021-11-01,9,9,-1.3654118400000006
2021-11-02,5,15,3.933180416
2021-11-03,13,12,3.1284626432000007
2021-11-04,7,50,11.8879940608
2021-11-05,11,26,2.0353845248000013
2021-11-06,0,1,-1.9332646912000002
2021-11-07,11,0,-1.6850880512000008
2021-11-08,15,38,6.931775999999999
2021-11-09,6,26,1.6061183999999997
2021-11-10,8,30,6.930608639999999
2021-11-11,7,23,-1.023368192
2021-11-12,9,22,-0.9665638399999998
2021-11-13,2,2,-1.4085118975999997
2021-11-14,7,0,-0.8331782144000002
2021-11-15,12,24,1.4253776895999999
2021-11-16,11,27,0.14866022400000034
2021-11-17,13,9,0.26396026880000034
2021-11-18,14,9,0.39035095040000056
2021-11-19,8,28,-0.5531262975999997
2021-11-20,3,0,-0.2519984128
2021-11-21,2,0,-0.16046295040000005
2021-11-22,6,11,-0.11341824000000006
2021-11-23,14,7,7.908333056
2021-11-24,16,2,7.323318067200001
2021-11-25,7,0,5.5162162176
2021-11-26,9,0,5.2691429376
2021-11-27,4,0,1.0467306495999993
2021-11-28,2,1,-0.3306880000000012
2021-11-29,16,24,4.233945599999999
2021-11-30,12,23,14.65563904
2021-12-01,10,5,6.254439424
2021-12-02,9,1,-4.5454323712
2021-12-03,11,19,-0.3931268096000009
2021-12-04,5,0,-1.9758369792
2021-12-05,14,0,-1.2774438912000001
2021-12-06,12,62,13.0956012544
2021-12-07,18,31,10.509063987200001
2021-12-08,21,39,0.5233268736000003
2021-12-09,11,58,6.7968986112
2021-12-10,8,19,1.2865837056
2021-12-11,6,5,-0.8966794240000011
2021-12-12,3,0,-0.11644590080000095
2021-12-13,33,21,9.21334272
2021-12-14,17,16,8.580093952000002
2021-12-15,25,7,8.7641995264
2021-12-16,22,24,20.2758073344
2021-12-17,11,44,22.631612928
2021-12-18,10,0,-9.579439104
2021-12-19,9,0,-2.692924416000003
2021-12-20,10,17,12.502978355199998
2021-12-21,19,28,14.3417014272
2021-12-22,12,30,8.8173372416
2021-12-23,3,33,47.9920955392
2021-12-24,3,0,-2.8582679551999988
2021-12-25,0,0,-9.432798720000001
2021-12-26,2,0,-5.383114752000003
2021-12-27,6,2,0.45924505599999854
2021-12-28,14,20,17.4717827072
2021-12-29,18,42,-0.7081073663999984
2021-12-30,25,43,-3.7277056
2021-12-31,12,0,3.983645593600002
2022-01-01,3,0,-3.4342108159999976
2022-01-02,6,0,-1.5772034048000005
2022-01-03,8,14,-0.019527680000000602
2022-01-04,9,40,9.003679232
2022-01-05,15,25,13.267239526400001
2022-01-06,31,45,6.443889049600001
