,square/okhttp,apache/httpcomponents-client,jetty/jetty.project
2015-05-25,3,0,0.0
2015-05-26,0,1,6.0
2015-05-27,0,1,-1.1999999999999997
2015-05-28,0,1,5.52
2015-05-29,0,1,5.5120000000000005
2015-05-30,0,4,-2.0816
2015-05-31,0,0,-1.0012160000000008
2015-06-01,0,0,-0.6601728000000004
2015-06-02,0,0,-0.48997632000000024
2015-06-03,0,0,2.6123489280000003
2015-06-04,1,1,2.0806219776000003
2015-06-05,1,1,0.9551866880000002
2015-06-06,0,0,-0.9595300863999996
2015-06-07,0,0,-0.49208545280000004
2015-06-08,0,1,0.7265919999999999
2015-06-09,0,0,4.5949056
2015-06-10,0,0,8.75686144
2015-06-11,0,0,12.417199104
2015-06-12,2,0,5.8119753728
2015-06-13,0,1,-3.939719475200001
2015-06-14,0,0,-2.0290475008000013
2015-06-15,0,0,6.641569279999999
2015-06-16,2,0,-2.622349312
2015-06-17,1,0,1.5445328895999992
2015-06-18,1,0,2.3515873280000004
2015-06-19,0,0,3.181423616000001
2015-06-20,2,2,-1.999205375999999
2015-06-21,9,2,-0.9809239040000003
2015-06-22,3,0,0.41357823999999965
2015-06-23,0,0,-0.6465320959999996
2015-06-24,0,1,3.5600698368
2015-06-25,0,0,2.9389859840000003
2015-06-26,0,0,1.6668075008
2015-06-27,2,3,-1.2593519615999997
2015-06-28,0,0,-0.6491755520000002
2015-06-29,2,0,3.6025292799999997
2015-06-30,0,0,2.900953088
2015-07-01,0,0,9.6415005696
2015-07-02,0,0,2.1014558720000007
2015-07-03,0,0,0.6353915903999994
2015-07-04,0,3,-1.8575845376000004
2015-07-05,0,0,-1.0708672512000006
2015-07-06,0,0,0.25768191999999956
2015-07-07,0,0,-0.7784545279999999
2015-07-08,0,0,7.4476258304
2015-07-09,0,0,2.997937766400001
2015-07-10,0,0,-0.9334815743999996
2015-07-11,0,0,-0.11504588800000026
2015-07-12,0,0,1.1533631487999998
2015-07-13,0,0,-0.9172147200000003
2015-07-14,0,0,2.4529018879999995
2015-07-15,0,0,1.9948368896
2015-07-16,0,0,2.8470999040000002
2015-07-17,0,0,5.5558791168
2015-07-18,0,0,-2.099318784
2015-07-19,0,0,-0.9901185024000007
2015-07-20,0,0,-0.6495391744000002
2015-07-21,2,0,-0.4743492608000001
2015-07-22,4,0,13.645589504
2015-07-23,0,4,17.9087203328
2015-07-24,2,1,-3.5334459392
2015-07-25,0,0,-2.9025913856000014
2015-07-26,0,0,-1.7256854528000007
