,gogs/gogs,gitbucket/gitbucket,gitlabhq/gitlabhq
2018-02-12,0,4,67
2018-02-13,0,0,88
2018-02-14,0,0,60
2018-02-15,0,1,67
2018-02-16,0,0,85
2018-02-17,0,0,5
2018-02-18,0,0,4
2018-02-19,0,0,42
2018-02-20,0,0,98
2018-02-21,0,0,99
2018-02-22,0,2,74
2018-02-23,0,4,98
2018-02-24,0,0,7
2018-02-25,0,0,5
2018-02-26,0,1,70
2018-02-27,0,3,72
2018-02-28,0,0,147
2018-03-01,0,0,124
2018-03-02,1,3,52
2018-03-03,0,0,23
2018-03-04,0,0,5
2018-03-05,1,0,108
2018-03-06,15,1,154
2018-03-07,1,0,118
2018-03-08,6,1,60
2018-03-09,5,3,46
2018-03-10,0,1,1
2018-03-11,0,4,5
2018-03-12,3,7,72
2018-03-13,0,0,51
2018-03-14,1,0,59
2018-03-15,0,0,46
2018-03-16,0,0,66
2018-03-17,0,1,10
2018-03-18,0,1,7
2018-03-19,0,2,56
2018-03-20,2,4,48
2018-03-21,3,8,76
2018-03-22,0,0,89
2018-03-23,0,0,64
2018-03-24,0,0,1
2018-03-25,0,1,2
2018-03-26,0,4,82
2018-03-27,0,3,70
2018-03-28,0,0,169
2018-03-29,3,2,81
2018-03-30,5,6,53
2018-03-31,3,3,0
2018-04-01,0,10,4
2018-04-02,1,1,43
2018-04-03,0,0,66
2018-04-04,0,0,69
2018-04-05,2,0,151
2018-04-06,0,0,104
2018-04-07,0,1,32
2018-04-08,0,1,13
2018-04-09,3,4,72
2018-04-10,0,0,70
2018-04-11,2,0,72
2018-04-12,3,0,61
2018-04-13,0,3,68
2018-04-14,0,1,7
2018-04-15,0,9,2
2018-04-16,3,5,93
2018-04-17,2,5,89
2018-04-18,2,2,107
2018-04-19,1,12,92
2018-04-20,0,1,72
2018-04-21,2,0,0
2018-04-22,0,4,4
2018-04-23,0,0,155
2018-04-24,2,5,104
2018-04-25,2,3,58
2018-04-26,5,5,47
2018-04-27,0,9,44
2018-04-28,0,7,5
2018-04-29,0,14,5
2018-04-30,0,5,73
2018-05-01,0,0,63
2018-05-02,0,3,88
2018-05-03,1,1,104
2018-05-04,0,1,89
2018-05-05,0,1,3
2018-05-06,0,0,21
2018-05-07,0,0,143
2018-05-08,2,0,74
2018-05-09,0,2,87
2018-05-10,1,1,49
2018-05-11,0,1,74
2018-05-12,0,10,4
2018-05-13,1,0,4
2018-05-14,0,0,76
2018-05-15,0,1,65
2018-05-16,0,0,63
2018-05-17,0,1,75
2018-05-18,0,1,69
2018-05-19,0,9,3
2018-05-20,0,0,0
2018-05-21,2,0,58
2018-05-22,0,4,74
2018-05-23,0,8,82
2018-05-24,0,10,84
2018-05-25,0,0,66
2018-05-26,1,3,5
2018-05-27,3,7,5
2018-05-28,2,11,96
2018-05-29,0,1,102
2018-05-30,2,1,89
2018-05-31,0,2,115
2018-06-01,0,0,98
2018-06-02,1,1,10
2018-06-03,3,2,12
2018-06-04,2,3,84
2018-06-05,0,6,171
2018-06-06,1,0,210
2018-06-07,0,2,142
2018-06-08,0,0,86
2018-06-09,8,0,2
2018-06-10,0,3,1
2018-06-11,5,6,87
2018-06-12,0,5,73
2018-06-13,3,6,111
2018-06-14,0,0,99
2018-06-15,1,0,96
2018-06-16,2,0,17
2018-06-17,4,0,4
2018-06-18,1,1,87
2018-06-19,0,7,79
2018-06-20,0,1,111
2018-06-21,0,0,76
2018-06-22,0,1,57
2018-06-23,0,2,1
2018-06-24,0,3,2
2018-06-25,2,3,125
2018-06-26,3,1,64
2018-06-27,1,1,98
2018-06-28,0,1,60
2018-06-29,0,6,70
2018-06-30,0,10,18
2018-07-01,0,3,11
2018-07-02,1,0,58
2018-07-03,0,0,83
2018-07-04,0,2,72
2018-07-05,0,1,89
2018-07-06,0,0,99
2018-07-07,0,0,17
2018-07-08,0,1,12
2018-07-09,2,4,87
2018-07-10,0,0,66
2018-07-11,0,0,91
2018-07-12,0,0,78
2018-07-13,0,0,40
2018-07-14,0,0,9
2018-07-15,1,5,6
2018-07-16,0,6,48
2018-07-17,0,0,83
2018-07-18,1,5,75
2018-07-19,0,3,48
2018-07-20,0,0,66
2018-07-21,0,1,3
2018-07-22,0,3,9
2018-07-23,0,8,62
2018-07-24,0,0,70
2018-07-25,0,1,68
2018-07-26,0,2,60
2018-07-27,0,0,70
2018-07-28,0,1,4
2018-07-29,0,6,10
2018-07-30,0,2,83
2018-07-31,0,0,79
2018-08-01,0,0,88
2018-08-02,0,0,71
2018-08-03,0,0,72
2018-08-04,0,2,0
2018-08-05,0,1,2
2018-08-06,1,0,43
2018-08-07,0,0,87
2018-08-08,0,0,39
2018-08-09,0,0,48
2018-08-10,0,0,69
2018-08-11,0,4,1
2018-08-12,0,0,6
2018-08-13,1,0,46
2018-08-14,1,0,47
2018-08-15,0,0,38
2018-08-16,3,0,72
2018-08-17,5,0,41
2018-08-18,0,0,4
2018-08-19,0,0,6
2018-08-20,0,0,45
2018-08-21,0,0,65
2018-08-22,0,0,34
2018-08-23,2,0,20
2018-08-24,0,0,20
2018-08-25,0,1,8
2018-08-26,0,0,15
2018-08-27,0,3,16
2018-08-28,0,0,47
2018-08-29,0,0,68
2018-08-30,0,0,31
2018-08-31,0,1,27
2018-09-01,0,3,7
2018-09-02,0,0,2
2018-09-03,0,2,49
2018-09-04,0,0,77
2018-09-05,0,0,86
2018-09-06,0,0,100
2018-09-07,1,0,147
2018-09-08,1,2,26
2018-09-09,0,2,8
