,angular/angular,facebook/react,emberjs/ember.js
2014-09-18,1.0,2,0
2014-09-19,4.5,4,5
2014-09-20,-2.625,0,8
2014-09-21,1.3125,1,7
2014-09-22,-0.3515625,12,4
2014-09-23,-0.97265625,2,1
2014-09-24,-0.4072265625,7,2
2014-09-25,6.74072265625,6,0
2014-09-26,4.312591552734375,4,8
2014-09-27,-2.0197296142578125,6,30
2014-09-28,-2.0447845458984375,0,4
2014-09-29,2.30926513671875,1,3
2014-09-30,1.148681640625,1,7
2014-10-01,0.9470977783203125,0,6
2014-10-02,3.85205078125,0,11
2014-10-03,3.284332275390625,2,5
2014-10-04,-4.6405792236328125,0,2
2014-10-05,-2.427825927734375,0,1
2014-10-06,3.7998809814453125,0,1
2014-10-07,7.7238311767578125,11,0
2014-10-08,-1.68682861328125,14,3
2014-10-09,2.41229248046875,6,8
2014-10-10,-5.292510986328125,8,4
2014-10-11,-0.9511260986328125,0,1
2014-10-12,12.363494873046875,2,3
2014-10-13,-7.8522186279296875,4,6
2014-10-14,-1.349151611328125,4,8
2014-10-15,-1.8367462158203125,12,10
2014-10-16,0.0025177001953125,9,5
2014-10-17,-1.1120147705078125,4,14
2014-10-18,1.4563446044921875,1,3
2014-10-19,-1.328521728515625,1,11
2014-10-20,-0.5037689208984375,6,7
2014-10-21,-0.321197509765625,5,7
2014-10-22,-0.111724853515625,7,4
2014-10-23,-0.0817108154296875,15,17
2014-10-24,-0.054107666015625,6,1
2014-10-25,-0.0431365966796875,0,11
2014-10-26,-0.02618408203125,2,7
2014-10-27,6.978179931640625,7,16
2014-10-28,4.5,30,14
2014-10-29,2.125,5,9
2014-10-30,-1.9375,9,8
2014-10-31,-2.1484375,5,2
2014-11-01,-1.81640625,1,12
2014-11-02,-0.9482421875,0,10
2014-11-03,-0.64794921875,2,6
2014-11-04,5.514801025390625,7,7
2014-11-05,6.6172332763671875,5,11
2014-11-06,3.002227783203125,10,11
2014-11-07,-3.2567596435546875,5,1
2014-11-08,-1.5301971435546875,5,7
2014-11-09,-2.5030975341796875,0,10
2014-11-10,-0.185546875,0,9
2014-11-11,0.7099609375,3,12
2014-11-12,2.29058837890625,1,16
2014-11-13,-2.770111083984375,4,9
2014-11-14,19.0196533203125,0,14
2014-11-15,-9.525161743164062,6,21
2014-11-16,-3.2903594970703125,4,9
2014-11-17,-0.563323974609375,19,37
2014-11-18,5.528900146484375,15,20
2014-11-19,-1.3124847412109375,9,10
2014-11-20,2.050811767578125,2,19
2014-11-21,-3.73797607421875,7,18
2014-11-22,-0.3912353515625,0,8
2014-11-23,-0.372894287109375,0,15
2014-11-24,0.9270782470703125,5,26
2014-11-25,8.488372802734375,13,31
2014-11-26,0.3950042724609375,9,23
2014-11-27,-4.6376190185546875,4,9
2014-11-28,-1.5991668701171875,1,15
2014-11-29,-0.9114837646484375,0,0
2014-11-30,-0.578033447265625,2,3
2014-12-01,2.5746307373046875,8,5
2014-12-02,2.1787261962890625,8,32
2014-12-03,5.375579833984375,8,19
2014-12-04,1.124847412109375,2,4
2014-12-05,-0.432647705078125,3,17
2014-12-06,2.51171875,1,5
2014-12-07,-4.3583984375,3,6
2014-12-08,14.41650390625,5,14
2014-12-09,-7.963104248046875,1,14
2014-12-10,-1.1808013916015625,4,21
2014-12-11,1.38385009765625,1,9
2014-12-12,2.70916748046875,4,2
2014-12-13,-1.316070556640625,3,15
2014-12-14,-3.0557861328125,11,11
2014-12-15,-1.304718017578125,4,15
2014-12-16,-0.7978515625,5,13
2014-12-17,2.416839599609375,4,17
2014-12-18,3.1933746337890625,19,18
2014-12-19,-3.107391357421875,5,11
2014-12-20,-0.9830322265625,2,4
2014-12-21,-0.534423828125,2,41
2014-12-22,-0.3100738525390625,4,25
2014-12-23,-0.1982421875,7,25
2014-12-24,0.84912109375,1,27
2014-12-25,-0.619842529296875,2,11
2014-12-26,-0.2231903076171875,0,5
2014-12-27,-0.1170501708984375,0,3
2014-12-28,-0.0390625,0,5
2014-12-29,5.97265625,5,9
2014-12-30,0.9794921875,3,23
2014-12-31,-2.76611328125,2,6
2015-01-01,-0.888092041015625,1,21
2015-01-02,-0.4952850341796875,2,23
2015-01-03,-0.3203125,0,20
2015-01-04,-0.232421875,0,14
2015-01-05,-0.1787109375,12,19
2015-01-06,4.85699462890625,1,8
2015-01-07,8.382171630859375,6,7
2015-01-08,-0.16864013671875,2,1
2015-01-09,5.3125,2,3
2015-01-10,-6.6328125,1,7
2015-01-11,-2.19140625,1,8
2015-01-12,1.7373046875,3,4
