,nodejs/node,ruby/ruby,python/cpython
2017-02-16,18,6,5
2017-02-17,20,6,0
2017-02-18,8,6,3
2017-02-19,13,1,3
2017-02-20,8,13,7
2017-02-21,8,11,7
2017-02-22,19,10,6
2017-02-23,5,8,6
2017-02-24,40,12,7
2017-02-25,8,7,9
2017-02-26,3,3,10
2017-02-27,11,18,6
2017-02-28,3,7,6
2017-03-01,19,11,13
2017-03-02,15,6,14
2017-03-03,8,7,17
2017-03-04,6,10,8
2017-03-05,4,5,6
2017-03-06,21,8,10
2017-03-07,4,15,5
2017-03-08,6,7,13
2017-03-09,21,11,6
2017-03-10,8,5,5
2017-03-11,16,11,7
2017-03-12,1,6,19
2017-03-13,6,14,3
2017-03-14,10,12,7
2017-03-15,18,6,3
2017-03-16,9,12,1
2017-03-17,22,11,5
2017-03-18,0,9,1
2017-03-19,1,5,11
2017-03-20,13,5,4
2017-03-21,8,6,5
2017-03-22,28,8,2
2017-03-23,4,8,5
2017-03-24,18,7,7
2017-03-25,10,8,5
2017-03-26,13,4,2
2017-03-27,14,5,11
2017-03-28,7,8,6
2017-03-29,6,11,5
2017-03-30,4,6,18
2017-03-31,9,4,7
2017-04-01,2,9,5
2017-04-02,1,4,6
2017-04-03,12,5,3
2017-04-04,40,5,3
2017-04-05,8,7,6
2017-04-06,8,7,2
2017-04-07,8,12,3
2017-04-08,8,4,4
2017-04-09,6,13,5
2017-04-10,9,15,1
2017-04-11,11,13,4
2017-04-12,19,9,3
2017-04-13,12,12,11
2017-04-14,24,15,6
2017-04-15,7,9,4
2017-04-16,8,6,6
2017-04-17,16,12,1
2017-04-18,31,14,0
2017-04-19,17,7,10
2017-04-20,12,16,13
2017-04-21,14,16,10
2017-04-22,2,11,4
2017-04-23,1,11,1
2017-04-24,28,5,6
2017-04-25,12,18,5
2017-04-26,11,5,7
2017-04-27,15,4,5
2017-04-28,17,8,4
2017-04-29,12,4,2
2017-04-30,16,9,0
2017-05-01,12,11,3
2017-05-02,9,13,11
2017-05-03,16,6,7
2017-05-04,11,20,6
2017-05-05,13,0,8
2017-05-06,13,14,1
2017-05-07,14,17,1
2017-05-08,6,9,2
2017-05-09,19,14,7
