,microsoft/vscode,neovim/neovim,pulsar-edit/pulsar
2023-11-13,50,24,3
2023-11-14,56,15,3
2023-11-15,77,2,2
2023-11-16,57,18,17
2023-11-17,83,30,5
2023-11-18,5,6,3
2023-11-19,9,4,0
2023-11-20,43,7,0
2023-11-21,62,8,2
2023-11-22,33,11,0
2023-11-23,39,13,4
2023-11-24,35,5,1
2023-11-25,2,8,0
2023-11-26,7,9,0
2023-11-27,60,22,0
2023-11-28,28,18,0
2023-11-29,67,20,4
2023-11-30,33,22,0
2023-12-01,43,9,0
2023-12-02,7,11,1
2023-12-03,7,3,0
2023-12-04,42,7,0
2023-12-05,62,9,0
2023-12-06,63,18,1
2023-12-07,39,19,1
2023-12-08,64,9,1
2023-12-09,6,12,0
2023-12-10,9,3,0
2023-12-11,24,7,0
2023-12-12,47,13,4
2023-12-13,41,12,3
2023-12-14,39,14,0
2023-12-15,67,8,1
2023-12-16,8,18,19
2023-12-17,5,6,0
2023-12-18,48,12,4
2023-12-19,63,14,8
2023-12-20,38,7,0
2023-12-21,4,11,0
2023-12-22,2,19,0
2023-12-23,1,9,0
2023-12-24,1,7,0
2023-12-25,0,8,0
2023-12-26,0,7,0
2023-12-27,0,8,0
2023-12-28,0,18,0
2023-12-29,2,3,1
2023-12-30,7,9,1
2023-12-31,1,1,2
2024-01-01,0,8,0
2024-01-02,2,21,0
2024-01-03,17,7,16
2024-01-04,26,9,0
2024-01-05,33,9,0
2024-01-06,1,5,1
2024-01-07,1,2,24
2024-01-08,55,4,0
2024-01-09,33,9,3
2024-01-10,36,2,1
2024-01-11,40,5,62
2024-01-12,37,14,5
2024-01-13,5,10,5
2024-01-14,10,9,1
2024-01-15,31,7,1
2024-01-16,34,17,12
2024-01-17,42,23,1
2024-01-18,60,14,20
2024-01-19,33,9,4
2024-01-20,4,5,20
2024-01-21,1,8,13
2024-01-22,62,23,5
2024-01-23,28,12,2
2024-01-24,39,17,1
2024-01-25,25,11,7
2024-01-26,29,8,1
2024-01-27,3,11,10
2024-01-28,0,15,6
2024-01-29,54,16,12
2024-01-30,47,1,8
2024-01-31,61,4,0
2024-02-01,47,12,1
2024-02-02,51,7,5
2024-02-03,4,12,3
2024-02-04,1,4,3
2024-02-05,24,10,1
2024-02-06,29,13,2
2024-02-07,55,5,0
2024-02-08,41,23,0
2024-02-09,60,11,5
2024-02-10,9,14,7
2024-02-11,3,13,3
2024-02-12,61,15,0
2024-02-13,90,9,0
2024-02-14,35,2,0
2024-02-15,59,14,6
2024-02-16,62,17,13
2024-02-17,3,6,1
2024-02-18,6,11,2
2024-02-19,48,9,0
2024-02-20,23,9,1
2024-02-21,50,9,0
2024-02-22,35,16,0
2024-02-23,52,5,0
2024-02-24,5,13,0
2024-02-25,1,9,0
2024-02-26,44,9,0
2024-02-27,44,8,0
2024-02-28,44,14,0
2024-02-29,31,10,0
2024-03-01,19,12,2
2024-03-02,4,6,1
2024-03-03,4,9,8
2024-03-04,47,5,1
2024-03-05,15,3,1
2024-03-06,40,11,0
2024-03-07,65,8,4
2024-03-08,40,26,0
2024-03-09,3,14,2
2024-03-10,0,14,2
2024-03-11,39,19,0
2024-03-12,67,13,0
2024-03-13,67,9,0
2024-03-14,51,17,0
2024-03-15,59,12,0
2024-03-16,4,17,4
2024-03-17,6,6,0
2024-03-18,63,12,5
2024-03-19,41,22,1
2024-03-20,77,7,4
2024-03-21,101,15,4
2024-03-22,69,3,2
2024-03-23,12,10,6
2024-03-24,11,7,0
2024-03-25,10,13,2
2024-03-26,66,9,1
2024-03-27,35,17,0
2024-03-28,70,20,0
2024-03-29,28,14,1
2024-03-30,12,6,0
2024-03-31,10,10,4
2024-04-01,71,21,1
2024-04-02,46,9,0
2024-04-03,54,7,0
2024-04-04,48,3,5
2024-04-05,37,16,3
2024-04-06,8,12,9
2024-04-07,8,5,0
2024-04-08,60,9,2
2024-04-09,56,20,0
2024-04-10,31,13,2
2024-04-11,25,10,0
2024-04-12,35,21,4
2024-04-13,13,15,2
2024-04-14,2,16,6
2024-04-15,18,10,8
2024-04-16,38,26,4
2024-04-17,52,5,0
2024-04-18,45,8,4
2024-04-19,66,6,4
2024-04-20,5,8,2
2024-04-21,2,11,1
2024-04-22,44,10,0
2024-04-23,34,10,0
2024-04-24,48,3,0
2024-04-25,30,12,0
2024-04-26,42,18,0
2024-04-27,12,7,0
2024-04-28,24,9,2
2024-04-29,33,12,0
2024-04-30,15,5,7
2024-05-01,22,7,0
2024-05-02,32,14,0
2024-05-03,54,9,0
2024-05-04,0,2,0
2024-05-05,1,5,1
2024-05-06,32,3,14
2024-05-07,23,15,3
2024-05-08,36,4,0
2024-05-09,33,3,1
2024-05-10,32,4,1
2024-05-11,2,11,2
2024-05-12,2,5,0
2024-05-13,56,2,2
2024-05-14,28,14,1
2024-05-15,39,13,4
2024-05-16,37,13,10
2024-05-17,15,10,2
2024-05-18,1,3,3
2024-05-19,3,6,1
2024-05-20,23,15,1
2024-05-21,26,14,1
2024-05-22,35,8,0
2024-05-23,27,11,0
2024-05-24,26,18,0
2024-05-25,7,15,0
2024-05-26,4,15,0
2024-05-27,33,15,0
2024-05-28,14,13,1
2024-05-29,45,1,0
2024-05-30,31,10,0
2024-05-31,37,13,0
2024-06-01,2,17,0
2024-06-02,1,9,0
2024-06-03,40,4,1
2024-06-04,52,16,0
2024-06-05,40,10,0
2024-06-06,31,4,1
2024-06-07,33,6,2
2024-06-08,5,4,1
2024-06-09,2,9,0
2024-06-10,12,6,0
2024-06-11,9,15,1
2024-06-12,13,12,0
2024-06-13,26,10,3
2024-06-14,16,21,0
2024-06-15,0,12,1
2024-06-16,3,10,5
2024-06-17,27,7,1
2024-06-18,49,8,1
2024-06-19,33,9,1
2024-06-20,49,7,1
2024-06-21,40,8,1
2024-06-22,1,3,1
2024-06-23,2,1,0
2024-06-24,39,10,0
2024-06-25,26,3,1
2024-06-26,35,2,2
2024-06-27,15,4,1
2024-06-28,33,3,3
2024-06-29,5,4,1
2024-06-30,0,0,0
2024-07-01,21,1,0
2024-07-02,25,4,0
2024-07-03,24,3,0
2024-07-04,27,15,0
2024-07-05,23,3,0
2024-07-06,0,12,0
2024-07-07,5,8,7
2024-07-08,44,18,0
2024-07-09,34,4,0
2024-07-10,21,12,4
2024-07-11,37,10,0
2024-07-12,37,11,0
2024-07-13,2,14,0
2024-07-14,3,11,1
2024-07-15,27,5,0
2024-07-16,30,20,8
2024-07-17,26,30,5
2024-07-18,35,10,1
2024-07-19,50,10,0
2024-07-20,18,3,0
2024-07-21,19,7,1
2024-07-22,51,3,1
2024-07-23,16,1,0
2024-07-24,55,4,0
2024-07-25,27,8,2
2024-07-26,38,7,2
2024-07-27,5,10,5
2024-07-28,2,2,2
2024-07-29,41,9,0
2024-07-30,29,14,4
2024-07-31,37,19,3
2024-08-01,20,19,1
2024-08-02,44,15,1
2024-08-03,17,11,1
2024-08-04,11,3,0
2024-08-05,38,9,0
2024-08-06,35,17,1
2024-08-07,46,4,1
2024-08-08,29,7,1
2024-08-09,42,1,11
2024-08-10,2,3,6
2024-08-11,6,2,0
2024-08-12,25,3,0
2024-08-13,55,4,1
2024-08-14,47,4,0
2024-08-15,56,5,0
2024-08-16,43,9,10
2024-08-17,9,10,4
2024-08-18,1,1,2
2024-08-19,31,3,0
2024-08-20,33,11,0
2024-08-21,46,5,0
2024-08-22,54,6,0
2024-08-23,55,3,1
2024-08-24,4,5,2
2024-08-25,4,1,0
2024-08-26,48,6,0
2024-08-27,15,2,3
2024-08-28,51,5,0
2024-08-29,34,7,0
2024-08-30,38,4,0
2024-08-31,2,11,1
2024-09-01,13,9,0
2024-09-02,49,8,1
2024-09-03,37,6,0
2024-09-04,61,2,1
2024-09-05,46,10,0
2024-09-06,46,4,0
2024-09-07,5,4,1
2024-09-08,1,7,7
2024-09-09,42,4,1
2024-09-10,59,8,3
2024-09-11,41,15,0
2024-09-12,64,7,1
2024-09-13,59,8,1
2024-09-14,4,5,4
2024-09-15,8,3,4
2024-09-16,47,7,2
2024-09-17,40,3,2
2024-09-18,44,6,7
2024-09-19,35,5,2
2024-09-20,51,4,1
2024-09-21,16,16,0
2024-09-22,3,4,2
2024-09-23,71,11,1
2024-09-24,18,3,0
2024-09-25,68,8,0
2024-09-26,41,10,0
2024-09-27,95,8,0
2024-09-28,13,5,1
2024-09-29,13,13,3
2024-09-30,53,5,0
2024-10-01,51,10,1
2024-10-02,32,9,0
2024-10-03,47,9,0
2024-10-04,64,8,1
2024-10-05,3,8,0
2024-10-06,6,9,0
2024-10-07,35,11,1
2024-10-08,23,6,0
2024-10-09,14,8,0
2024-10-10,20,4,0
2024-10-11,38,12,0
2024-10-12,4,7,0
2024-10-13,7,6,0
2024-10-14,36,7,0
2024-10-15,36,9,2
2024-10-16,41,8,1
2024-10-17,19,23,3
2024-10-18,41,5,3
2024-10-19,4,7,1
2024-10-20,3,11,2
2024-10-21,53,3,2
2024-10-22,23,18,1
2024-10-23,48,11,0
2024-10-24,46,14,0
2024-10-25,26,2,0
2024-10-26,6,0,1
2024-10-27,6,0,1
2024-10-28,29,0,3
2024-10-29,39,0,0
2024-10-30,74,0,0
2024-10-31,35,0,0
2024-11-01,32,0,0
2024-11-02,1,0,0
2024-11-03,0,0,0
2024-11-04,3,0,1
2024-11-05,0,0,2
2024-11-06,0,0,0
2024-11-07,0,0,0
2024-11-08,0,0,0
2024-11-09,0,0,0
2024-11-10,0,0,0
2024-11-11,0,0,1
2024-11-12,0,0,0
