,commaai/openpilot,carla-simulator/carla,apolloauto/apollo
2017-07-04,0,0,6.0
2017-07-05,0,0,18.6
2017-07-06,0,0,8.880000000000003
2017-07-07,2,0,3.8960000000000017
2017-07-08,0,0,-8.3536
2017-07-09,0,0,-2.285312000000001
2017-07-10,0,0,14.6684288
2017-07-11,0,0,8.78201344
2017-07-12,4,0,4.161018368000001
2017-07-13,0,0,47.527634227200004
2017-07-14,0,0,14.217580851200005
2017-07-15,0,0,-19.5147797504
2017-07-16,0,0,-5.3595446272
2017-07-17,0,0,7.622802739199997
2017-07-18,2,1,9.9340667904
2017-07-19,0,0,16.468222361600002
2017-07-20,0,0,39.2578866176
2017-07-21,0,0,36.096274432
2017-07-22,0,0,-27.5150685184
2017-07-23,0,0,-18.9600106496
2017-07-24,0,0,21.325479526399995
2017-07-25,0,2,44.1834986496
2017-07-26,0,7,38.438429081600006
2017-07-27,0,4,22.24627496960001
2017-07-28,1,5,2.954363494400006
2017-07-29,1,0,-2.5219535872000023
2017-07-30,0,0,-28.0390641664
2017-07-31,1,0,15.059267686399998
2017-08-01,0,0,47.3737096192
2017-08-02,0,0,27.666642534400005
2017-08-03,0,0,27.12258938880001
2017-08-04,0,0,20.210914713600005
2017-08-05,0,0,-12.472528383999993
2017-08-06,0,0,-24.657934540800003
2017-08-07,0,0,30.751741644799996
2017-08-08,0,0,31.4779044864
2017-08-09,0,0,14.367313408000001
2017-08-10,1,0,-16.669190451199995
2017-08-11,1,0,15.2046047232
2017-08-12,0,0,-22.5756424192
2017-08-13,0,0,-13.176477696000003
2017-08-14,0,0,22.619437158399997
2017-08-15,1,0,33.0947666944
2017-08-16,1,0,19.761689292800003
2017-08-17,0,0,0.9480397824000057
2017-08-18,0,0,33.7317221376
2017-08-19,0,0,-26.7288035328
2017-08-20,0,0,-16.298328064000003
2017-08-21,0,0,27.1761073152
2017-08-22,0,0,10.5640909824
2017-08-23,0,1,19.763414118400004
2017-08-24,0,0,19.359963238400002
2017-08-25,0,1,15.563186892800005
2017-08-26,0,0,-16.121079705599996
2017-08-27,0,0,-14.394009907200001
2017-08-28,0,1,13.136341913599997
2017-08-29,1,3,23.6483361792
2017-08-30,0,3,2.1473746944000034
2017-08-31,0,1,28.7538013184
2017-09-01,0,0,5.218946662400004
2017-09-02,0,0,9.853389107200002
2017-09-03,0,0,-16.908376064
2017-09-04,0,3,-12.992370483200002
2017-09-05,0,7,29.771156684799998
2017-09-06,0,2,22.1774163968
2017-09-07,0,3,14.207998976000006
2017-09-08,0,0,5.623090995200002
2017-09-09,0,0,-15.9318310912
2017-09-10,0,0,-11.6624909312
2017-09-11,0,0,4.779910655999998
2017-09-12,0,0,31.715680153599997
2017-09-13,0,1,12.923558707200002
2017-09-14,0,4,-7.802486374399997
2017-09-15,0,1,-1.4168167424
2017-09-16,0,0,-7.966375936
