,tensorflow/models,pytorch/vision,huggingface/transformers
2018-10-29,1,0.0,1
2018-10-30,3,1.0,2
2018-10-31,0,-0.10000000000000009,2
2018-11-01,4,-0.04500000000000003,23
2018-11-02,2,0.9715,35
2018-11-03,1,-0.1206625,37
2018-11-04,2,-0.061116749999999984,23
2018-11-05,4,-0.041662012499999984,26
2018-11-06,0,1.96824380375,7
2018-11-07,1,-0.2256850630156251,8
2018-11-08,1,-0.11156086503593751,2
2018-11-09,0,-0.06809369625000002,6
2018-11-10,0,-0.05089331301562482,2
2018-11-11,1,-0.040632352535937374,2
2018-11-12,2,1.9736759750000001,5
2018-11-13,0,-0.2221873925000001,11
2018-11-14,1,-0.10913662603125002,0
2018-11-15,0,-0.073797705071875,3
2018-11-16,0,-0.04132499999999985,2
2018-11-17,1,-0.032233499999999894,15
2018-11-18,0,-0.02632402499999992,1
2018-11-19,6,-0.022187392499999934,3
2018-11-20,4,-0.01913662603124995,7
2018-11-21,3,-0.016797705071874957,1
2018-11-22,0,0.0,0
2018-11-23,0,0.0,1
2018-11-24,0,0.0,0
2018-11-25,0,0.0,0
2018-11-26,5,0.0,7
2018-11-27,5,1.0,1
2018-11-28,0,-0.10000000000000009,3
2018-11-29,0,-0.04500000000000003,0
2018-11-30,15,-0.028500000000000022,20
2018-12-01,0,-0.020662499999999924,4
2018-12-02,0,-0.016116749999999947,2
2018-12-03,6,-0.01316201249999996,0
2018-12-04,3,2.98890630375,2
2018-12-05,2,-0.30956831301562526,4
2018-12-06,1,2.8566011474640622,12
2018-12-07,7,-0.38550000000000034,1
2018-12-08,4,-0.19698749999999987,0
2018-12-09,0,-0.1338502499999999,5
2018-12-10,2,-0.10147353749999966,3
2018-12-11,0,0.9183686612500003,11
2018-12-12,2,-0.1681909765468749,3
2018-12-13,1,2.8965223536421876,17
2018-12-14,6,0.6427950609531248,8
2018-12-15,1,-0.28085905760781255,0
2018-12-16,0,-0.14661675000000005,0
2018-12-17,1,0.8963504875000002,1
2018-12-18,3,0.8198935537500002,2
2018-12-19,4,-0.21017110051562493,9
2018-12-20,11,0.8716580462140626,4
2018-12-21,4,0.811038864703125,0
2018-12-22,3,-0.21654412062343742,1
2018-12-23,2,-0.11117761503593745,0
2018-12-24,6,-0.07341820874999988,0
2018-12-25,1,1.9425587407343752,0
2018-12-26,1,-0.24724592805156254,0
2018-12-27,3,-0.12265456128593746,0
2018-12-28,1,-0.07766200926562498,0
2018-12-29,0,-0.059292165551562304,0
2018-12-30,0,0.9593676474640627,0
2018-12-31,0,-0.126324025,0
2019-01-01,0,-0.06718739249999997,0
2019-01-02,1,-0.047636626031249976,1
2019-01-03,2,-0.03746020507187488,4
2019-01-04,7,-0.016116749999999947,0
2019-01-05,0,-0.01316201249999996,1
2019-01-06,0,-0.011093696249999967,0
2019-01-07,22,-0.009568313015624975,13
2019-01-08,7,2.9916011474640625,7
2019-01-09,1,-0.30000000000000027,1
2019-01-10,1,-0.1350000000000001,5
2019-01-11,7,-0.08550000000000006,2
2019-01-12,1,-0.06198749999999977,0
2019-01-13,0,-0.048350249999999845,3
2019-01-14,1,-0.03948603749999988,5
2019-01-15,3,-0.0332810887499999,4
2019-01-16,1,-0.028704939046874926,8
2019-01-17,3,-0.025196557607812434,2
2019-01-18,1,0.0,1
2019-01-19,1,0.0,1
2019-01-20,0,0.0,0
2019-01-21,0,0.0,0
2019-01-22,0,0.0,1
2019-01-23,0,0.0,0
2019-01-24,0,0.0,0
2019-01-25,0,1.0,0
2019-01-26,1,-0.10000000000000009,0
2019-01-27,0,-0.04500000000000003,1
2019-01-28,0,-0.028500000000000022,4
2019-01-29,0,-0.020662499999999924,4
2019-01-30,1,-0.016116749999999947,4
2019-01-31,1,-0.01316201249999996,1
2019-02-01,6,-0.011093696249999967,4
2019-02-02,1,-0.009568313015624975,0
2019-02-03,1,-0.008398852535937478,0
2019-02-04,0,0.0,5
2019-02-05,1,0.0,16
2019-02-06,2,0.0,4
2019-02-07,0,0.0,12
2019-02-08,1,0.0,16
2019-02-09,1,0.0,7
2019-02-10,1,0.0,0
2019-02-11,3,1.0,15
2019-02-12,4,1.9,2
2019-02-13,2,3.755,8
2019-02-14,7,3.4814999999999996,1
2019-02-15,1,-0.6576625000000005,2
2019-02-16,0,-0.35144175,1
2019-02-17,0,-0.24204551249999962,6
2019-02-18,0,1.8154652787500005,16
2019-02-19,1,-0.34887075551562474,3
2019-02-20,0,-0.2145583135671872,5
2019-02-21,5,0.8435542578656252,4
2019-02-22,4,-0.21319366220624975,1
2019-02-23,1,0.8891710898562502,1
2019-02-24,1,-0.15482402500000003,1
2019-02-25,1,-0.08784989249999989,0
2019-02-26,0,0.9362466239687501,2
2019-02-27,2,0.849377782428125,9
2019-02-28,4,1.82778955375,1
2019-03-01,3,0.7037696744843749,0
2019-03-02,1,-0.25865504878593754,0
2019-03-03,0,-0.14834756301562493,2
2019-03-04,0,-0.10750261503593726,1
2019-03-05,0,-0.07715170874999974,3
2019-03-06,2,0.9368972157343752,11
2019-03-07,5,2.8466834294484373,2
2019-03-08,0,-0.3836291748171877,2
2019-03-09,0,3.8101339819125,5
2019-03-10,0,-0.5145613525359378,0
2019-03-11,1,2.7418957500000003,5
2019-03-12,2,-0.47551226250000017,4
2019-03-13,2,-0.26822973374999964,2
2019-03-14,0,-0.19281640176562473,9
2019-03-15,0,-0.15173934158281202,2
2019-03-16,0,-0.11792159260781215,2
2019-03-17,0,-0.07775928956249978,2
2019-03-18,1,-0.06687649889374982,7
2019-03-19,3,0.9712950609531251,0
2019-03-20,2,0.8748034423921875,9
2019-03-21,2,-0.14500000000000013,12
2019-03-22,2,-0.07350000000000005,0
2019-03-23,0,-0.04916249999999994,0
2019-03-24,0,0.9632207500000001,6
2019-03-25,1,1.8707212375,2
2019-03-26,4,5.73074429125,1
2019-03-27,2,-0.7391620092656256,8
2019-03-28,5,1.6343703344484375,2
2019-03-29,4,2.5631593974640623,3
2019-03-30,2,-0.5593705124999997,2
2019-03-31,0,-0.32611822124999973,0
2019-04-01,2,0.7624472194843754,1
2019-04-02,2,1.711681343932813,4
2019-04-03,4,0.6061181418343752,16
2019-04-04,2,1.6694334547843752,0
2019-04-05,3,1.62491978521875,0
2019-04-06,0,-0.42144439411874995,0
2019-04-07,0,-0.2382545701078123,4
2019-04-08,5,1.8481405287500003,0
2019-04-09,0,4.681523781984375,2
2019-04-10,2,0.3128133001828123,0
2019-04-11,2,-0.4568774355875001,11
2019-04-12,3,1.7214521289328126,3
2019-04-13,0,-0.3999803311031246,0
2019-04-14,0,-0.2343679800718746,0
2019-04-15,0,0.8388857950000003,24
2019-04-16,0,0.7709078802187503,6
2019-04-17,7,0.7470335336000002,16
2019-04-18,3,1.7486133993046875,0
2019-04-19,0,-0.32474874503593754,0
2019-04-20,3,-0.17441587603124992,0
2019-04-21,0,-0.12373896757187483,4
2019-04-22,5,-0.08169745874999973,2
2019-04-23,3,-0.0660575217656248,4
2019-04-24,9,1.9446151131984377,3
2019-04-25,2,6.759845441948437,7
2019-04-26,4,0.1824645214328119,0
2019-04-27,0,-0.4887977050718753,1
2019-04-28,0,-0.28582500000000005,0
2019-04-29,5,0.7946290000000006,1
2019-04-30,1,2.7401962250000005,7
2019-05-01,2,0.52456177,4
2019-05-02,2,0.6265454877187502,7
2019-05-03,1,0.6539679075687501,0
2019-05-04,1,-0.3199645307671872,0
2019-05-05,0,-0.16407361503593726,1
2019-05-06,2,1.8841410162500003,0
2019-05-07,2,3.707209335734375,3
2019-05-08,2,1.4325237496671872,7
2019-05-09,2,-0.4960205793734377,3
2019-05-10,5,0.7256141381984376,1
2019-05-11,2,-0.2898506655515622,2
2019-05-12,0,-0.1855148775359371,0
2019-05-13,0,-0.1355689424999997,1
2019-05-14,3,0.8895020639687503,0
2019-05-15,3,-0.19337509963437483,0
2019-05-16,2,-0.11089404867499986,0
2019-05-17,0,0.9436085986781251,0
2019-05-18,2,0.869769186984375,4
2019-05-19,0,6.830484397464063,0
2019-05-20,1,4.213337987499999,0
2019-05-21,5,7.1247438037499995,0
2019-05-22,8,6.729152436984374,1
2019-05-23,6,1.5151848849640621,3
2019-05-24,7,-0.12838545874999996,0
2019-05-25,0,0.17832015323437578,0
2019-05-26,1,-0.6861671018015612,0
2019-05-27,0,1.499436875104689,2
2019-05-28,13,-0.5981919528296866,0
2019-05-29,7,2.6264443756953133,0
2019-05-30,2,0.4367028243375002,4
2019-05-31,7,0.6035235319156254,8
2019-06-01,0,-0.30859206687343743,11
2019-06-02,0,-0.1797786905515622,0
2019-06-03,12,2.8719010049640628,3
2019-06-04,2,-0.39540191353125,0
2019-06-05,14,2.785642443678125,0
2019-06-06,6,0.5615393522031248,6
2019-06-07,1,3.657153933126563,0
2019-06-08,0,-0.5968174155515628,0
2019-06-09,0,-0.3183723900359373,0
2019-06-10,1,-0.21629383874999975,1
2019-06-11,2,3.8330422734531258,3
2019-06-12,3,1.4638933411421875,1
2019-06-13,12,3.527553314703125,0
2019-06-14,4,5.316860344376562,14
2019-06-15,0,0.033677895401562186,5
2019-06-16,0,-0.62338741014375,0
2019-06-17,0,0.6164684500000004,10
2019-06-18,4,0.6123591900000007,32
2019-06-19,6,0.6245283054375006,12
2019-06-20,8,3.6343043538250006,10
2019-06-21,5,-0.628957647134375,5
2019-06-22,2,-0.3473782344874997,7
2019-06-23,0,-0.22390269073124974,2
2019-06-24,2,6.868578688714063,5
2019-06-25,1,0.20170897823437473,4
2019-06-26,1,2.5032910881984374,9
2019-06-27,0,-0.6068419505515628,3
2019-06-28,4,1.645190395401563,5
2019-06-29,0,0.5474248398562502,2
2019-06-30,0,-0.3602383374999996,0
2019-07-01,0,0.7588318637500003,1
2019-07-02,3,1.7126170751406253,9
2019-07-03,1,1.600462630482813,9
2019-07-04,0,5.601955433417188,3
2019-07-05,0,1.171791537392187,19
2019-07-06,0,1.38532792771875,0
2019-07-07,0,-0.5740865305875,0
2019-07-08,5,0.650974926214063,3
2019-07-09,2,1.6468947694843754,17
2019-07-10,1,0.5527465539328129,6
2019-07-11,5,0.6204459663968753,17
2019-07-12,0,3.6546184993343753,11
