,mrdoob/three.js,playcanvas/engine,BabylonJS/Babylon.js
2021-06-27,0,0,3.0
2021-06-28,6,2,22.4
2021-06-29,7,2,11.16
2021-06-30,10,1,12.815999999999997
2021-07-01,2,4,20.9152
2021-07-02,2,2,19.542592
2021-07-03,2,0,-9.810214400000003
2021-07-04,4,0,7.929981439999995
2021-07-05,4,3,7.929813503999998
2021-07-06,2,8,11.5228566528
2021-07-07,6,1,6.5677349888
2021-07-08,0,6,28.1636837376
2021-07-09,3,3,1.1267673088000016
2021-07-10,2,0,-5.8394067968000005
2021-07-11,2,0,-0.8252403712000014
2021-07-12,3,2,14.138763264
2021-07-13,10,4,5.732826316800001
2021-07-14,2,1,8.2088361984
2021-07-15,0,3,31.9270709248
2021-07-16,14,1,-7.925063065599996
2021-07-17,0,1,-0.8994964480000016
2021-07-18,1,0,-1.4546649088000017
2021-07-19,5,5,19.5893798912
2021-07-20,4,3,22.0508519424
2021-07-21,2,7,12.5610226688
2021-07-22,8,2,22.8919580672
2021-07-23,1,4,6.724363878400002
2021-07-24,0,0,-9.440646451200001
2021-07-25,6,0,-4.085733171200003
2021-07-26,13,0,4.211748351999998
2021-07-27,8,0,5.5894140928
2021-07-28,11,0,14.122203852800002
2021-07-29,11,0,21.394885734400003
2021-07-30,6,0,17.066250547200003
2021-07-31,0,0,-1.5707148288
2021-08-01,0,1,-4.3225654272000025
2021-08-02,15,0,24.931926527999998
2021-08-03,10,0,6.382406553599999
2021-08-04,8,0,5.514017996799999
2021-08-05,13,0,22.133355008
2021-08-06,1,1,5.171229286400001
2021-08-07,1,0,-6.0880376832
2021-08-08,0,0,-4.877433446400001
2021-08-09,3,4,23.8877948928
2021-08-10,17,2,12.297798451200002
2021-08-11,12,0,9.9998505984
2021-08-12,1,3,5.2815406079999985
2021-08-13,5,2,13.2186963968
2021-08-14,3,0,4.1232477184
2021-08-15,9,0,3.493086719999998
2021-08-16,1,1,21.293015859199997
2021-08-17,5,6,18.125310976
2021-08-18,4,3,4.8513979392
2021-08-19,17,2,27.764578816
2021-08-20,6,0,7.146271436799999
2021-08-21,6,0,-4.853936435200001
2021-08-22,2,0,-3.584356352000002
2021-08-23,11,1,22.1932516352
2021-08-24,13,5,11.285688832000002
2021-08-25,13,2,12.3283377152
2021-08-26,6,0,16.1255227392
2021-08-27,9,1,2.2474424319999997
2021-08-28,1,0,-5.6376551424
2021-08-29,1,0,-1.6875339776000011
2021-08-30,12,0,16.316636671999998
2021-08-31,7,3,21.4289845248
2021-09-01,8,12,29.7917601792
2021-09-02,7,0,25.62828544
2021-09-03,5,4,12.321864601600002
2021-09-04,0,0,-10.143046144000003
2021-09-05,0,0,-5.9671717888000035
2021-09-06,3,0,2.1406533631999975
2021-09-07,11,1,28.9841983488
2021-09-08,6,5,21.772184576
2021-09-09,2,3,22.374701260800002
2021-09-10,9,4,14.233273958400002
2021-09-11,1,0,-5.879350067200001
2021-09-12,0,0,-4.4483308544000035
2021-09-13,3,0,34.8120553472
2021-09-14,1,0,18.3541625856
2021-09-15,4,0,24.9522260992
2021-09-16,0,1,12.0145332224
2021-09-17,1,1,11.511596339199999
2021-09-18,0,0,1.3392871424
2021-09-19,0,0,-2.0682108928000034
2021-09-20,6,6,7.181655961599998
2021-09-21,9,4,29.669080268800002
2021-09-22,10,0,24.006493184
2021-09-23,8,2,2.764020224000001
2021-09-24,1,1,19.987585843199998
2021-09-25,1,1,0.358738841600001
2021-09-26,1,0,-1.6132269056000013
2021-09-27,7,3,13.487448780799998
2021-09-28,6,3,26.7969851392
2021-09-29,1,0,18.251581030400004
2021-09-30,8,2,19.835352883200002
2021-10-01,0,2,24.2372007936
2021-10-02,0,0,-5.0639832064
2021-10-03,0,0,-5.271556096000003
2021-10-04,17,0,34.558831411199996
2021-10-05,7,6,4.4073091072000015
2021-10-06,4,3,5.966287871999999
2021-10-07,1,2,16.942196736
2021-10-08,9,2,20.579620864
2021-10-09,0,0,4.168403763200001
2021-10-10,3,0,-5.395855052800002
2021-10-11,2,2,9.938763878399996
2021-10-12,3,6,11.752075366400001
2021-10-13,4,2,6.840973209600001
2021-10-14,3,0,17.6534541312
2021-10-15,1,11,5.823076761599999
2021-10-16,0,0,-3.889740902399999
2021-10-17,0,0,-2.2005049344000005
2021-10-18,0,2,28.2209248256
2021-10-19,4,1,14.1174795264
2021-10-20,4,13,17.941063065599998
2021-10-21,0,2,13.838722662399999
2021-10-22,1,7,-0.0981570559999998
2021-10-23,0,1,-4.4624947200000005
2021-10-24,0,4,-4.995620864000001
2021-10-25,1,4,3.6795700223999983
2021-10-26,4,0,17.068429004800002
2021-10-27,3,10,17.206590771200002
2021-10-28,14,1,7.8215994368000015
2021-10-29,1,2,16.7242688512
2021-10-30,7,0,-3.6102736895999996
2021-10-31,0,0,-3.341514240000002
2021-11-01,3,5,16.3126361088
2021-11-02,0,2,12.438557696
2021-11-03,4,0,22.6006065152
2021-11-04,5,6,64.9568398336
2021-11-05,3,4,-2.0729250815999976
2021-11-06,3,0,-7.859425894400005
2021-11-07,4,0,-6.346816409600004
2021-11-08,2,2,15.232116223999997
2021-11-09,860,3,34.6328353792
2021-11-10,6,1,5.433636864
2021-11-11,5,4,13.251348582399999
2021-11-12,2,0,23.999344128000004
2021-11-13,0,0,-4.132727295999999
2021-11-14,2,0,-2.2476931072000035
2021-11-15,11,6,30.783394303999998
2021-11-16,6,6,1.456059187200001
2021-11-17,3,5,18.263413145599998
2021-11-18,3,3,11.421778124800001
2021-11-19,0,3,30.0610668544
2021-11-20,3,0,-5.515379609599998
2021-11-21,0,0,-2.518510592000002
2021-11-22,0,5,7.720914534399997
2021-11-23,5,6,12.0514215936
2021-11-24,10,1,16.9468987392
2021-11-25,2,1,6.662002380800001
2021-11-26,8,2,-0.22931732480000022
2021-11-27,2,1,-3.1837247487999987
2021-11-28,2,0,-3.334623232
2021-11-29,18,1,23.188797644799997
2021-11-30,1,2,26.790052249600002
2021-12-01,0,0,31.5689457664
2021-12-02,7,6,36.490923622400004
2021-12-03,10,3,3.370226687999999
2021-12-04,4,1,-6.208156262400003
2021-12-05,5,0,-8.170417459200003
2021-12-06,1,3,15.621018316799997
2021-12-07,1,4,7.7431320576000005
2021-12-08,9,2,15.8619324416
2021-12-09,7,3,65.47563018240001
2021-12-10,2,11,20.902194483200006
2021-12-11,3,0,-16.438638080000004
2021-12-12,3,0,-6.059694080000003
2021-12-13,3,0,19.4619979776
2021-12-14,6,8,23.155939328
2021-12-15,6,7,6.6649629695999995
2021-12-16,6,7,-0.4662354944000011
2021-12-17,8,3,12.853024870400002
2021-12-18,2,0,-7.288046591999997
2021-12-19,3,0,-3.148648038400001
2021-12-20,2,2,16.4409383936
2021-12-21,8,1,-3.575177523199999
2021-12-22,2,4,-1.224349286399999
2021-12-23,23,0,-2.201399091199999
2021-12-24,6,0,-2.084185497599999
2021-12-25,0,0,2.662933504000001
2021-12-26,0,2,-1.7584692223999991
2021-12-27,1,1,2.1162570751999996
2021-12-28,6,1,1.7577044992000013
2021-12-29,4,0,1.6618408960000006
2021-12-30,7,4,-0.18364190719999995
2021-12-31,1,0,0.18168903679999981
2022-01-01,2,3,-0.6815842304000003
2022-01-02,0,0,-0.42424524799999996
2022-01-03,10,1,14.6798480384
2022-01-04,16,4,6.785634304000001
2022-01-05,3,4,18.6226838528
2022-01-06,8,5,32.9620732928
2022-01-07,3,0,8.387277516800001
2022-01-08,3,1,-5.721897062400004
2022-01-09,0,0,-4.305461350400003
2022-01-10,6,0,34.317619199999996
2022-01-11,11,5,22.707179520000004
2022-01-12,7,1,24.225987584
2022-01-13,16,1,-1.2637204480000008
2022-01-14,9,1,13.6153234432
2022-01-15,2,2,-10.198048153599998
2022-01-16,0,0,-5.541589913600003
2022-01-17,3,3,9.204342476799997
2022-01-18,13,4,4.467547033600002
2022-01-19,19,5,-2.430465331199997
2022-01-20,12,0,21.3735707648
2022-01-21,6,2,7.832336281600002
2022-01-22,2,2,-5.292517580799999
2022-01-23,1,0,-1.5085294592000018
2022-01-24,9,0,29.45905664
2022-01-25,20,0,22.832006144
2022-01-26,14,8,16.8598811648
2022-01-27,19,8,22.59380736
2022-01-28,10,8,-1.0457024512000004
2022-01-29,2,3,-7.580085760000003
2022-01-30,3,1,-5.251819008000003
2022-01-31,21,8,3.377535385599998
2022-02-01,3,4,11.778060595200001
2022-02-02,16,0,3.949293875200002
2022-02-03,3,2,31.800147353600003
2022-02-04,10,4,-4.221289676799998
2022-02-05,3,2,-0.9430321152000012
2022-02-06,10,1,-4.295128166400001
2022-02-07,4,2,17.3556228096
2022-02-08,2,2,21.037738496
2022-02-09,5,3,2.4361623552000005
2022-02-10,7,3,8.460071833599999
2022-02-11,13,3,-2.708743167999999
2022-02-12,0,4,-4.578245836800001
2022-02-13,2,0,-1.6544026624000012
2022-02-14,15,1,12.870645247999999
2022-02-15,4,3,2.4330675200000016
2022-02-16,1,2,2.1193748480000014
2022-02-17,10,0,14.6558467072
2022-02-18,7,1,13.633778585600002
2022-02-19,1,0,-3.4112599039999996
2022-02-20,0,0,-0.7375881216000018
2022-02-21,3,2,22.078693887999997
2022-02-22,10,1,27.0486071296
2022-02-23,19,2,16.712983039999997
2022-02-24,11,6,6.636152115199998
2022-02-25,3,7,4.1747030015999975
2022-02-26,3,0,-4.646681395200001
2022-02-27,0,0,-3.0730049536000017
2022-02-28,7,2,9.277009612799999
2022-03-01,15,5,1.7009010688000004
2022-03-02,5,8,6.426004992000001
2022-03-03,12,2,13.106437222400002
2022-03-04,3,2,7.833530675200001
2022-03-05,3,0,-4.8258249728
2022-03-06,0,0,-3.2370445312000014
2022-03-07,3,2,20.9330715648
2022-03-08,4,2,21.8667692032
2022-03-09,13,2,18.3521681408
2022-03-10,5,5,-1.605770444800001
2022-03-11,1,0,2.4696554495999985
2022-03-12,4,1,-5.7069309952000005
2022-03-13,6,0,-0.3850290176000013
2022-03-14,3,4,27.035937689599997
2022-03-15,8,7,2.8968688640000018
2022-03-16,4,2,65.71607316480001
2022-03-17,0,2,7.122317004800003
2022-03-18,1,2,24.023277363199995
2022-03-19,2,0,-6.282210611200004
2022-03-20,0,0,-6.235964313600004
2022-03-21,5,0,34.529726464
2022-03-22,11,4,18.168293068800004
2022-03-23,7,2,26.900578816
2022-03-24,5,1,13.894800281600002
2022-03-25,0,0,16.010586931200002
2022-03-26,3,1,-12.369355264
2022-03-27,0,0,-7.592444620800003
2022-03-28,2,3,28.013953740799998
2022-03-29,0,3,5.634271436800002
2022-03-30,4,0,10.133553561600001
2022-03-31,17,0,31.244666777600003
2022-04-01,5,3,24.158951936
2022-04-02,3,2,-13.702457241600001
2022-04-03,0,1,-6.989594624000004
2022-04-04,3,7,1.4969040895999974
2022-04-05,10,2,2.4015907840000015
2022-04-06,8,5,3.3947163648000007
2022-04-07,5,3,2.646189465600001
2022-04-08,8,2,3.983685222400002
2022-04-09,0,0,1.0364646400000028
2022-04-10,0,1,-3.0074907648
2022-04-11,5,1,11.53195008
2022-04-12,2,2,12.344204288
2022-04-13,4,0,0.9337665535999999
2022-04-14,1,0,3.284015411199999
2022-04-15,3,0,-2.5228265472
2022-04-16,0,0,-2.2045887488
2022-04-17,0,0,-1.4634437632000001
2022-04-18,0,0,2.9543290879999997
2022-04-19,1,1,2.4072074240000005
2022-04-20,7,2,6.217597132800002
2022-04-21,2,0,3.4632482816000008
2022-04-22,2,2,2.6411431936
2022-04-23,2,1,-2.2022171648000004
2022-04-24,0,0,-0.15312855040000084
2022-04-25,2,0,14.00468992
2022-04-26,4,1,1.3100958720000007
2022-04-27,4,4,0.25890519039999926
2022-04-28,2,0,8.8777165824
2022-04-29,6,0,0.5197493248000007
2022-04-30,6,0,1.4577765375999996
2022-05-01,2,2,-0.26218547200000053
2022-05-02,2,0,0.2713594879999994
2022-05-03,0,0,9.4584989696
2022-05-04,0,0,-1.2270197759999988
2022-05-05,6,0,17.081236992
2022-05-06,6,0,8.048633036800002
2022-05-07,3,0,-4.9399501824000005
2022-05-08,1,0,-2.4822352896000015
2022-05-09,5,0,12.3493049344
2022-05-10,4,2,4.9972503552
2022-05-11,5,3,6.1428278272
2022-05-12,2,1,10.8548796416
2022-05-13,0,4,3.779247411200001
2022-05-14,2,0,-2.5638619136000003
2022-05-15,3,2,-2.853928755200001
2022-05-16,2,1,12.227806719999998
2022-05-17,6,3,9.860503552
2022-05-18,0,2,-2.9967835135999996
2022-05-19,2,2,8.063066726399999
2022-05-20,8,1,3.963892736000001
2022-05-21,3,0,0.24571289600000012
2022-05-22,1,0,-2.8197067776000004
2022-05-23,8,3,11.327412019199999
2022-05-24,3,1,11.179044352000002
2022-05-25,17,1,3.986742886400001
2022-05-26,18,4,3.7208853503999997
2022-05-27,2,0,4.1228675072
2022-05-28,1,0,-3.8279394304
2022-05-29,0,0,-2.1323200512000007
2022-05-30,6,4,20.5410192384
2022-05-31,3,15,5.502111744000002
2022-06-01,3,4,13.1420238848
2022-06-02,2,0,-2.151373824
2022-06-03,6,0,-2.869939609600001
2022-06-04,1,0,-2.5302484992000007
2022-06-05,0,0,-1.7068844032000006
2022-06-06,0,3,0.7608473599999994
2022-06-07,5,2,4.593814016000001
2022-06-08,3,1,1.7954772992000012
2022-06-09,6,3,2.1397226496000012
2022-06-10,0,4,-0.7741258751999995
2022-06-11,0,0,1.9710628863999997
2022-06-12,0,0,0.7870570495999998
2022-06-13,10,0,8.919029759999999
2022-06-14,4,2,12.348205056000001
2022-06-15,3,0,0.7169769472000009
2022-06-16,0,2,4.955689369599999
2022-06-17,7,2,1.7072866303999996
2022-06-18,0,0,1.2047371263999995
2022-06-19,0,0,-2.4288139264000006
2022-06-20,5,2,5.501637324799999
2022-06-21,3,8,9.5108513792
2022-06-22,1,8,0.18934681600000136
2022-06-23,0,4,8.305319424
2022-06-24,1,4,-0.6749972479999995
2022-06-25,1,0,-2.4933522432000004
2022-06-26,0,2,-1.4717312000000005
