,rails/rails,sinatra/sinatra,django/django
2011-09-08,20,2,8.0
2011-09-09,10,0,20.0
2011-09-10,20,0,30.0
2011-09-11,7,0,15.0
2011-09-12,45,1,2.0
2011-09-13,28,0,5.0
2011-09-14,18,2,2.0
2011-09-15,11,6,2.0
2011-09-16,13,0,9.0
2011-09-17,6,6,3.0
2011-09-18,7,2,6.0
2011-09-19,1,4,2.0
2011-09-20,4,1,2.0
2011-09-21,11,1,9.0
2011-09-22,28,6,18.0
2011-09-23,10,0,4.0
2011-09-24,8,0,3.0
2011-09-25,7,2,2.0
2011-09-26,22,0,4.0
2011-09-27,9,0,2.0
2011-09-28,12,0,2.0
2011-09-29,6,4,3.0
2011-09-30,12,5,5.0
2011-10-01,5,9,1.0
2011-10-02,13,0,1.0
2011-10-03,23,6,1.0
2011-10-04,20,5,3.0
2011-10-05,28,6,5.0
2011-10-06,18,0,3.0
2011-10-07,16,6,8.0
2011-10-08,22,0,5.0
2011-10-09,25,0,1.0
2011-10-10,20,0,5.0
2011-10-11,15,7,5.0
2011-10-12,10,0,2.0
2011-10-13,13,0,19.0
2011-10-14,17,8,5.0
2011-10-15,22,3,3.0
2011-10-16,7,0,8.0
2011-10-17,12,0,10.0
2011-10-18,13,0,4.0
2011-10-19,23,0,2.0
2011-10-20,15,0,4.0
2011-10-21,9,0,1.0
2011-10-22,17,0,7.0
2011-10-23,1,4,2.0
2011-10-24,9,0,2.0
2011-10-25,12,0,1.0
2011-10-26,10,0,10.0
2011-10-27,9,0,1.0
2011-10-28,3,4,4.0
2011-10-29,12,0,7.0
2011-10-30,11,7,2.0
2011-10-31,13,6,3.0
2011-11-01,6,1,6.0
2011-11-02,5,2,1.0
2011-11-03,12,0,1.0
2011-11-04,16,0,2.0
2011-11-05,17,6,0.0
2011-11-06,19,6,3.0
2011-11-07,14,2,3.0
2011-11-08,16,2,0.0
2011-11-09,12,2,1.0
2011-11-10,21,2,1.0
2011-11-11,12,2,2.0
2011-11-12,5,0,10.0
2011-11-13,38,0,4.0
2011-11-14,20,7,0.0
2011-11-15,9,2,1.0
2011-11-16,24,0,4.0
2011-11-17,22,2,3.0
2011-11-18,33,0,5.0
2011-11-19,15,1,8.0
