,defold/defold,cocos/cocos-engine,cocos2d/cocos2d-x
2015-12-05,0.0,1,5
2015-12-06,0.0,7,3
2015-12-07,11.0,22,15
2015-12-08,1.899999999999999,13,5
2015-12-09,1.2049999999999994,29,19
2015-12-10,-0.6485000000000005,17,17
2015-12-11,7.5972125,4,15
2015-12-12,-1.09627175,16,7
2015-12-13,-0.5944573874999995,4,10
2015-12-14,3.5782498037500003,24,30
2015-12-15,4.269843443078126,15,16
2015-12-16,4.047786290557813,33,19
2015-12-17,9.011370716360938,11,18
2015-12-18,8.444302724928125,30,17
2015-12-19,-1.8368260041250006,12,27
2015-12-20,-1.0387351202874997,7,14
2015-12-21,2.317606402500001,49,17
2015-12-22,-0.8273442958124986,32,17
2015-12-23,-0.5646930814718738,21,20
2015-12-24,-0.41789291525781164,18,11
2015-12-25,-0.3106018553359366,25,14
2015-12-26,-0.22802190551562437,4,0
2015-12-27,-0.12347456285937466,0,0
2015-12-28,-0.0332810887499999,26,1
2015-12-29,-0.028704939046874926,39,14
2015-12-30,-0.025196557607812434,33,12
2015-12-31,0.0,10,6
2016-01-01,0.0,0,0
2016-01-02,0.0,0,0
2016-01-03,0.0,2,0
2016-01-04,7.0,7,7
2016-01-05,2.2999999999999994,20,11
2016-01-06,-0.6150000000000004,7,8
2016-01-07,1.6654999999999998,22,12
2016-01-08,4.5698625,15,0
2016-01-09,-0.7648047499999999,8,1
2016-01-10,-0.4224843374999998,0,2
2016-01-11,2.6990330887500003,34,2
2016-01-12,9.464194720140625,22,7
2016-01-13,11.670595318201562,19,12
2016-01-14,1.0513059873921864,14,8
2016-01-15,3.6934073927187496,13,6
2016-01-16,-1.3251145201499996,0,1
2016-01-17,-0.821760300179686,4,0
2016-01-18,5.421093536250002,13,5
2016-01-19,7.937589185953126,20,7
2016-01-20,6.4448324734859375,10,24
2016-01-21,10.3165322541875,6,29
2016-01-22,-0.13383350326406296,5,12
2016-01-23,-1.3237011226859372,2,1
2016-01-24,-0.8633170876796864,3,3
2016-01-25,7.381095710000002,12,8
2016-01-26,0.7027247556562508,10,6
2016-01-27,0.024564847643750776,22,12
2016-01-28,2.2704154430515633,15,5
2016-01-29,4.228502031025001,7,1
2016-01-30,0.0463181435375003,6,0
2016-01-31,-0.5854898050718748,0,0
2016-02-01,-0.3806778449999995,17,5
2016-02-02,2.707941340875001,10,7
2016-02-03,6.46184656993125,14,5
2016-02-04,1.0234260806624997,11,6
2016-02-05,12.293765714667188,6,1
2016-02-06,-1.7356193189359383,1,0
2016-02-07,-0.8865503256953121,0,0
2016-02-08,13.427472859964062,0,4
2016-02-09,7.17373882375,0,0
2016-02-10,6.127797412203124,0,0
2016-02-11,24.110531696282813,0,7
2016-02-12,5.272078354967187,0,6
2016-02-13,-2.8507827742750003,3,2
2016-02-14,-1.7498040079671864,5,8
2016-02-15,8.803571140000003,8,12
2016-02-16,6.055906251531252,6,7
2016-02-17,7.970288602356251,28,7
2016-02-18,3.795969608051563,15,4
2016-02-19,0.09956477505625072,15,12
2016-02-20,-1.3859524830749987,9,0
2016-02-21,-0.8037687978234359,2,4
2016-02-22,1.4416244375000016,12,1
2016-02-23,2.3459216748437512,17,2
2016-02-24,0.2273224330156257,17,4
2016-02-25,1.4522398470562505,43,12
2016-02-26,0.4645892040468753,25,4
2016-02-27,-0.3822507412468747,5,0
2016-02-28,-0.21413448007187474,5,0
2016-02-29,-0.14761517999999962,27,11
2016-03-01,4.8815242727187504,34,14
2016-03-02,6.40096288463125,19,9
2016-03-03,2.004885724376562,15,19
2016-03-04,5.203870825182812,8,20
2016-03-05,-0.0641785180875003,1,1
2016-03-06,-0.689120102535937,4,0
2016-03-07,2.5433851875000006,6,11
2016-03-08,4.351572181250001,5,2
2016-03-09,4.082653523671875,25,8
2016-03-10,3.9521576324609375,13,5
2016-03-11,3.903291403201562,7,14
2016-03-12,-1.1128628819515625,2,1
2016-03-13,-0.6508437157312493,5,1
2016-03-14,1.5661137462140635,30,9
2016-03-15,2.466120267203126,14,2
2016-03-16,-0.6649004164359371,25,6
2016-03-17,0.596885628492188,22,21
2016-03-18,-0.3721293090078121,18,9
2016-03-19,-0.22905682775781197,8,0
