,docker-archive/classicswarm,hashicorp/nomad,kubernetes/kubernetes
2019-09-01,0,3,1
2019-09-02,0,4,16
2019-09-03,1,12,30
2019-09-04,0,31,23
2019-09-05,1,32,29
2019-09-06,0,22,30
2019-09-07,0,0,5
2019-09-08,0,0,1
2019-09-09,0,18,22
2019-09-10,0,2,30
2019-09-11,0,6,73
2019-09-12,0,5,64
2019-09-13,0,8,23
2019-09-14,0,0,8
2019-09-15,0,0,5
2019-09-16,0,5,32
2019-09-17,0,10,39
2019-09-18,0,13,32
2019-09-19,0,2,47
2019-09-20,0,3,40
2019-09-21,0,0,14
2019-09-22,0,1,12
2019-09-23,0,3,41
2019-09-24,0,8,50
2019-09-25,0,7,52
2019-09-26,0,10,46
2019-09-27,0,17,27
2019-09-28,0,3,12
2019-09-29,0,1,13
2019-09-30,0,9,35
2019-10-01,0,3,49
2019-10-02,0,2,31
2019-10-03,0,2,35
2019-10-04,0,5,46
2019-10-05,0,1,31
2019-10-06,0,0,20
2019-10-07,0,6,25
2019-10-08,0,23,46
2019-10-09,0,3,36
2019-10-10,0,17,51
2019-10-11,0,9,61
2019-10-12,0,0,27
2019-10-13,0,3,31
2019-10-14,0,5,26
2019-10-15,0,10,33
2019-10-16,0,8,69
2019-10-17,0,11,49
2019-10-18,0,13,42
2019-10-19,0,0,24
2019-10-20,0,0,14
2019-10-21,0,8,26
2019-10-22,0,18,43
2019-10-23,0,5,82
2019-10-24,0,5,73
2019-10-25,0,12,46
2019-10-26,0,0,7
2019-10-27,0,0,10
2019-10-28,0,10,49
2019-10-29,0,6,54
2019-10-30,0,4,42
2019-10-31,0,6,50
2019-11-01,0,7,33
2019-11-02,0,0,20
2019-11-03,0,0,6
2019-11-04,0,10,49
2019-11-05,0,39,52
2019-11-06,0,5,87
2019-11-07,0,12,84
2019-11-08,0,13,98
2019-11-09,0,0,28
2019-11-10,0,0,10
2019-11-11,0,17,57
2019-11-12,0,16,81
2019-11-13,0,7,106
2019-11-14,0,10,106
2019-11-15,0,2,83
2019-11-16,0,0,26
2019-11-17,0,0,1
2019-11-18,0,1,11
2019-11-19,0,32,15
2019-11-20,0,31,11
2019-11-21,0,22,13
2019-11-22,0,29,17
2019-11-23,0,0,25
2019-11-24,0,1,6
2019-11-25,0,7,17
2019-11-26,0,11,47
2019-11-27,0,0,37
2019-11-28,0,0,32
2019-11-29,0,0,14
2019-11-30,0,0,5
2019-12-01,0,0,3
2019-12-02,0,9,42
2019-12-03,0,13,51
2019-12-04,0,15,48
2019-12-05,0,5,48
2019-12-06,0,8,38
2019-12-07,0,1,11
2019-12-08,0,1,6
2019-12-09,0,7,33
2019-12-10,0,6,30
2019-12-11,0,7,56
2019-12-12,0,9,34
2019-12-13,0,13,48
2019-12-14,0,0,16
2019-12-15,0,0,12
2019-12-16,0,15,28
2019-12-17,0,2,52
2019-12-18,0,4,25
2019-12-19,0,7,48
2019-12-20,0,5,17
2019-12-21,0,0,16
2019-12-22,0,0,10
2019-12-23,0,0,14
2019-12-24,0,0,29
2019-12-25,0,0,24
2019-12-26,0,0,20
2019-12-27,0,0,29
2019-12-28,0,0,15
2019-12-29,0,0,6
2019-12-30,0,0,24
2019-12-31,0,0,27
2020-01-01,0,0,6
2020-01-02,0,2,18
2020-01-03,0,3,27
2020-01-04,0,0,15
2020-01-05,0,0,9
2020-01-06,0,3,33
2020-01-07,0,6,66
2020-01-08,0,8,47
2020-01-09,0,28,56
2020-01-10,0,5,68
2020-01-11,0,0,15
2020-01-12,0,0,8
2020-01-13,0,6,30
2020-01-14,0,2,32
2020-01-15,0,2,79
2020-01-16,0,5,84
2020-01-17,0,1,33
2020-01-18,0,0,19
2020-01-19,0,0,6
2020-01-20,0,1,29
2020-01-21,0,3,29
2020-01-22,0,8,39
2020-01-23,0,4,37
2020-01-24,0,50,34
2020-01-25,0,0,15
2020-01-26,0,0,10
2020-01-27,0,13,19
2020-01-28,0,13,24
2020-01-29,0,7,40
2020-01-30,0,15,37
2020-01-31,0,29,35
2020-02-01,0,36,16
2020-02-02,0,0,6
2020-02-03,0,30,22
2020-02-04,0,16,36
2020-02-05,0,0,20
2020-02-06,0,3,30
2020-02-07,0,19,64
2020-02-08,0,0,47
2020-02-09,0,0,16
2020-02-10,0,9,40
2020-02-11,0,5,29
2020-02-12,0,8,46
2020-02-13,0,14,55
2020-02-14,0,27,54
2020-02-15,0,5,12
2020-02-16,0,3,8
2020-02-17,0,0,14
2020-02-18,0,7,29
2020-02-19,0,21,41
2020-02-20,0,3,43
2020-02-21,0,7,38
2020-02-22,0,1,23
2020-02-23,0,6,13
2020-02-24,0,0,39
2020-02-25,0,3,39
2020-02-26,0,1,54
2020-02-27,0,3,50
2020-02-28,0,4,41
2020-02-29,0,3,17
2020-03-01,0,0,9
2020-03-02,0,12,56
2020-03-03,0,15,54
2020-03-04,0,5,49
2020-03-05,0,2,64
2020-03-06,0,3,69
2020-03-07,0,0,8
2020-03-08,0,0,3
2020-03-09,0,5,13
2020-03-10,0,2,23
2020-03-11,0,4,15
2020-03-12,0,8,20
2020-03-13,0,7,18
2020-03-14,0,2,6
2020-03-15,0,7,1
2020-03-16,0,7,10
2020-03-17,0,6,37
2020-03-18,0,6,41
2020-03-19,0,4,56
2020-03-20,0,6,26
2020-03-21,0,51,17
2020-03-22,0,8,15
2020-03-23,0,155,20
2020-03-24,0,71,57
2020-03-25,0,39,59
2020-03-26,0,31,42
2020-03-27,0,8,41
2020-03-28,0,7,18
2020-03-29,0,4,6
2020-03-30,1,38,28
2020-03-31,1,33,46
2020-04-01,0,30,31
2020-04-02,0,27,41
2020-04-03,0,30,33
2020-04-04,0,9,16
2020-04-05,0,3,6
2020-04-06,0,21,27
2020-04-07,0,21,39
2020-04-08,0,8,31
2020-04-09,0,16,28
2020-04-10,0,11,36
2020-04-11,0,2,15
2020-04-12,0,0,6
2020-04-13,0,12,32
2020-04-14,0,2,33
2020-04-15,0,2,35
2020-04-16,0,1,34
2020-04-17,0,3,29
2020-04-18,0,0,6
2020-04-19,0,1,10
2020-04-20,0,16,40
2020-04-21,0,8,28
2020-04-22,0,14,30
2020-04-23,0,9,49
2020-04-24,0,2,48
2020-04-25,0,2,11
2020-04-26,0,1,10
2020-04-27,0,7,32
2020-04-28,0,9,26
2020-04-29,0,10,32
2020-04-30,0,21,22
2020-05-01,0,17,36
2020-05-02,0,0,8
2020-05-03,0,2,8
2020-05-04,0,2,18
2020-05-05,0,6,27
2020-05-06,0,12,18
2020-05-07,0,44,33
2020-05-08,0,7,30
2020-05-09,0,8,29
2020-05-10,0,1,7
2020-05-11,0,24,25
2020-05-12,0,16,40
2020-05-13,0,38,39
2020-05-14,0,24,30
2020-05-15,0,21,38
2020-05-16,0,5,49
2020-05-17,0,1,19
2020-05-18,0,14,34
2020-05-19,6,27,49
2020-05-20,0,14,48
2020-05-21,0,20,28
2020-05-22,0,6,22
2020-05-23,0,0,9
2020-05-24,0,2,3
2020-05-25,0,0,22
2020-05-26,0,27,47
2020-05-27,0,18,33
2020-05-28,0,6,47
2020-05-29,1,5,33
2020-05-30,0,0,13
2020-05-31,0,5,2
2020-06-01,0,31,18
2020-06-02,0,11,28
2020-06-03,0,6,39
2020-06-04,0,8,33
2020-06-05,0,5,46
2020-06-06,2,0,12
2020-06-07,0,7,6
2020-06-08,0,1,30
2020-06-09,0,4,45
2020-06-10,0,2,37
2020-06-11,2,3,63
2020-06-12,0,4,28
2020-06-13,0,0,14
2020-06-14,0,0,4
2020-06-15,0,18,36
2020-06-16,0,39,35
2020-06-17,0,29,43
2020-06-18,0,13,35
2020-06-19,0,71,46
2020-06-20,0,4,23
2020-06-21,0,1,17
2020-06-22,0,21,28
2020-06-23,0,18,47
2020-06-24,0,25,48
2020-06-25,0,22,38
2020-06-26,0,17,32
2020-06-27,0,0,15
2020-06-28,0,0,14
2020-06-29,0,9,39
2020-06-30,0,10,50
2020-07-01,0,14,66
2020-07-02,0,9,53
2020-07-03,0,2,30
2020-07-04,0,5,11
2020-07-05,0,1,4
2020-07-06,0,12,31
2020-07-07,0,9,33
2020-07-08,0,18,39
2020-07-09,0,20,60
2020-07-10,0,19,31
2020-07-11,0,0,14
2020-07-12,0,0,42
2020-07-13,0,4,21
2020-07-14,0,4,13
2020-07-15,0,10,20
2020-07-16,0,22,26
2020-07-17,0,15,17
2020-07-18,0,0,9
2020-07-19,0,0,20
2020-07-20,0,16,23
2020-07-21,0,15,33
2020-07-22,0,26,32
2020-07-23,0,27,20
2020-07-24,0,29,29
2020-07-25,0,0,16
2020-07-26,0,0,4
2020-07-27,0,2,11
2020-07-28,0,2,16
2020-07-29,0,11,14
2020-07-30,0,32,26
2020-07-31,0,6,29
2020-08-01,0,0,8
2020-08-02,0,0,17
2020-08-03,0,0,13
2020-08-04,0,1,19
2020-08-05,0,19,16
2020-08-06,0,10,8
2020-08-07,0,19,19
2020-08-08,0,1,8
2020-08-09,0,0,9
2020-08-10,0,17,20
2020-08-11,0,20,20
2020-08-12,0,17,30
2020-08-13,0,9,26
2020-08-14,0,9,22
2020-08-15,0,0,5
2020-08-16,0,0,3
2020-08-17,0,5,12
2020-08-18,0,7,12
2020-08-19,0,7,11
2020-08-20,0,13,10
2020-08-21,0,2,16
2020-08-22,0,0,2
2020-08-23,0,3,1
2020-08-24,0,18,4
2020-08-25,0,20,9
2020-08-26,0,9,12
2020-08-27,0,16,68
2020-08-28,0,13,92
2020-08-29,0,5,9
2020-08-30,0,0,9
2020-08-31,0,15,21
