,gcc-mirror/gcc,llvm/llvm-project,golang/go
2008-06-03,12,27.0,0
2008-06-04,11,32.2,7
2008-06-05,6,25.560000000000002,5
2008-06-06,19,6.712000000000003,18
2008-06-07,13,-6.1952,15
2008-06-08,12,11.218495999999998,3
2008-06-09,13,22.4104576,15
2008-06-10,8,1.1435852800000035,2
2008-06-11,19,11.072490496,7
2008-06-12,17,-3.7235460095999997,14
2008-06-13,17,-2.8210566143999998,5
2008-06-14,9,-10.6252653568,2
2008-06-15,12,1.1845192703999992,1
2008-06-16,8,55.8469251072,6
2008-06-17,16,13.171520614400006,6
2008-06-18,27,-0.5986116607999961,13
2008-06-19,15,10.312968499200004,5
2008-06-20,12,24.555569254399998,1
2008-06-21,7,7.4971051008000025,3
2008-06-22,5,-18.0835968,1
2008-06-23,9,22.2693270528,2
2008-06-24,16,13.802406912000002,8
2008-06-25,14,6.916211200000003,9
2008-06-26,23,21.6294350848,17
2008-06-27,23,3.7677198336000046,12
2008-06-28,19,-1.5871688703999993,8
2008-06-29,16,-13.2279855104,1
2008-06-30,13,31.7253679104,6
2008-07-01,12,13.606440652800003,3
2008-07-02,37,30.776401305600004,2
2008-07-03,18,15.999052185600007,9
2008-07-04,16,-26.724463206399996,5
2008-07-05,7,-3.1316927488000026,2
2008-07-06,9,-14.1457127424,2
2008-07-07,29,34.5340945408,5
2008-07-08,15,22.185453465600006,11
2008-07-09,17,69.621664256,13
2008-07-10,14,-1.8552020991999854,4
2008-07-11,11,11.523888742400004,4
2008-07-12,5,-20.754084864,10
2008-07-13,5,-8.642595225600004,4
2008-07-14,20,19.944248012799996,6
2008-07-15,17,25.4853046272,14
2008-07-16,18,5.5198462976000044,9
2008-07-17,11,3.7889152000000053,10
2008-07-18,20,4.417923174400002,7
2008-07-19,13,-3.3272454143999965,7
2008-07-20,8,-12.627701043199998,2
2008-07-21,18,51.623708672,3
2008-07-22,7,13.098232217600003,5
2008-07-23,11,-3.320410521599996,4
2008-07-24,11,-0.5580631039999986,6
2008-07-25,13,52.9105926144,8
2008-07-26,6,-5.8163787775999936,4
2008-07-27,7,-11.147003904000002,5
2008-07-28,11,-4.735090688,8
2008-07-29,27,3.6440236031999973,5
2008-07-30,41,6.040254361599999,5
2008-07-31,80,-6.33957376,6
2008-08-01,69,-6.3661520896,5
2008-08-02,5,-5.870607462399999,2
2008-08-03,6,-2.2709914623999996,3
2008-08-04,62,12.0946953216,12
2008-08-05,65,37.6084588544,9
2008-08-06,54,13.429283328000004,2
2008-08-07,16,24.671344128000005,3
2008-08-08,31,18.404808601600003,7
2008-08-09,16,0.8129375232000022,3
2008-08-10,7,-2.0194567168000006,5
2008-08-11,8,4.131940761599999,8
2008-08-12,30,8.519724748800002,15
2008-08-13,19,18.2157103104,4
2008-08-14,13,0.6233974784000011,0
2008-08-15,7,-9.2363378688,0
2008-08-16,11,8.345368678399998,0
2008-08-17,8,34.2362883072,0
2008-08-18,25,0.021038592000003575,0
2008-08-19,11,24.8748109824,0
2008-08-20,73,29.2147652608,3
2008-08-21,21,23.854889881600002,2
2008-08-22,59,1.0978710528000022,2
2008-08-23,13,29.7058772992,0
2008-08-24,14,-14.758571417599995,0
2008-08-25,10,10.731439001599998,0
2008-08-26,14,19.7540841472,0
2008-08-27,14,12.627283865599999,0
2008-08-28,36,20.586555494400002,2
2008-08-29,40,-6.683735142399996,7
2008-08-30,15,-5.962908979199998,2
2008-08-31,24,-8.295854387200002,0
2008-09-01,21,2.944991027199997,1
2008-09-02,27,20.919096012799997,5
2008-09-03,32,31.101061222400006,11
2008-09-04,31,15.638316953600004,8
2008-09-05,21,15.778080768000002,3
2008-09-06,16,-24.8064093184,1
2008-09-07,9,-2.1671585792000023,0
2008-09-08,17,35.3149274112,5
2008-09-09,38,35.1349979136,8
2008-09-10,22,0.3298490367999989,9
2008-09-11,28,17.4133090304,11
2008-09-12,9,-12.1989056512,19
2008-09-13,19,-9.890310553600003,6
2008-09-14,9,-13.7471271936,1
2008-09-15,10,2.7495993343999956,4
2008-09-16,11,14.0083125248,8
2008-09-17,21,8.980061184,12
2008-09-18,28,6.099650457600003,9
2008-09-19,9,13.812076134400002,12
2008-09-20,7,-5.930424729599999,5
2008-09-21,12,10.1890688,1
2008-09-22,19,40.6359839744,11
2008-09-23,29,-1.1697048575999958,9
2008-09-24,12,40.6487517184,11
2008-09-25,10,-5.300441599999999,7
2008-09-26,27,30.111330304000003,19
2008-09-27,3,-15.390111846399996,7
2008-09-28,8,-9.988887040000002,2
2008-09-29,10,14.0143456256,7
2008-09-30,14,32.0117052416,18
2008-10-01,14,-0.02300999679999549,5
2008-10-02,9,2.1014977536000004,7
2008-10-03,9,27.754568601600003,7
2008-10-04,5,6.815376384000004,4
2008-10-05,8,29.680945971200003,3
2008-10-06,13,33.31508807680001,4
2008-10-07,18,-0.5904521215999949,7
2008-10-08,15,-16.621491199999994,11
2008-10-09,11,-14.343718502400002,2
2008-10-10,11,17.025822515199994,13
2008-10-11,10,-6.6822849536,2
2008-10-12,7,19.903479296,0
2008-10-13,10,10.381919334400003,1
2008-10-14,13,21.0455332864,6
2008-10-15,17,34.5658720256,9
2008-10-16,18,-1.8030384127999923,20
2008-10-17,7,36.421807718400004,10
2008-10-18,7,-20.1564176384,6
2008-10-19,9,-15.009090457600003,1
2008-10-20,10,31.918388735999997,13
2008-10-21,14,28.2143368192,11
2008-10-22,13,15.7733579776,10
2008-10-23,7,-6.196952883199998,7
2008-10-24,16,37.1233506304,14
2008-10-25,3,-15.416822579200002,8
2008-10-26,2,3.7725682688000006,4
2008-10-27,11,38.9646319616,3
2008-10-28,7,6.980928921600004,2
2008-10-29,19,16.754093158400003,22
2008-10-30,9,19.012716339200004,14
2008-10-31,14,16.023340544,11
2008-11-01,17,-30.3021041664,4
2008-11-02,6,2.5638603775999975,3
2008-11-03,23,26.047240294399998,12
2008-11-04,11,32.1322105856,10
2008-11-05,22,7.8865076224000035,15
2008-11-06,17,0.8060112896000078,15
2008-11-07,21,20.6555972608,8
2008-11-08,1,15.1213101056,4
2008-11-09,5,-15.475084185599997,0
2008-11-10,17,31.1977859072,6
2008-11-11,11,39.1034012672,5
2008-11-12,25,36.827753984000005,8
2008-11-13,16,19.293853184,8
2008-11-14,20,-11.9206986752,8
2008-11-15,14,-3.1307080704000043,5
2008-11-16,17,21.8019920896,1
2008-11-17,9,1.0001752064000016,9
2008-11-18,15,54.8791957504,17
2008-11-19,23,48.323748454400004,36
2008-11-20,21,7.4870075392000075,11
2008-11-21,17,21.098376396800006,9
2008-11-22,15,-7.283607142400001,2
2008-11-23,9,-15.206456320000001,2
2008-11-24,18,32.262159667199995,19
2008-11-25,15,2.0503283711999956,10
2008-11-26,12,23.382123315200005,3
2008-11-27,9,11.168872448000002,1
2008-11-28,7,-8.837873561599999,0
2008-11-29,13,-1.268056780800002,0
2008-11-30,6,20.383202611199998,0
2008-12-01,15,35.0460676096,2
2008-12-02,30,14.802964684800003,6
2008-12-03,18,19.0743488512,12
2008-12-04,12,-0.1400892415999948,8
2008-12-05,26,10.3841729536,11
2008-12-06,16,-14.342850764799998,2
2008-12-07,7,20.0557580288,0
2008-12-08,16,18.4966795264,2
2008-12-09,27,31.189121024000002,10
2008-12-10,15,0.8422886400000067,13
2008-12-11,12,7.886818508800005,10
2008-12-12,20,16.430976614400002,8
2008-12-13,8,-2.6344922111999978,1
2008-12-14,5,-12.4249334784,1
2008-12-15,10,18.7529153536,8
2008-12-16,7,26.121005670400002,6
2008-12-17,7,19.398582374400004,8
2008-12-18,17,13.404434841600008,4
2008-12-19,11,0.18700492800000035,21
2008-12-20,4,-4.430670335999999,2
2008-12-21,18,-1.980162969600002,6
2008-12-22,7,22.198289408,1
2008-12-23,5,23.0994987008,1
2008-12-24,2,-13.007858073599998,0
2008-12-25,1,-11.2717452288,0
2008-12-26,2,-0.7000465408000007,1
2008-12-27,5,-6.681870745600001,0
2008-12-28,2,-0.8322709504000017,0
2008-12-29,10,9.858602393600002,0
2008-12-30,13,-8.545210368,3
2008-12-31,6,11.6843308032,0
2009-01-01,4,0.41171886080000064,0
2009-01-02,10,30.516219289600002,0
2009-01-03,12,-6.342072627199997,0
2009-01-04,16,17.7597316096,0
2009-01-05,27,80.3496696832,4
2009-01-06,25,-5.427509350399987,18
2009-01-07,19,12.35197276160001,14
2009-01-08,9,24.7617857536,9
2009-01-09,17,18.7885869056,14
2009-01-10,6,-23.420461772799996,3
2009-01-11,11,5.034305228800001,0
2009-01-12,22,28.3341065216,0
2009-01-13,25,34.18739456,4
2009-01-14,19,-13.144493158399996,6
2009-01-15,13,10.278127411200003,11
2009-01-16,20,57.337152,38
2009-01-17,12,1.406553190400004,1
2009-01-18,10,0.823921459200001,0
2009-01-19,4,20.486408192,0
2009-01-20,14,27.2479814656,7
2009-01-21,11,33.8618138624,9
2009-01-22,13,9.483199078400006,3
2009-01-23,6,12.571741593600002,7
2009-01-24,8,-3.059299430400003,2
