,plotly/plotly.js,highcharts/highcharts,d3/d3
2012-09-19,0,1,13
2012-09-20,1,2,3
2012-09-21,0,2,0
2012-09-22,0,0,2
2012-09-23,0,2,1
2012-09-24,0,1,10
2012-09-25,0,6,15
2012-09-26,2,2,24
2012-09-27,6,1,10
2012-09-28,1,0,8
2012-09-29,0,0,12
2012-09-30,1,0,0
2012-10-01,1,4,1
2012-10-02,1,2,21
2012-10-03,3,1,3
2012-10-04,0,8,3
2012-10-05,0,5,16
2012-10-06,1,0,11
2012-10-07,1,0,0
2012-10-08,1,13,1
2012-10-09,1,2,0
2012-10-10,0,4,0
2012-10-11,1,7,4
2012-10-12,3,3,1
2012-10-13,6,1,0
2012-10-14,0,0,0
2012-10-15,0,9,1
2012-10-16,1,6,4
2012-10-17,2,6,2
2012-10-18,0,0,0
2012-10-19,1,0,1
2012-10-20,2,0,0
2012-10-21,1,0,0
2012-10-22,2,0,0
2012-10-23,0,0,0
2012-10-24,0,3,0
2012-10-25,1,3,2
2012-10-26,2,1,0
2012-10-27,2,0,1
2012-10-28,1,0,0
2012-10-29,7,5,6
2012-10-30,1,7,2
2012-10-31,0,8,2
2012-11-01,0,4,0
2012-11-02,0,2,2
2012-11-03,1,0,1
2012-11-04,0,0,0
2012-11-05,0,8,0
2012-11-06,0,1,0
2012-11-07,3,6,0
2012-11-08,0,4,0
2012-11-09,11,5,0
2012-11-10,0,0,4
2012-11-11,0,0,6
2012-11-12,0,4,0
2012-11-13,0,1,5
2012-11-14,0,3,7
2012-11-15,0,1,3
2012-11-16,1,6,2
2012-11-17,0,0,0
2012-11-18,0,0,13
2012-11-19,1,7,1
2012-11-20,0,0,1
2012-11-21,5,5,5
2012-11-22,0,4,0
2012-11-23,0,0,0
2012-11-24,0,0,0
2012-11-25,1,0,0
2012-11-26,1,6,1
2012-11-27,4,6,0
2012-11-28,0,4,0
2012-11-29,0,5,0
2012-11-30,2,7,1
2012-12-01,2,0,0
2012-12-02,0,0,0
2012-12-03,0,2,0
2012-12-04,0,8,2
2012-12-05,3,2,13
2012-12-06,2,7,9
2012-12-07,0,2,2
2012-12-08,3,0,2
2012-12-09,1,0,6
2012-12-10,1,4,7
2012-12-11,0,3,8
2012-12-12,0,5,34
2012-12-13,0,1,28
2012-12-14,0,2,5
2012-12-15,0,0,10
2012-12-16,0,0,0
2012-12-17,0,6,3
2012-12-18,0,1,4
2012-12-19,0,5,71
2012-12-20,0,1,26
2012-12-21,2,1,3
2012-12-22,1,0,0
2012-12-23,0,0,0
2012-12-24,0,0,0
2012-12-25,0,0,1
2012-12-26,3,1,0
2012-12-27,4,3,2
2012-12-28,0,0,5
2012-12-29,0,0,1
2012-12-30,0,0,0
2012-12-31,1,0,0
2013-01-01,0,0,3
2013-01-02,0,2,0
2013-01-03,0,5,0
2013-01-04,0,4,1
2013-01-05,0,0,1
2013-01-06,1,0,0
2013-01-07,0,7,1
2013-01-08,2,4,3
2013-01-09,1,1,0
2013-01-10,0,6,0
2013-01-11,4,3,3
2013-01-12,1,0,0
