,rescript-lang/rescript-compiler,google/closure-compiler,microsoft/typescript
2014-10-08,0,7.0,26
2014-10-09,0,8.299999999999999,35
2014-10-10,0,11.784999999999998,19
2014-10-11,0,-0.9045000000000016,7
2014-10-12,0,-1.0861375000000002,0
2014-10-13,0,2.2857202500000007,21
2014-10-14,0,8.165702662500001,22
2014-10-15,0,2.5387057637500003,28
2014-10-16,0,3.7554556301406254,14
2014-10-17,0,2.699225651357813,18
2014-10-18,0,2.815615811723438,6
2014-10-19,0,-1.108440183482812,6
2014-10-20,0,3.378082446214063,18
2014-10-21,0,5.141569994703126,39
2014-10-22,0,2.851386777751563,18
2014-10-23,0,15.929553543864063,32
2014-10-24,1,1.6878901897781242,18
2014-10-25,1,-1.5920842997421876,5
2014-10-26,1,-0.9683672122062496,4
2014-10-27,2,5.313328229856252,19
2014-10-28,1,7.885881770437502,26
2014-10-29,0,7.4063987142625,33
2014-10-30,3,8.194092746471874,23
2014-10-31,1,-0.026106516409375224,13
2014-11-01,2,-1.3702167451734368,18
2014-11-02,0,-0.8185807351437488,13
2014-11-03,1,9.406303960000002,24
2014-11-04,0,4.521796243156251,42
2014-11-05,0,6.549795176393751,22
2014-11-06,0,7.346034522535938,39
2014-11-07,0,7.168914804520313,33
2014-11-08,4,-1.921267651390625,14
2014-11-09,5,-1.0719183300718742,11
2014-11-10,3,7.238694462500002,25
2014-11-11,4,9.601445342343752,54
2014-11-12,6,4.046343164046875,31
2014-11-13,0,1.3317590019093748,19
2014-11-14,5,1.6980510963218756,14
2014-11-15,0,-1.1239259899640612,15
2014-11-16,0,0.2973549771765639,2
2014-11-17,2,1.422280292500001,25
2014-11-18,14,3.3671130121250012,27
2014-11-19,0,4.154659271540625,64
2014-11-20,0,4.019773117760938,47
2014-11-21,3,4.9911791069875,39
2014-11-22,6,1.8505529908453122,27
2014-11-23,15,-0.9428937788578122,9
2014-11-24,4,3.4256999944843756,8
2014-11-25,0,4.172220923932813,44
2014-11-26,0,5.984962499115626,33
2014-11-27,0,-1.3032277814718751,12
2014-11-28,0,-0.736034042757812,15
2014-11-29,0,-0.4999647295234366,16
2014-11-30,0,-0.3569673542624988,19
2014-12-01,0,1.7518013448921883,57
2014-12-02,6,1.6141241791875003,60
2014-12-03,2,9.550907151028126,34
2014-12-04,7,4.744027546210937,39
2014-12-05,0,2.7928830322484366,15
2014-12-06,0,0.9714414999999996,13
2014-12-07,2,2.1838174750000006,4
2014-12-08,1,2.162346082500001,16
2014-12-09,1,0.15570535646875072,24
2014-12-10,0,3.3478646313968756,105
2014-12-11,2,3.1435879372718754,70
2014-12-12,0,3.0690650365468755,91
2014-12-13,0,0.08664745272187513,7
2014-12-14,0,-0.6182659124249996,16
2014-12-15,0,3.6019372546312507,27
2014-12-16,0,-0.693260242904687,56
