,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2015-08-07,0,16,5.0
2015-08-08,8,3,0.4999999999999998
2015-08-09,1,5,0.8750000000000002
2015-08-10,44,15,3.8925
2015-08-11,13,8,-0.02981250000000024
2015-08-12,0,19,3.5270737500000005
2015-08-13,32,3,12.7363301875
2015-08-14,9,14,7.454398906249999
2015-08-15,5,4,-2.165286106328124
2015-08-16,0,3,-3.9717423596953116
2015-08-17,14,31,4.855192896253126
2015-08-18,37,51,7.433214479706249
2015-08-19,72,43,1.8743169440546872
2015-08-20,44,41,-1.4839417290437495
2015-08-21,43,28,11.783726673601564
2015-08-22,7,16,-6.367306861445313
2015-08-23,45,11,-2.7646175265890616
2015-08-24,25,36,11.33584669331875
2015-08-25,27,30,-4.074231316109376
2015-08-26,25,12,-1.5830750308015622
2015-08-27,15,25,-0.8451393216703127
2015-08-28,2,10,-1.4136856491765628
2015-08-29,10,1,1.130073258817187
2015-08-30,2,0,5.764214839007812
2015-08-31,3,27,-2.6496081712500006
2015-09-01,6,39,1.867644295796875
2015-09-02,36,2,1.3684757749578123
2015-09-03,9,0,-0.6039954037484374
2015-09-04,0,0,-1.0775636049984372
2015-09-05,14,0,0.3815485017671878
2015-09-06,17,0,0.2663974002187499
2015-09-07,3,21,1.2575303186749998
2015-09-08,9,20,1.9839814486203124
2015-09-09,4,14,-1.337445334046875
2015-09-10,10,14,8.388779586254687
2015-09-11,3,30,-3.068453068964063
2015-09-12,2,4,-0.18074954948281197
2015-09-13,1,8,-1.0060564655156248
2015-09-14,1,13,0.39632023500156255
2015-09-15,2,18,4.270809081985937
2015-09-16,6,27,2.0705127607374996
2015-09-17,1,18,-1.0255859534484375
2015-09-18,0,7,-1.223833813390625
2015-09-19,3,2,0.2852592571546875
2015-09-20,3,1,1.292091170734375
2015-09-21,1,2,0.9870115005171876
2015-09-22,5,7,9.896993214484375
2015-09-23,4,20,11.138760545439062
2015-09-24,7,8,17.96557354302344
2015-09-25,9,4,-2.6627567321968755
2015-09-26,2,0,-3.0928304119828107
2015-09-27,6,0,-4.092713239265624
2015-09-28,6,0,7.519455368235938
2015-09-29,5,0,14.210413291253126
2015-09-30,0,0,2.8765602328624986
2015-10-01,10,0,-4.984669654545312
2015-10-02,2,17,2.9255390953828133
2015-10-03,0,0,-4.518800756196876
2015-10-04,3,0,-2.235994917926562
2015-10-05,0,1,9.503592885301563
2015-10-06,2,3,9.584377143593748
2015-10-07,7,0,14.744374762875
2015-10-08,4,1,-7.058109320845313
2015-10-09,3,14,-0.3936593953421852
2015-10-10,3,2,0.3129984061750002
2015-10-11,5,3,-2.3496693801296873
2015-10-12,5,4,-2.1969123362499996
2015-10-13,11,3,1.5079656705781246
2015-10-14,2,13,18.944612945970313
2015-10-15,3,9,-0.42866033483750154
2015-10-16,5,3,-1.9991779064203117
2015-10-17,4,0,-2.1947711510281245
2015-10-18,0,0,-0.10087104374374967
2015-10-19,4,32,23.071184292803125
2015-10-20,3,8,12.342617403017186
2015-10-21,2,18,15.217977813453127
2015-10-22,1,23,-5.879250045526561
2015-10-23,10,20,8.785455621001564
2015-10-24,14,2,-8.712151791676561
2015-10-25,4,3,-4.341750816464061
2015-10-26,7,20,2.055851946985938
2015-10-27,14,27,2.274869443143749
2015-10-28,7,22,-0.0871374016484392
2015-10-29,9,22,0.7040929604703114
2015-10-30,8,22,1.0840254885859366
2015-10-31,3,23,5.416895802353125
2015-11-01,0,4,2.269289575775
2015-11-02,5,15,-2.3920025437499994
2015-11-03,9,32,10.028218323671876
2015-11-04,2,35,1.1656890882421873
2015-11-05,1,24,3.0878031085406255
2015-11-06,1,11,-0.04240051499374964
2015-11-07,0,0,-0.2128541349937496
2015-11-08,0,4,2.34751010794375
2015-11-09,0,5,11.98528576979375
2015-11-10,0,12,9.9632585938375
2015-11-11,7,16,-2.3926821944203125
2015-11-12,6,13,15.153441124362502
2015-11-13,44,48,-3.566347929256249
2015-11-14,1,19,-2.317770643442187
2015-11-15,45,6,-1.8372996094781247
2015-11-16,11,23,1.0586620202234376
2015-11-17,0,6,1.8904939898515618
2015-11-18,0,24,1.6737289645078115
2015-11-19,9,43,9.775246266946874
2015-11-20,0,47,-5.492670857726563
2015-11-21,0,3,3.5633211052656257
2015-11-22,0,0,3.8305010360390623
2015-11-23,4,17,0.3345491692703124
2015-11-24,3,14,8.019772375221876
2015-11-25,1,21,0.09137018199062474
2015-11-26,5,23,10.253795791257813
2015-11-27,1,15,3.8378086908828113
2015-11-28,1,8,5.218537447973437
2015-11-29,1,4,-0.03181991684374985
2015-11-30,35,12,5.214567670743751
2015-12-01,7,2,1.4142664165578127
2015-12-02,2,13,7.104314018896875
2015-12-03,5,12,8.775090663110937
2015-12-04,8,13,9.507700174117186
2015-12-05,19,6,-0.6644901391656255
2015-12-06,9,9,6.57547796575
2015-12-07,24,10,10.692202878845313
2015-12-08,78,12,10.978094836696876
2015-12-09,12,8,-3.3137156221875
2015-12-10,4,13,7.003387237432813
2015-12-11,6,8,-0.1439605140281266
2015-12-12,5,5,-4.5526792860078125
2015-12-13,6,3,7.828025657167188
2015-12-14,1,5,6.821770448684374
2015-12-15,1,14,3.979139713692187
2015-12-16,2,24,13.282244235246875
2015-12-17,6,16,8.695655485484373
2015-12-18,1,10,-2.5488333423484377
2015-12-19,0,2,1.3573828331156257
2015-12-20,3,1,0.9932680131062508
2015-12-21,9,4,-2.394051473903125
2015-12-22,3,9,7.029352462003125
2015-12-23,8,15,-0.7102710064484388
2015-12-24,26,22,0.6764516541265619
2015-12-25,25,29,6.115573767312499
2015-12-26,9,1,6.976289066949999
2015-12-27,4,22,-5.899876380504688
2015-12-28,0,33,6.262820618028126
2015-12-29,4,18,9.568125383323437
2015-12-30,2,19,15.649262694629687
2015-12-31,4,17,0.4814608768609361
2016-01-01,5,34,-2.120706237492186
2016-01-02,1,9,2.857071231179688
2016-01-03,0,2,2.644459003984375
2016-01-04,20,7,2.747481002456251
2016-01-05,4,6,6.865513741609375
2016-01-06,58,15,12.619705348685937
2016-01-07,22,21,-0.8404946041031263
2016-01-08,3,8,1.5933024724718754
2016-01-09,13,4,9.356665193843751
2016-01-10,3,7,0.5314336097109376
2016-01-11,16,25,17.9963056700125
2016-01-12,0,15,1.6029332875124993
2016-01-13,7,29,3.7181774917000006
2016-01-14,10,32,5.1423325826593755
2016-01-15,6,19,-0.9616317130484369
2016-01-16,4,4,4.9194769537625005
2016-01-17,16,7,1.295690052653125
2016-01-18,14,7,10.084634647382813
2016-01-19,7,27,-1.958566893237501
2016-01-20,4,23,6.3475097337249995
2016-01-21,11,14,1.4068450937687498
2016-01-22,0,15,2.3444493195031253
2016-01-23,6,10,7.647002699364062
2016-01-24,8,3,-0.6701512670515628
2016-01-25,5,15,8.961624165314063
2016-01-26,5,29,3.081629233387499
2016-01-27,3,17,10.68679640268125
2016-01-28,0,19,6.779735579415625
2016-01-29,1,4,-1.3649205954187504
2016-01-30,0,10,1.8739807262625012
2016-01-31,1,0,-4.7622053413156245
2016-02-01,0,30,9.565763119879687
2016-02-02,0,17,-2.0970631641156263
2016-02-03,2,14,13.825736705834375
