,facebook/react,emberjs/ember.js,angular/angular
2014-12-18,19,18,5.0
2014-12-19,5,11,0.0
2014-12-20,2,4,0.0
2014-12-21,2,41,0.0
2014-12-22,4,25,0.0
2014-12-23,7,25,0.0
2014-12-24,1,27,1.0
2014-12-25,2,11,0.0
2014-12-26,0,5,0.0
2014-12-27,0,3,0.0
2014-12-28,0,5,0.0
2014-12-29,5,9,6.0
2014-12-30,3,23,4.0
2014-12-31,2,6,0.0
2015-01-01,1,21,0.0
2015-01-02,2,23,0.0
2015-01-03,0,20,0.0
2015-01-04,0,14,0.0
2015-01-05,12,19,0.0
2015-01-06,1,8,5.0
2015-01-07,6,7,11.0
2015-01-08,2,1,6.0
2015-01-09,2,3,10.0
2015-01-10,1,7,0.0
2015-01-11,1,8,0.0
2015-01-12,3,4,3.0
2015-01-13,17,15,5.0
2015-01-14,4,7,3.0
2015-01-15,7,16,7.0
2015-01-16,11,13,3.0
2015-01-17,3,2,1.0
2015-01-18,1,0,0.0
2015-01-19,1,4,0.0
2015-01-20,5,0,11.0
2015-01-21,12,12,5.0
2015-01-22,18,10,14.0
2015-01-23,12,2,7.0
2015-01-24,2,4,1.0
2015-01-25,2,7,0.0
2015-01-26,5,17,1.0
2015-01-27,41,6,9.0
2015-01-28,10,0,5.0
2015-01-29,0,11,3.0
2015-01-30,6,9,2.0
2015-01-31,11,25,0.0
2015-02-01,1,16,0.0
2015-02-02,20,14,0.0
2015-02-03,11,9,0.0
2015-02-04,12,10,0.0
2015-02-05,11,4,22.0
2015-02-06,14,9,18.0
2015-02-07,2,13,4.0
2015-02-08,1,29,0.0
2015-02-09,12,7,2.0
2015-02-10,8,14,9.0
2015-02-11,9,5,6.0
2015-02-12,13,15,3.0
2015-02-13,10,5,7.0
2015-02-14,8,5,3.0
2015-02-15,1,16,3.0
2015-02-16,2,3,2.0
2015-02-17,19,2,15.0
2015-02-18,9,2,15.0
2015-02-19,20,5,10.0
2015-02-20,20,6,7.0
