,statsmodels/statsmodels,mlpack/mlpack,scikit-learn/scikit-learn
2010-04-05,1,2.0,0
2010-04-06,0,0.20000000000000018,4
2010-04-07,0,1.36,0
2010-04-08,1,0.9520000000000001,8
2010-04-09,1,-1.1872,0
2010-04-10,0,-0.46950400000000003,0
2010-04-11,4,1.7129215999999998,0
2010-04-12,14,1.99719168,0
2010-04-13,3,2.4054876160000003,3
2010-04-14,1,13.7885804544,9
2010-04-15,0,-5.235050700799999,5
2010-04-16,4,-3.2166117376,0
2010-04-17,6,-1.5917787136000003,0
2010-04-18,3,-1.0190387200000008,0
2010-04-19,2,-0.7397079040000003,9
2010-04-20,1,3.4281391104,15
2010-04-21,1,0.9611273216000003,16
2010-04-22,1,-2.0104251391999997,13
2010-04-23,0,-0.8510819327999999,7
2010-04-24,14,1.6160036863999998,0
2010-04-25,1,0.955392,1
2010-04-26,1,-1.2217087999999998,1
2010-04-27,0,0.48962816,0
2010-04-28,0,10.273065472,2
2010-04-29,0,-1.7597637631999987,7
2010-04-30,0,-1.7282248703999996,4
2010-05-01,0,-1.58826752,0
2010-05-02,11,-0.8666045440000004,0
2010-05-03,12,2.4028570624,10
2010-05-04,13,1.3719819264000002,10
2010-05-05,0,-0.8760734719999996,8
2010-05-06,0,2.7904141312000004,11
2010-05-07,0,-1.2414174207999995,23
2010-05-08,0,-1.2122061824,1
2010-05-09,0,1.4108562432,6
2010-05-10,7,-1.18435328,4
2010-05-11,0,2.475049984,0
2010-05-12,2,3.4479630336000002,6
2010-05-13,0,-0.5931956223999997,2
2010-05-14,0,3.2563044352,1
2010-05-15,4,-1.7970747391999997,1
2010-05-16,4,-1.4753952768,0
2010-05-17,3,2.2278389759999997,6
2010-05-18,5,-1.7274279936,2
2010-05-19,1,-0.7346063360000001,0
2010-05-20,6,1.5123178496,3
2010-05-21,6,-0.13391820799999987,0
2010-05-22,7,-0.8496014336,0
2010-05-23,0,-0.396036096,0
2010-05-24,0,11.7848901632,3
2010-05-25,0,7.053028864000001,1
2010-05-26,0,-1.354272870399999,4
2010-05-27,1,-2.26770432,19
2010-05-28,3,-0.7158819840000006,5
2010-05-29,0,-2.259376025600001,6
2010-05-30,0,-1.2237805568000004,2
2010-05-31,3,-0.8569651200000001,2
2010-06-01,0,5.339764736,2
2010-06-02,0,-1.9331296255999995,7
2010-06-03,0,6.5679760384,3
2010-06-04,2,-3.8350433279999994,3
2010-06-05,0,0.6704922623999998,0
2010-06-06,0,-0.5589083135999999,0
2010-06-07,2,-0.1405312000000003,2
2010-06-08,5,4.97919744,0
2010-06-09,8,5.039789568000001,3
2010-06-10,4,-4.324413132799999,10
2010-06-11,0,-1.5955222528,1
2010-06-12,2,-0.9536415744000003,0
2010-06-13,0,-0.5841571840000004,0
2010-06-14,6,0.5634822143999998,2
2010-06-15,3,0.2781171712000001,3
2010-06-16,8,3.2293030912000003,13
2010-06-17,4,2.0179653632000005,6
2010-06-18,3,11.712014745600001,3
2010-06-19,0,-6.407551999999999,0
2010-06-20,0,-1.1553152,0
2010-06-21,4,1.3764582399999998,7
2010-06-22,6,2.8524129279999997,11
2010-06-23,0,9.9633830912,14
2010-06-24,0,-4.501988044799999,0
2010-06-25,1,-0.2037553152,8
2010-06-26,0,-2.8561917952,13
2010-06-27,1,-1.4449943552000004,2
2010-06-28,3,-0.8496593920000004,7
2010-06-29,2,-0.6333436928000002,0
2010-06-30,7,0.5112272896000001,0
2010-07-01,3,-0.7666457599999997,2
2010-07-02,0,-0.3717991423999999,1
2010-07-03,0,-0.13506344959999997,5
2010-07-04,0,-0.07999447040000005,9
2010-07-05,0,-0.029952000000000017,1
2010-07-06,0,-0.022963200000000007,11
2010-07-07,5,1.98162944,9
2010-07-08,2,-0.8151557119999998,3
2010-07-09,4,0.7472018432,0
2010-07-10,0,-0.5279999999999999,6
2010-07-11,0,-0.2032000000000001,0
2010-07-12,2,-0.12390400000000004,0
2010-07-13,4,1.9124736,1
2010-07-14,5,1.1333068800000001,2
2010-07-15,1,-0.09327462399999975,3
2010-07-16,13,0.18803312640000014,42
2010-07-17,0,-0.746355712,3
2010-07-18,0,-0.33990215680000013,6
2010-07-19,3,-0.2114304000000001,2
2010-07-20,2,-0.15421952000000005,5
2010-07-21,2,-0.119967744,1
2010-07-22,1,-0.09724149759999998,2
2010-07-23,6,-0.05912258559999998,1
2010-07-24,0,-0.02795386879999999,2
2010-07-25,0,-0.012798156799999997,0
2010-07-26,2,0.0,14
2010-07-27,0,3.0,74
2010-07-28,0,-1.1999999999999997,18
2010-07-29,1,-0.36,4
2010-07-30,0,-0.192,4
2010-07-31,2,-0.12480000000000013,8
2010-08-01,0,-0.08985600000000005,6
