,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2015-06-16,3,10,6
2015-06-17,19,10,7
2015-06-18,33,12,21
2015-06-19,1,4,19
2015-06-20,0,0,3
2015-06-21,0,0,2
2015-06-22,0,10,8
2015-06-23,2,11,13
2015-06-24,2,10,9
2015-06-25,9,13,24
2015-06-26,14,11,10
2015-06-27,0,0,8
2015-06-28,0,0,0
2015-06-29,9,1,10
2015-06-30,5,2,11
2015-07-01,9,2,7
2015-07-02,4,1,7
2015-07-03,4,0,12
2015-07-04,0,0,2
2015-07-05,0,0,2
2015-07-06,22,8,5
2015-07-07,18,1,7
2015-07-08,6,4,2
2015-07-09,10,2,3
2015-07-10,9,2,0
2015-07-11,0,0,0
2015-07-12,0,0,0
2015-07-13,6,0,5
2015-07-14,11,1,4
2015-07-15,23,0,1
2015-07-16,17,8,9
2015-07-17,4,18,24
2015-07-18,0,8,5
2015-07-19,0,0,7
2015-07-20,12,10,30
2015-07-21,6,34,23
2015-07-22,10,29,14
2015-07-23,6,31,13
2015-07-24,14,22,7
2015-07-25,0,6,0
2015-07-26,0,0,1
2015-07-27,11,19,12
2015-07-28,12,15,11
2015-07-29,8,17,3
2015-07-30,10,31,7
2015-07-31,11,13,3
2015-08-01,0,4,2
2015-08-02,0,2,3
2015-08-03,25,17,2
2015-08-04,12,18,0
2015-08-05,1,13,0
2015-08-06,6,17,9
2015-08-07,13,39,14
2015-08-08,0,7,0
2015-08-09,0,0,0
2015-08-10,5,27,6
2015-08-11,8,50,3
2015-08-12,7,11,19
2015-08-13,11,30,9
2015-08-14,4,17,1
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,0,26,0
2015-08-18,6,20,10
2015-08-19,2,29,7
2015-08-20,1,26,6
2015-08-21,1,17,8
2015-08-22,0,9,3
2015-08-23,1,0,1
2015-08-24,4,21,8
2015-08-25,7,49,3
2015-08-26,3,43,6
2015-08-27,6,24,2
2015-08-28,18,25,24
2015-08-29,0,11,4
2015-08-30,0,6,0
2015-08-31,5,24,23
2015-09-01,12,15,20
2015-09-02,8,21,8
2015-09-03,12,29,19
2015-09-04,26,24,27
2015-09-05,3,4,3
2015-09-06,0,1,4
