,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2020-12-25,0,1.0,6
2020-12-26,0,-0.10000000000000009,2
2020-12-27,0,-0.04500000000000003,6
2020-12-28,0,6.9715,48
2020-12-29,0,7.2793375,42
2020-12-30,1,11.86888325,54
2020-12-31,1,3.1273379874999985,20
2021-01-01,1,-0.4687311962500005,5
2021-01-02,0,-0.9831855630156245,7
2021-01-03,0,0.31442055996406404,7
2021-01-04,1,20.375717776250003,27
2021-01-05,2,37.42691982639062,86
2021-01-06,0,40.66501666437343,85
2021-01-07,0,20.72062811675937,79
2021-01-08,0,36.371850405704684,91
2021-01-09,0,-0.10067633819531352,15
2021-01-10,0,-1.4240398112859332,8
2021-01-11,0,23.92556306573438,82
2021-01-12,1,37.19370964913594,112
2021-01-13,0,25.029724948620313,107
2021-01-14,0,19.10272946734375,74
2021-01-15,2,15.709897980159376,73
2021-01-16,1,4.416740549321878,21
2021-01-17,0,-4.129991048170307,8
2021-01-18,0,3.677705645150006,28
2021-01-19,0,26.818226724168756,62
2021-01-20,2,38.69045560557188,100
2021-01-21,0,20.573392175189063,95
2021-01-22,0,38.26880201364219,104
2021-01-23,0,4.671274860920311,24
2021-01-24,0,-3.917305335248434,17
2021-01-25,0,16.070341060339068,98
2021-01-26,0,25.171102018854693,75
2021-01-27,0,28.84663340677969,109
2021-01-28,1,41.753271843734375,90
2021-01-29,1,27.91673173023125,73
2021-01-30,0,0.319005967040626,44
2021-01-31,1,-2.9559540758203084,4
2021-02-01,0,18.918895241001568,74
2021-02-02,1,55.75262145961563,100
2021-02-03,3,34.5089733275625,86
2021-02-04,0,58.375019639624995,95
2021-02-05,2,24.66618019972656,78
2021-02-06,0,2.45000159041094,27
2021-02-07,2,-4.528151487220308,6
2021-02-08,1,19.7839806118797,72
2021-02-09,0,21.63293672178282,79
2021-02-10,0,29.964587562720318,93
2021-02-11,0,33.88129316512031,71
2021-02-12,0,8.17031952960625,82
2021-02-13,0,4.265177607228127,38
2021-02-14,0,6.924741485717192,4
2021-02-15,2,-1.4274135282640579,48
2021-02-16,3,6.756311659501568,54
2021-02-17,0,36.58057238591407,92
2021-02-18,2,40.76038084241563,68
2021-02-19,1,38.91360983576406,41
2021-02-20,0,2.9946368134749957,38
2021-02-21,2,-3.062809828782811,15
2021-02-22,1,24.832584152167193,91
2021-02-23,0,24.12746661802188,113
2021-02-24,2,19.42082062473594,99
2021-02-25,0,33.361372142765624,114
2021-02-26,1,24.862424563078125,115
2021-02-27,1,0.05467207657656381,33
2021-02-28,0,0.6297272233734414,11
2021-03-01,2,34.00789576427188,66
2021-03-02,0,67.39776665243906,77
2021-03-03,0,47.67631453348906,98
2021-03-04,0,19.05525502301562,98
2021-03-05,0,38.18163373719062,133
2021-03-06,1,-3.837391575953122,23
2021-03-07,0,-4.075654290310929,12
2021-03-08,0,22.90542416911876,60
2021-03-09,2,37.36259948019063,79
2021-03-10,1,39.24649647422813,116
2021-03-11,1,37.08546851066875,93
2021-03-12,4,62.84231823939531,105
2021-03-13,0,-2.980204364614064,43
2021-03-14,1,-1.1973775515843705,22
2021-03-15,2,24.047509548201567,75
2021-03-16,2,19.721141692954696,135
2021-03-17,0,27.560066598806255,89
2021-03-18,1,32.813135827418755,107
2021-03-19,1,19.02849216529063,132
2021-03-20,0,-0.9801939693296848,41
2021-03-21,2,-2.4681553640296823,17
2021-03-22,1,24.336599308531255,71
2021-03-23,0,37.52012165552969,113
2021-03-24,3,23.320361591250002,89
2021-03-25,0,22.60715737973281,91
2021-03-26,3,25.663581495101564,33
2021-03-27,0,21.397335870339063,6
2021-03-28,0,-1.2775212508656235,8
2021-03-29,0,41.07091881070157,62
2021-03-30,1,33.95997435170469,80
2021-03-31,1,37.04256446057188,101
2021-04-01,0,54.18271358747031,75
2021-04-02,1,40.99062034216719,81
2021-04-03,2,-2.068604671843749,15
2021-04-04,0,-7.063036463639058,12
2021-04-05,1,27.51163834586407,61
2021-04-06,1,48.68149216856563,52
2021-04-07,2,40.68479205919063,89
2021-04-08,0,27.057192572271873,93
2021-04-09,0,27.892715474096875,72
2021-04-10,0,7.178801122871878,14
2021-04-11,1,-0.43558792331093166,5
2021-04-12,1,24.64814923537501,47
2021-04-13,0,65.18622569044844,74
2021-04-14,1,46.407878353689064,79
2021-04-15,2,75.80634111169063,77
2021-04-16,0,38.368055706073434,70
2021-04-17,0,-1.9476817147093755,18
2021-04-18,0,-3.451164966381244,9
2021-04-19,1,26.0776940282797,94
2021-04-20,2,42.645966786779695,104
2021-04-21,0,62.38316990429688,96
2021-04-22,2,42.30045051750625,95
2021-04-23,0,30.796788260040625,87
2021-04-24,0,-0.05402460600624792,15
2021-04-25,0,3.824416866871882,7
2021-04-26,3,31.47682652772501,61
2021-04-27,1,78.61355913401876,65
2021-04-28,0,28.978854376267186,86
2021-04-29,1,47.933445130526565,52
2021-04-30,6,42.81191545100156,75
2021-05-01,1,11.882015980300004,12
2021-05-02,0,4.861705152231256,7
2021-05-03,2,30.06396821838126,59
2021-05-04,1,36.69289476372501,71
2021-05-05,0,27.425050182525005,72
2021-05-06,0,51.78931164470157,83
2021-05-07,0,39.86652700751719,81
2021-05-08,1,1.8495592252187514,31
2021-05-09,0,-4.409650986153121,12
2021-05-10,0,29.213979458867197,62
2021-05-11,0,51.3472663148672,85
2021-05-12,0,62.28674997241563,89
2021-05-13,1,58.61703857125312,94
2021-05-14,1,46.372313316665625,61
2021-05-15,1,-4.429914681540625,37
2021-05-16,0,-7.3319926865874905,12
2021-05-17,0,34.62658195618439,92
2021-05-18,1,30.120340143059387,76
2021-05-19,0,22.39225821707032,80
2021-05-20,0,30.878359457739066,76
2021-05-21,1,58.458733631501566,102
2021-05-22,0,11.695730285959375,21
2021-05-23,0,1.940403710151564,8
2021-05-24,1,17.46847881485938,53
2021-05-25,1,39.108342907537505,82
2021-05-26,0,33.815665058417196,101
2021-05-27,0,29.35940453459844,94
2021-05-28,0,6.459060303225002,39
2021-05-29,0,-1.315407233999995,6
2021-05-30,0,0.6999615564312576,4
2021-05-31,0,2.996617060965633,23
2021-06-01,1,26.501543294729693,53
2021-06-02,1,46.50009471416875,70
2021-06-03,0,24.588793469925,85
2021-06-04,0,47.272875918345306,70
2021-06-05,0,12.174125240348435,12
2021-06-06,0,-1.5239402836687477,5
2021-06-07,0,15.74224725794063,51
2021-06-08,1,41.200102906175005,89
2021-06-09,0,39.48594377427969,100
2021-06-10,0,28.168435983359373,80
2021-06-11,0,27.517674769865625,84
2021-06-12,0,-0.21404199204530983,17
2021-06-13,0,-1.4126914658203056,6
2021-06-14,1,15.387954157365632,58
2021-06-15,1,32.73704298770626,92
2021-06-16,0,25.71647724001094,71
2021-06-17,1,46.40905673606094,97
2021-06-18,0,19.242500559931248,114
2021-06-19,0,-0.21684730669374908,15
2021-06-20,0,-1.6538800922203087,10
2021-06-21,2,23.920410612098443,79
2021-06-22,2,41.23321560700782,85
2021-06-23,0,41.6849006534375,98
2021-06-24,1,40.25974731411875,104
2021-06-25,1,35.54661867222031,71
2021-06-26,0,-1.5698232343937484,18
2021-06-27,0,-4.918636612667182,3
2021-06-28,1,34.21033534515001,49
2021-06-29,3,26.516174976668758,78
2021-06-30,4,44.96300297975938,77
2021-07-01,0,24.838825142529686,78
2021-07-02,1,1.7808025824218774,62
2021-07-03,0,0.49716943323437945,9
2021-07-04,0,-4.843549913793742,8
2021-07-05,0,-3.1807641276046796,37
2021-07-06,3,10.544392002318757,48
2021-07-07,1,50.67656401981719,71
2021-07-08,1,30.5764396677,106
2021-07-09,0,42.405305113798434,77
2021-07-10,0,9.005520344320308,21
2021-07-11,0,3.3823416809953137,11
2021-07-12,0,29.87962236974844,53
2021-07-13,2,13.036471773750005,73
2021-07-14,0,14.73863335829688,97
2021-07-15,0,18.800238431689067,93
2021-07-16,1,28.491910030965627,84
2021-07-17,0,-2.3297149546468727,15
2021-07-18,0,4.29247283892188,2
2021-07-19,0,23.12410365544688,57
2021-07-20,0,45.70923808159375,64
2021-07-21,0,32.71375721717969,73
2021-07-22,0,28.462029282203122,81
2021-07-23,0,26.428888590104684,72
2021-07-24,0,3.45877138730469,19
2021-07-25,0,-3.2956357575859325,4
2021-07-26,1,31.638299233929693,57
2021-07-27,0,39.164137604504695,79
2021-07-28,1,23.225874758982815,76
2021-07-29,0,19.756831988276563,81
2021-07-30,1,35.412195695698436,81
2021-07-31,0,-1.8209368918765598,36
2021-08-01,0,-4.751463633695309,16
2021-08-02,1,23.130897190521882,90
2021-08-03,0,43.414593246329694,79
2021-08-04,2,19.5528065299875,77
2021-08-05,0,20.522896984346875,77
2021-08-06,0,20.8636566781625,80
2021-08-07,0,-0.04303796692812156,30
2021-08-08,0,-4.920867633904683,11
2021-08-09,2,30.844352307982817,69
2021-08-10,0,29.19181022979219,97
2021-08-11,0,19.999317298764062,94
2021-08-12,1,12.284566366301563,79
2021-08-13,1,30.279136782056252,92
2021-08-14,2,0.9236064908062511,22
2021-08-15,0,0.16687176288437833,9
2021-08-16,0,25.38961217224844,52
2021-08-17,1,30.527955401218755,70
2021-08-18,1,43.03693702198125,88
2021-08-19,2,25.08433653107031,57
2021-08-20,0,25.730967619232814,57
2021-08-21,1,-0.22483284924531155,19
2021-08-22,0,-4.728400039168745,12
2021-08-23,1,11.152055473384381,59
2021-08-24,1,40.599556469867196,75
2021-08-25,1,37.493011270395314,78
2021-08-26,1,32.292435060425,62
2021-08-27,0,33.03869870817187,57
2021-08-28,0,-0.21185896125312453,19
2021-08-29,0,1.8158023759031288,5
