,AMS_ij,normalized_AMS_ij,normalized_last
pulsar-edit/pulsar -> neovim/neovim,-1.5133093048912958,-26.351872963585578,-26.351872963585578
microsoft/vscode -> neovim/neovim,-0.1632439743440217,-3.165860670093186,-3.165860670093186
neovim/neovim -> pulsar-edit/pulsar,-0.2680328890075085,-10.478821926748996,-10.478821926748996
microsoft/vscode -> pulsar-edit/pulsar,0.11847950510022714,1.7775280197313357,1.7775280197313357
neovim/neovim -> microsoft/vscode,-4.159415552608011,-20.369885539199213,-20.369885539199213
pulsar-edit/pulsar -> microsoft/vscode,-2.791664553401633,-13.440371174933263,-13.440371174933263
