,spring-projects/spring-framework,apache/struts,apache/tomcat
2008-09-10,0,0,2
2008-09-11,0,0,0
2008-09-12,0,0,1
2008-09-13,0,0,3
2008-09-14,0,0,3
2008-09-15,3,0,2
2008-09-16,5,0,2
2008-09-17,2,0,5
2008-09-18,0,0,6
2008-09-19,0,0,5
2008-09-20,0,0,0
2008-09-21,0,0,0
2008-09-22,0,0,1
2008-09-23,0,0,2
2008-09-24,0,0,2
2008-09-25,0,0,4
2008-09-26,0,0,4
2008-09-27,0,0,8
2008-09-28,0,0,0
2008-09-29,0,0,2
2008-09-30,0,0,3
2008-10-01,0,0,4
2008-10-02,0,0,1
2008-10-03,0,0,4
2008-10-04,0,3,0
2008-10-05,0,0,1
2008-10-06,0,0,2
2008-10-07,0,0,4
2008-10-08,0,0,3
2008-10-09,0,0,1
2008-10-10,0,0,1
2008-10-11,0,0,0
2008-10-12,0,0,0
2008-10-13,0,0,0
2008-10-14,0,0,0
2008-10-15,0,0,0
2008-10-16,0,0,0
2008-10-17,0,0,0
2008-10-18,0,0,0
2008-10-19,0,0,1
2008-10-20,0,0,3
2008-10-21,1,0,3
2008-10-22,5,0,2
2008-10-23,12,0,2
2008-10-24,7,0,3
2008-10-25,1,0,3
2008-10-26,1,0,0
2008-10-27,22,0,11
2008-10-28,17,0,11
2008-10-29,33,0,5
2008-10-30,29,0,1
2008-10-31,20,0,1
2008-11-01,0,0,0
2008-11-02,0,0,5
2008-11-03,25,0,7
2008-11-04,1,0,2
2008-11-05,0,0,6
2008-11-06,1,0,3
2008-11-07,2,0,6
2008-11-08,4,0,0
2008-11-09,0,0,3
2008-11-10,0,0,3
2008-11-11,0,0,3
2008-11-12,0,0,1
2008-11-13,0,0,3
2008-11-14,1,0,9
2008-11-15,0,0,13
2008-11-16,2,0,17
2008-11-17,4,1,5
2008-11-18,2,2,4
2008-11-19,9,1,11
2008-11-20,19,0,3
2008-11-21,4,4,7
2008-11-22,0,0,3
2008-11-23,0,0,5
2008-11-24,3,3,16
2008-11-25,4,0,7
2008-11-26,2,1,6
2008-11-27,9,0,3
2008-11-28,3,0,0
2008-11-29,1,0,2
2008-11-30,0,1,3
2008-12-01,0,4,1
2008-12-02,0,5,6
2008-12-03,0,5,0
2008-12-04,0,0,4
2008-12-05,6,0,5
2008-12-06,0,2,1
2008-12-07,4,4,0
2008-12-08,1,3,3
2008-12-09,2,3,6
2008-12-10,1,0,5
2008-12-11,12,1,13
2008-12-12,15,0,2
2008-12-13,8,0,0
2008-12-14,15,1,0
2008-12-15,14,2,0
2008-12-16,12,2,1
2008-12-17,22,4,3
2008-12-18,12,2,1
2008-12-19,10,3,4
2008-12-20,15,1,1
2008-12-21,1,5,0
2008-12-22,0,4,3
2008-12-23,0,2,3
2008-12-24,8,8,14
2008-12-25,0,3,0
2008-12-26,0,0,15
2008-12-27,0,1,11
2008-12-28,0,0,1
2008-12-29,0,3,3
2008-12-30,0,0,4
2008-12-31,0,1,2
2009-01-01,0,0,5
2009-01-02,0,3,2
2009-01-03,0,7,5
2009-01-04,0,0,1
2009-01-05,0,2,3
2009-01-06,8,0,1
2009-01-07,10,0,0
2009-01-08,1,0,3
2009-01-09,4,0,6
2009-01-10,0,0,3
2009-01-11,0,2,0
2009-01-12,1,1,10
2009-01-13,1,0,0
2009-01-14,8,0,9
2009-01-15,6,2,14
2009-01-16,1,2,0
2009-01-17,0,0,0
2009-01-18,0,0,0
2009-01-19,4,0,0
2009-01-20,7,0,0
2009-01-21,9,0,0
2009-01-22,5,0,0
2009-01-23,6,0,0
2009-01-24,2,0,0
2009-01-25,3,0,0
2009-01-26,4,0,0
2009-01-27,1,0,1
2009-01-28,0,1,0
2009-01-29,0,1,0
2009-01-30,0,0,5
2009-01-31,0,0,1
2009-02-01,0,0,0
2009-02-02,0,1,0
2009-02-03,1,0,0
2009-02-04,0,0,5
2009-02-05,7,3,0
2009-02-06,5,0,1
2009-02-07,0,0,0
2009-02-08,0,0,0
2009-02-09,8,2,9
2009-02-10,1,1,1
2009-02-11,0,1,1
2009-02-12,9,6,3
2009-02-13,11,4,3
2009-02-14,3,0,0
2009-02-15,3,0,0
2009-02-16,6,0,0
2009-02-17,5,0,0
2009-02-18,3,1,0
2009-02-19,4,0,0
2009-02-20,3,0,4
2009-02-21,3,0,3
2009-02-22,6,0,1
2009-02-23,4,10,1
2009-02-24,11,0,0
2009-02-25,15,0,2
2009-02-26,0,0,1
2009-02-27,3,0,0
2009-02-28,9,0,0
2009-03-01,1,0,0
2009-03-02,2,0,0
2009-03-03,8,0,1
2009-03-04,0,0,0
2009-03-05,3,0,3
2009-03-06,16,1,2
2009-03-07,15,0,10
2009-03-08,1,0,3
2009-03-09,2,2,1
2009-03-10,0,1,3
2009-03-11,1,2,4
2009-03-12,7,1,5
