,BabylonJS/Babylon.js,playcanvas/engine,mrdoob/three.js
2013-06-27,3.0,0,0
2013-06-28,1.0999999999999999,4,0
2013-06-29,-0.9149999999999998,0,18
2013-06-30,-0.38849999999999973,0,11
2013-07-01,0.7605125,0,7
2013-07-02,-0.46948575000000003,0,2
2013-07-03,-0.2342830874999999,0,4
2013-07-04,-0.16293354624999998,0,2
2013-07-05,3.874292802203125,0,4
2013-07-06,-0.30222392322968794,0,0
2013-07-07,-0.7704476889656248,0,12
2013-07-08,1.6380427262500001,2,9
2013-07-09,-0.8360267167656251,6,0
2013-07-10,-0.3826269132328124,3,2
2013-07-11,-0.2418436999999999,5,13
2013-07-12,-0.1794349575,0,11
2013-07-13,0.8580953591874998,0,13
2013-07-14,-0.41677209469687515,0,15
2013-07-15,0.8435020392671875,0,16
2013-07-16,-0.3912534335312501,4,2
2013-07-17,1.827670673534375,0,1
2013-07-18,0.3107797499999999,0,3
2013-07-19,6.4265566375,0,16
2013-07-20,-0.3726775237500002,0,1
2013-07-21,-1.5139825792656245,0,10
2013-07-22,5.241356313017188,0,20
2013-07-23,-1.292296191765625,1,24
2013-07-24,-1.293145573232812,0,13
2013-07-25,-0.7351172447812497,0,11
2013-07-26,-0.5227811844812501,2,0
2013-07-27,-0.3811189780921878,0,1
2013-07-28,-0.29624275116093773,0,0
2013-07-29,0.835808668534375,1,0
2013-07-30,-0.4142175743437503,0,11
2013-07-31,-0.2023771961625001,0,8
2013-08-01,-0.07308341323281249,0,0
2013-08-02,-0.0401625,0,7
2013-08-03,-0.029720249999999997,4,0
2013-08-04,-0.023280862499999996,0,1
2013-08-05,0.98104272625,0,1
2013-08-06,-0.31587671676562507,0,2
2013-08-07,-0.11858341323281245,2,1
2013-08-08,3.9405,3,0
2013-08-09,-1.2401625000000003,3,2
2013-08-10,-0.4497202499999997,0,3
2013-08-11,-0.2612808624999999,0,7
2013-08-12,-0.17960727375,0,1
2013-08-13,0.8652422832343749,4,11
2013-08-14,1.5932931367671874,2,10
2013-08-15,-0.7808290950000001,7,4
2013-08-16,-0.3330068670625,1,6
2013-08-17,1.78650384706875,0,9
2013-08-18,-0.7100452500000001,0,2
2013-08-19,-0.29272136249999986,0,6
2013-08-20,-0.18451899874999994,0,14
2013-08-21,0.8658837357343749,0,6
2013-08-22,-0.40477734676406263,0,2
2013-08-23,-0.17872855146562497,0,9
2013-08-24,-0.09741454749999998,3,3
2013-08-25,-0.07191593353125009,1,0
2013-08-26,-0.05688707646562505,9,0
2013-08-27,1.9767191375,0,0
2013-08-28,1.38104272625,2,0
2013-08-29,0.17412328323437498,6,0
2013-08-30,0.3574165867671877,6,1
2013-08-31,-0.6043249999999999,4,0
2013-09-01,-0.30426549999999986,0,0
2013-09-02,-0.20566472499999994,8,0
2013-09-03,-0.1543590225,3,0
2013-09-04,2.87733090646875,0,3
2013-09-05,-1.0011583962468753,0,9
2013-09-06,-0.3770008169812499,3,5
2013-09-07,-0.2079601299984375,0,0
2013-09-08,-0.13407091323281253,0,0
2013-09-09,-0.08916074999999998,3,1
2013-09-10,-0.06984258749999998,0,4
2013-09-11,-0.05687182125000001,0,6
2013-09-12,-0.04763015029687513,1,4
2013-09-13,1.9592497603015624,0,1
2013-09-14,11.4,0,0
2013-09-15,-3.8100000000000005,0,1
2013-09-16,0.6210000000000009,0,11
2013-09-17,0.6056750000000002,1,0
2013-09-18,-0.35139049999999994,5,2
2013-09-19,-1.0322047249999997,3,5
2013-09-20,-0.6216098974999997,6,8
2013-09-21,-0.45850621853125006,0,2
2013-09-22,-0.36385215265312554,0,0
2013-09-23,-0.27719748129375027,0,8
2013-09-24,0.9070511564687499,0,0
2013-09-25,-0.37787753374687516,0,13
2013-09-26,-0.14804354323125002,0,5
2013-09-27,-0.07308341323281249,0,0
2013-09-28,-0.0401625,0,0
2013-09-29,-0.029720249999999997,0,1
2013-09-30,-0.023280862499999996,0,3
2013-10-01,-0.018957273750000003,2,5
2013-10-02,-0.015876716765625045,4,8
