,rust-lang/rust,python/cpython,JuliaLang/julia
2018-06-16,18,8,5
2018-06-17,18,0,0
2018-06-18,29,4,33
2018-06-19,69,11,30
2018-06-20,74,8,8
2018-06-21,30,5,25
2018-06-22,57,5,23
2018-06-23,45,6,9
2018-06-24,25,4,9
2018-06-25,55,4,9
2018-06-26,131,4,25
2018-06-27,116,15,24
2018-06-28,73,6,16
2018-06-29,39,6,12
2018-06-30,54,5,13
2018-07-01,71,1,6
2018-07-02,69,2,14
2018-07-03,44,4,33
2018-07-04,49,9,12
2018-07-05,44,8,3
2018-07-06,49,12,13
2018-07-07,52,14,15
2018-07-08,25,3,3
2018-07-09,42,10,19
2018-07-10,45,7,19
2018-07-11,74,12,26
2018-07-12,100,2,23
2018-07-13,100,2,15
2018-07-14,118,1,5
2018-07-15,45,0,7
2018-07-16,83,5,10
2018-07-17,65,4,9
2018-07-18,78,3,11
2018-07-19,57,2,7
2018-07-20,89,4,10
2018-07-21,42,10,9
2018-07-22,65,3,10
2018-07-23,62,11,9
2018-07-24,109,8,14
2018-07-25,82,10,17
2018-07-26,79,10,13
2018-07-27,56,4,26
2018-07-28,32,9,12
2018-07-29,56,6,15
2018-07-30,109,6,9
2018-07-31,108,8,14
2018-08-01,120,8,12
2018-08-02,64,6,18
2018-08-03,57,12,8
2018-08-04,68,0,27
2018-08-05,97,2,6
2018-08-06,58,5,17
2018-08-07,104,5,20
2018-08-08,70,2,7
2018-08-09,127,4,0
2018-08-10,46,2,3
2018-08-11,52,7,5
2018-08-12,41,6,3
2018-08-13,53,1,5
2018-08-14,125,2,4
2018-08-15,105,3,13
2018-08-16,116,3,11
2018-08-17,44,5,8
2018-08-18,40,1,7
2018-08-19,83,5,12
2018-08-20,72,2,6
2018-08-21,44,2,38
2018-08-22,118,5,9
2018-08-23,72,5,11
2018-08-24,87,10,3
2018-08-25,43,12,4
2018-08-26,57,2,4
2018-08-27,89,7,2
2018-08-28,61,6,3
2018-08-29,92,12,12
2018-08-30,98,2,3
2018-08-31,78,6,13
2018-09-01,64,3,5
2018-09-02,42,2,5
2018-09-03,74,6,3
2018-09-04,39,5,7
2018-09-05,64,1,4
2018-09-06,93,2,7
2018-09-07,74,15,4
2018-09-08,63,2,9
2018-09-09,47,0,4
2018-09-10,69,13,6
2018-09-11,85,31,6
2018-09-12,71,20,11
2018-09-13,76,16,7
2018-09-14,44,26,7
2018-09-15,69,3,1
2018-09-16,50,2,3
2018-09-17,51,17,13
2018-09-18,61,14,17
2018-09-19,45,9,5
2018-09-20,86,7,1
2018-09-21,50,9,5
2018-09-22,57,6,3
2018-09-23,43,6,1
2018-09-24,41,11,7
2018-09-25,51,16,8
2018-09-26,87,4,6
2018-09-27,35,6,2
2018-09-28,37,4,9
2018-09-29,66,5,6
2018-09-30,59,3,7
2018-10-01,51,4,7
2018-10-02,64,7,10
2018-10-03,42,3,12
2018-10-04,62,5,30
2018-10-05,82,10,14
2018-10-06,48,5,7
2018-10-07,30,1,2
2018-10-08,76,10,6
2018-10-09,76,7,5
2018-10-10,76,5,2
2018-10-11,58,4,5
2018-10-12,69,10,1
2018-10-13,76,7,3
2018-10-14,54,6,6
2018-10-15,123,6,6
2018-10-16,69,4,11
2018-10-17,63,4,8
2018-10-18,73,6,11
2018-10-19,67,21,15
2018-10-20,54,15,7
2018-10-21,36,8,3
2018-10-22,52,3,9
2018-10-23,57,11,5
2018-10-24,58,8,5
2018-10-25,122,11,13
2018-10-26,77,17,3
2018-10-27,49,5,4
2018-10-28,61,18,1
