,rails/rails,sinatra/sinatra,django/django
2011-10-08,22,0,5.0
2011-10-09,25,0,1.0
2011-10-10,20,0,5.0
2011-10-11,15,7,5.0
2011-10-12,10,0,2.0
2011-10-13,13,0,19.0
2011-10-14,17,8,5.0
2011-10-15,22,3,3.0
2011-10-16,7,0,8.0
2011-10-17,12,0,10.0
2011-10-18,13,0,4.0
2011-10-19,23,0,2.0
2011-10-20,15,0,4.0
2011-10-21,9,0,1.0
2011-10-22,17,0,7.0
2011-10-23,1,4,2.0
2011-10-24,9,0,2.0
2011-10-25,12,0,1.0
2011-10-26,10,0,10.0
2011-10-27,9,0,1.0
2011-10-28,3,4,4.0
2011-10-29,12,0,7.0
2011-10-30,11,7,2.0
2011-10-31,13,6,3.0
2011-11-01,6,1,6.0
2011-11-02,5,2,1.0
2011-11-03,12,0,1.0
2011-11-04,16,0,2.0
2011-11-05,17,6,0.0
2011-11-06,19,6,3.0
2011-11-07,14,2,3.0
2011-11-08,16,2,0.0
2011-11-09,12,2,1.0
2011-11-10,21,2,1.0
2011-11-11,12,2,2.0
2011-11-12,5,0,10.0
2011-11-13,38,0,4.0
2011-11-14,20,7,0.0
2011-11-15,9,2,1.0
2011-11-16,24,0,4.0
2011-11-17,22,2,3.0
2011-11-18,33,0,5.0
2011-11-19,15,1,8.0
2011-11-20,13,0,12.0
2011-11-21,9,3,10.0
2011-11-22,16,0,6.0
2011-11-23,23,0,0.0
2011-11-24,5,2,2.0
2011-11-25,22,0,2.0
2011-11-26,19,0,2.0
2011-11-27,20,0,8.0
2011-11-28,33,7,1.0
2011-11-29,32,0,3.0
2011-11-30,43,1,0.0
2011-12-01,29,0,2.0
2011-12-02,19,1,0.0
2011-12-03,16,0,2.0
2011-12-04,44,0,1.0
2011-12-05,22,1,1.0
2011-12-06,24,0,0.0
2011-12-07,18,2,5.0
2011-12-08,44,0,0.0
2011-12-09,20,0,14.0
2011-12-10,12,0,0.0
2011-12-11,15,0,10.0
2011-12-12,24,0,0.0
2011-12-13,25,1,0.0
2011-12-14,23,0,1.0
2011-12-15,23,3,3.0
2011-12-16,26,0,7.0
2011-12-17,15,0,18.0
2011-12-18,15,0,0.0
2011-12-19,12,0,8.0
2011-12-20,68,1,1.0
2011-12-21,68,0,2.0
2011-12-22,26,0,11.0
2011-12-23,30,0,14.0
2011-12-24,54,0,7.0
2011-12-25,36,0,4.0
2011-12-26,16,0,0.0
2011-12-27,9,0,6.0
2011-12-28,27,0,1.0
2011-12-29,27,0,6.0
2011-12-30,35,21,22.0
2011-12-31,15,6,3.0
2012-01-01,5,1,4.0
2012-01-02,12,5,10.0
2012-01-03,23,4,4.0
2012-01-04,40,0,2.0
2012-01-05,78,2,1.0
2012-01-06,82,1,1.0
2012-01-07,24,0,11.0
2012-01-08,7,0,9.0
2012-01-09,5,0,1.0
2012-01-10,18,4,1.0
2012-01-11,13,0,1.0
2012-01-12,41,0,2.0
2012-01-13,62,0,1.0
2012-01-14,15,0,1.0
2012-01-15,13,0,5.0
2012-01-16,38,0,0.0
2012-01-17,69,0,0.0
2012-01-18,43,3,0.0
2012-01-19,27,0,3.0
2012-01-20,36,0,1.0
2012-01-21,21,6,3.0
2012-01-22,13,2,1.0
2012-01-23,33,0,1.0
2012-01-24,21,0,4.0
2012-01-25,33,0,2.0
2012-01-26,29,0,0.0
2012-01-27,18,0,2.0
2012-01-28,9,0,7.0
2012-01-29,16,0,4.0
2012-01-30,18,5,1.0
2012-01-31,53,2,3.0
2012-02-01,41,6,3.0
2012-02-02,38,1,2.0
2012-02-03,12,1,9.0
2012-02-04,17,0,21.0
2012-02-05,15,0,9.0
2012-02-06,17,0,1.0
2012-02-07,47,0,1.0
2012-02-08,16,0,0.0
2012-02-09,40,0,22.0
2012-02-10,12,2,10.0
2012-02-11,11,0,15.0
2012-02-12,16,0,6.0
2012-02-13,17,0,2.0
2012-02-14,22,0,2.0
2012-02-15,11,0,1.0
2012-02-16,19,0,13.0
2012-02-17,9,0,5.0
2012-02-18,14,0,6.0
2012-02-19,1,0,7.0
2012-02-20,18,0,2.0
2012-02-21,30,3,3.0
2012-02-22,25,0,7.0
2012-02-23,21,0,3.0
2012-02-24,8,0,3.0
2012-02-25,19,0,0.0
2012-02-26,11,0,4.0
2012-02-27,19,0,7.0
2012-02-28,16,0,3.0
2012-02-29,19,0,3.0
2012-03-01,7,0,7.0
2012-03-02,17,0,20.0
2012-03-03,17,8,14.0
2012-03-04,24,2,7.0
2012-03-05,27,1,18.0
2012-03-06,25,7,0.0
2012-03-07,26,12,0.0
2012-03-08,16,14,0.0
2012-03-09,19,0,1.0
2012-03-10,26,4,4.0
2012-03-11,18,11,2.0
2012-03-12,25,0,12.0
2012-03-13,50,4,15.0
2012-03-14,44,3,27.0
2012-03-15,28,18,7.0
2012-03-16,25,0,6.0
2012-03-17,25,0,9.0
2012-03-18,17,11,1.0
2012-03-19,14,1,3.0
2012-03-20,12,0,2.0
2012-03-21,19,0,2.0
2012-03-22,12,2,4.0
2012-03-23,13,10,25.0
2012-03-24,16,0,0.0
2012-03-25,3,1,1.0
2012-03-26,30,0,2.0
2012-03-27,30,0,1.0
2012-03-28,25,0,1.0
2012-03-29,14,0,6.0
2012-03-30,22,0,5.0
2012-03-31,15,0,25.0
2012-04-01,22,0,3.0
2012-04-02,11,3,2.0
2012-04-03,18,0,0.0
2012-04-04,21,0,0.0
2012-04-05,26,0,3.0
2012-04-06,6,0,3.0
2012-04-07,14,0,2.0
2012-04-08,8,0,2.0
2012-04-09,16,0,6.0
2012-04-10,0,0,5.0
2012-04-11,14,0,6.0
2012-04-12,27,0,2.0
2012-04-13,32,0,1.0
2012-04-14,10,0,4.0
2012-04-15,4,0,2.0
2012-04-16,16,0,1.0
2012-04-17,18,0,0.0
2012-04-18,10,0,0.0
2012-04-19,11,1,1.0
2012-04-20,10,0,4.0
2012-04-21,10,0,3.0
2012-04-22,4,0,4.0
2012-04-23,8,0,1.0
2012-04-24,37,0,5.0
2012-04-25,54,0,2.0
2012-04-26,32,5,4.0
2012-04-27,44,0,1.0
2012-04-28,40,0,22.0
2012-04-29,52,0,24.0
2012-04-30,69,0,19.0
2012-05-01,30,0,8.0
2012-05-02,46,0,1.0
2012-05-03,35,0,10.0
2012-05-04,48,0,1.0
2012-05-05,28,0,5.0
2012-05-06,22,0,1.0
2012-05-07,33,2,4.0
2012-05-08,24,0,2.0
2012-05-09,16,0,1.0
2012-05-10,19,0,8.0
2012-05-11,44,0,4.0
2012-05-12,34,7,5.0
2012-05-13,51,7,0.0
2012-05-14,24,1,1.0
2012-05-15,38,0,2.0
2012-05-16,70,0,9.0
2012-05-17,61,0,10.0
2012-05-18,53,0,11.0
2012-05-19,47,0,7.0
2012-05-20,19,0,3.0
2012-05-21,29,2,1.0
2012-05-22,47,2,9.0
2012-05-23,45,4,1.0
2012-05-24,20,0,7.0
2012-05-25,28,0,6.0
2012-05-26,25,0,4.0
2012-05-27,10,1,5.0
2012-05-28,38,1,4.0
2012-05-29,35,8,0.0
2012-05-30,35,3,1.0
2012-05-31,23,0,9.0
2012-06-01,17,1,1.0
2012-06-02,10,0,7.0
2012-06-03,7,0,4.0
2012-06-04,8,0,6.0
2012-06-05,16,0,4.0
2012-06-06,16,4,10.0
2012-06-07,7,2,22.0
2012-06-08,7,0,15.0
2012-06-09,13,0,7.0
2012-06-10,13,0,2.0
2012-06-11,29,4,2.0
2012-06-12,17,5,2.0
2012-06-13,9,0,3.0
2012-06-14,27,0,7.0
2012-06-15,17,0,1.0
2012-06-16,15,0,4.0
2012-06-17,22,2,2.0
2012-06-18,21,12,5.0
2012-06-19,45,2,5.0
2012-06-20,30,3,0.0
2012-06-21,19,0,0.0
2012-06-22,30,0,3.0
2012-06-23,21,2,7.0
2012-06-24,18,1,1.0
2012-06-25,19,2,2.0
2012-06-26,11,0,3.0
2012-06-27,20,0,4.0
2012-06-28,17,4,4.0
2012-06-29,17,0,1.0
2012-06-30,16,1,11.0
2012-07-01,13,2,8.0
2012-07-02,5,3,2.0
2012-07-03,28,0,8.0
2012-07-04,15,0,2.0
2012-07-05,16,0,4.0
2012-07-06,21,5,9.0
2012-07-07,31,4,9.0
2012-07-08,18,2,8.0
2012-07-09,6,0,2.0
2012-07-10,9,0,3.0
2012-07-11,7,0,3.0
2012-07-12,3,2,3.0
2012-07-13,29,0,2.0
2012-07-14,8,0,6.0
2012-07-15,1,0,7.0
2012-07-16,12,0,4.0
2012-07-17,16,0,8.0
2012-07-18,14,2,8.0
2012-07-19,8,0,2.0
2012-07-20,20,2,3.0
2012-07-21,18,0,7.0
2012-07-22,8,0,18.0
2012-07-23,8,0,2.0
2012-07-24,13,0,5.0
2012-07-25,4,0,21.0
2012-07-26,13,1,1.0
2012-07-27,19,0,0.0
2012-07-28,12,0,2.0
2012-07-29,17,0,2.0
2012-07-30,35,3,5.0
2012-07-31,20,5,1.0
2012-08-01,22,1,1.0
2012-08-02,21,1,7.0
2012-08-03,13,0,10.0
2012-08-04,20,0,13.0
2012-08-05,8,0,5.0
2012-08-06,12,0,4.0
2012-08-07,18,2,22.0
2012-08-08,9,0,16.0
2012-08-09,12,2,4.0
2012-08-10,16,1,7.0
2012-08-11,20,0,14.0
2012-08-12,9,0,18.0
2012-08-13,9,0,12.0
2012-08-14,12,1,28.0
2012-08-15,13,0,42.0
2012-08-16,2,0,16.0
2012-08-17,19,2,5.0
2012-08-18,16,0,34.0
2012-08-19,8,1,15.0
2012-08-20,19,1,11.0
2012-08-21,32,3,8.0
2012-08-22,9,0,3.0
2012-08-23,17,0,8.0
2012-08-24,15,0,4.0
2012-08-25,7,0,6.0
2012-08-26,18,0,3.0
2012-08-27,11,0,0.0
2012-08-28,41,0,6.0
2012-08-29,19,0,7.0
2012-08-30,18,0,9.0
2012-08-31,21,0,8.0
2012-09-01,10,0,9.0
2012-09-02,11,0,0.0
2012-09-03,12,0,2.0
2012-09-04,7,2,5.0
2012-09-05,22,3,5.0
2012-09-06,25,0,7.0
2012-09-07,26,0,40.0
2012-09-08,21,0,33.0
2012-09-09,10,0,8.0
2012-09-10,11,0,4.0
2012-09-11,12,0,2.0
2012-09-12,27,0,6.0
2012-09-13,16,11,3.0
2012-09-14,23,0,0.0
2012-09-15,26,0,13.0
2012-09-16,6,0,4.0
2012-09-17,100,0,11.0
2012-09-18,24,0,9.0
2012-09-19,29,0,5.0
2012-09-20,32,0,7.0
2012-09-21,38,1,5.0
2012-09-22,24,0,10.0
2012-09-23,11,1,8.0
2012-09-24,28,0,16.0
2012-09-25,19,0,5.0
2012-09-26,7,0,6.0
2012-09-27,15,0,8.0
2012-09-28,20,0,8.0
2012-09-29,5,0,11.0
2012-09-30,18,0,11.0
2012-10-01,20,0,7.0
2012-10-02,28,0,3.0
2012-10-03,12,0,8.0
2012-10-04,19,1,6.0
2012-10-05,22,0,10.0
2012-10-06,17,0,14.0
2012-10-07,27,0,4.0
2012-10-08,19,1,6.0
2012-10-09,19,0,12.0
2012-10-10,36,0,6.0
2012-10-11,12,0,10.0
2012-10-12,36,0,7.0
2012-10-13,13,0,8.0
2012-10-14,17,0,1.0
2012-10-15,28,0,13.0
2012-10-16,9,0,2.0
2012-10-17,11,0,5.0
2012-10-18,35,1,4.0
2012-10-19,25,0,1.0
2012-10-20,9,0,16.0
2012-10-21,26,0,7.0
2012-10-22,10,0,6.0
2012-10-23,12,0,2.0
2012-10-24,13,0,7.0
2012-10-25,8,0,17.0
2012-10-26,21,0,14.0
2012-10-27,18,0,12.0
2012-10-28,23,0,12.0
2012-10-29,15,0,6.0
2012-10-30,8,0,11.0
2012-10-31,14,0,7.0
2012-11-01,12,0,3.0
2012-11-02,16,0,8.0
2012-11-03,16,0,10.0
2012-11-04,12,0,14.0
2012-11-05,8,0,9.0
2012-11-06,8,0,4.0
2012-11-07,10,0,6.0
2012-11-08,16,0,2.0
2012-11-09,40,2,8.0
2012-11-10,13,0,4.0
2012-11-11,7,0,2.0
2012-11-12,10,0,2.0
2012-11-13,16,1,11.0
2012-11-14,16,0,3.0
2012-11-15,45,0,6.0
2012-11-16,45,0,3.0
2012-11-17,19,0,20.0
2012-11-18,17,0,4.0
2012-11-19,21,0,2.0
2012-11-20,12,0,6.0
2012-11-21,13,0,6.0
2012-11-22,10,0,15.0
2012-11-23,3,2,10.0
2012-11-24,9,0,15.0
2012-11-25,14,0,11.0
2012-11-26,27,0,0.0
2012-11-27,26,0,10.0
2012-11-28,14,0,9.0
2012-11-29,45,0,2.0
2012-11-30,10,0,1.0
2012-12-01,44,2,5.0
2012-12-02,23,2,2.0
2012-12-03,15,3,7.0
2012-12-04,23,3,7.0
2012-12-05,20,0,0.0
2012-12-06,17,0,3.0
2012-12-07,33,1,1.0
2012-12-08,30,7,7.0
2012-12-09,20,5,3.0
2012-12-10,24,11,4.0
2012-12-11,24,0,3.0
2012-12-12,6,13,1.0
2012-12-13,18,5,3.0
2012-12-14,22,0,2.0
2012-12-15,15,0,11.0
2012-12-16,4,0,11.0
2012-12-17,14,0,3.0
2012-12-18,21,0,6.0
2012-12-19,16,0,2.0
2012-12-20,15,0,4.0
2012-12-21,44,0,2.0
2012-12-22,11,5,6.0
2012-12-23,5,0,0.0
2012-12-24,16,0,16.0
2012-12-25,7,0,1.0
2012-12-26,17,0,3.0
2012-12-27,10,0,3.0
2012-12-28,13,0,3.0
2012-12-29,12,0,27.0
2012-12-30,9,0,6.0
2012-12-31,31,0,6.0
2013-01-01,42,4,13.0
2013-01-02,37,0,6.0
2013-01-03,49,0,6.0
2013-01-04,48,1,1.0
2013-01-05,61,1,2.0
2013-01-06,44,0,3.0
2013-01-07,28,2,1.0
2013-01-08,47,0,7.0
2013-01-09,17,0,5.0
2013-01-10,18,0,4.0
2013-01-11,25,0,10.0
2013-01-12,5,0,6.0
2013-01-13,6,0,2.0
2013-01-14,13,1,6.0
2013-01-15,27,2,10.0
2013-01-16,22,0,3.0
2013-01-17,15,4,2.0
2013-01-18,19,0,4.0
2013-01-19,16,0,3.0
2013-01-20,21,1,3.0
2013-01-21,35,3,3.0
2013-01-22,33,0,5.0
2013-01-23,17,0,5.0
2013-01-24,21,0,6.0
2013-01-25,6,1,9.0
2013-01-26,13,9,7.0
2013-01-27,7,6,1.0
2013-01-28,15,1,4.0
2013-01-29,17,3,6.0
2013-01-30,25,0,7.0
2013-01-31,15,0,10.0
