,golang/go,gcc-mirror/gcc,llvm/llvm-project
2008-04-03,4,19,52
2008-04-04,0,21,27
2008-04-05,0,9,6
2008-04-06,0,14,41
2008-04-07,0,20,50
2008-04-08,0,103,25
2008-04-09,0,16,28
2008-04-10,0,14,32
2008-04-11,0,10,29
2008-04-12,0,5,17
2008-04-13,0,9,19
2008-04-14,0,24,50
2008-04-15,1,19,33
2008-04-16,0,14,64
2008-04-17,0,17,32
2008-04-18,3,21,48
2008-04-19,0,8,23
2008-04-20,0,10,31
2008-04-21,0,16,39
2008-04-22,0,20,28
2008-04-23,0,16,62
2008-04-24,0,24,23
2008-04-25,0,15,37
2008-04-26,0,11,4
2008-04-27,0,3,13
2008-04-28,2,13,30
2008-04-29,1,16,35
2008-04-30,0,22,32
2008-05-01,1,11,37
2008-05-02,5,7,27
2008-05-03,0,13,5
2008-05-04,0,12,22
2008-05-05,0,11,33
2008-05-06,1,28,93
2008-05-07,0,17,30
2008-05-08,2,21,28
2008-05-09,4,13,39
2008-05-10,0,17,19
2008-05-11,0,9,3
2008-05-12,0,20,48
2008-05-13,0,11,34
2008-05-14,0,25,50
2008-05-15,2,43,26
2008-05-16,1,27,35
2008-05-17,0,13,10
2008-05-18,0,14,7
2008-05-19,0,15,32
2008-05-20,0,77,53
2008-05-21,0,26,26
2008-05-22,0,17,31
2008-05-23,0,32,58
2008-05-24,0,12,20
2008-05-25,0,13,10
2008-05-26,0,60,10
2008-05-27,0,68,40
2008-05-28,1,38,21
2008-05-29,0,20,44
2008-05-30,0,9,76
2008-05-31,0,7,27
2008-06-01,0,6,20
2008-06-02,0,18,20
2008-06-03,0,12,27
2008-06-04,7,11,43
2008-06-05,5,6,46
2008-06-06,18,19,32
2008-06-07,15,13,16
2008-06-08,3,12,27
2008-06-09,15,13,41
2008-06-10,2,8,26
2008-06-11,7,19,32
2008-06-12,14,17,19
2008-06-13,5,17,15
2008-06-14,2,9,4
2008-06-15,1,12,10
2008-06-16,6,8,65
2008-06-17,6,16,44
2008-06-18,13,27,28
2008-06-19,5,15,33
2008-06-20,1,12,48
2008-06-21,3,7,37
2008-06-22,1,5,9
2008-06-23,2,9,38
2008-06-24,8,16,38
2008-06-25,9,14,33
2008-06-26,17,23,46
2008-06-27,12,23,33
2008-06-28,8,19,24
2008-06-29,1,16,8
2008-06-30,6,13,45
2008-07-01,3,12,39
2008-07-02,2,37,57
2008-07-03,9,18,50
2008-07-04,5,16,7
2008-07-05,2,7,14
2008-07-06,2,9,1
2008-07-07,5,29,43
2008-07-08,11,15,45
2008-07-09,13,17,97
2008-07-10,4,14,48
2008-07-11,4,11,49
2008-07-12,10,5,15
2008-07-13,4,5,13
2008-07-14,6,20,37
2008-07-15,14,17,50
2008-07-16,9,18,37
2008-07-17,10,11,32
2008-07-18,7,20,30
2008-07-19,7,13,20
2008-07-20,2,8,6
2008-07-21,3,18,63
2008-07-22,5,7,45
2008-07-23,4,11,27
2008-07-24,6,11,23
2008-07-25,8,13,73
2008-07-26,4,6,33
2008-07-27,5,7,17
2008-07-28,8,11,15
2008-07-29,5,27,20
2008-07-30,5,41,23
2008-07-31,6,80,11
2008-08-01,5,69,6
2008-08-02,2,5,3
2008-08-03,3,6,4
2008-08-04,12,62,17
2008-08-05,9,65,47
2008-08-06,2,54,36
2008-08-07,3,16,47
2008-08-08,7,31,46
2008-08-09,3,16,30
2008-08-10,5,7,22
2008-08-11,8,8,24
2008-08-12,15,30,28
2008-08-13,4,19,39
2008-08-14,0,13,26
2008-08-15,0,7,12
2008-08-16,0,11,23
2008-08-17,0,8,51
2008-08-18,0,25,28
2008-08-19,0,11,47
2008-08-20,3,73,58
2008-08-21,2,21,59
2008-08-22,2,59,39
2008-08-23,0,13,61
2008-08-24,0,14,24
2008-08-25,0,10,37
2008-08-26,0,14,48
2008-08-27,0,14,45
2008-08-28,2,36,53
2008-08-29,7,40,29
2008-08-30,2,15,21
2008-08-31,0,24,13
2008-09-01,1,21,19
2008-09-02,5,27,37
2008-09-03,11,32,54
2008-09-04,8,31,47
2008-09-05,3,21,47
2008-09-06,1,16,7
2008-09-07,0,9,14
2008-09-08,5,17,50
2008-09-09,8,38,63
2008-09-10,9,22,37
2008-09-11,11,28,47
2008-09-12,19,9,20
2008-09-13,6,19,12
2008-09-14,1,9,2
2008-09-15,4,10,12
2008-09-16,8,11,25
2008-09-17,12,21,25
2008-09-18,9,28,23
2008-09-19,12,9,30
2008-09-20,5,7,13
2008-09-21,1,12,23
2008-09-22,11,19,56
2008-09-23,9,29,28
2008-09-24,11,12,63
2008-09-25,7,10,30
2008-09-26,19,27,56
2008-09-27,7,3,19
2008-09-28,2,8,12
2008-09-29,7,10,30
2008-09-30,18,14,53
2008-10-01,5,14,31
2008-10-02,7,9,27
2008-10-03,7,9,50
2008-10-04,4,5,37
2008-10-05,3,8,57
2008-10-06,4,13,68
2008-10-07,7,18,41
2008-10-08,11,15,17
2008-10-09,2,11,8
2008-10-10,13,11,32
2008-10-11,2,10,15
2008-10-12,0,7,36
2008-10-13,1,10,33
2008-10-14,6,13,44
2008-10-15,9,17,62
2008-10-16,20,18,34
2008-10-17,10,7,64
2008-10-18,6,7,18
2008-10-19,1,9,8
2008-10-20,13,10,47
2008-10-21,11,14,56
2008-10-22,10,13,50
2008-10-23,7,7,28
2008-10-24,14,16,63
2008-10-25,8,3,22
2008-10-26,4,2,28
2008-10-27,3,11,62
2008-10-28,2,7,43
2008-10-29,22,19,49
2008-10-30,14,9,53
2008-10-31,11,14,52
2008-11-01,4,17,6
2008-11-02,3,6,21
2008-11-03,12,23,45
2008-11-04,10,11,60
2008-11-05,15,22,44
2008-11-06,15,17,33
2008-11-07,8,21,48
2008-11-08,4,1,47
2008-11-09,0,5,17
2008-11-10,6,17,52
2008-11-11,5,11,71
2008-11-12,8,25,79
2008-11-13,8,16,68
2008-11-14,8,20,35
2008-11-15,5,14,31
2008-11-16,1,17,51
2008-11-17,9,9,36
2008-11-18,17,15,85
2008-11-19,36,23,97
2008-11-20,11,21,66
2008-11-21,9,17,71
2008-11-22,2,15,43
2008-11-23,2,9,24
2008-11-24,19,18,61
2008-11-25,10,15,42
2008-11-26,3,12,58
2008-11-27,1,9,51
2008-11-28,0,7,29
2008-11-29,0,13,27
2008-11-30,0,6,45
2008-12-01,2,15,65
2008-12-02,6,30,54
2008-12-03,12,18,57
2008-12-04,8,12,39
2008-12-05,11,26,43
2008-12-06,2,16,18
2008-12-07,0,7,42
2008-12-08,2,16,47
2008-12-09,10,27,63
2008-12-10,13,15,40
2008-12-11,10,12,40
2008-12-12,8,20,47
2008-12-13,1,8,30
2008-12-14,1,5,14
2008-12-15,8,10,37
2008-12-16,6,7,51
2008-12-17,8,7,51
2008-12-18,4,17,47
2008-12-19,21,11,33
2008-12-20,2,4,23
2008-12-21,6,18,20
2008-12-22,1,7,41
2008-12-23,1,5,49
2008-12-24,0,2,18
2008-12-25,0,1,9
2008-12-26,1,2,13
2008-12-27,0,5,6
2008-12-28,0,2,8
2008-12-29,0,10,18
2008-12-30,3,13,3
2008-12-31,0,6,18
2009-01-01,0,4,11
2009-01-02,0,10,39
2009-01-03,0,12,13
2009-01-04,0,16,30
2009-01-05,4,27,98
2009-01-06,18,25,41
2009-01-07,14,19,45
2009-01-08,9,9,57
2009-01-09,14,17,56
2009-01-10,3,6,15
2009-01-11,0,11,28
2009-01-12,0,22,52
2009-01-13,4,25,67
2009-01-14,6,19,28
2009-01-15,11,13,38
2009-01-16,38,20,86
2009-01-17,1,12,49
2009-01-18,0,10,39
2009-01-19,0,4,53
2009-01-20,7,14,64
2009-01-21,9,11,76
2009-01-22,3,13,58
2009-01-23,7,6,56
2009-01-24,2,8,39
2009-01-25,0,3,25
2009-01-26,11,9,85
2009-01-27,15,8,58
2009-01-28,5,17,81
2009-01-29,4,12,62
2009-01-30,11,13,98
2009-01-31,3,8,33
2009-02-01,2,2,8
2009-02-02,3,14,63
2009-02-03,5,12,98
2009-02-04,5,7,98
2009-02-05,11,11,69
2009-02-06,10,10,68
2009-02-07,8,5,68
2009-02-08,5,3,44
2009-02-09,4,15,49
2009-02-10,7,16,55
2009-02-11,4,9,62
2009-02-12,4,17,60
2009-02-13,7,16,91
2009-02-14,1,2,48
2009-02-15,3,5,33
2009-02-16,4,7,62
2009-02-17,12,16,100
2009-02-18,4,16,101
2009-02-19,0,11,79
2009-02-20,7,8,92
2009-02-21,1,15,41
2009-02-22,1,5,39
2009-02-23,0,8,40
2009-02-24,6,8,51
2009-02-25,1,13,52
2009-02-26,3,7,73
2009-02-27,2,10,51
2009-02-28,2,7,60
2009-03-01,0,18,51
2009-03-02,0,9,80
2009-03-03,11,12,61
2009-03-04,7,13,103
2009-03-05,21,9,74
2009-03-06,12,9,77
2009-03-07,7,5,34
2009-03-08,5,5,34
2009-03-09,1,8,81
2009-03-10,13,7,71
2009-03-11,13,15,79
2009-03-12,6,12,81
2009-03-13,12,6,113
2009-03-14,0,3,22
2009-03-15,0,3,20
2009-03-16,3,12,23
2009-03-17,7,22,54
2009-03-18,8,13,105
2009-03-19,4,8,52
2009-03-20,9,3,65
2009-03-21,3,2,32
2009-03-22,0,7,33
2009-03-23,3,9,61
2009-03-24,13,11,66
2009-03-25,10,14,51
2009-03-26,4,7,60
2009-03-27,9,29,63
2009-03-28,3,41,69
2009-03-29,0,23,54
2009-03-30,6,32,53
2009-03-31,20,35,71
2009-04-01,7,27,90
2009-04-02,8,23,52
2009-04-03,14,14,46
2009-04-04,1,19,16
2009-04-05,0,11,12
2009-04-06,1,25,31
2009-04-07,10,44,68
2009-04-08,3,46,61
2009-04-09,9,49,60
2009-04-10,7,53,79
2009-04-11,2,10,30
2009-04-12,1,6,48
2009-04-13,9,16,64
2009-04-14,8,14,65
2009-04-15,10,50,110
2009-04-16,16,61,65
2009-04-17,10,68,62
2009-04-18,3,26,80
2009-04-19,1,17,63
2009-04-20,10,75,61
2009-04-21,9,20,85
2009-04-22,11,59,79
2009-04-23,1,18,64
2009-04-24,5,62,57
2009-04-25,5,24,68
2009-04-26,1,24,47
2009-04-27,3,22,73
2009-04-28,8,36,57
2009-04-29,3,62,79
2009-04-30,15,19,51
2009-05-01,1,7,59
2009-05-02,5,10,32
2009-05-03,2,14,159
2009-05-04,3,14,76
2009-05-05,8,14,45
2009-05-06,12,47,52
2009-05-07,10,21,44
2009-05-08,22,19,71
2009-05-09,0,8,31
2009-05-10,0,19,19
2009-05-11,3,13,58
2009-05-12,7,21,61
2009-05-13,6,17,67
2009-05-14,11,25,49
2009-05-15,12,32,64
2009-05-16,7,15,39
2009-05-17,1,12,19
2009-05-18,11,22,68
2009-05-19,10,17,64
2009-05-20,9,15,47
2009-05-21,15,18,32
2009-05-22,12,13,50
2009-05-23,11,10,32
2009-05-24,2,10,23
2009-05-25,1,10,19
2009-05-26,9,16,32
2009-05-27,15,26,54
2009-05-28,8,18,32
2009-05-29,11,19,33
2009-05-30,1,6,51
2009-05-31,5,11,26
2009-06-01,0,24,29
2009-06-02,8,26,30
2009-06-03,15,29,60
2009-06-04,17,16,61
2009-06-05,8,19,51
2009-06-06,10,3,29
2009-06-07,12,20,20
2009-06-08,6,21,37
2009-06-09,11,16,25
2009-06-10,3,20,8
2009-06-11,2,13,31
2009-06-12,1,21,54
2009-06-13,0,12,30
2009-06-14,0,3,28
2009-06-15,3,14,65
2009-06-16,16,36,77
2009-06-17,9,23,74
2009-06-18,6,22,58
2009-06-19,9,31,52
2009-06-20,1,11,33
2009-06-21,0,15,27
2009-06-22,10,38,50
2009-06-23,7,37,100
2009-06-24,5,25,103
2009-06-25,17,25,77
2009-06-26,10,24,119
2009-06-27,3,15,38
2009-06-28,0,10,14
2009-06-29,9,16,59
2009-06-30,5,34,86
2009-07-01,8,22,89
2009-07-02,15,17,63
2009-07-03,10,8,39
2009-07-04,1,17,9
2009-07-05,1,4,17
2009-07-06,12,14,62
2009-07-07,36,25,79
2009-07-08,9,13,77
2009-07-09,11,25,103
2009-07-10,13,25,82
2009-07-11,2,13,59
2009-07-12,0,11,32
2009-07-13,10,47,96
2009-07-14,25,21,130
2009-07-15,14,30,131
2009-07-16,7,13,246
2009-07-17,23,14,103
2009-07-18,1,12,72
2009-07-19,0,6,28
2009-07-20,8,28,75
2009-07-21,13,14,153
2009-07-22,3,29,107
2009-07-23,0,44,90
2009-07-24,1,20,96
2009-07-25,0,12,75
2009-07-26,1,6,58
2009-07-27,14,26,93
2009-07-28,18,26,103
2009-07-29,20,21,134
2009-07-30,11,22,82
2009-07-31,12,29,101
2009-08-01,5,9,67
2009-08-02,0,15,84
2009-08-03,5,12,84
2009-08-04,12,13,84
2009-08-05,16,10,114
2009-08-06,8,23,84
2009-08-07,20,13,73
2009-08-08,4,4,77
2009-08-09,4,9,21
2009-08-10,5,22,75
2009-08-11,8,16,118
2009-08-12,18,31,100
2009-08-13,18,9,83
2009-08-14,12,30,74
2009-08-15,3,5,79
2009-08-16,0,15,52
2009-08-17,9,34,46
2009-08-18,11,12,76
2009-08-19,13,13,108
2009-08-20,14,17,58
2009-08-21,11,11,95
2009-08-22,9,8,71
2009-08-23,1,14,82
2009-08-24,13,18,71
2009-08-25,8,24,86
2009-08-26,14,14,94
2009-08-27,17,15,99
2009-08-28,19,22,79
2009-08-29,5,8,40
2009-08-30,5,13,52
2009-08-31,18,10,69
2009-09-01,22,14,82
2009-09-02,13,31,78
2009-09-03,22,27,105
2009-09-04,8,21,51
2009-09-05,0,7,35
2009-09-06,2,6,30
2009-09-07,0,15,30
2009-09-08,8,31,88
2009-09-09,9,23,89
2009-09-10,9,26,66
2009-09-11,6,16,84
2009-09-12,0,9,56
2009-09-13,0,8,56
2009-09-14,7,15,64
2009-09-15,18,14,96
2009-09-16,10,26,87
2009-09-17,9,23,60
2009-09-18,18,17,73
2009-09-19,7,7,24
2009-09-20,0,12,79
2009-09-21,8,16,56
2009-09-22,13,70,80
2009-09-23,2,25,60
2009-09-24,15,23,49
2009-09-25,13,22,67
2009-09-26,1,7,51
2009-09-27,0,14,57
2009-09-28,9,19,56
2009-09-29,10,22,62
2009-09-30,15,21,50
2009-10-01,8,20,34
2009-10-02,4,22,17
2009-10-03,9,6,14
2009-10-04,0,2,8
2009-10-05,10,27,45
2009-10-06,21,18,55
2009-10-07,10,30,59
2009-10-08,6,26,65
2009-10-09,13,19,62
2009-10-10,2,18,40
2009-10-11,3,15,67
2009-10-12,14,21,75
2009-10-13,11,19,106
2009-10-14,11,26,68
2009-10-15,27,25,59
2009-10-16,17,24,61
2009-10-17,0,25,85
2009-10-18,0,1,61
2009-10-19,9,17,94
2009-10-20,19,26,85
2009-10-21,4,15,91
2009-10-22,21,20,67
2009-10-23,13,20,39
2009-10-24,2,10,27
2009-10-25,4,6,56
2009-10-26,5,20,59
2009-10-27,7,26,114
2009-10-28,7,33,74
2009-10-29,5,23,75
2009-10-30,9,31,73
2009-10-31,2,8,54
2009-11-01,12,8,41
2009-11-02,29,16,63
2009-11-03,13,27,100
2009-11-04,31,29,74
2009-11-05,55,17,90
2009-11-06,39,20,75
2009-11-07,16,10,99
2009-11-08,24,15,54
2009-11-09,28,13,111
2009-11-10,26,13,112
2009-11-11,41,15,118
2009-11-12,18,19,118
2009-11-13,16,24,94
2009-11-14,13,5,72
2009-11-15,19,5,51
2009-11-16,11,15,90
2009-11-17,26,19,148
2009-11-18,37,24,88
2009-11-19,14,21,104
2009-11-20,32,20,88
2009-11-21,1,16,46
2009-11-22,0,8,54
2009-11-23,7,30,73
2009-11-24,23,22,63
2009-11-25,9,131,73
2009-11-26,0,25,65
2009-11-27,0,15,43
2009-11-28,0,12,23
2009-11-29,4,6,51
2009-11-30,21,101,63
2009-12-01,12,20,77
2009-12-02,24,25,59
2009-12-03,16,19,115
2009-12-04,22,24,115
2009-12-05,10,10,55
2009-12-06,4,6,41
2009-12-07,7,25,75
2009-12-08,2,14,67
2009-12-09,18,9,75
2009-12-10,14,20,53
2009-12-11,16,25,78
2009-12-12,3,3,37
2009-12-13,6,7,21
2009-12-14,8,24,82
2009-12-15,14,22,77
2009-12-16,20,10,82
2009-12-17,11,22,56
2009-12-18,8,11,75
2009-12-19,2,6,54
2009-12-20,0,3,13
2009-12-21,5,8,47
2009-12-22,6,15,85
2009-12-23,11,18,136
2009-12-24,4,9,58
2009-12-25,0,1,13
2009-12-26,1,7,5
2009-12-27,1,3,7
2009-12-28,5,8,57
2009-12-29,13,10,38
2009-12-30,1,13,39
2009-12-31,1,8,54
2010-01-01,0,17,31
2010-01-02,1,11,27
2010-01-03,1,16,15
2010-01-04,1,25,65
2010-01-05,5,21,228
2010-01-06,18,11,49
2010-01-07,12,21,59
2010-01-08,11,14,28
2010-01-09,2,23,44
2010-01-10,1,12,37
2010-01-11,8,16,68
2010-01-12,11,14,55
2010-01-13,13,18,90
2010-01-14,11,37,71
2010-01-15,11,15,91
2010-01-16,2,9,69
2010-01-17,0,15,22
2010-01-18,3,17,82
2010-01-19,14,14,113
2010-01-20,9,24,91
2010-01-21,0,14,65
2010-01-22,5,11,106
2010-01-23,4,4,69
2010-01-24,1,4,50
2010-01-25,10,15,76
2010-01-26,21,29,129
2010-01-27,16,23,75
2010-01-28,15,19,51
2010-01-29,8,15,83
2010-01-30,9,2,45
2010-01-31,0,13,29
2010-02-01,11,8,57
2010-02-02,19,8,113
2010-02-03,3,19,87
2010-02-04,18,9,47
2010-02-05,13,18,91
2010-02-06,4,18,36
2010-02-07,3,17,13
2010-02-08,5,10,75
2010-02-09,8,15,98
2010-02-10,16,24,86
2010-02-11,8,23,89
2010-02-12,4,9,87
2010-02-13,0,2,71
2010-02-14,0,7,48
2010-02-15,0,13,71
2010-02-16,12,13,95
2010-02-17,14,21,102
2010-02-18,7,19,81
2010-02-19,20,21,55
2010-02-20,6,10,0
2010-02-21,1,8,54
2010-02-22,11,21,47
2010-02-23,9,18,121
2010-02-24,7,23,70
2010-02-25,14,11,92
2010-02-26,13,21,79
2010-02-27,1,8,50
2010-02-28,1,10,59
2010-03-01,1,22,90
2010-03-02,5,20,78
2010-03-03,6,22,69
2010-03-04,10,12,57
2010-03-05,11,6,63
2010-03-06,5,4,34
2010-03-07,2,3,34
2010-03-08,6,22,66
2010-03-09,14,15,72
2010-03-10,7,11,88
2010-03-11,4,10,83
2010-03-12,5,14,75
2010-03-13,2,18,53
2010-03-14,0,4,61
2010-03-15,5,13,53
2010-03-16,9,20,72
2010-03-17,11,13,60
2010-03-18,4,22,82
2010-03-19,15,22,92
2010-03-20,4,9,59
2010-03-21,4,6,14
2010-03-22,1,21,61
2010-03-23,10,17,74
2010-03-24,18,18,80
2010-03-25,14,7,83
2010-03-26,13,20,77
2010-03-27,2,6,42
2010-03-28,2,3,41
2010-03-29,10,13,58
2010-03-30,20,18,85
2010-03-31,15,32,66
2010-04-01,8,23,52
2010-04-02,3,14,74
2010-04-03,0,3,38
2010-04-04,1,2,62
2010-04-05,6,3,84
