,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2016-10-25,69.0,1,7
2016-10-26,55.099999999999994,4,10
2016-10-27,57.69499999999999,1,8
2016-10-28,49.543499999999995,1,4
2016-10-29,3.6922874999999955,1,5
2016-10-30,-2.647630749999996,3,1
2016-10-31,63.64969513750001,4,6
2016-11-01,46.35225543375001,1,13
2016-11-02,45.33540064692188,0,12
2016-11-03,56.49424035680156,2,10
2016-11-04,52.144810999475,2,0
2016-11-05,-10.232458928860936,2,4
2016-11-06,-4.29652256544218,2,1
2016-11-07,11.25260651883126,3,13
2016-11-08,2.1929338661906375,4,79
2016-11-09,101.25670816007813,6,5
2016-11-10,27.497594573009373,4,9
2016-11-11,35.30998818057188,4,29
2016-11-12,19.534160806687495,3,0
2016-11-13,-6.670887641235932,1,4
2016-11-14,39.9652022772422,3,3
2016-11-15,55.01105649928907,6,25
2016-11-16,139.0693510634625,7,13
2016-11-17,45.96344425450468,7,6
2016-11-18,35.352202270748435,11,8
2016-11-19,5.986876360506251,5,4
2016-11-20,4.950393063576577,3,0
2016-11-21,34.29057255483907,7,10
2016-11-22,58.83348659617345,6,9
2016-11-23,54.64173626659688,8,7
2016-11-24,14.542707152340629,8,9
2016-11-25,0.9093693595109436,4,1
2016-11-26,-0.327638405287491,0,9
2016-11-27,-2.225647309534363,2,0
2016-11-28,42.38066966294376,2,8
2016-11-29,50.89136113420157,7,39
2016-11-30,46.296525411075,3,3
2016-12-01,61.34186567440625,1,26
2016-12-02,56.30181113330156,4,5
2016-12-03,11.59617398471875,7,1
2016-12-04,-7.807871709592185,2,0
2016-12-05,48.70455621640001,1,20
2016-12-06,33.013033336871885,4,8
2016-12-07,98.77665836413907,10,2
2016-12-08,66.17087015723905,3,3
2016-12-09,40.89455724281093,4,4
2016-12-10,14.762491713782811,3,0
2016-12-11,-5.738061604671868,2,4
2016-12-12,27.26755685501876,0,5
2016-12-13,40.1316394035172,1,17
2016-12-14,34.371817097800005,0,24
2016-12-15,47.34925008420001,5,39
2016-12-16,55.95817021148438,3,17
2016-12-17,13.814599247809376,3,7
2016-12-18,-5.686450826854685,4,2
2016-12-19,27.92822569027657,3,17
2016-12-20,28.537010626185946,4,30
2016-12-21,54.82425114292501,3,19
2016-12-22,44.96012653323437,3,26
2016-12-23,4.476849674175002,4,7
2016-12-24,-2.9497782051984327,1,4
2016-12-25,-2.271792258167179,0,4
2016-12-26,-1.522017767334365,2,4
2016-12-27,22.449361970523448,2,24
2016-12-28,19.644821557164068,2,17
2016-12-29,22.285925024420315,110,36
2016-12-30,7.857060184559375,14,23
2016-12-31,0.28131860668593944,6,34
2017-01-01,1.8523508062953153,8,10
2017-01-02,-2.5696285310281213,1,8
2017-01-03,26.21216923580938,6,27
2017-01-04,47.808701547735936,8,72
2017-01-05,25.403634088675,2,35
2017-01-06,41.78241036216406,6,6
2017-01-07,3.064047203024998,8,1
2017-01-08,3.9078870181687524,5,0
2017-01-09,22.08519432224219,6,9
2017-01-10,46.92664234232032,6,9
2017-01-11,37.8831978680625,7,8
2017-01-12,41.001723263431245,4,8
2017-01-13,46.101415072365626,3,22
2017-01-14,-1.8755187014515613,2,4
2017-01-15,1.163499919551568,4,2
2017-01-16,3.0206394281625073,4,16
2017-01-17,45.861369784468764,1,22
2017-01-18,34.186664280451566,3,29
2017-01-19,58.59050688261094,8,16
2017-01-20,50.83379590576406,6,17
2017-01-21,-2.987468646223439,8,4
2017-01-22,-1.2761608534546838,7,9
2017-01-23,14.015220503750008,2,11
2017-01-24,47.70887396378595,4,25
2017-01-25,40.342900324629696,8,20
2017-01-26,26.270837928495315,8,13
2017-01-27,41.14261381714219,12,20
2017-01-28,3.994893257571876,6,17
2017-01-29,0.28136353632969247,5,11
2017-01-30,26.417560683531256,3,8
2017-01-31,38.85507429943594,2,54
2017-02-01,61.873763021437505,2,23
2017-02-02,41.497265663528125,4,16
2017-02-03,58.766687095375,1,7
2017-02-04,4.909845948623435,6,4
2017-02-05,-2.9242081445671833,2,0
2017-02-06,58.998455602835946,5,9
2017-02-07,121.3879682482125,8,19
2017-02-08,50.78631646138125,3,12
2017-02-09,36.98388432423749,1,20
2017-02-10,58.887219645854685,3,15
2017-02-11,22.75387942270001,0,5
2017-02-12,-5.277530426098426,2,2
2017-02-13,17.172485245707826,2,9
2017-02-14,84.2186261344672,2,32
2017-02-15,44.75477073030001,4,14
2017-02-16,34.67616565736094,3,35
2017-02-17,24.391978285339064,0,25
2017-02-18,-0.9076935781484323,5,5
2017-02-19,0.5217489354296987,7,0
2017-02-20,2.546925357671885,0,9
2017-02-21,23.6108631657547,5,26
2017-02-22,62.13776946181095,7,18
2017-02-23,31.747252730168753,3,63
2017-02-24,27.88039849952656,7,8
2017-02-25,6.5302094573593745,3,8
2017-02-26,-6.071307468287495,0,14
2017-02-27,41.43641292621407,2,15
2017-02-28,30.029204206285943,11,34
2017-03-01,54.47396117097344,4,19
2017-03-02,36.51950376462969,4,27
2017-03-03,40.692297307848435,7,25
2017-03-04,8.402546793860937,1,9
2017-03-05,9.28903032413438,6,10
2017-03-06,14.656428293909382,4,14
2017-03-07,40.872637503745324,1,21
2017-03-08,36.36505642500313,1,16
2017-03-09,28.779857813650004,5,16
2017-03-10,33.08880431048594,8,16
2017-03-11,7.928144151462503,6,7
2017-03-12,-2.687936399681244,4,5
2017-03-13,34.701247397500005,7,21
2017-03-14,48.24532702300938,5,18
2017-03-15,45.72487245445937,10,25
2017-03-16,49.50467798830625,7,15
2017-03-17,31.403459661987497,5,17
2017-03-18,1.4527406964265648,6,1
2017-03-19,-6.193467274576555,3,3
2017-03-20,41.41820803927501,5,8
2017-03-21,25.16418177669532,7,7
2017-03-22,53.154341117187506,8,28
2017-03-23,40.4176519578625,8,26
2017-03-24,27.324397366534377,7,34
2017-03-25,0.4291098963703135,2,4
2017-03-26,-2.3007840607843697,2,4
2017-03-27,37.72257764225157,4,19
2017-03-28,53.85785263569376,6,19
2017-03-29,43.77435672077969,11,27
2017-03-30,43.234916164309375,5,12
2017-03-31,65.69321132470938,7,20
2017-04-01,3.185659489271874,3,4
2017-04-02,-8.067417710823431,4,3
2017-04-03,27.31083859327657,10,18
2017-04-04,22.63375217264845,4,15
2017-04-05,21.395518452735946,8,17
2017-04-06,27.620797158162503,4,31
2017-04-07,33.34132286216406,2,20
2017-04-08,6.702217137804691,6,12
2017-04-09,-3.932530199584371,3,5
2017-04-10,39.60012346832188,10,6
2017-04-11,41.48008669364688,5,33
2017-04-12,25.63817447279375,12,32
2017-04-13,26.221553090917187,12,12
2017-04-14,30.298047462859376,12,13
2017-04-15,-1.1153125154499968,6,3
2017-04-16,3.81633729649063,2,3
2017-04-17,33.94507842287813,7,21
2017-04-18,37.60161236595469,5,44
2017-04-19,32.97880009440313,8,32
2017-04-20,45.67990841394219,7,26
2017-04-21,15.193693951945312,6,7
2017-04-22,7.282140508632814,2,8
2017-04-23,-2.9589359530265575,0,4
2017-04-24,11.137840333306258,10,23
2017-04-25,22.83118016078126,9,23
2017-04-26,33.66838923539532,9,18
2017-04-27,51.21129887047656,12,11
2017-04-28,39.72889567513125,4,40
2017-04-29,10.427721782117185,0,7
2017-04-30,0.06430084081562626,5,3
2017-05-01,43.2475521173625,8,68
2017-05-02,39.133694336606254,4,25
2017-05-03,21.904649007487503,3,27
2017-05-04,42.80921915461875,9,18
2017-05-05,30.11903185564063,1,13
2017-05-06,18.55426757834844,8,4
2017-05-07,-1.0163693826249958,1,4
2017-05-08,3.7080238763703193,8,25
2017-05-09,-3.3614534780531162,5,26
2017-05-10,60.95175502098907,11,24
2017-05-11,80.666468594275,11,8
2017-05-12,65.0795855332875,9,12
2017-05-13,-7.261046956759383,7,1
2017-05-14,-3.1374997264265616,5,2
2017-05-15,36.423912034832824,6,12
2017-05-16,41.07856284455626,11,9
2017-05-17,54.44668021735938,19,17
2017-05-18,46.0946212989125,13,11
2017-05-19,51.37604031000781,19,15
2017-05-20,-3.413160351468747,11,6
2017-05-21,1.7720154305359443,5,3
2017-05-22,37.02609348786876,5,6
2017-05-23,49.62550305011251,13,13
2017-05-24,43.19440844642344,10,23
2017-05-25,38.6344863859375,11,32
2017-05-26,50.68073747349219,18,16
2017-05-27,18.524990058114064,3,1
2017-05-28,-3.9281618167578074,0,1
2017-05-29,1.6619710564328205,0,0
2017-05-30,26.8574763331672,5,15
2017-05-31,56.20344883924688,6,15
2017-06-01,38.78135168827031,6,16
2017-06-02,29.810712132976562,7,44
2017-06-03,1.5208091831828128,7,5
2017-06-04,-5.355680462514057,1,2
2017-06-05,26.156971848990633,3,19
2017-06-06,77.46163243885782,5,24
2017-06-07,50.479822062660936,3,36
2017-06-08,32.81791250831406,4,13
2017-06-09,42.86950109066875,8,10
2017-06-10,-1.572461090437498,4,5
2017-06-11,1.5690730098390695,0,70
2017-06-12,11.40223325978751,5,8
2017-06-13,66.48419931894377,4,30
2017-06-14,87.12283308932344,7,20
2017-06-15,16.37556270199687,2,29
2017-06-16,50.90720196026719,6,13
2017-06-17,-8.571219216262499,2,49
2017-06-18,-6.412651770148427,2,0
2017-06-19,26.15349529694845,7,20
2017-06-20,47.364812526609384,7,18
2017-06-21,52.502043712962504,2,29
2017-06-22,55.43541326257969,6,32
2017-06-23,25.19211284317656,5,18
