,golang/go,gcc-mirror/gcc,llvm/llvm-project
2008-04-03,4,19,52.0
2008-04-04,0,21,6.200000000000003
2008-04-05,0,9,-11.04
2008-04-06,0,14,32.032
2008-04-07,0,20,28.9888
2008-04-08,0,103,-2.984703999999997
2008-04-09,0,16,7.123609600000002
2008-04-10,0,14,11.13941248
2008-04-11,0,10,6.510086656000002
2008-04-12,0,5,-4.8960229376000015
2008-04-13,0,9,2.4205625343999984
2008-04-14,0,24,34.1433628672
2008-04-15,1,19,5.082392371200001
2008-04-16,0,14,39.74019328
2008-04-17,0,17,-4.057688575999997
2008-04-18,3,21,20.992460185600002
2008-04-19,0,8,-8.604056985599996
2008-04-20,0,10,8.215189708799997
2008-04-21,0,16,15.3380312064
2008-04-22,0,20,1.1759121408000013
2008-04-23,0,16,38.690919424
2008-04-24,0,24,-12.716892262399995
2008-04-25,0,15,13.303082700800005
2008-04-26,0,11,-22.132325273599996
2008-04-27,0,3,-0.35780106240000187
2008-04-28,2,13,17.014569881599996
2008-04-29,1,16,16.0299942912
2008-04-30,0,22,9.702759628800003
2008-05-01,1,11,14.849228185600005
2008-05-02,5,7,2.568993382400002
2008-05-03,0,13,-15.869682790399999
2008-05-04,0,12,10.550612070399998
2008-05-05,0,11,17.771290316800002
2008-05-06,1,28,72.6097366016
2008-05-07,0,17,-15.936594943999992
2008-05-08,2,21,-0.5695953919999965
2008-05-09,4,13,14.635132518400003
2008-05-10,0,17,-8.216995225600002
2008-05-11,0,9,-16.688802713599998
2008-05-12,0,20,36.821417472
2008-05-13,0,11,7.583887974400003
2008-05-14,0,25,25.463565209600002
2008-05-15,2,43,-4.900728422399997
2008-05-16,1,27,12.37628672
2008-05-17,0,13,-14.5394473984
2008-05-18,0,14,-7.906799923200005
2008-05-19,0,15,21.229632204799998
2008-05-20,0,77,33.9466203136
2008-05-21,0,26,-3.5974969343999987
2008-05-22,0,17,9.127010508800002
2008-05-23,0,32,35.640578048
2008-05-24,0,12,-12.954913996800002
2008-05-25,0,13,-11.075964927999998
2008-05-26,0,60,-4.219331072000003
2008-05-27,0,68,28.0334352384
2008-05-28,1,38,-1.8115035135999982
2008-05-29,0,20,26.1712562176
2008-05-30,0,9,50.27714437120001
2008-05-31,0,7,-13.860337356799988
2008-06-01,0,6,-6.2664249344
2008-06-02,0,18,-0.07314585600000001
2008-06-03,0,12,8.895923711999998
2008-06-04,7,11,22.990075392
2008-06-05,5,6,19.255591936000002
2008-06-06,18,19,2.329178419200005
2008-06-07,15,13,-9.464462131199998
2008-06-08,3,12,9.0099566592
2008-06-09,15,13,21.3943819264
2008-06-10,2,8,0.5845079040000023
2008-06-11,7,19,10.816527360000002
2008-06-12,14,17,-3.7235460095999997
2008-06-13,5,17,-2.8210566143999998
2008-06-14,2,9,-10.6252653568
2008-06-15,1,12,1.1845192703999992
2008-06-16,6,8,55.8469251072
2008-06-17,6,16,13.171520614400006
2008-06-18,13,27,-0.5986116607999961
2008-06-19,5,15,10.312968499200004
2008-06-20,1,12,24.555569254399998
2008-06-21,3,7,7.4971051008000025
2008-06-22,1,5,-18.0835968
2008-06-23,2,9,22.2693270528
2008-06-24,8,16,13.802406912000002
2008-06-25,9,14,6.916211200000003
2008-06-26,17,23,21.6294350848
2008-06-27,12,23,3.7677198336000046
2008-06-28,8,19,-1.5871688703999993
2008-06-29,1,16,-13.2279855104
2008-06-30,6,13,31.7253679104
2008-07-01,3,12,13.606440652800003
2008-07-02,2,37,30.776401305600004
2008-07-03,9,18,15.999052185600007
2008-07-04,5,16,-26.724463206399996
2008-07-05,2,7,-3.1316927488000026
2008-07-06,2,9,-14.1457127424
2008-07-07,5,29,34.5340945408
2008-07-08,11,15,22.185453465600006
2008-07-09,13,17,69.621664256
2008-07-10,4,14,-1.8552020991999854
2008-07-11,4,11,11.523888742400004
2008-07-12,10,5,-20.754084864
2008-07-13,4,5,-8.642595225600004
2008-07-14,6,20,19.944248012799996
2008-07-15,14,17,25.4853046272
2008-07-16,9,18,5.5198462976000044
2008-07-17,10,11,3.7889152000000053
2008-07-18,7,20,4.417923174400002
2008-07-19,7,13,-3.3272454143999965
2008-07-20,2,8,-12.627701043199998
2008-07-21,3,18,51.623708672
2008-07-22,5,7,13.098232217600003
2008-07-23,4,11,-3.320410521599996
2008-07-24,6,11,-0.5580631039999986
2008-07-25,8,13,52.9105926144
2008-07-26,4,6,-5.8163787775999936
2008-07-27,5,7,-11.147003904000002
2008-07-28,8,11,-4.735090688
2008-07-29,5,27,3.6440236031999973
2008-07-30,5,41,6.040254361599999
2008-07-31,6,80,-6.33957376
2008-08-01,5,69,-6.3661520896
2008-08-02,2,5,-5.870607462399999
2008-08-03,3,6,-2.2709914623999996
2008-08-04,12,62,12.0946953216
2008-08-05,9,65,37.6084588544
2008-08-06,2,54,13.429283328000004
2008-08-07,3,16,24.671344128000005
2008-08-08,7,31,18.404808601600003
2008-08-09,3,16,0.8129375232000022
2008-08-10,5,7,-2.0194567168000006
2008-08-11,8,8,4.131940761599999
2008-08-12,15,30,8.519724748800002
2008-08-13,4,19,18.2157103104
2008-08-14,0,13,0.6233974784000011
2008-08-15,0,7,-9.2363378688
2008-08-16,0,11,8.345368678399998
2008-08-17,0,8,34.2362883072
2008-08-18,0,25,0.021038592000003575
2008-08-19,0,11,24.8748109824
2008-08-20,3,73,29.2147652608
2008-08-21,2,21,23.854889881600002
2008-08-22,2,59,1.0978710528000022
2008-08-23,0,13,29.7058772992
2008-08-24,0,14,-14.758571417599995
2008-08-25,0,10,10.731439001599998
2008-08-26,0,14,19.7540841472
2008-08-27,0,14,12.627283865599999
2008-08-28,2,36,20.586555494400002
2008-08-29,7,40,-6.683735142399996
2008-08-30,2,15,-5.962908979199998
2008-08-31,0,24,-8.295854387200002
2008-09-01,1,21,2.944991027199997
2008-09-02,5,27,20.919096012799997
2008-09-03,11,32,31.101061222400006
2008-09-04,8,31,15.638316953600004
2008-09-05,3,21,15.778080768000002
2008-09-06,1,16,-24.8064093184
2008-09-07,0,9,-2.1671585792000023
2008-09-08,5,17,35.3149274112
2008-09-09,8,38,35.1349979136
2008-09-10,9,22,0.3298490367999989
2008-09-11,11,28,17.4133090304
2008-09-12,19,9,-12.1989056512
2008-09-13,6,19,-9.890310553600003
2008-09-14,1,9,-13.7471271936
2008-09-15,4,10,2.7495993343999956
2008-09-16,8,11,14.0083125248
2008-09-17,12,21,8.980061184
2008-09-18,9,28,6.099650457600003
2008-09-19,12,9,13.812076134400002
2008-09-20,5,7,-5.930424729599999
2008-09-21,1,12,10.1890688
2008-09-22,11,19,40.6359839744
2008-09-23,9,29,-1.1697048575999958
2008-09-24,11,12,40.6487517184
2008-09-25,7,10,-5.300441599999999
2008-09-26,19,27,30.111330304000003
2008-09-27,7,3,-15.390111846399996
2008-09-28,2,8,-9.988887040000002
2008-09-29,7,10,14.0143456256
2008-09-30,18,14,32.0117052416
2008-10-01,5,14,-0.02300999679999549
2008-10-02,7,9,2.1014977536000004
2008-10-03,7,9,27.754568601600003
2008-10-04,4,5,6.815376384000004
2008-10-05,3,8,29.680945971200003
2008-10-06,4,13,33.31508807680001
2008-10-07,7,18,-0.5904521215999949
2008-10-08,11,15,-16.621491199999994
2008-10-09,2,11,-14.343718502400002
2008-10-10,13,11,17.025822515199994
2008-10-11,2,10,-6.6822849536
2008-10-12,0,7,19.903479296
2008-10-13,1,10,10.381919334400003
2008-10-14,6,13,21.0455332864
2008-10-15,9,17,34.5658720256
2008-10-16,20,18,-1.8030384127999923
2008-10-17,10,7,36.421807718400004
2008-10-18,6,7,-20.1564176384
2008-10-19,1,9,-15.009090457600003
2008-10-20,13,10,31.918388735999997
2008-10-21,11,14,28.2143368192
2008-10-22,10,13,15.7733579776
2008-10-23,7,7,-6.196952883199998
2008-10-24,14,16,37.1233506304
2008-10-25,8,3,-15.416822579200002
2008-10-26,4,2,3.7725682688000006
2008-10-27,3,11,38.9646319616
2008-10-28,2,7,6.980928921600004
2008-10-29,22,19,16.754093158400003
2008-10-30,14,9,19.012716339200004
2008-10-31,11,14,16.023340544
2008-11-01,4,17,-30.3021041664
2008-11-02,3,6,2.5638603775999975
2008-11-03,12,23,26.047240294399998
2008-11-04,10,11,32.1322105856
2008-11-05,15,22,7.8865076224000035
2008-11-06,15,17,0.8060112896000078
2008-11-07,8,21,20.6555972608
2008-11-08,4,1,15.1213101056
2008-11-09,0,5,-15.475084185599997
2008-11-10,6,17,31.1977859072
2008-11-11,5,11,39.1034012672
2008-11-12,8,25,36.827753984000005
2008-11-13,8,16,19.293853184
2008-11-14,8,20,-11.9206986752
2008-11-15,5,14,-3.1307080704000043
2008-11-16,1,17,21.8019920896
2008-11-17,9,9,1.0001752064000016
2008-11-18,17,15,54.8791957504
2008-11-19,36,23,48.323748454400004
2008-11-20,11,21,7.4870075392000075
2008-11-21,9,17,21.098376396800006
2008-11-22,2,15,-7.283607142400001
2008-11-23,2,9,-15.206456320000001
2008-11-24,19,18,32.262159667199995
2008-11-25,10,15,2.0503283711999956
2008-11-26,3,12,23.382123315200005
2008-11-27,1,9,11.168872448000002
2008-11-28,0,7,-8.837873561599999
2008-11-29,0,13,-1.268056780800002
2008-11-30,0,6,20.383202611199998
2008-12-01,2,15,35.0460676096
2008-12-02,6,30,14.802964684800003
2008-12-03,12,18,19.0743488512
2008-12-04,8,12,-0.1400892415999948
2008-12-05,11,26,10.3841729536
