,python/cpython,ruby/ruby,php/php-src
2012-02-05,25,2,27
2012-02-06,12,1,16
2012-02-07,6,6,6
2012-02-08,21,15,7
2012-02-09,13,16,1
2012-02-10,12,3,0
2012-02-11,10,10,0
2012-02-12,23,3,5
2012-02-13,17,9,2
2012-02-14,18,10,19
2012-02-15,37,20,0
2012-02-16,23,5,7
2012-02-17,14,14,1
2012-02-18,12,13,6
2012-02-19,22,11,2
2012-02-20,56,13,7
2012-02-21,62,12,3
2012-02-22,29,23,4
2012-02-23,45,19,4
2012-02-24,13,19,4
2012-02-25,25,15,21
2012-02-26,37,2,3
2012-02-27,21,15,2
2012-02-28,12,13,3
2012-02-29,17,9,5
2012-03-01,9,3,11
2012-03-02,13,15,51
2012-03-03,6,8,6
2012-03-04,26,4,21
2012-03-05,41,20,19
2012-03-06,19,12,19
2012-03-07,13,6,5
2012-03-08,17,9,16
2012-03-09,11,6,2
2012-03-10,11,4,3
2012-03-11,6,16,31
2012-03-12,41,11,11
2012-03-13,46,13,3
2012-03-14,57,19,6
2012-03-15,45,22,3
2012-03-16,39,26,2
2012-03-17,52,0,9
2012-03-18,14,11,6
2012-03-19,8,5,26
2012-03-20,9,2,24
2012-03-21,20,3,36
2012-03-22,27,17,37
2012-03-23,19,7,17
2012-03-24,8,5,41
2012-03-25,22,1,17
2012-03-26,21,13,3
2012-03-27,8,12,27
2012-03-28,8,7,43
2012-03-29,13,11,28
2012-03-30,12,7,13
2012-03-31,37,13,6
2012-04-01,22,9,10
2012-04-02,20,5,18
2012-04-03,18,11,19
2012-04-04,8,6,23
2012-04-05,27,2,0
2012-04-06,15,6,4
2012-04-07,10,8,3
2012-04-08,15,9,2
2012-04-09,27,5,4
2012-04-10,33,20,49
2012-04-11,20,11,4
2012-04-12,15,7,8
2012-04-13,21,9,9
2012-04-14,16,5,2
2012-04-15,28,2,0
2012-04-16,30,14,33
2012-04-17,17,16,5
2012-04-18,29,18,20
2012-04-19,12,10,21
2012-04-20,21,2,9
2012-04-21,9,5,7
2012-04-22,24,8,13
2012-04-23,32,19,6
2012-04-24,35,16,14
2012-04-25,16,4,3
2012-04-26,9,7,8
2012-04-27,19,3,0
2012-04-28,6,6,4
2012-04-29,58,2,8
2012-04-30,21,12,32
2012-05-01,33,9,8
2012-05-02,13,8,10
2012-05-03,20,13,16
2012-05-04,26,6,7
2012-05-05,9,2,8
2012-05-06,35,6,15
2012-05-07,18,31,14
2012-05-08,11,16,25
2012-05-09,11,5,12
2012-05-10,17,9,11
2012-05-11,11,12,10
2012-05-12,15,2,3
2012-05-13,18,9,21
2012-05-14,22,4,3
2012-05-15,37,10,16
2012-05-16,37,6,22
2012-05-17,10,15,12
2012-05-18,25,19,5
2012-05-19,18,10,10
2012-05-20,30,11,8
2012-05-21,10,13,17
2012-05-22,10,6,9
2012-05-23,7,4,41
2012-05-24,7,15,35
2012-05-25,23,9,18
2012-05-26,24,17,22
2012-05-27,18,12,9
2012-05-28,23,5,12
2012-05-29,28,7,20
