,jetbrains/kotlin,apache/groovy,scala/scala
2011-08-22,4.0,0,3
2011-08-23,3.5999999999999996,4,4
2011-08-24,0.4199999999999995,2,6
2011-08-25,-0.39400000000000035,0,5
2011-08-26,4.75835,0,4
2011-08-27,-0.6756169999999999,0,4
2011-08-28,-0.3627775499999997,5,1
2011-08-29,2.7443604150000005,7,4
2011-08-30,8.5008774504375,5,3
2011-08-31,14.80145389154375,2,3
2011-09-01,5.800526214340623,1,2
2011-09-02,11.097645166214061,10,2
2011-09-03,2.601845684921874,0,1
2011-09-04,3.129868949820313,6,0
2011-09-05,18.32959279875,4,5
2011-09-06,13.895813094703126,1,3
2011-09-07,4.550563135251562,6,8
2011-09-08,7.192565336426563,1,3
2011-09-09,15.240709991550002,2,3
2011-09-10,-0.46445493324062426,0,4
2011-09-11,-0.31002012929531064,2,0
2011-09-12,6.28097703474219,1,6
2011-09-13,8.964158040757816,9,4
2011-09-14,1.5799029330156262,3,3
2011-09-15,13.220144565264064,0,2
2011-09-16,1.4069199795562501,1,4
2011-09-17,-1.861044773390624,3,10
2011-09-18,2.8251979728062513,0,4
2011-09-19,5.8337306088609395,1,6
2011-09-20,2.527575832053126,6,4
2011-09-21,1.6922857640406257,5,6
2011-09-22,2.8881358762921883,11,5
2011-09-23,9.920400609621876,7,3
2011-09-24,4.222128659898438,0,1
2011-09-25,-0.50555878264375,0,2
2011-09-26,3.0169225741875003,3,8
2011-09-27,6.907811076246876,1,7
2011-09-28,4.507246391435938,3,16
2011-09-29,6.557179728309375,4,3
2011-09-30,2.338760706579688,2,7
2011-10-01,2.6206619566843754,1,1
2011-10-02,-0.27444800223906185,0,0
2011-10-03,4.134367186768751,0,4
2011-10-04,0.9150222504015633,0,7
2011-10-05,5.117382808231251,1,4
2011-10-06,-0.18362781838124964,2,3
2011-10-07,1.2296082956593757,2,4
2011-10-08,2.2990903801500004,0,0
2011-10-09,2.2765190790437506,0,5
2011-10-10,2.2656807705906252,1,4
2011-10-11,1.2646583648859377,4,5
2011-10-12,6.344423921289063,11,1
2011-10-13,18.902536945584373,0,3
2011-10-14,1.3960273917687487,8,2
2011-10-15,-0.6894778548171883,0,7
2011-10-16,-0.14514077036874973,0,4
2011-10-17,19.101426139595315,13,4
2011-10-18,4.353292023345313,12,5
2011-10-19,9.901141192610938,10,3
2011-10-20,5.5199228788187495,5,13
2011-10-21,13.723438224435938,0,7
2011-10-22,-1.9994785115312501,1,4
2011-10-23,4.273735080590626,0,2
2011-10-24,14.208323821948438,15,9
2011-10-25,1.206600863401564,51,2
2011-10-26,2.957093803171876,5,0
2011-10-27,16.25095475606094,9,2
2011-10-28,15.06570561294375,8,5
2011-10-29,-3.4033675997875004,0,7
2011-10-30,0.08811616890937568,0,0
2011-10-31,28.538535329370315,1,8
2011-11-01,19.934302529034376,2,4
2011-11-02,18.4378589011125,6,1
2011-11-03,35.205635267278126,1,3
2011-11-04,25.21498107053906,7,10
2011-11-05,-3.984635504928125,0,1
2011-11-06,-3.3102666131468723,1,3
2011-11-07,24.987978936468757,11,9
2011-11-08,7.890807906959379,14,7
2011-11-09,34.57053589779688,6,2
2011-11-10,23.361411339778122,0,7
2011-11-11,1.3094428035484382,0,8
2011-11-12,21.330035280812503,0,0
2011-11-13,-2.5074535164468728,0,13
2011-11-14,21.537077221876565,0,5
2011-11-15,12.041349344276565,8,5
2011-11-16,19.236270531040628,1,7
2011-11-17,11.721020721923438,1,0
2011-11-18,14.12502071562969,0,5
2011-11-19,-2.759615470203123,2,5
2011-11-20,-1.9876831099437466,1,1
2011-11-21,4.7822637762687545,10,4
2011-11-22,15.762542230751567,0,13
2011-11-23,32.64632119283594,10,11
2011-11-24,35.52651292076406,7,8
2011-11-25,31.00490771412187,6,1
2011-11-26,-5.515670095407815,4,1
2011-11-27,-4.39439410796406,0,5
2011-11-28,26.058696383162506,4,7
2011-11-29,15.848142223854692,5,8
2011-11-30,13.77120132046719,5,4
2011-12-01,18.845629864540626,1,16
2011-12-02,20.40474349256563,1,21
2011-12-03,-0.8529344910671854,4,4
2011-12-04,-2.8050306348968723,0,9
2011-12-05,10.516964591178128,19,24
2011-12-06,18.82794606379688,4,13
2011-12-07,30.69298217437969,7,26
2011-12-08,30.071618864448435,5,10
2011-12-09,10.169806874442186,4,17
2011-12-10,-4.500571843018749,2,11
2011-12-11,0.5828324102375038,4,2
2011-12-12,20.277218848054694,4,16
2011-12-13,23.72251582326094,2,15
2011-12-14,32.57455296193906,10,5
2011-12-15,13.0429402611625,7,0
2011-12-16,40.11212154392969,19,5
2011-12-17,-5.060997008809377,0,0
2011-12-18,-1.6758938786265585,0,3
2011-12-19,14.557950031651567,9,1
2011-12-20,31.642243420496882,8,5
2011-12-21,20.55525491973594,10,6
2011-12-22,5.6305719843999995,2,6
2011-12-23,7.078406028321877,7,6
2011-12-24,-3.2243380756874966,0,7
2011-12-25,5.194660030550005,1,6
2011-12-26,8.402477270845317,3,3
2011-12-27,26.11797540561094,8,4
2011-12-28,-1.7901760629593753,5,26
2011-12-29,23.048311602284375,6,1
2011-12-30,29.594403357842186,1,9
2011-12-31,-5.76399253286875,2,3
2012-01-01,-3.144259500946874,3,1
2012-01-02,2.8567503720890657,3,8
2012-01-03,8.844794007790629,12,4
2012-01-04,15.381668630901565,17,4
2012-01-05,-0.4457161900890618,19,15
2012-01-06,18.822029131485937,17,7
2012-01-07,1.4004359415343752,8,10
2012-01-08,3.5689197012781264,4,4
2012-01-09,0.02416038125000064,3,4
2012-01-10,17.49844880117188,0,9
2012-01-11,9.010817474148439,8,3
2012-01-12,19.10914088657344,0,14
2012-01-13,9.101812531556249,11,7
2012-01-14,0.582607312814063,5,10
2012-01-15,6.516728079167189,1,8
2012-01-16,12.529854229226565,14,8
2012-01-17,17.919564880003126,9,9
2012-01-18,34.05504796763125,27,4
2012-01-19,9.887505065629686,3,10
2012-01-20,9.128356531975,0,15
2012-01-21,-3.3506594724937493,1,6
2012-01-22,5.245641461220317,0,2
2012-01-23,16.25044556646563,3,10
2012-01-24,20.21211853569219,19,15
2012-01-25,34.31163298113281,6,15
2012-01-26,13.395344137151561,13,9
2012-01-27,45.39875533538437,4,5
2012-01-28,6.7016539309562475,1,11
2012-01-29,-4.0236195560187475,6,6
2012-01-30,35.01808286458907,4,31
2012-01-31,18.17782153491563,6,8
2012-02-01,9.470996135692191,13,23
2012-02-02,14.412550519028127,16,13
2012-02-03,24.44729879453594,6,19
2012-02-04,0.6501937667343771,4,11
2012-02-05,4.539109195432816,9,33
2012-02-06,22.35205811967969,11,20
2012-02-07,18.975393481068753,23,6
2012-02-08,56.537857535707815,15,9
2012-02-09,16.70042162835156,4,3
2012-02-10,10.4930313741125,3,1
2012-02-11,-2.303075927437499,0,1
2012-02-12,2.6201236415625067,11,7
2012-02-13,28.32130531260782,5,5
2012-02-14,9.173380203770316,16,18
2012-02-15,7.009717329190629,10,28
2012-02-16,3.683735304668752,3,6
2012-02-17,18.43664317186563,7,17
2012-02-18,-4.254782172715624,0,4
2012-02-19,4.604005878540628,4,14
2012-02-20,35.66129693124688,1,10
2012-02-21,44.61216342199844,1,7
2012-02-22,22.085223068615623,7,21
2012-02-23,19.903246110773434,6,25
2012-02-24,29.20561369794375,7,4
2012-02-25,-7.685389294131248,2,5
2012-02-26,-2.57779960454062,0,2
2012-02-27,17.58597072639063,6,7
2012-02-28,13.259064700154694,9,8
2012-02-29,61.132039727853126,6,7
2012-03-01,20.46982073398437,3,7
2012-03-02,35.1411709075,2,8
2012-03-03,-1.8389290620328147,3,6
2012-03-04,-5.744774846293746,2,3
2012-03-05,18.286899027718757,5,13
2012-03-06,39.94239836410001,4,20
2012-03-07,46.19669238496407,2,16
2012-03-08,12.153717320321874,3,4
2012-03-09,29.222388315909377,6,5
2012-03-10,14.745560090500001,3,0
2012-03-11,6.849278124845318,1,3
2012-03-12,34.290476652248444,0,2
2012-03-13,29.174951107406255,1,0
2012-03-14,31.525470036006254,5,13
2012-03-15,0.9093467030390627,10,10
2012-03-16,18.71613152796563,1,26
2012-03-17,5.522591973881255,0,2
2012-03-18,-2.245440740689056,0,3
2012-03-19,31.338332696954694,6,10
2012-03-20,6.908006282621878,5,25
2012-03-21,26.12328159198438,2,14
2012-03-22,0.9286341605453128,4,8
2012-03-23,20.896038462156255,0,29
2012-03-24,2.97299450675,0,2
2012-03-25,-2.7932978458359337,0,4
2012-03-26,25.494366549271877,1,4
2012-03-27,17.385292298095315,0,15
2012-03-28,56.08889467078907,2,7
2012-03-29,18.149894527298436,8,4
2012-03-30,20.62335212402656,7,13
2012-03-31,-6.059255375642188,0,4
2012-04-01,-2.4106288637734306,0,3
2012-04-02,38.73904384669688,2,5
2012-04-03,20.344542053026565,0,8
2012-04-04,32.4033079339,4,4
2012-04-05,12.19405025150625,7,5
2012-04-06,14.48098153638594,8,20
2012-04-07,25.12160949584219,0,2
2012-04-08,22.324282148478126,0,3
2012-04-09,21.215851691432814,0,3
2012-04-10,6.023737362021877,2,7
2012-04-11,19.327520088318757,1,6
2012-04-12,9.919958836420317,0,28
2012-04-13,57.69865273203594,0,38
2012-04-14,-2.546896070296878,0,42
2012-04-15,-2.88032739798906,3,14
2012-04-16,9.836406086432817,8,8
2012-04-17,10.72114664827032,2,8
2012-04-18,8.77701670354063,1,3
2012-04-19,55.09609641414219,0,3
2012-04-20,28.59577347710156,1,6
2012-04-21,-5.115399271809377,1,1
2012-04-22,-1.9705189146234368,1,5
2012-04-23,6.641655908201567,0,20
2012-04-24,15.567434703923443,2,9
2012-04-25,16.724307330512502,0,19
2012-04-26,5.257768851507814,1,11
2012-04-27,18.13485640036094,0,10
2012-04-28,15.275417992551564,0,7
2012-04-29,0.4805055533734386,0,2
2012-04-30,20.013006553345313,2,10
2012-05-01,15.681195320985939,0,9
2012-05-02,15.424307281093752,3,39
2012-05-03,33.25783849098906,0,15
2012-05-04,37.39481814908906,2,17
