,rust-lang/rust,golang/go,swiftlang/swift
2022-07-17,77,0,0
2022-07-18,108,4,36
2022-07-19,94,17,48
2022-07-20,171,4,63
2022-07-21,111,3,71
2022-07-22,81,3,29
2022-07-23,63,0,20
2022-07-24,109,2,8
2022-07-25,112,9,40
2022-07-26,114,4,58
2022-07-27,97,3,40
2022-07-28,115,11,53
2022-07-29,97,1,73
2022-07-30,85,2,4
2022-07-31,77,0,10
2022-08-01,85,6,39
2022-08-02,96,21,87
2022-08-03,103,4,47
2022-08-04,134,16,25
2022-08-05,65,6,47
2022-08-06,72,2,17
2022-08-07,63,0,1
2022-08-08,72,45,54
2022-08-09,111,32,46
2022-08-10,97,15,41
2022-08-11,76,26,53
2022-08-12,109,31,48
2022-08-13,61,0,13
2022-08-14,57,5,2
2022-08-15,80,18,32
2022-08-16,106,14,61
2022-08-17,88,37,42
2022-08-18,104,41,47
2022-08-19,89,41,49
2022-08-20,79,2,22
2022-08-21,117,0,20
2022-08-22,133,18,81
2022-08-23,134,35,64
2022-08-24,87,17,58
2022-08-25,67,14,48
2022-08-26,112,29,104
2022-08-27,92,4,16
2022-08-28,80,1,6
2022-08-29,87,21,26
2022-08-30,100,12,57
2022-08-31,124,32,72
2022-09-01,94,23,71
2022-09-02,87,51,60
2022-09-03,53,7,7
2022-09-04,60,1,9
2022-09-05,82,14,7
2022-09-06,75,39,41
2022-09-07,74,46,44
2022-09-08,96,27,59
2022-09-09,88,19,39
2022-09-10,72,0,29
2022-09-11,54,0,7
2022-09-12,126,0,50
2022-09-13,115,16,56
2022-09-14,103,9,47
2022-09-15,75,21,107
2022-09-16,94,22,42
2022-09-17,58,4,17
2022-09-18,46,1,24
2022-09-19,70,24,51
2022-09-20,82,10,75
2022-09-21,86,10,40
2022-09-22,103,5,49
2022-09-23,99,11,47
2022-09-24,93,1,13
2022-09-25,68,1,4
2022-09-26,101,23,37
2022-09-27,140,38,51
2022-09-28,64,31,49
2022-09-29,77,54,52
2022-09-30,82,24,60
2022-10-01,104,10,13
2022-10-02,91,4,1
2022-10-03,83,7,39
2022-10-04,65,15,66
2022-10-05,65,14,49
2022-10-06,78,10,25
2022-10-07,116,14,83
2022-10-08,60,4,21
2022-10-09,83,0,13
2022-10-10,108,13,52
2022-10-11,64,12,10
2022-10-12,74,17,21
2022-10-13,68,11,24
2022-10-14,87,17,43
2022-10-15,68,1,18
2022-10-16,70,0,4
2022-10-17,77,19,48
2022-10-18,65,13,29
2022-10-19,93,8,40
2022-10-20,104,9,77
2022-10-21,78,11,67
2022-10-22,64,0,45
2022-10-23,101,1,11
2022-10-24,106,15,42
2022-10-25,92,13,41
2022-10-26,95,16,33
2022-10-27,99,6,60
2022-10-28,74,8,49
2022-10-29,109,4,9
2022-10-30,39,0,26
2022-10-31,70,19,51
2022-11-01,71,19,60
2022-11-02,72,12,68
2022-11-03,52,24,56
2022-11-04,105,21,89
2022-11-05,102,1,25
2022-11-06,69,0,5
2022-11-07,158,17,56
2022-11-08,78,23,59
2022-11-09,122,25,83
2022-11-10,95,32,76
2022-11-11,86,14,64
2022-11-12,85,0,45
2022-11-13,71,0,7
2022-11-14,72,18,57
2022-11-15,102,45,52
2022-11-16,70,32,95
2022-11-17,70,25,64
2022-11-18,97,24,45
2022-11-19,105,13,23
2022-11-20,106,0,0
2022-11-21,130,20,6
2022-11-22,80,18,6
2022-11-23,90,14,7
2022-11-24,86,3,2
2022-11-25,170,0,0
2022-11-26,80,0,3
2022-11-27,88,0,2
2022-11-28,100,11,50
2022-11-29,100,5,116
2022-11-30,65,7,87
2022-12-01,90,18,90
2022-12-02,87,14,68
2022-12-03,75,1,24
2022-12-04,54,0,10
2022-12-05,53,8,32
2022-12-06,106,9,68
2022-12-07,60,11,58
2022-12-08,59,8,55
2022-12-09,83,3,58
2022-12-10,60,1,27
2022-12-11,68,1,7
2022-12-12,68,6,71
2022-12-13,110,3,90
2022-12-14,112,6,84
2022-12-15,88,2,109
2022-12-16,70,4,60
2022-12-17,79,1,19
2022-12-18,53,0,14
2022-12-19,53,1,55
2022-12-20,91,0,70
2022-12-21,59,6,68
2022-12-22,74,6,39
2022-12-23,60,2,1
2022-12-24,42,0,1
2022-12-25,44,0,1
2022-12-26,22,0,1
2022-12-27,67,1,1
2022-12-28,110,1,12
2022-12-29,67,2,7
2022-12-30,52,0,5
2022-12-31,54,0,2
2023-01-01,39,0,3
2023-01-02,87,0,8
2023-01-03,66,3,78
2023-01-04,80,4,60
2023-01-05,56,2,60
2023-01-06,62,3,49
2023-01-07,53,0,57
2023-01-08,37,0,29
2023-01-09,172,7,63
2023-01-10,52,3,30
2023-01-11,133,3,54
2023-01-12,131,0,57
2023-01-13,106,3,58
2023-01-14,131,0,18
2023-01-15,49,0,18
2023-01-16,65,1,54
2023-01-17,100,42,42
2023-01-18,72,7,51
2023-01-19,76,19,64
2023-01-20,84,38,60
2023-01-21,83,3,22
2023-01-22,54,0,9
2023-01-23,100,12,28
2023-01-24,50,20,56
2023-01-25,64,16,68
2023-01-26,81,22,115
2023-01-27,151,14,56
2023-01-28,77,6,39
2023-01-29,57,1,32
2023-01-30,91,25,37
2023-01-31,95,31,54
2023-02-01,72,14,81
2023-02-02,73,17,151
2023-02-03,80,7,61
2023-02-04,30,9,25
2023-02-05,61,0,11
2023-02-06,65,15,64
2023-02-07,72,8,87
2023-02-08,52,10,100
2023-02-09,84,13,92
2023-02-10,89,20,55
2023-02-11,53,2,72
2023-02-12,56,0,23
2023-02-13,90,8,58
2023-02-14,139,8,74
2023-02-15,86,7,78
2023-02-16,95,8,77
2023-02-17,75,10,64
2023-02-18,98,1,28
2023-02-19,73,1,9
2023-02-20,93,1,50
2023-02-21,91,8,63
2023-02-22,83,14,82
2023-02-23,66,18,90
2023-02-24,42,12,60
2023-02-25,79,3,38
2023-02-26,82,0,15
2023-02-27,64,34,48
2023-02-28,79,26,108
2023-03-01,126,23,93
2023-03-02,66,10,114
2023-03-03,93,5,118
2023-03-04,80,1,101
2023-03-05,84,0,50
2023-03-06,75,13,79
2023-03-07,60,12,91
2023-03-08,98,5,92
2023-03-09,97,13,73
2023-03-10,104,25,79
2023-03-11,75,1,40
2023-03-12,78,0,7
2023-03-13,76,16,51
2023-03-14,87,11,86
2023-03-15,87,24,69
2023-03-16,86,17,73
2023-03-17,88,12,61
2023-03-18,47,4,41
2023-03-19,59,0,18
2023-03-20,70,8,57
2023-03-21,92,20,85
2023-03-22,91,21,68
2023-03-23,79,5,73
2023-03-24,75,20,47
2023-03-25,63,2,28
2023-03-26,61,0,9
2023-03-27,84,12,41
2023-03-28,81,16,59
2023-03-29,99,24,100
2023-03-30,105,12,71
2023-03-31,50,18,52
2023-04-01,33,0,33
2023-04-02,34,0,7
2023-04-03,105,7,42
2023-04-04,115,21,80
2023-04-05,91,16,55
2023-04-06,112,16,69
2023-04-07,70,20,37
2023-04-08,48,3,17
2023-04-09,85,0,10
2023-04-10,64,17,18
2023-04-11,101,30,48
2023-04-12,108,16,66
2023-04-13,99,16,76
2023-04-14,104,19,41
2023-04-15,47,0,19
2023-04-16,111,0,9
2023-04-17,90,11,26
2023-04-18,60,22,43
2023-04-19,83,12,57
2023-04-20,104,18,47
2023-04-21,94,24,46
2023-04-22,101,1,16
2023-04-23,70,0,5
2023-04-24,90,14,37
2023-04-25,93,9,47
2023-04-26,101,8,38
2023-04-27,109,8,49
2023-04-28,92,18,48
2023-04-29,95,0,18
2023-04-30,56,2,4
2023-05-01,64,7,38
2023-05-02,150,17,103
2023-05-03,68,20,68
2023-05-04,67,23,75
2023-05-05,120,23,57
2023-05-06,118,0,35
2023-05-07,64,0,6
2023-05-08,83,11,63
2023-05-09,70,16,59
2023-05-10,67,26,30
2023-05-11,72,28,49
2023-05-12,74,39,46
2023-05-13,63,1,18
2023-05-14,57,0,10
2023-05-15,79,9,39
2023-05-16,72,21,56
2023-05-17,54,29,37
2023-05-18,102,22,40
2023-05-19,39,45,38
2023-05-20,62,8,12
2023-05-21,44,0,0
2023-05-22,64,26,31
2023-05-23,75,57,52
2023-05-24,75,63,38
2023-05-25,105,29,49
2023-05-26,119,19,44
2023-05-27,46,3,12
2023-05-28,51,0,8
2023-05-29,66,0,16
2023-05-30,72,21,30
2023-05-31,80,27,43
2023-06-01,100,28,49
2023-06-02,105,10,44
2023-06-03,61,3,24
2023-06-04,53,1,3
2023-06-05,116,10,55
2023-06-06,67,23,80
2023-06-07,73,12,108
2023-06-08,76,11,53
2023-06-09,66,8,46
2023-06-10,72,2,35
2023-06-11,62,4,5
2023-06-12,108,12,56
2023-06-13,84,16,56
2023-06-14,102,9,67
2023-06-15,78,9,61
2023-06-16,81,16,60
2023-06-17,73,1,19
2023-06-18,58,0,3
2023-06-19,125,1,17
2023-06-20,107,9,39
2023-06-21,111,8,67
2023-06-22,85,5,56
2023-06-23,77,6,54
2023-06-24,55,2,11
2023-06-25,61,0,0
2023-06-26,62,7,28
2023-06-27,113,6,33
2023-06-28,101,3,55
2023-06-29,93,9,62
2023-06-30,99,1,54
2023-07-01,61,0,14
2023-07-02,72,0,3
2023-07-03,112,0,24
2023-07-04,67,3,62
2023-07-05,100,4,50
2023-07-06,69,6,57
2023-07-07,89,5,70
2023-07-08,83,0,10
2023-07-09,41,0,6
2023-07-10,103,4,23
2023-07-11,53,8,49
2023-07-12,81,6,58
2023-07-13,84,4,38
2023-07-14,92,3,44
2023-07-15,33,0,4
2023-07-16,74,0,2
2023-07-17,76,4,46
2023-07-18,84,10,60
2023-07-19,80,2,99
2023-07-20,96,32,42
2023-07-21,103,23,57
2023-07-22,94,0,35
2023-07-23,38,0,8
2023-07-24,100,5,39
2023-07-25,94,7,66
2023-07-26,83,14,66
2023-07-27,90,13,67
2023-07-28,78,8,76
2023-07-29,73,1,9
2023-07-30,103,0,1
2023-07-31,131,32,29
2023-08-01,87,16,68
2023-08-02,109,10,79
2023-08-03,96,19,71
2023-08-04,99,8,52
2023-08-05,70,3,34
2023-08-06,73,0,14
2023-08-07,88,39,46
2023-08-08,96,9,119
2023-08-09,73,11,88
2023-08-10,53,17,89
2023-08-11,72,16,72
2023-08-12,40,2,10
2023-08-13,49,0,5
2023-08-14,89,13,53
2023-08-15,98,22,46
2023-08-16,101,25,53
2023-08-17,57,33,82
2023-08-18,83,21,46
2023-08-19,47,8,19
2023-08-20,45,6,8
2023-08-21,67,22,58
2023-08-22,105,34,42
2023-08-23,60,14,53
2023-08-24,79,14,55
2023-08-25,56,20,46
2023-08-26,51,4,14
2023-08-27,46,0,4
2023-08-28,91,17,44
2023-08-29,70,23,46
2023-08-30,86,11,62
2023-08-31,62,7,64
2023-09-01,73,15,62
2023-09-02,72,2,22
2023-09-03,76,3,22
2023-09-04,34,4,46
2023-09-05,75,9,44
2023-09-06,88,12,62
2023-09-07,71,26,72
2023-09-08,103,34,61
2023-09-09,46,2,20
2023-09-10,64,1,7
2023-09-11,91,17,67
2023-09-12,67,25,106
2023-09-13,52,26,61
2023-09-14,85,18,55
2023-09-15,66,14,60
2023-09-16,65,0,46
2023-09-17,44,1,9
2023-09-18,91,14,50
2023-09-19,77,11,98
2023-09-20,72,18,67
2023-09-21,83,5,74
2023-09-22,124,7,57
2023-09-23,63,1,45
2023-09-24,62,0,19
2023-09-25,80,10,59
2023-09-26,54,1,83
2023-09-27,35,10,56
2023-09-28,112,8,45
2023-09-29,68,5,67
2023-09-30,46,3,20
2023-10-01,52,0,8
2023-10-02,100,11,35
2023-10-03,82,16,52
2023-10-04,85,11,59
2023-10-05,105,7,51
2023-10-06,113,13,51
2023-10-07,39,2,37
2023-10-08,53,1,32
2023-10-09,111,18,41
2023-10-10,90,9,49
2023-10-11,69,12,65
2023-10-12,67,10,60
2023-10-13,55,12,29
2023-10-14,72,3,16
2023-10-15,71,0,8
2023-10-16,83,1,38
2023-10-17,97,6,25
2023-10-18,78,26,33
2023-10-19,83,17,44
2023-10-20,66,6,52
2023-10-21,118,1,5
2023-10-22,78,0,1
2023-10-23,113,9,44
2023-10-24,87,7,64
2023-10-25,163,10,49
2023-10-26,75,6,49
2023-10-27,101,3,63
2023-10-28,61,0,19
2023-10-29,101,0,10
2023-10-30,114,18,64
2023-10-31,88,15,56
2023-11-01,47,10,78
2023-11-02,108,22,42
2023-11-03,53,7,39
2023-11-04,78,0,17
2023-11-05,34,1,3
2023-11-06,37,17,34
2023-11-07,63,15,38
2023-11-08,85,20,42
2023-11-09,49,21,54
2023-11-10,50,11,51
2023-11-11,38,1,11
2023-11-12,67,0,10
2023-11-13,73,8,52
2023-11-14,58,13,69
2023-11-15,90,15,50
2023-11-16,115,20,76
2023-11-17,75,26,43
2023-11-18,48,0,7
2023-11-19,65,7,0
2023-11-20,82,16,6
2023-11-21,93,66,5
2023-11-22,103,17,7
2023-11-23,77,1,8
2023-11-24,98,0,3
2023-11-25,116,0,3
2023-11-26,96,0,3
2023-11-27,75,7,82
2023-11-28,101,7,62
2023-11-29,81,7,42
2023-11-30,69,5,52
2023-12-01,70,12,57
2023-12-02,88,1,23
2023-12-03,55,0,7
2023-12-04,121,5,50
2023-12-05,122,19,37
2023-12-06,74,19,62
2023-12-07,76,9,46
2023-12-08,136,10,47
2023-12-09,55,2,31
2023-12-10,76,0,15
2023-12-11,84,14,40
2023-12-12,121,14,50
2023-12-13,62,8,78
2023-12-14,88,12,58
2023-12-15,115,6,49
2023-12-16,57,0,20
2023-12-17,39,0,4
2023-12-18,139,11,34
2023-12-19,96,9,48
2023-12-20,68,2,45
2023-12-21,55,4,27
2023-12-22,64,0,5
2023-12-23,93,0,3
2023-12-24,46,0,0
2023-12-25,28,0,4
2023-12-26,60,1,4
2023-12-27,39,3,1
2023-12-28,62,0,1
2023-12-29,53,0,4
2023-12-30,51,2,3
2023-12-31,45,0,0
2024-01-01,33,0,3
2024-01-02,63,0,48
2024-01-03,99,4,50
2024-01-04,129,4,48
2024-01-05,121,3,46
2024-01-06,87,0,21
2024-01-07,110,0,2
2024-01-08,93,5,27
2024-01-09,119,5,25
2024-01-10,73,3,47
2024-01-11,118,4,74
2024-01-12,70,3,49
2024-01-13,71,1,39
2024-01-14,75,0,6
2024-01-15,67,2,16
2024-01-16,90,1,56
2024-01-17,71,7,85
2024-01-18,98,2,59
2024-01-19,131,4,49
2024-01-20,81,0,28
2024-01-21,80,0,10
2024-01-22,122,21,41
2024-01-23,87,16,47
2024-01-24,57,14,71
2024-01-25,85,10,52
2024-01-26,117,13,78
2024-01-27,57,2,17
2024-01-28,50,0,12
2024-01-29,71,8,50
2024-01-30,114,15,82
2024-01-31,81,11,60
2024-02-01,33,12,104
2024-02-02,52,8,101
2024-02-03,42,0,35
2024-02-04,54,0,9
2024-02-05,80,8,47
2024-02-06,83,4,63
2024-02-07,91,13,55
2024-02-08,122,18,54
2024-02-09,161,10,86
2024-02-10,86,4,33
2024-02-11,113,0,20
2024-02-12,141,6,69
2024-02-13,151,9,55
2024-02-14,100,5,62
2024-02-15,107,4,82
2024-02-16,114,16,46
2024-02-17,119,3,24
2024-02-18,87,0,4
2024-02-19,128,8,30
2024-02-20,120,21,66
2024-02-21,125,18,101
2024-02-22,115,8,105
2024-02-23,93,11,50
2024-02-24,73,3,69
2024-02-25,94,0,18
2024-02-26,126,24,53
2024-02-27,134,25,76
2024-02-28,109,42,66
2024-02-29,161,17,77
2024-03-01,120,3,113
2024-03-02,73,1,79
2024-03-03,87,0,24
2024-03-04,117,28,39
2024-03-05,162,5,80
2024-03-06,127,9,94
2024-03-07,105,17,103
2024-03-08,110,28,70
2024-03-09,114,7,43
2024-03-10,112,2,15
2024-03-11,137,15,76
2024-03-12,126,5,97
2024-03-13,107,9,108
2024-03-14,160,21,72
2024-03-15,91,19,82
2024-03-16,77,2,41
2024-03-17,117,1,2
2024-03-18,111,15,107
2024-03-19,124,13,76
2024-03-20,98,11,66
2024-03-21,126,18,78
2024-03-22,165,10,60
2024-03-23,114,2,17
2024-03-24,109,0,17
2024-03-25,112,15,36
2024-03-26,98,14,54
2024-03-27,123,8,86
2024-03-28,85,8,62
2024-03-29,59,13,64
2024-03-30,64,2,28
2024-03-31,77,1,5
