,canonical/lxd,containerd/containerd,moby/moby
2015-11-05,11,2,47.0
2015-11-06,11,6,14.200000000000003
2015-11-07,0,2,-5.839999999999996
2015-11-08,0,0,1.8320000000000007
2015-11-09,2,0,25.772799999999997
2015-11-10,11,3,22.907456
2015-11-11,6,0,12.855513600000002
2015-11-12,2,0,13.679022080000003
2015-11-13,0,6,11.512403456000001
2015-11-14,0,0,-3.8709779455999964
2015-11-15,0,0,-9.850925670400002
2015-11-16,6,0,-1.3982603264000009
2015-11-17,23,0,26.8566007808
2015-11-18,20,0,6.922150502400001
2015-11-19,7,0,9.506212761600004
2015-11-20,2,0,13.266090393600003
2015-11-21,0,0,-13.443539251199997
2015-11-22,0,0,-9.965589094400002
2015-11-23,7,0,21.1534242816
2015-11-24,24,0,14.733965619200003
2015-11-25,15,0,19.844099481600004
2015-11-26,8,0,-6.565716991999995
2015-11-27,8,0,-15.142181376
2015-11-28,0,0,-3.952511180800002
2015-11-29,0,0,-6.376334848000003
2015-11-30,0,2,25.450576383999998
2015-12-01,10,5,8.925414092800004
2015-12-02,2,3,41.451008512
2015-12-03,0,6,6.816274022400009
2015-12-04,14,10,14.009761792000003
2015-12-05,1,0,-18.8404542464
2015-12-06,0,0,-6.682689433600002
2015-12-07,17,11,17.477755904
2015-12-08,11,12,10.594062643200001
2015-12-09,16,7,56.911193088000005
2015-12-10,8,9,-14.78080030719999
2015-12-11,16,8,-5.038758809599997
2015-12-12,0,0,-11.6885987328
2015-12-13,0,0,-1.9930376192000026
2015-12-14,13,7,25.3162256384
2015-12-15,5,11,25.669226086400002
2015-12-16,24,10,22.049724313600006
2015-12-17,7,14,-4.437040742399994
2015-12-18,13,11,-0.8673000448000003
2015-12-19,12,2,-7.001212211199999
2015-12-20,1,0,-0.8798277632000033
2015-12-21,13,0,13.4439604224
2015-12-22,0,2,30.93421824
2015-12-23,2,0,5.034758963200005
2015-12-24,2,0,-13.438394060799997
2015-12-25,0,1,-12.0838449152
2015-12-26,1,0,-7.008698060800002
2015-12-27,1,0,-0.3481844736000017
2015-12-28,0,0,20.4470657024
2015-12-29,0,0,27.3762461696
2015-12-30,0,0,11.180779827200006
2015-12-31,8,0,-14.350878310399999
2016-01-01,0,0,-1.2361624576000008
2016-01-02,0,0,-7.727831552000001
2016-01-03,5,0,3.221519974399998
2016-01-04,5,2,23.7326815232
2016-01-05,0,4,31.797318144000002
2016-01-06,6,1,9.400172851200004
2016-01-07,15,0,10.438607155200003
2016-01-08,19,0,24.8107708416
2016-01-09,4,0,-6.929866137599998
2016-01-10,5,0,-5.665183232
2016-01-11,1,1,3.9915613184000023
2016-01-12,5,2,29.5063226368
2016-01-13,13,0,20.339168563200005
2016-01-14,13,0,35.2454619136
2016-01-15,7,0,-7.215486975999994
2016-01-16,0,2,-16.6318518272
2016-01-17,3,0,-14.295551590400002
2016-01-18,2,0,10.451642470399996
2016-01-19,13,0,23.880117247999998
2016-01-20,0,1,24.992737792000003
2016-01-21,2,5,20.114748723200005
2016-01-22,8,10,4.771826790400006
2016-01-23,0,1,-4.176065023999996
2016-01-24,2,1,9.0782774272
2016-01-25,9,6,11.992310579200002
2016-01-26,25,2,49.1874021376
2016-01-27,6,5,21.89811025920001
2016-01-28,1,0,-20.626330931199995
2016-01-29,3,1,8.028604825599999
2016-01-30,2,0,-2.9073021952000033
2016-01-31,1,0,-13.346876620800003
2016-02-01,1,0,26.1890343936
2016-02-02,5,2,26.932151808
2016-02-03,5,7,25.203040972800004
2016-02-04,9,1,3.8991876096000055
2016-02-05,3,0,3.2814019584000036
2016-02-06,0,0,-18.146010112
2016-02-07,0,0,-10.349565030400004
2016-02-08,1,0,9.306739097599998
2016-02-09,13,0,19.4156205056
2016-02-10,16,0,15.149600256
2016-02-11,19,10,30.816720691200004
2016-02-12,5,6,9.824536371200004
2016-02-13,1,0,-21.4584870912
2016-02-14,1,0,-11.7866696704
2016-02-15,4,0,-0.3149958144000031
2016-02-16,2,3,18.450612735999997
2016-02-17,20,2,23.336157696
2016-02-18,15,0,17.8152915968
2016-02-19,9,3,4.350666547200007
2016-02-20,1,0,-8.424336179199997
2016-02-21,6,1,-8.219250892800002
