,saltstack/salt,cfengine/core,ansible/ansible
2012-02-05,12,0,4
2012-02-06,18,1,0
2012-02-07,7,8,0
2012-02-08,27,6,0
2012-02-09,11,1,0
2012-02-10,15,3,0
2012-02-11,5,4,0
2012-02-12,20,0,0
2012-02-13,4,5,0
2012-02-14,21,21,0
2012-02-15,13,0,0
2012-02-16,5,13,0
2012-02-17,14,9,0
2012-02-18,6,0,0
2012-02-19,6,1,0
2012-02-20,21,11,0
2012-02-21,12,19,0
2012-02-22,18,1,0
2012-02-23,8,14,13
2012-02-24,2,4,41
2012-02-25,27,8,22
2012-02-26,16,0,5
2012-02-27,18,16,29
2012-02-28,22,17,54
2012-02-29,21,9,10
2012-03-01,24,6,0
2012-03-02,28,10,9
2012-03-03,21,0,26
2012-03-04,32,4,0
2012-03-05,17,2,17
2012-03-06,43,8,17
2012-03-07,16,14,11
2012-03-08,19,9,7
2012-03-09,22,1,22
2012-03-10,11,4,21
2012-03-11,11,0,12
2012-03-12,10,9,14
2012-03-13,17,7,14
2012-03-14,24,4,20
2012-03-15,21,5,8
2012-03-16,50,9,14
2012-03-17,61,0,2
2012-03-18,41,6,20
2012-03-19,72,16,3
2012-03-20,50,2,8
2012-03-21,25,16,8
2012-03-22,11,1,18
2012-03-23,11,3,5
2012-03-24,4,1,14
2012-03-25,9,2,2
2012-03-26,2,4,9
2012-03-27,14,1,30
2012-03-28,27,12,15
2012-03-29,23,3,9
2012-03-30,4,3,6
2012-03-31,13,0,41
2012-04-01,10,0,6
2012-04-02,8,8,16
2012-04-03,46,6,14
2012-04-04,29,6,20
2012-04-05,20,5,10
2012-04-06,15,6,6
2012-04-07,12,2,2
2012-04-08,7,0,0
2012-04-09,13,3,1
2012-04-10,17,16,9
2012-04-11,14,3,8
2012-04-12,2,5,14
2012-04-13,8,2,26
2012-04-14,5,0,10
2012-04-15,0,0,1
2012-04-16,11,5,8
2012-04-17,10,13,39
2012-04-18,30,4,20
2012-04-19,19,4,42
2012-04-20,42,0,6
2012-04-21,21,1,15
2012-04-22,7,1,13
2012-04-23,14,1,7
2012-04-24,18,3,34
2012-04-25,43,20,8
2012-04-26,23,2,22
2012-04-27,7,3,22
2012-04-28,3,0,9
2012-04-29,13,0,0
2012-04-30,7,9,0
2012-05-01,24,2,13
2012-05-02,52,10,32
2012-05-03,17,3,13
2012-05-04,14,3,5
2012-05-05,16,1,4
2012-05-06,5,0,17
2012-05-07,7,8,7
2012-05-08,9,3,25
2012-05-09,13,6,5
2012-05-10,39,4,36
2012-05-11,13,6,16
2012-05-12,17,3,2
2012-05-13,40,0,6
2012-05-14,22,13,10
2012-05-15,11,1,8
2012-05-16,8,0,2
2012-05-17,15,1,2
2012-05-18,8,5,0
2012-05-19,17,21,4
2012-05-20,10,0,6
2012-05-21,14,5,0
2012-05-22,15,5,3
2012-05-23,34,13,2
2012-05-24,13,20,1
2012-05-25,2,8,5
2012-05-26,19,9,3
2012-05-27,22,0,2
2012-05-28,14,0,0
2012-05-29,12,5,6
2012-05-30,31,10,9
2012-05-31,13,7,3
2012-06-01,7,11,10
2012-06-02,4,16,0
2012-06-03,20,1,0
2012-06-04,19,9,0
2012-06-05,20,1,3
2012-06-06,28,5,1
2012-06-07,9,3,4
2012-06-08,12,2,5
2012-06-09,12,0,2
2012-06-10,9,0,2
2012-06-11,15,0,3
2012-06-12,10,6,1
2012-06-13,13,5,3
2012-06-14,3,4,12
2012-06-15,11,7,8
2012-06-16,18,4,5
2012-06-17,3,0,4
2012-06-18,25,2,3
2012-06-19,53,0,6
2012-06-20,6,5,14
2012-06-21,1,3,9
2012-06-22,33,7,3
2012-06-23,31,0,1
2012-06-24,6,1,0
2012-06-25,21,1,6
2012-06-26,24,6,4
2012-06-27,13,15,2
2012-06-28,4,3,0
2012-06-29,4,3,3
2012-06-30,85,3,2
2012-07-01,30,0,2
2012-07-02,13,2,8
2012-07-03,13,1,8
2012-07-04,9,10,10
2012-07-05,13,2,2
2012-07-06,45,3,4
2012-07-07,2,0,13
2012-07-08,20,0,2
2012-07-09,26,5,5
2012-07-10,16,21,11
2012-07-11,14,2,9
2012-07-12,8,9,16
2012-07-13,43,10,3
2012-07-14,10,0,12
2012-07-15,43,0,21
2012-07-16,16,2,3
2012-07-17,7,10,10
2012-07-18,6,26,14
2012-07-19,13,9,5
2012-07-20,15,0,36
2012-07-21,19,0,10
2012-07-22,12,0,10
