,apache/solr,blevesearch/bleve,elastic/elasticsearch
2014-04-17,10,2,5
2014-04-18,15,7,11
2014-04-19,1,8,3
2014-04-20,3,4,1
2014-04-21,13,0,7
2014-04-22,9,3,17
2014-04-23,5,0,9
2014-04-24,9,5,15
2014-04-25,7,13,14
2014-04-26,1,0,1
2014-04-27,1,0,0
2014-04-28,7,0,21
2014-04-29,7,0,35
2014-04-30,11,0,10
2014-05-01,21,0,4
2014-05-02,8,0,7
2014-05-03,1,0,0
2014-05-04,4,0,4
2014-05-05,8,0,13
2014-05-06,5,0,26
2014-05-07,8,0,15
2014-05-08,18,0,11
2014-05-09,12,1,12
2014-05-10,0,0,3
2014-05-11,16,0,0
2014-05-12,8,0,26
2014-05-13,15,0,23
2014-05-14,12,0,19
2014-05-15,18,3,8
2014-05-16,14,3,14
2014-05-17,7,0,3
2014-05-18,0,0,7
2014-05-19,12,1,14
2014-05-20,11,0,12
2014-05-21,17,0,12
2014-05-22,13,0,19
2014-05-23,11,0,14
2014-05-24,1,0,2
2014-05-25,1,0,0
2014-05-26,3,0,1
2014-05-27,3,0,5
2014-05-28,6,0,27
2014-05-29,7,0,3
2014-05-30,8,0,9
2014-05-31,2,0,5
2014-06-01,0,0,0
2014-06-02,9,0,10
2014-06-03,8,0,36
2014-06-04,6,0,5
2014-06-05,11,0,16
2014-06-06,3,0,7
2014-06-07,2,0,4
2014-06-08,0,0,0
2014-06-09,6,0,5
2014-06-10,10,0,8
2014-06-11,11,0,6
2014-06-12,8,0,13
2014-06-13,8,0,15
2014-06-14,3,0,2
2014-06-15,0,0,5
2014-06-16,17,0,11
2014-06-17,14,0,7
2014-06-18,19,0,10
2014-06-19,8,0,16
2014-06-20,5,0,10
2014-06-21,2,0,6
2014-06-22,2,0,1
2014-06-23,4,0,1
2014-06-24,6,0,1
2014-06-25,1,0,5
2014-06-26,3,1,6
2014-06-27,6,0,14
2014-06-28,1,0,3
2014-06-29,0,0,2
2014-06-30,7,0,7
2014-07-01,13,0,20
2014-07-02,6,0,20
2014-07-03,9,7,22
2014-07-04,3,0,18
2014-07-05,6,0,8
2014-07-06,0,0,3
2014-07-07,7,0,16
2014-07-08,5,0,19
2014-07-09,12,0,26
2014-07-10,4,0,18
2014-07-11,4,6,15
2014-07-12,4,0,1
2014-07-13,0,0,6
2014-07-14,9,1,20
2014-07-15,9,0,23
2014-07-16,13,0,26
2014-07-17,4,0,17
2014-07-18,3,0,10
2014-07-19,5,0,0
2014-07-20,5,0,2
2014-07-21,10,7,21
2014-07-22,4,1,23
2014-07-23,6,0,34
2014-07-24,6,0,19
2014-07-25,1,0,17
2014-07-26,2,0,5
2014-07-27,2,0,1
2014-07-28,5,0,23
2014-07-29,10,0,13
2014-07-30,5,4,16
2014-07-31,4,5,11
2014-08-01,3,0,17
2014-08-02,1,4,4
2014-08-03,1,5,5
2014-08-04,2,0,24
