,apache/httpcomponents-client,square/okhttp,jetty/jetty.project
2011-07-25,0,0,1
2011-07-26,0,0,5
2011-07-27,2,0,4
2011-07-28,1,0,2
2011-07-29,1,0,5
2011-07-30,0,0,0
2011-07-31,0,0,0
2011-08-01,0,0,5
2011-08-02,0,0,4
2011-08-03,0,0,5
2011-08-04,2,0,3
2011-08-05,0,0,8
2011-08-06,0,0,3
2011-08-07,0,0,0
2011-08-08,3,0,1
2011-08-09,2,0,4
2011-08-10,5,0,2
2011-08-11,2,0,10
2011-08-12,0,0,12
2011-08-13,2,0,0
2011-08-14,0,0,0
2011-08-15,0,0,8
2011-08-16,3,0,10
2011-08-17,0,0,4
2011-08-18,0,0,11
2011-08-19,0,0,14
2011-08-20,0,0,0
2011-08-21,0,0,0
2011-08-22,1,0,4
2011-08-23,1,0,7
2011-08-24,1,0,14
2011-08-25,0,0,11
2011-08-26,0,0,7
2011-08-27,0,0,0
2011-08-28,0,0,1
2011-08-29,0,0,9
2011-08-30,0,0,25
2011-08-31,1,0,14
2011-09-01,1,0,19
2011-09-02,0,0,0
2011-09-03,0,0,0
2011-09-04,0,0,0
2011-09-05,0,0,13
2011-09-06,3,0,4
2011-09-07,1,0,23
2011-09-08,1,0,20
2011-09-09,0,0,7
2011-09-10,1,0,0
2011-09-11,1,0,0
2011-09-12,1,0,5
2011-09-13,5,0,4
2011-09-14,0,0,6
2011-09-15,0,0,4
2011-09-16,0,0,7
2011-09-17,1,0,0
2011-09-18,2,0,1
2011-09-19,2,0,4
2011-09-20,0,0,19
2011-09-21,0,0,9
2011-09-22,0,0,4
2011-09-23,4,0,4
2011-09-24,0,0,0
2011-09-25,5,0,0
2011-09-26,1,0,13
2011-09-27,2,0,13
2011-09-28,0,0,25
2011-09-29,0,0,6
2011-09-30,1,0,6
2011-10-01,3,0,1
2011-10-02,1,0,1
2011-10-03,2,0,8
2011-10-04,1,0,5
2011-10-05,0,0,5
2011-10-06,5,0,31
2011-10-07,3,0,8
2011-10-08,4,0,0
2011-10-09,0,0,0
2011-10-10,9,0,5
2011-10-11,5,0,18
2011-10-12,2,0,0
2011-10-13,0,0,5
2011-10-14,0,0,5
2011-10-15,0,0,0
2011-10-16,0,0,0
2011-10-17,0,0,3
2011-10-18,0,0,3
2011-10-19,0,0,13
2011-10-20,0,0,6
2011-10-21,0,0,7
2011-10-22,0,0,0
2011-10-23,0,0,0
2011-10-24,0,0,20
2011-10-25,0,0,6
2011-10-26,2,0,8
2011-10-27,1,0,4
2011-10-28,0,0,19
2011-10-29,0,0,0
2011-10-30,7,0,0
2011-10-31,3,0,2
2011-11-01,0,0,0
2011-11-02,1,0,10
2011-11-03,2,0,7
2011-11-04,2,0,12
2011-11-05,0,0,0
2011-11-06,0,0,2
2011-11-07,2,0,3
2011-11-08,0,0,13
2011-11-09,0,0,10
2011-11-10,0,0,13
2011-11-11,0,0,4
2011-11-12,0,0,0
2011-11-13,0,0,0
2011-11-14,0,0,5
2011-11-15,0,0,19
2011-11-16,0,0,11
2011-11-17,0,0,9
2011-11-18,0,0,8
2011-11-19,0,0,0
2011-11-20,0,0,1
2011-11-21,0,0,7
2011-11-22,0,0,9
2011-11-23,0,0,1
2011-11-24,0,0,9
2011-11-25,0,0,0
2011-11-26,0,0,0
