,decaporg/decap-cms,strapi/strapi,TryGhost/Ghost
2016-04-25,0,0.0,2
2016-04-26,0,2.0,16
2016-04-27,0,-0.7999999999999998,1
2016-04-28,0,-0.24,19
2016-04-29,0,-0.128,1
2016-04-30,0,-0.0832000000000001,0
2016-05-01,0,-0.059904000000000034,0
2016-05-02,0,-0.04592640000000001,1
2016-05-03,0,0.96325888,4
2016-05-04,0,-0.4303114239999999,1
2016-05-05,0,-0.1455963136,6
2016-05-06,0,-0.064,1
2016-05-07,0,-0.04160000000000005,6
2016-05-08,0,-0.029952000000000017,17
2016-05-09,0,-0.022963200000000007,4
2016-05-10,0,-0.018370559999999994,0
2016-05-11,0,-0.015155711999999993,34
2016-05-12,0,-0.012798156799999997,13
2016-05-13,0,0.0,11
2016-05-14,0,2.0,3
2016-05-15,0,-0.7999999999999998,2
2016-05-16,0,-0.24,9
2016-05-17,0,-0.128,9
2016-05-18,0,-0.0832000000000001,10
2016-05-19,0,-0.059904000000000034,8
2016-05-20,0,-0.04592640000000001,23
2016-05-21,0,-0.03674111999999999,4
2016-05-22,0,-0.030311423999999986,9
2016-05-23,0,-0.025596313599999993,10
2016-05-24,0,0.0,8
2016-05-25,0,0.0,5
2016-05-26,0,5.0,0
2016-05-27,0,-1.9999999999999996,8
2016-05-28,0,-0.6,3
2016-05-29,0,-0.32,2
2016-05-30,1,-0.20800000000000024,6
2016-05-31,2,-0.1497600000000001,2
2016-06-01,0,-0.11481600000000003,9
2016-06-02,0,-0.09185279999999997,9
2016-06-03,0,-0.07577855999999997,12
2016-06-04,0,-0.06399078399999998,7
2016-06-05,2,0.0,1
2016-06-06,8,0.0,7
2016-06-07,4,0.0,6
2016-06-08,4,0.0,8
2016-06-09,0,0.0,27
2016-06-10,3,0.0,25
2016-06-11,0,0.0,12
2016-06-12,0,0.0,0
2016-06-13,0,0.0,16
2016-06-14,0,0.0,14
2016-06-15,0,0.0,15
2016-06-16,4,0.0,6
2016-06-17,4,0.0,6
2016-06-18,6,0.0,12
2016-06-19,0,0.0,1
2016-06-20,0,0.0,6
2016-06-21,0,0.0,10
2016-06-22,3,0.0,3
2016-06-23,0,0.0,6
2016-06-24,0,0.0,0
2016-06-25,0,0.0,0
2016-06-26,0,0.0,2
2016-06-27,0,0.0,3
2016-06-28,0,0.0,7
2016-06-29,0,4.0,11
2016-06-30,9,0.40000000000000036,6
2016-07-01,0,-1.2799999999999998,1
2016-07-02,0,-0.496,1
2016-07-03,0,-0.2944000000000002,0
2016-07-04,0,3.796992,2
2016-07-05,2,3.2482432,4
2016-07-06,13,-0.5994086399999996,2
2016-07-07,10,-0.7533639679999997,1
2016-07-08,13,-1.2079040512,3
2016-07-09,0,-0.6014043136000002,4
2016-07-10,0,-0.38881280000000024,0
2016-07-11,3,0.7101977599999999,2
2016-07-12,5,3.371645952,3
2016-07-13,5,-1.9066755071999997,1
2016-07-14,1,2.343327232,9
2016-07-15,2,-1.5383520255999998,15
2016-07-16,0,-0.5691501568000001,0
2016-07-17,0,-0.33477120000000005,0
2016-07-18,3,-0.23502336000000015,5
2016-07-19,6,-0.178493952,6
2016-07-20,3,-0.1423106048,3
2016-07-21,1,-0.10630430719999998,6
2016-07-22,0,-0.04546713599999998,7
2016-07-23,0,-0.03839447039999999,0
2016-07-24,0,0.0,1
2016-07-25,0,1.0,2
2016-07-26,0,1.6,10
2016-07-27,0,-0.9199999999999998,3
2016-07-28,1,-0.304,6
2016-07-29,0,-0.16960000000000006,5
2016-07-30,0,-0.11315200000000011,1
2016-07-31,0,-0.08286720000000004,3
2016-08-01,3,-0.06429696000000001,6
2016-08-02,1,-0.05189683199999998,1
2016-08-03,5,-0.043109580799999984,1
2016-08-04,2,0.9744036864,1
2016-08-05,1,0.6000000000000001,0
2016-08-06,4,-0.5199999999999999,14
2016-08-07,0,-0.184,4
2016-08-08,2,1.8943999999999999,1
2016-08-09,0,1.1284480000000001,0
2016-08-10,1,1.9070848000000002,11
2016-08-11,4,-0.6093337599999997,5
2016-08-12,0,-0.004726272000000087,5
2016-08-13,0,-0.8830578688,4
2016-08-14,0,-0.42742855680000014,0
2016-08-15,0,0.7218764799999999,2
2016-08-16,0,2.392505856,0
2016-08-17,2,0.5160653824000003,4
2016-08-18,6,2.6636027904,8
2016-08-19,0,6.8544792576,7
2016-08-20,0,-4.3907058688,1
2016-08-21,0,-1.5448173568000003,0
2016-08-22,0,14.11043584,10
2016-08-23,1,-1.6104017919999984,13
2016-08-24,0,-3.2564272127999994,8
2016-08-25,2,3.6911430656,12
2016-08-26,0,10.2844457984,4
2016-08-27,0,-7.228874035199999,0
2016-08-28,0,-2.7149914112,0
2016-08-29,3,-1.5659264000000004,6
2016-08-30,2,3.8957363199999993,2
2016-08-31,20,5.1567713280000005,0
2016-09-01,0,-1.3108546559999992,9
2016-09-02,0,3.1590797312000003,0
2016-09-03,0,-3.7689689088,0
2016-09-04,3,-1.5737341952000004,0
2016-09-05,10,3.1367679999999996,0
2016-09-06,3,0.7849855999999997,8
2016-09-07,0,-2.1513446399999996,0
2016-09-08,4,0.0058726400000000956,0
2016-09-09,4,1.9835242496,0
2016-09-10,0,-1.6939367423999998,0
2016-09-11,3,-0.6824977408,0
2016-09-12,3,-0.37597184000000006,0
2016-09-13,32,-0.27048652800000006,0
2016-09-14,3,-0.20947896320000003,35
2016-09-15,11,-0.12565463040000002,4
2016-09-16,6,-0.07026739199999997,0
2016-09-17,0,-0.05826529279999997,0
2016-09-18,0,-0.03839447039999999,0
2016-09-19,5,0.0,14
2016-09-20,2,0.0,53
2016-09-21,0,0.0,3
2016-09-22,15,0.0,1
2016-09-23,1,1.0,5
2016-09-24,0,-0.3999999999999999,2
2016-09-25,0,2.88,0
2016-09-26,4,0.7360000000000002,19
2016-09-27,7,0.7984000000000002,2
2016-09-28,5,6.738048,2
2016-09-29,6,-3.7157631999999996,1
2016-09-30,3,0.7205734399999999,8
2016-10-01,0,-1.539149312,2
2016-10-02,0,-0.7465402368000004,1
2016-10-03,9,-0.4957506560000001,10
2016-10-04,1,3.6276473856,3
2016-10-05,11,7.1372237824,6
2016-10-06,18,-4.272768409599999,5
2016-10-07,2,-1.4751263744,16
2016-10-08,0,-0.7727114240000003,1
2016-10-09,0,-0.5198043136000005,0
2016-10-10,6,-0.36142080000000015,31
2016-10-11,10,-0.28015104,8
2016-10-12,7,2.774042112,4
2016-10-13,13,1.6124059648000004,6
2016-10-14,3,-0.6751834111999997,7
2016-10-15,0,-0.952,0
2016-10-16,0,-0.43680000000000013,0
2016-10-17,3,-0.2786560000000002,14
2016-10-18,6,-0.20034560000000012,5
2016-10-19,3,-0.15395328000000003,3
2016-10-20,8,1.876457984,0
2016-10-21,6,5.0977678336,14
2016-10-22,8,-2.693550182399999,2
2016-10-23,1,-0.8607981567999999,0
2016-10-24,4,7.5328,7
2016-10-25,1,-1.5095039999999997,3
2016-10-26,4,-1.9856383999999998,2
2016-10-27,12,-0.9265203200000001,1
2016-10-28,5,-0.6013347840000003,10
2016-10-29,0,-0.4393465856000002,0
2016-10-30,2,-0.3203985408,0
2016-10-31,8,10.80710912,9
2016-11-01,6,-4.557986815999999,0
2016-11-02,5,-1.4526966783999997,2
2016-11-03,0,-0.7295963136,10
2016-11-04,1,8.542399999999999,0
2016-11-05,0,-3.9294719999999996,6
2016-11-06,0,-1.3325952,1
2016-11-07,0,2.22192384,10
2016-11-08,0,1.258887168,7
2016-11-09,0,-0.9703477247999999,7
2016-11-10,0,-1.1586688,4
2016-11-11,13,-0.6021350400000001,0
2016-11-12,5,-0.4150574080000001,0
2016-11-13,0,-0.31552901120000004,0
2016-11-14,0,-0.15395328000000003,25
2016-11-15,0,-0.12354201599999996,5
2016-11-16,2,-0.10223216639999996,8
2016-11-17,6,-0.053550182399999986,7
2016-11-18,0,3.9872018432,0
2016-11-19,0,-1.5999999999999996,0
2016-11-20,0,-0.48,0
2016-11-21,2,-0.256,1
2016-11-22,0,5.8336,0
2016-11-23,9,-1.5198079999999994,0
2016-11-24,0,7.7881472,0
2016-11-25,0,-1.177482239999999,0
2016-11-26,0,-2.654222848,7
2016-11-27,0,-1.2085046272000002,5
2016-11-28,0,1.2658687999999996,2
2016-11-29,7,-1.32755456,0
2016-11-30,3,-0.6458296320000001,0
2016-12-01,5,4.5458307072,2
2016-12-02,4,8.7124887552,0
2016-12-03,0,-5.220554547199999,2
2016-12-04,0,-1.7243208703999997,0
2016-12-05,0,10.051258879999999,0
2016-12-06,0,-5.037671423999999,0
2016-12-07,3,4.2101156864,0
2016-12-08,0,-3.4484479999999995,0
2016-12-09,0,-0.4554547200000003,4
2016-12-10,0,-1.344175616,0
2016-12-11,0,0.2370250751999997,0
2016-12-12,3,-0.8457881599999999,0
2016-12-13,0,-0.466092032,0
2016-12-14,0,-0.3449550847999999,0
2016-12-15,3,-0.155497472,0
2016-12-16,0,-0.1251115008,0
2016-12-17,0,-0.038118912,0
2016-12-18,0,3.9688312832,0
2016-12-19,0,-1.6151557119999997,0
2016-12-20,1,2.5072018432,1
2016-12-21,0,-1.4559999999999997,1
2016-12-22,0,-0.5264000000000002,0
2016-12-23,9,-0.3118080000000001,0
2016-12-24,0,-0.21665280000000015,0
2016-12-25,0,-0.16333824000000002,2
2016-12-26,0,-0.129512448,0
2016-12-27,3,-0.10630430719999998,0
2016-12-28,9,-0.04546713599999998,0
2016-12-29,2,-0.03839447039999999,0
2016-12-30,10,0.0,0
2016-12-31,0,0.0,0
2017-01-01,0,0.0,0
2017-01-02,3,0.0,0
2017-01-03,0,0.0,0
2017-01-04,0,7.0,45
2017-01-05,1,-0.7999999999999994,1
2017-01-06,0,4.36,1
2017-01-07,0,-3.087999999999999,0
2017-01-08,0,-1.1392000000000002,2
2017-01-09,0,8.323136,3
2017-01-10,0,-4.070246399999999,4
2017-01-11,6,0.56576768,6
2017-01-12,2,-0.656610304,1
2017-01-13,5,-1.2445218816000003,9
2017-01-14,0,0.3659014143999999,0
2017-01-15,0,6.1693422592,1
2017-01-16,5,-3.1868390399999993,4
2017-01-17,0,1.8837201920000002,4
2017-01-18,2,-0.8644877311999997,1
2017-01-19,8,-0.12983398400000024,7
2017-01-20,0,2.0146207744,6
2017-01-21,1,-1.7007111168,0
2017-01-22,3,-0.699205632,2
2017-01-23,1,4.5486702592,8
2017-01-24,2,0.6775860224000003,9
2017-01-25,0,-1.9766568959999997,11
2017-01-26,3,1.1791896576,14
2017-01-27,0,-1.2830655488,0
2017-01-28,0,0.42717470719999984,0
2017-01-29,0,-0.7710664704,0
2017-01-30,0,4.6360576,10
2017-01-31,2,-2.2547942399999994,4
2017-02-01,0,1.20301568,9
2017-02-02,1,-1.2250875903999998,2
2017-02-03,1,4.498725375999999,6
2017-02-04,0,-2.3217268735999994,10
2017-02-05,0,-0.8131717120000002,0
2017-02-06,0,0.5154450432,9
2017-02-07,1,-0.7297049600000001,4
2017-02-08,4,-0.37049190400000004,19
2017-02-09,0,-0.209127424,2
2017-02-10,0,-0.1590491136,6
2017-02-11,0,-0.10573055999999999,6
2017-02-12,0,-0.08695398399999998,0
2017-02-13,0,-0.018370559999999994,2
2017-02-14,0,4.984844288,3
2017-02-15,0,-0.012798156799999738,4
2017-02-16,0,-1.4,4
2017-02-17,0,-0.56,19
2017-02-18,1,-0.33600000000000024,5
2017-02-19,0,-0.23296000000000017,2
2017-02-20,0,-0.17472000000000007,0
2017-02-21,1,-0.1377792,10
2017-02-22,8,-0.11251967999999996,2
2017-02-23,0,-0.09430220799999997,5
2017-02-24,1,-0.025596313599999993,3
2017-02-25,0,0.0,0
2017-02-26,0,0.0,0
2017-02-27,0,0.0,6
2017-02-28,0,0.0,4
2017-03-01,0,0.0,23
2017-03-02,0,6.0,32
2017-03-03,0,-0.39999999999999947,23
2017-03-04,0,-1.5199999999999998,0
2017-03-05,0,-0.624,0
2017-03-06,5,1.6223999999999998,2
2017-03-07,1,1.937088,3
2017-03-08,0,-1.6376831999999997,23
2017-03-09,2,3.35585024,4
2017-03-10,0,-2.0028753919999995,3
2017-03-11,2,-0.7718043648000001,1
2017-03-12,0,-0.41737871360000006,0
2017-03-13,0,-0.27203072000000017,13
2017-03-14,2,9.794768896,26
2017-03-15,9,-1.1629162495999994,6
2017-03-16,8,-2.5118767103999997,2
2017-03-17,4,-1.060622848,1
2017-03-18,0,2.3408073727999996,0
2017-03-19,0,-1.62432,0
2017-03-20,6,0.3205119999999999,12
2017-03-21,4,-0.8445951999999999,6
2017-03-22,2,-0.45146880000000006,5
2017-03-23,1,-0.327304704,5
2017-03-24,0,0.8511159295999999,5
2017-03-25,0,-0.4850636799999999,0
2017-03-26,0,-0.18843033599999998,1
2017-03-27,0,-0.12076503039999999,0
2017-03-28,2,-0.05675571200000004,3
2017-03-29,1,-0.042750156800000015,5
2017-03-30,0,-0.022963200000000007,5
2017-03-31,3,-0.018370559999999994,0
2017-04-01,0,-0.015155711999999993,0
2017-04-02,0,-0.012798156799999997,0
2017-04-03,1,2.0,5
2017-04-04,2,-0.7999999999999998,27
2017-04-05,4,-0.24,22
2017-04-06,1,-0.128,11
