,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2017-01-18,0,21,5
2017-01-19,4,9,5
2017-01-20,2,3,3
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,0,0,0
2017-01-24,0,11,0
2017-01-25,0,39,6
2017-01-26,2,2,3
2017-01-27,0,12,3
2017-01-28,0,3,0
2017-01-29,10,3,0
2017-01-30,1,38,4
2017-01-31,0,10,0
2017-02-01,0,6,1
2017-02-02,4,0,0
2017-02-03,3,12,0
2017-02-04,13,11,0
2017-02-05,0,6,0
2017-02-06,0,37,1
2017-02-07,0,9,0
2017-02-08,2,5,3
2017-02-09,2,0,4
2017-02-10,0,14,5
2017-02-11,9,0,0
2017-02-12,4,0,0
2017-02-13,3,10,1
2017-02-14,3,14,4
2017-02-15,5,9,3
2017-02-16,6,9,3
2017-02-17,10,15,7
2017-02-18,4,0,0
2017-02-19,0,0,0
2017-02-20,6,45,1
2017-02-21,0,14,3
2017-02-22,7,18,3
2017-02-23,1,0,8
2017-02-24,1,41,5
2017-02-25,7,2,0
2017-02-26,2,5,0
2017-02-27,2,13,1
2017-02-28,0,14,5
2017-03-01,0,35,0
2017-03-02,4,6,3
2017-03-03,0,21,0
2017-03-04,4,7,0
2017-03-05,3,2,0
2017-03-06,3,35,9
2017-03-07,0,7,3
2017-03-08,0,31,7
2017-03-09,1,1,3
2017-03-10,0,23,4
2017-03-11,1,0,0
2017-03-12,4,1,0
2017-03-13,1,30,6
2017-03-14,0,0,4
2017-03-15,3,1,0
2017-03-16,3,7,0
2017-03-17,0,17,2
2017-03-18,4,1,0
2017-03-19,2,1,0
2017-03-20,0,4,1
2017-03-21,0,2,5
2017-03-22,0,0,4
2017-03-23,0,2,4
2017-03-24,1,3,1
2017-03-25,0,1,0
2017-03-26,0,3,0
2017-03-27,0,1,4
2017-03-28,0,4,5
2017-03-29,13,6,0
2017-03-30,1,6,1
2017-03-31,0,16,6
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,0,17,7
2017-04-04,0,8,4
2017-04-05,0,16,3
2017-04-06,0,0,3
2017-04-07,0,0,12
2017-04-08,0,10,0
2017-04-09,0,4,0
2017-04-10,2,28,2
2017-04-11,0,34,8
2017-04-12,0,46,14
2017-04-13,0,17,0
2017-04-14,0,1,2
2017-04-15,0,10,0
2017-04-16,0,15,0
2017-04-17,0,33,0
2017-04-18,0,27,3
2017-04-19,0,24,7
2017-04-20,0,7,3
2017-04-21,0,26,5
2017-04-22,9,13,0
2017-04-23,2,1,0
2017-04-24,4,37,1
2017-04-25,4,33,2
2017-04-26,0,56,8
2017-04-27,0,10,2
2017-04-28,0,41,9
2017-04-29,0,0,0
2017-04-30,0,4,0
2017-05-01,0,29,0
2017-05-02,6,34,4
2017-05-03,0,47,0
2017-05-04,0,6,0
2017-05-05,0,16,10
2017-05-06,0,10,0
2017-05-07,1,1,0
2017-05-08,0,37,0
2017-05-09,1,23,3
2017-05-10,0,0,0
2017-05-11,3,12,7
2017-05-12,3,10,3
2017-05-13,0,5,0
2017-05-14,0,8,0
2017-05-15,43,27,3
2017-05-16,0,16,8
2017-05-17,0,2,3
2017-05-18,16,14,6
2017-05-19,6,19,0
2017-05-20,0,23,0
2017-05-21,0,22,1
2017-05-22,0,23,3
2017-05-23,0,9,5
2017-05-24,9,30,5
2017-05-25,4,2,4
2017-05-26,3,0,0
2017-05-27,0,0,0
2017-05-28,1,0,0
2017-05-29,5,21,0
2017-05-30,5,43,3
2017-05-31,0,10,4
2017-06-01,7,0,4
2017-06-02,0,32,3
2017-06-03,0,4,0
2017-06-04,4,0,0
2017-06-05,1,39,4
2017-06-06,1,30,4
2017-06-07,4,22,3
2017-06-08,1,9,5
2017-06-09,1,37,4
2017-06-10,4,1,0
2017-06-11,0,0,0
2017-06-12,0,22,4
2017-06-13,3,18,3
2017-06-14,13,13,4
2017-06-15,6,5,0
2017-06-16,0,14,12
2017-06-17,0,0,0
2017-06-18,1,3,1
2017-06-19,4,13,6
2017-06-20,12,39,3
2017-06-21,0,8,4
2017-06-22,0,5,4
2017-06-23,1,9,3
2017-06-24,0,3,0
2017-06-25,2,17,0
2017-06-26,8,34,0
2017-06-27,2,33,1
2017-06-28,1,10,3
2017-06-29,3,0,3
2017-06-30,5,10,3
2017-07-01,0,0,0
2017-07-02,0,0,0
2017-07-03,2,43,0
2017-07-04,1,57,0
2017-07-05,1,11,3
2017-07-06,6,4,11
2017-07-07,2,39,3
2017-07-08,3,1,0
2017-07-09,3,16,0
2017-07-10,1,18,0
2017-07-11,0,19,0
2017-07-12,0,31,6
2017-07-13,0,8,4
2017-07-14,1,19,3
2017-07-15,0,1,0
2017-07-16,3,0,0
2017-07-17,0,3,3
2017-07-18,4,25,0
2017-07-19,1,33,3
2017-07-20,0,20,5
2017-07-21,0,30,3
2017-07-22,8,7,0
2017-07-23,22,2,0
2017-07-24,0,31,8
2017-07-25,0,32,6
2017-07-26,7,14,3
2017-07-27,4,5,3
2017-07-28,0,3,1
2017-07-29,1,0,0
2017-07-30,2,1,0
2017-07-31,1,13,6
2017-08-01,2,1,4
2017-08-02,1,37,2
2017-08-03,7,21,4
2017-08-04,15,24,3
2017-08-05,3,2,0
2017-08-06,2,14,1
2017-08-07,9,45,0
2017-08-08,0,36,3
2017-08-09,4,23,3
2017-08-10,8,0,3
2017-08-11,1,21,3
2017-08-12,2,7,0
2017-08-13,0,3,1
2017-08-14,0,22,7
2017-08-15,0,11,4
2017-08-16,0,11,4
2017-08-17,2,12,13
2017-08-18,0,34,4
2017-08-19,4,0,0
2017-08-20,0,1,0
2017-08-21,0,12,3
2017-08-22,2,9,9
2017-08-23,0,5,5
2017-08-24,0,6,4
2017-08-25,0,21,3
2017-08-26,0,2,0
2017-08-27,0,1,0
2017-08-28,0,27,1
2017-08-29,2,6,3
2017-08-30,1,13,3
2017-08-31,11,11,3
2017-09-01,2,11,4
2017-09-02,0,2,0
2017-09-03,0,1,0
2017-09-04,0,27,0
2017-09-05,0,24,3
2017-09-06,4,15,3
2017-09-07,0,9,6
2017-09-08,1,9,6
2017-09-09,0,12,0
2017-09-10,2,0,0
2017-09-11,3,2,5
2017-09-12,9,2,5
2017-09-13,1,0,8
2017-09-14,2,9,4
2017-09-15,4,0,12
2017-09-16,9,0,3
2017-09-17,1,0,0
2017-09-18,0,3,4
2017-09-19,4,5,3
2017-09-20,0,5,0
2017-09-21,0,18,9
2017-09-22,0,12,1
2017-09-23,0,0,0
2017-09-24,5,1,0
2017-09-25,1,23,4
2017-09-26,0,2,7
2017-09-27,1,11,4
2017-09-28,3,1,0
2017-09-29,0,4,5
2017-09-30,19,8,0
2017-10-01,2,0,0
2017-10-02,2,14,3
2017-10-03,0,10,6
2017-10-04,0,14,3
2017-10-05,0,4,4
2017-10-06,0,3,3
2017-10-07,0,2,0
2017-10-08,0,23,0
