,minio/minio,ceph/ceph,seaweedfs/seaweedfs
2015-09-11,0,50.0,0
2015-09-12,0,15.0,0
2015-09-13,0,7.0,0
2015-09-14,0,31.0,0
2015-09-15,0,43.0,0
2015-09-16,6,11.0,0
2015-09-17,9,25.0,0
2015-09-18,20,40.0,0
2015-09-19,9,3.0,0
2015-09-20,14,7.0,0
2015-09-21,4,42.0,0
2015-09-22,6,47.0,0
2015-09-23,7,34.0,0
2015-09-24,1,31.0,0
2015-09-25,6,28.0,0
2015-09-26,6,9.0,0
2015-09-27,0,3.0,2
2015-09-28,0,19.0,0
2015-09-29,2,20.0,0
2015-09-30,0,29.0,0
2015-10-01,5,121.0,0
2015-10-02,3,61.0,0
2015-10-03,2,8.0,0
2015-10-04,8,3.0,0
2015-10-05,2,17.0,0
2015-10-06,6,31.0,0
2015-10-07,4,23.0,0
2015-10-08,8,21.0,0
2015-10-09,4,37.0,0
2015-10-10,0,6.0,0
2015-10-11,5,0.0,0
2015-10-12,3,69.0,0
2015-10-13,0,43.0,0
2015-10-14,2,40.0,0
2015-10-15,0,21.0,0
2015-10-16,8,26.0,0
2015-10-17,16,8.0,1
2015-10-18,4,7.0,0
2015-10-19,8,46.0,4
2015-10-20,6,23.0,1
2015-10-21,4,13.0,0
2015-10-22,16,50.0,0
2015-10-23,2,11.0,0
2015-10-24,4,8.0,0
2015-10-25,2,8.0,0
2015-10-26,2,17.0,0
2015-10-27,2,16.0,0
2015-10-28,1,16.0,0
2015-10-29,1,13.0,0
2015-10-30,6,31.0,0
2015-10-31,0,3.0,0
2015-11-01,0,1.0,0
2015-11-02,6,23.0,0
2015-11-03,0,14.0,0
2015-11-04,2,35.0,0
2015-11-05,0,29.0,0
2015-11-06,0,65.0,0
2015-11-07,12,1.0,0
2015-11-08,2,0.0,0
2015-11-09,0,46.0,0
2015-11-10,0,30.0,0
2015-11-11,4,54.0,0
2015-11-12,0,37.0,0
2015-11-13,0,98.0,0
2015-11-14,10,22.0,0
2015-11-15,0,9.0,0
2015-11-16,0,33.0,0
2015-11-17,0,38.0,0
2015-11-18,4,12.0,2
2015-11-19,0,49.0,0
2015-11-20,0,19.0,0
2015-11-21,2,12.0,0
2015-11-22,2,6.0,2
2015-11-23,6,86.0,0
2015-11-24,0,17.0,0
2015-11-25,0,43.0,0
2015-11-26,2,38.0,1
2015-11-27,0,18.0,0
2015-11-28,6,10.0,0
2015-11-29,0,8.0,2
2015-11-30,0,34.0,0
2015-12-01,0,51.0,2
2015-12-02,6,77.0,6
2015-12-03,4,41.0,3
2015-12-04,0,42.0,0
2015-12-05,2,8.0,0
2015-12-06,2,4.0,0
2015-12-07,10,41.0,0
2015-12-08,0,49.0,0
2015-12-09,0,17.0,0
2015-12-10,2,13.0,0
2015-12-11,0,46.0,0
2015-12-12,0,5.0,0
2015-12-13,1,10.0,0
2015-12-14,0,26.0,4
2015-12-15,0,60.0,6
2015-12-16,0,16.0,0
2015-12-17,0,29.0,0
2015-12-18,0,45.0,0
2015-12-19,0,12.0,0
2015-12-20,0,13.0,0
2015-12-21,0,18.0,0
2015-12-22,1,18.0,0
2015-12-23,2,53.0,0
2015-12-24,0,25.0,0
2015-12-25,0,2.0,4
2015-12-26,0,2.0,0
2015-12-27,2,0.0,0
2015-12-28,4,3.0,1
2015-12-29,2,4.0,0
2015-12-30,2,3.0,0
