,apple/swift,rust-lang/rust,JetBrains/kotlin
2014-09-17,47,61,10
2014-09-18,52,30,19
2014-09-19,36,21,9
2014-09-20,4,18,0
2014-09-21,9,12,0
2014-09-22,27,43,3
2014-09-23,50,19,26
2014-09-24,26,34,23
2014-09-25,20,31,38
2014-09-26,15,21,41
2014-09-27,12,16,1
2014-09-28,29,9,24
2014-09-29,26,47,14
2014-09-30,37,37,22
2014-10-01,32,40,24
2014-10-02,32,67,11
2014-10-03,25,43,90
2014-10-04,12,22,0
2014-10-05,7,27,0
2014-10-06,26,25,45
2014-10-07,25,29,38
2014-10-08,25,23,29
2014-10-09,38,48,24
2014-10-10,34,12,23
2014-10-11,11,25,3
2014-10-12,3,23,0
2014-10-13,16,41,122
2014-10-14,23,22,32
2014-10-15,44,28,29
2014-10-16,17,27,33
2014-10-17,14,21,14
2014-10-18,7,17,11
2014-10-19,3,16,0
2014-10-20,24,15,23
2014-10-21,15,23,21
2014-10-22,8,20,75
2014-10-23,22,21,1
2014-10-24,29,19,11
2014-10-25,8,26,0
2014-10-26,12,21,0
2014-10-27,20,53,10
2014-10-28,20,41,8
2014-10-29,17,24,6
2014-10-30,9,45,44
2014-10-31,19,37,36
2014-11-01,14,18,2
2014-11-02,14,30,1
2014-11-03,18,76,0
2014-11-04,14,24,0
2014-11-05,15,34,33
2014-11-06,20,69,15
2014-11-07,25,40,64
2014-11-08,16,18,8
2014-11-09,15,31,0
2014-11-10,13,18,20
2014-11-11,40,18,32
2014-11-12,35,32,65
2014-11-13,18,20,38
2014-11-14,29,20,29
2014-11-15,16,14,0
2014-11-16,6,42,0
2014-11-17,29,62,46
2014-11-18,27,42,14
2014-11-19,33,73,13
2014-11-20,38,38,24
2014-11-21,47,55,48
2014-11-22,17,18,0
2014-11-23,4,46,0
2014-11-24,11,25,61
2014-11-25,2,36,40
2014-11-26,2,33,19
2014-11-27,0,45,27
2014-11-28,4,11,43
2014-11-29,0,7,0
2014-11-30,1,16,0
2014-12-01,12,12,68
2014-12-02,22,18,13
2014-12-03,39,33,69
2014-12-04,28,41,1
2014-12-05,46,60,11
2014-12-06,15,17,0
2014-12-07,2,51,0
2014-12-08,19,27,41
2014-12-09,18,42,3
2014-12-10,15,20,26
2014-12-11,20,17,25
2014-12-12,28,24,74
2014-12-13,16,122,0
2014-12-14,11,79,1
2014-12-15,19,47,55
2014-12-16,15,37,52
2014-12-17,31,63,3
2014-12-18,24,41,54
2014-12-19,26,103,12
2014-12-20,17,45,4
2014-12-21,3,57,36
2014-12-22,19,62,4
2014-12-23,42,26,50
2014-12-24,15,22,38
2014-12-25,0,35,11
2014-12-26,3,30,29
2014-12-27,3,27,1
2014-12-28,2,35,0
2014-12-29,0,63,48
2014-12-30,0,126,2
2014-12-31,0,42,19
2015-01-01,4,49,0
2015-01-02,1,70,15
2015-01-03,0,61,16
2015-01-04,2,60,0
2015-01-05,15,127,11
2015-01-06,25,136,5
2015-01-07,12,78,1
2015-01-08,35,109,7
2015-01-09,43,43,4
2015-01-10,18,33,13
2015-01-11,10,48,12
2015-01-12,10,86,35
2015-01-13,27,32,16
2015-01-14,22,34,28
2015-01-15,28,91,9
2015-01-16,28,50,4
2015-01-17,7,44,0
2015-01-18,2,46,0
2015-01-19,34,43,17
2015-01-20,35,72,17
2015-01-21,34,96,36
2015-01-22,40,51,26
2015-01-23,33,28,0
2015-01-24,16,43,0
2015-01-25,9,22,0
2015-01-26,12,31,4
2015-01-27,24,66,4
2015-01-28,41,44,16
2015-01-29,27,40,38
2015-01-30,27,65,23
2015-01-31,18,28,0
2015-02-01,7,36,0
2015-02-02,17,51,13
2015-02-03,18,43,8
2015-02-04,51,21,13
2015-02-05,37,49,13
2015-02-06,33,71,34
2015-02-07,16,35,0
2015-02-08,0,18,0
2015-02-09,15,21,37
2015-02-10,42,66,28
2015-02-11,58,75,40
2015-02-12,48,39,28
2015-02-13,31,46,22
2015-02-14,11,25,0
2015-02-15,7,71,0
2015-02-16,21,71,69
2015-02-17,23,86,5
2015-02-18,25,123,35
2015-02-19,18,36,32
2015-02-20,32,17,36
2015-02-21,30,53,1
2015-02-22,4,72,1
2015-02-23,10,64,0
2015-02-24,27,105,8
2015-02-25,16,32,10
2015-02-26,30,31,181
2015-02-27,57,34,10
2015-02-28,14,41,0
2015-03-01,17,43,0
2015-03-02,31,32,8
2015-03-03,31,76,29
2015-03-04,44,31,34
2015-03-05,20,55,34
2015-03-06,27,59,92
2015-03-07,19,15,0
2015-03-08,20,38,0
2015-03-09,33,35,0
2015-03-10,56,33,25
2015-03-11,36,24,97
2015-03-12,70,33,50
2015-03-13,39,29,34
2015-03-14,27,18,1
2015-03-15,30,42,1
2015-03-16,23,30,48
2015-03-17,39,53,38
2015-03-18,38,37,80
2015-03-19,49,57,8
2015-03-20,35,41,28
2015-03-21,15,10,10
2015-03-22,19,23,0
2015-03-23,36,96,29
2015-03-24,44,65,30
2015-03-25,49,24,24
2015-03-26,46,44,15
2015-03-27,39,79,19
2015-03-28,29,26,0
2015-03-29,19,34,0
2015-03-30,24,37,34
2015-03-31,35,75,41
2015-04-01,49,95,45
2015-04-02,61,34,30
2015-04-03,35,37,44
2015-04-04,30,42,7
2015-04-05,31,18,1
2015-04-06,19,21,21
2015-04-07,51,43,88
2015-04-08,36,68,18
2015-04-09,41,38,41
2015-04-10,28,57,16
2015-04-11,11,45,0
2015-04-12,6,21,0
2015-04-13,17,36,30
2015-04-14,25,86,15
2015-04-15,36,49,24
2015-04-16,42,31,89
2015-04-17,51,75,18
2015-04-18,10,35,4
2015-04-19,12,22,0
2015-04-20,38,35,12
2015-04-21,24,99,26
2015-04-22,74,30,47
2015-04-23,44,45,46
2015-04-24,37,63,29
2015-04-25,9,50,0
2015-04-26,53,25,0
2015-04-27,63,51,42
2015-04-28,44,31,21
2015-04-29,53,97,43
2015-04-30,50,70,7
2015-05-01,41,44,6
2015-05-02,31,36,32
2015-05-03,10,23,0
2015-05-04,34,43,0
2015-05-05,47,52,4
2015-05-06,40,58,7
2015-05-07,69,56,28
2015-05-08,41,43,51
2015-05-09,36,37,1
2015-05-10,15,54,0
2015-05-11,39,54,4
2015-05-12,45,63,15
2015-05-13,41,66,132
2015-05-14,45,52,50
2015-05-15,57,53,23
2015-05-16,14,39,25
2015-05-17,20,40,8
2015-05-18,43,33,32
2015-05-19,58,84,24
2015-05-20,52,36,47
2015-05-21,31,35,52
2015-05-22,33,21,16
2015-05-23,37,34,0
2015-05-24,22,26,7
2015-05-25,9,34,24
2015-05-26,29,35,97
2015-05-27,40,30,121
2015-05-28,32,41,27
2015-05-29,30,41,20
2015-05-30,13,20,4
2015-05-31,18,22,1
2015-06-01,15,28,38
2015-06-02,37,34,48
2015-06-03,25,26,40
2015-06-04,21,30,43
2015-06-05,11,25,19
2015-06-06,10,30,1
2015-06-07,4,20,0
2015-06-08,12,44,34
2015-06-09,5,58,14
2015-06-10,6,40,29
2015-06-11,0,36,58
2015-06-12,6,35,19
2015-06-13,2,25,4
2015-06-14,3,18,0
2015-06-15,19,35,54
2015-06-16,16,19,18
2015-06-17,57,52,48
2015-06-18,26,51,29
2015-06-19,25,36,22
2015-06-20,10,37,0
2015-06-21,2,28,0
2015-06-22,19,28,8
2015-06-23,23,44,57
2015-06-24,63,40,23
2015-06-25,64,36,46
2015-06-26,33,25,7
2015-06-27,19,21,13
2015-06-28,8,9,0
2015-06-29,19,32,54
2015-06-30,25,57,19
2015-07-01,41,37,16
2015-07-02,35,28,10
2015-07-03,7,26,30
2015-07-04,3,28,6
2015-07-05,0,35,0
2015-07-06,12,35,29
2015-07-07,21,29,33
2015-07-08,49,46,17
2015-07-09,40,32,66
2015-07-10,48,27,60
2015-07-11,25,27,1
2015-07-12,8,32,0
2015-07-13,44,38,7
2015-07-14,22,39,12
2015-07-15,36,11,24
2015-07-16,48,47,94
2015-07-17,51,37,42
2015-07-18,28,33,0
2015-07-19,13,24,5
2015-07-20,27,52,9
2015-07-21,50,46,88
2015-07-22,41,63,28
2015-07-23,38,45,30
2015-07-24,40,60,43
2015-07-25,36,34,0
2015-07-26,30,35,0
2015-07-27,31,32,13
2015-07-28,31,52,47
2015-07-29,28,53,45
2015-07-30,39,32,30
2015-07-31,60,31,28
2015-08-01,31,16,0
2015-08-02,12,21,0
2015-08-03,25,20,28
2015-08-04,39,40,22
2015-08-05,16,37,8
2015-08-06,23,41,24
2015-08-07,17,23,51
2015-08-08,11,16,1
2015-08-09,1,21,1
2015-08-10,22,27,41
2015-08-11,19,66,29
2015-08-12,28,109,9
2015-08-13,40,78,9
2015-08-14,17,28,14
2015-08-15,3,36,7
2015-08-16,6,40,0
2015-08-17,17,81,12
2015-08-18,36,42,35
2015-08-19,30,39,48
2015-08-20,16,26,7
2015-08-21,25,29,15
2015-08-22,16,49,0
2015-08-23,6,25,10
2015-08-24,15,42,42
2015-08-25,19,67,24
2015-08-26,44,44,29
2015-08-27,35,44,40
2015-08-28,14,28,51
2015-08-29,11,23,9
2015-08-30,12,29,0
2015-08-31,3,37,81
2015-09-01,20,51,31
2015-09-02,30,41,38
2015-09-03,31,60,62
2015-09-04,21,66,54
2015-09-05,20,31,0
2015-09-06,11,49,7
2015-09-07,17,27,150
2015-09-08,37,30,153
2015-09-09,32,29,49
2015-09-10,39,43,52
2015-09-11,35,32,35
2015-09-12,11,19,10
2015-09-13,0,15,1
2015-09-14,21,40,27
2015-09-15,29,32,22
2015-09-16,34,25,18
