,ethereum/go-ethereum,NethermindEth/nethermind,hyperledger/besu
2018-12-09,0,1,0.0
2018-12-10,17,0,7.0
2018-12-11,7,0,0.20000000000000062
2018-12-12,2,0,1.9600000000000004
2018-12-13,3,9,1.5920000000000005
2018-12-14,7,10,1.4367999999999999
2018-12-15,0,2,-2.670464
2018-12-16,0,0,-0.1529984000000003
2018-12-17,3,14,3.8603084799999996
2018-12-18,4,0,1.3407375360000002
2018-12-19,0,0,3.3158027264000003
2018-12-20,2,0,3.494047641600001
2018-12-21,3,0,-0.19924971519999968
2018-12-22,4,0,-3.2749386752
2018-12-23,1,0,-1.4817871872000004
2018-12-24,0,0,-0.9257733120000005
2018-12-25,0,0,-0.6759021568000003
2018-12-26,0,0,-0.5153873919999999
2018-12-27,0,0,0.6374263808
2018-12-28,1,0,-0.6563611647999998
2018-12-29,2,0,-0.27020994559999995
2018-12-30,0,6,-0.11519262719999998
2018-12-31,0,5,0.9583999999999999
2019-01-01,0,2,-0.42995199999999995
2019-01-02,2,8,0.8570367999999999
2019-01-03,6,4,0.5176294400000001
2019-01-04,5,7,2.4232442880000002
2019-01-05,2,10,-0.42675015679999984
2019-01-06,1,3,0.11143680000000011
2019-01-07,6,2,6.1980774400000005
2019-01-08,1,0,1.8231290880000004
2019-01-09,1,0,2.9104120832000007
2019-01-10,4,1,0.3780321280000005
2019-01-11,5,0,2.9328192511999998
2019-01-12,0,0,-2.7812630528
2019-01-13,0,0,-1.0080231424000003
2019-01-14,0,3,13.4785242112
2019-01-15,7,15,6.098071859200002
2019-01-16,4,1,0.34724618240000105
2019-01-17,7,0,3.8422615040000005
2019-01-18,3,2,-4.7165503488
2019-01-19,1,0,-2.685540659200001
2019-01-20,0,0,1.5430607871999995
2019-01-21,2,0,5.8943501311999995
2019-01-22,2,0,5.810623283200001
2019-01-23,4,0,3.3969029120000016
2019-01-24,14,4,0.39039426560000123
2019-01-25,2,14,0.4881453055999998
2019-01-26,2,5,-2.8756843520000004
2019-01-27,1,0,-3.034375065600001
2019-01-28,2,1,4.2939287552
2019-01-29,8,3,19.3934338048
2019-01-30,7,0,9.190743756800003
2019-01-31,1,4,7.237386035200002
2019-02-01,2,0,-1.1118213119999982
2019-02-02,0,8,-9.3137744896
2019-02-03,1,0,-1.3017755648000016
2019-02-04,7,0,9.0425867264
2019-02-05,4,6,0.44059084799999937
2019-02-06,5,0,4.4894456832000005
2019-02-07,17,5,1.4840923136000015
2019-02-08,6,2,2.1913461760000006
2019-02-09,0,6,-5.584943411199999
2019-02-10,0,5,-1.2476290048000007
2019-02-11,0,7,7.332137983999999
2019-02-12,10,7,6.4170535936
2019-02-13,3,0,2.8644653056000013
2019-02-14,13,0,1.1657460736000012
2019-02-15,2,0,-1.1093833728
2019-02-16,1,0,-4.714601779200001
2019-02-17,1,0,-2.2841362432000007
2019-02-18,15,9,12.5453064192
2019-02-19,15,0,20.3251518464
2019-02-20,6,0,5.692978688000004
2019-02-21,7,1,-1.3029154815999977
2019-02-22,3,0,-6.331480063999999
2019-02-23,1,1,-3.456691814400001
2019-02-24,2,0,-2.8485795840000008
2019-02-25,5,0,7.2641177599999995
2019-02-26,9,6,14.153242112000001
2019-02-27,4,0,-0.6270702591999981
2019-02-28,9,0,1.9540214784000014
2019-03-01,6,14,-5.4368678911999995
2019-03-02,2,0,-3.017471180800001
2019-03-03,0,1,-1.6117484544000011
2019-03-04,4,2,12.952758374399998
2019-03-05,2,7,5.6718815232000015
2019-03-06,4,3,-2.009937407999999
2019-03-07,11,8,-0.6287042559999989
2019-03-08,6,0,-2.5451950080000003
2019-03-09,0,0,-2.973706752000001
2019-03-10,0,1,0.39745341439999926
2019-03-11,1,3,0.08225413120000002
2019-03-12,6,2,5.110309683200001
2019-03-13,4,6,1.1580600320000007
2019-03-14,7,1,3.5537104896000002
2019-03-15,4,0,-2.1804126207999994
2019-03-16,1,1,-2.451332608
2019-03-17,0,15,-1.2139278336000003
2019-03-18,6,9,6.203245055999999
2019-03-19,0,12,7.6078183424
2019-03-20,3,2,4.315814502400001
2019-03-21,2,2,4.892114022400001
2019-03-22,4,2,-0.8020218879999987
2019-03-23,0,24,-4.1471625216
2019-03-24,0,10,-2.7558107136000003
2019-03-25,7,0,1.3576908799999994
2019-03-26,3,2,4.619129856
2019-03-27,7,5,7.9260872704
2019-03-28,2,0,-1.4941442047999987
2019-03-29,2,11,-1.44068096
2019-03-30,0,1,-3.1991405568
2019-03-31,0,1,0.45030174719999927
2019-04-01,5,10,5.2119237632
2019-04-02,9,5,2.2358205440000005
2019-04-03,1,7,-0.9376031743999995
2019-04-04,7,0,7.1166019584
2019-04-05,7,0,1.620427878400001
2019-04-06,1,9,-4.806648319999999
2019-04-07,0,16,1.9796100096
2019-04-08,47,12,0.14945945599999977
2019-04-09,9,11,3.4184807424
2019-04-10,8,4,6.309070950400001
2019-04-11,4,27,2.4548959232000005
2019-04-12,3,12,0.6528464896000008
2019-04-13,0,5,-3.6653803519999997
2019-04-14,0,2,-1.4596709376000008
2019-04-15,2,6,6.2101662719999995
2019-04-16,6,8,1.6902688768000003
2019-04-17,4,20,7.857948057600001
2019-04-18,2,12,-5.616641740799999
2019-04-19,1,15,-2.969165824
2019-04-20,0,5,-0.6118692864000006
2019-04-21,0,12,-0.4369328128000005
2019-04-22,0,0,0.7662784511999998
2019-04-23,1,14,5.4662223872
2019-04-24,0,20,3.4176705536000007
2019-04-25,6,10,-2.116580044799999
2019-04-26,2,8,2.6071512064
2019-04-27,0,14,-0.09323591679999987
2019-04-28,0,46,1.4916833279999997
2019-04-29,0,15,12.201698611200001
2019-04-30,5,8,-3.2723499007999983
2019-05-01,0,7,2.7632333824
2019-05-02,2,3,4.1565097984
2019-05-03,0,0,-1.7204489216
2019-05-04,1,0,-3.9920193536
2019-05-05,0,24,-1.9943961600000004
2019-05-06,0,8,1.6935074815999995
2019-05-07,5,5,1.8512790527999998
2019-05-08,7,7,11.33233408
2019-05-09,0,11,-1.6864704511999982
2019-05-10,16,8,-0.3602707455999994
2019-05-11,1,1,-3.5280622592
2019-05-12,0,0,-0.6222902272000008
2019-05-13,11,18,6.56970752
2019-05-14,2,0,0.9234058240000005
2019-05-15,5,1,-0.6148291583999992
