,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2016-12-21,36,0.0,0
2016-12-22,31,1.0,0
2016-12-23,5,-0.10000000000000009,1
2016-12-24,6,-0.04500000000000003,1
2016-12-25,5,-0.028500000000000022,0
2016-12-26,4,-0.020662499999999924,0
2016-12-27,34,-0.016116749999999947,0
2016-12-28,19,0.9868379875000001,7
2016-12-29,12,-0.11109369625000005,2
2016-12-30,38,0.945431686984375,0
2016-12-31,1,-0.1368988525359376,0
2017-01-01,0,-0.06566249999999996,0
2017-01-02,0,1.9553832500000001,0
2017-01-03,57,2.7661754875,0
2017-01-04,30,-0.41721044625000026,0
2017-01-05,33,-0.21473032551562507,0
2017-01-06,28,0.8536824512140626,0
2017-01-07,0,0.7962106869843752,0
2017-01-08,7,-0.22807312753593736,0
2017-01-09,3,-0.13517342999999987,0
2017-01-10,15,0.8984197852187502,1
2017-01-11,0,1.8177181058812502,1
2017-01-12,8,-0.2994753201078125,0
2017-01-13,22,-0.14275570875000002,14
2017-01-14,4,-0.09832450926562492,0
2017-01-15,4,-0.07540891555156225,0
2017-01-16,34,0.9462056349640626,1
2017-01-17,46,-0.13741772124999999,3
2017-01-18,22,-0.07675570551562494,0
2017-01-19,45,-0.05603547856718745,0
2017-01-20,33,0.9625397949281251,0
2017-01-21,0,-0.11611675000000003,0
2017-01-22,6,-0.05816201249999999,0
2017-01-23,15,-0.03959369624999999,6
2017-01-24,70,-0.0302308130156249,1
2017-01-25,27,0.9754843974640626,0
2017-01-26,40,5.8868379875,0
2017-01-27,3,0.3439063037499994,5
2017-01-28,6,-0.4080683130156253,0
2017-01-29,0,-0.24506135253593758,0
2017-01-30,20,0.8314082500000005,4
2017-01-31,3,1.7694749875000004,0
2017-02-01,13,-0.3511825212499999,3
2017-02-02,6,1.792207496984375,6
2017-02-03,2,-0.35456492687968744,0
2017-02-04,0,-0.2074031782312497,0
2017-02-05,6,-0.11079436503593737,0
2017-02-06,21,-0.07874272124999973,3
2017-02-07,23,-0.06398920551562481,3
2017-02-08,34,1.9461404964328126,1
2017-02-09,15,0.761014902428125,2
2017-02-10,2,1.7908633739687498,2
2017-02-11,0,-0.3187977050718752,2
2017-02-12,6,-0.15982499999999994,0
2017-02-13,10,0.8901040000000001,4
2017-02-14,16,0.8162342250000002,3
2017-02-15,11,-0.2125829049999999,0
2017-02-16,4,-0.1300543472812499,0
2017-02-17,4,-0.09771591058749982,0
2017-02-18,0,-0.06431472856718731,1
2017-02-19,3,-0.04607646757187486,0
2017-02-20,9,0.9757442912500001,1
2017-02-21,8,0.879337990734375,1
2017-02-22,44,-0.16296716555156257,0
2017-02-23,0,-0.08189885253593754,0
2017-02-24,15,-0.04916249999999994,2
2017-02-25,0,-0.036779249999999875,0
2017-02-26,2,-0.02927876249999991,0
2017-02-27,8,-0.024255708749999928,3
2017-02-28,20,-0.02066200926562494,0
2017-03-01,43,0.9820328344484376,0
2017-03-02,53,0.8916011474640624,0
2017-03-03,27,1.855,0
2017-03-04,0,-0.27350000000000024,0
2017-03-05,0,-0.13916250000000002,0
2017-03-06,16,-0.09377924999999993,2
2017-03-07,11,0.9293962375000002,3
2017-03-08,6,0.8435107912500001,8
2017-03-09,12,4.808013965734375,0
2017-03-10,21,-0.6136545580515629,0
2017-03-11,2,0.6983020214328124,0
2017-03-12,3,-0.29607695507187504,1
2017-03-13,12,0.8224087375000004,1
2017-03-14,12,0.7666605412500003,3
2017-03-15,21,-0.2521345717656248,4
2017-03-16,10,-0.16305239680156228,0
2017-03-17,11,3.8814350698859377,0
2017-03-18,3,0.5101327910703124,0
2017-03-19,0,-0.3188470755156251,0
2017-03-20,0,-0.19165456128593752,2
2017-03-21,0,-0.13181200926562467,5
2017-03-22,4,-0.10309666555156216,1
2017-03-23,8,-0.07716365253593727,2
2017-03-24,43,-0.05753679749999983,2
2017-03-25,13,-0.04936694831249987,0
2017-03-26,6,-0.04316372315937489,0
2017-03-27,1,-0.008398852535937478,13
2017-03-28,18,0.0,1
