,flutter/flutter,facebook/react-native,NativeScript/NativeScript
2015-03-30,0.0,28,14
2015-03-31,0.0,50,10
2015-04-01,1.0,51,4
2015-04-02,-0.3999999999999999,30,3
2015-04-03,-0.12,33,11
2015-04-04,-0.064,12,0
2015-04-05,-0.04160000000000005,2,0
2015-04-06,0.970048,9,6
2015-04-07,1.5770368000000001,19,2
2015-04-08,-0.9383705599999999,35,12
2015-04-09,1.680844288,19,7
2015-04-10,0.017601843200000133,20,0
2015-04-11,-0.753152,11,1
2015-04-12,-0.33086720000000003,3,0
2015-04-13,-0.21149696000000012,7,1
2015-04-14,2.846599168,11,6
2015-04-15,-0.3189879807999998,12,2
2015-04-16,-0.8453006335999999,12,7
2015-04-17,-0.36068198399999996,16,5
2015-04-18,-0.22955202560000013,8,0
2015-04-19,-0.1442541568000001,6,0
2015-04-20,0.9011583999999999,14,36
2015-04-21,2.52192512,30,2
2015-04-22,-1.3838376959999996,24,18
2015-04-23,-0.47755018239999997,23,5
2015-04-24,-0.24639815680000005,17,17
2015-04-25,-0.15475200000000014,5,0
2015-04-26,-0.11281920000000005,5,0
2015-04-27,1.91273984,9,3
2015-04-28,3.1297326080000003,17,7
2015-04-29,-1.8982652927999997,12,7
2015-04-30,-0.6463944704,18,3
2015-05-01,-0.3392000000000001,5,0
2015-05-02,-0.22630400000000023,12,0
2015-05-03,-0.1657344000000001,5,0
2015-05-04,0.87140608,8,5
2015-05-05,-0.5037936639999999,19,7
2015-05-06,-0.20621916159999998,15,0
2015-05-07,-0.11519262719999998,25,2
2015-05-08,-0.04160000000000005,13,6
2015-05-09,-0.029952000000000017,0,0
2015-05-10,-0.022963200000000007,3,0
2015-05-11,-0.018370559999999994,4,11
2015-05-12,0.984844288,0,4
2015-05-13,2.5872018432,50,8
2015-05-14,2.68,36,8
2015-05-15,-1.0239999999999996,21,11
2015-05-16,-1.1136,5,0
2015-05-17,-0.5307520000000001,2,0
2015-05-18,2.6567808,13,11
2015-05-19,7.55133184,2,13
2015-05-20,-3.1520721919999994,9,6
2015-05-21,3.1732892672,6,8
2015-05-22,-2.9381878784,13,6
2015-05-23,-0.19460433920000053,7,0
2015-05-24,-1.1128557568000002,1,0
2015-05-25,-0.6197324800000004,4,14
2015-05-26,4.552474624,14,5
2015-05-27,6.6504175616,9,11
2015-05-28,7.5478560768000005,25,4
2015-05-29,-4.311539916799999,20,9
2015-05-30,-3.106361344,8,0
2015-05-31,-1.5473157120000005,10,1
2015-06-01,1.9756178431999993,13,7
2015-06-02,8.0588544,18,11
2015-06-03,5.063424000000001,24,9
2015-06-04,10.141234688,7,3
2015-06-05,-4.698593075199998,9,2
2015-06-06,-4.8497453056,5,0
2015-06-07,-2.314005913600001,5,0
2015-06-08,7.494136319999999,9,4
2015-06-09,5.295563264,17,3
2015-06-10,6.0591236096,10,3
2015-06-11,5.758679552000001,20,11
2015-06-12,-3.0983552000000003,42,4
2015-06-13,-2.2789613568,3,0
2015-06-14,-3.6885814272000004,0,0
2015-06-15,3.024808959999999,17,10
2015-06-16,6.614958592,9,3
2015-06-17,4.3397311488,11,19
2015-06-18,5.726660608000001,11,33
2015-06-19,-3.3593445375999993,14,1
2015-06-20,-4.5430262784,7,0
2015-06-21,-2.1877939200000007,1,0
2015-06-22,8.5854007296,19,0
2015-06-23,5.985059840000001,13,2
2015-06-24,3.605380096000001,17,2
2015-06-25,6.448161792000001,22,9
2015-06-26,3.0966676480000004,6,14
2015-06-27,-7.571320729599999,4,0
2015-06-28,-3.178296627200001,1,0
2015-06-29,-0.9806208000000007,4,9
2015-06-30,0.16975871999999947,13,5
2015-07-01,-0.026393600000000017,11,9
