,kubernetes/kubernetes,hashicorp/nomad,docker-archive/classicswarm
2019-08-01,95,8,0
2019-08-02,60,3,0
2019-08-03,26,0,0
2019-08-04,4,0,0
2019-08-05,38,5,0
2019-08-06,34,11,0
2019-08-07,56,9,0
2019-08-08,61,12,0
2019-08-09,48,3,0
2019-08-10,12,0,0
2019-08-11,4,1,0
2019-08-12,38,44,0
2019-08-13,65,10,0
2019-08-14,64,5,0
2019-08-15,54,6,0
2019-08-16,44,6,0
2019-08-17,33,0,0
2019-08-18,6,1,0
2019-08-19,37,5,0
2019-08-20,59,19,0
2019-08-21,69,9,0
2019-08-22,70,9,0
2019-08-23,94,13,0
2019-08-24,18,4,0
2019-08-25,10,2,0
2019-08-26,59,14,0
2019-08-27,81,6,0
2019-08-28,95,12,0
2019-08-29,111,16,0
2019-08-30,86,16,0
2019-08-31,16,5,0
2019-09-01,1,3,0
2019-09-02,16,4,0
2019-09-03,30,12,1
2019-09-04,23,31,0
2019-09-05,29,32,1
2019-09-06,30,22,0
2019-09-07,5,0,0
2019-09-08,1,0,0
2019-09-09,22,18,0
2019-09-10,30,2,0
2019-09-11,73,6,0
2019-09-12,64,5,0
2019-09-13,23,8,0
2019-09-14,8,0,0
2019-09-15,5,0,0
2019-09-16,32,5,0
2019-09-17,39,10,0
2019-09-18,32,13,0
2019-09-19,47,2,0
2019-09-20,40,3,0
2019-09-21,14,0,0
2019-09-22,12,1,0
2019-09-23,41,3,0
2019-09-24,50,8,0
2019-09-25,52,7,0
2019-09-26,46,10,0
2019-09-27,27,17,0
2019-09-28,12,3,0
2019-09-29,13,1,0
2019-09-30,35,9,0
2019-10-01,49,3,0
2019-10-02,31,2,0
2019-10-03,35,2,0
2019-10-04,46,5,0
2019-10-05,31,1,0
2019-10-06,20,0,0
2019-10-07,25,6,0
2019-10-08,46,23,0
2019-10-09,36,3,0
2019-10-10,51,17,0
2019-10-11,61,9,0
2019-10-12,27,0,0
2019-10-13,31,3,0
2019-10-14,26,5,0
2019-10-15,33,10,0
2019-10-16,69,8,0
2019-10-17,49,11,0
2019-10-18,42,13,0
2019-10-19,24,0,0
2019-10-20,14,0,0
2019-10-21,26,8,0
2019-10-22,43,18,0
2019-10-23,82,5,0
2019-10-24,73,5,0
2019-10-25,46,12,0
2019-10-26,7,0,0
2019-10-27,10,0,0
2019-10-28,49,10,0
2019-10-29,54,6,0
2019-10-30,42,4,0
2019-10-31,50,6,0
2019-11-01,33,7,0
2019-11-02,20,0,0
2019-11-03,6,0,0
2019-11-04,49,10,0
2019-11-05,52,39,0
2019-11-06,87,5,0
2019-11-07,84,12,0
2019-11-08,98,13,0
2019-11-09,28,0,0
2019-11-10,10,0,0
2019-11-11,57,17,0
2019-11-12,81,16,0
2019-11-13,106,7,0
2019-11-14,106,10,0
2019-11-15,83,2,0
2019-11-16,26,0,0
2019-11-17,1,0,0
2019-11-18,11,1,0
2019-11-19,15,32,0
2019-11-20,11,31,0
2019-11-21,13,22,0
2019-11-22,17,29,0
2019-11-23,25,0,0
2019-11-24,6,1,0
2019-11-25,17,7,0
2019-11-26,47,11,0
2019-11-27,37,0,0
2019-11-28,32,0,0
2019-11-29,14,0,0
2019-11-30,5,0,0
2019-12-01,3,0,0
2019-12-02,42,9,0
2019-12-03,51,13,0
2019-12-04,48,15,0
2019-12-05,48,5,0
2019-12-06,38,8,0
2019-12-07,11,1,0
2019-12-08,6,1,0
2019-12-09,33,7,0
2019-12-10,30,6,0
2019-12-11,56,7,0
2019-12-12,34,9,0
2019-12-13,48,13,0
2019-12-14,16,0,0
2019-12-15,12,0,0
2019-12-16,28,15,0
2019-12-17,52,2,0
2019-12-18,25,4,0
2019-12-19,48,7,0
2019-12-20,17,5,0
2019-12-21,16,0,0
2019-12-22,10,0,0
2019-12-23,14,0,0
2019-12-24,29,0,0
2019-12-25,24,0,0
2019-12-26,20,0,0
2019-12-27,29,0,0
2019-12-28,15,0,0
2019-12-29,6,0,0
2019-12-30,24,0,0
2019-12-31,27,0,0
2020-01-01,6,0,0
2020-01-02,18,2,0
2020-01-03,27,3,0
2020-01-04,15,0,0
