,django/django,rails/rails,pallets/flask
2010-06-06,0.0,8,1.0
2010-06-07,5.0,25,9.7
2010-06-08,1.0,44,-3.1050000000000004
2010-06-09,0.0,13,-1.1094999999999993
2010-06-10,1.0,12,3.3648375
2010-06-11,1.0,26,-1.63134525
2010-06-12,0.0,12,-0.7404833624999997
2010-06-13,0.0,21,-0.4897658987499999
2010-06-14,0.0,24,1.633900545734375
2010-06-15,0.0,17,-0.8912315808890631
2010-06-16,0.0,23,-0.4389575823281251
2010-06-17,2.0,11,2.805170905
2010-06-18,0.0,22,4.956168132937499
2010-06-19,2.0,29,-0.22877415293125036
2010-06-20,0.0,30,-1.4550617249999995
2010-06-21,3.0,11,-0.7254020474999997
2010-06-22,0.0,33,0.5191108164687499
2010-06-23,4.0,19,-0.6556559139656251
2010-06-24,1.0,35,-0.3609974962499999
2010-06-25,0.0,28,-0.26743551779687513
2010-06-26,0.0,16,4.7859124122078125
2010-06-27,0.0,22,2.3570258370718746
2010-06-28,0.0,32,7.224552311034375
2010-06-29,0.0,23,-1.4364572737499999
2010-06-30,1.0,16,2.000310783234376
2010-07-01,0.0,11,-1.268334663232812
2010-07-02,0.0,5,4.5642521875
2010-07-03,0.0,10,-2.67871706875
2010-07-04,0.0,8,27.725669058671876
2010-07-05,4.0,3,-3.564644621976564
2010-07-06,0.0,7,8.556042648678126
2010-07-07,0.0,8,-4.9869356101265625
2010-07-08,0.0,29,-3.8410286422781237
2010-07-09,0.0,6,-2.3298162621968745
2010-07-10,0.0,6,-1.6435852263265625
2010-07-11,0.0,5,-1.2673550931468751
2010-07-12,0.0,11,3.0404589962968736
2010-07-13,0.0,22,0.9988571581546863
2010-07-14,0.0,14,0.3383109383843743
2010-07-15,0.0,14,9.625078781209375
2010-07-16,0.0,17,-1.8763168264656254
2010-07-17,1.0,10,15.8866315
2010-07-18,0.0,15,3.4728908
2010-07-19,0.0,23,-5.655899682499999
2010-07-20,1.0,33,2.304811836687501
2010-07-21,1.0,62,-3.273333338228125
2010-07-22,0.0,22,-1.7891849094796872
2010-07-23,0.0,20,6.7465167166125
2010-07-24,1.0,3,-3.356023031592188
2010-07-25,1.0,28,14.508878284253125
2010-07-26,0.0,67,3.2043270816531235
2010-07-27,0.0,19,9.068079498921875
2010-07-28,0.0,53,-6.414145583828125
2010-07-29,0.0,27,1.0977360338359388
2010-07-30,7.0,35,-2.0216446899999996
2010-07-31,0.0,9,-2.049264784125
2010-08-01,0.0,2,-1.3805949483625
2010-08-02,0.0,31,-0.9707250070000006
2010-08-03,3.0,18,4.215329604884374
