,AvaloniaUI/Avalonia,nwjs/nw.js,electron/electron
2022-02-05,7.0,0,0
2022-02-06,-1.3999999999999997,0,0
2022-02-07,10.44,2,2
2022-02-08,11.464,0,5
2022-02-09,-0.9152000000000005,0,4
2022-02-10,3.5732479999999986,0,2
2022-02-11,2.3753983999999995,1,5
2022-02-12,4.50621696,0,0
2022-02-13,0.12826521599999996,0,0
2022-02-14,3.7623094271999995,0,2
2022-02-15,22.446258688,0,3
2022-02-16,10.501176217600001,0,2
2022-02-17,-1.3889903616000012,0,5
2022-02-18,-3.1895775232000014,0,2
2022-02-19,-0.7357441024000009,0,0
2022-02-20,12.733986304,7,0
2022-02-21,2.4471590912000005,3,6
2022-02-22,1.2485280767999996,2,2
2022-02-23,3.802856857600001,0,5
2022-02-24,9.647540736000002,0,3
2022-02-25,7.6400581632,0,2
2022-02-26,-3.539771904,0,0
2022-02-27,-2.5850271744000013,0,0
2022-02-28,14.267062579200001,1,3
2022-03-01,4.501442560000001,0,3
2022-03-02,18.036682547199998,0,3
2022-03-03,-4.5417896959999995,0,4
2022-03-04,-3.627475148800001,0,1
2022-03-05,4.7213431808,2,1
2022-03-06,7.0440952832,2,0
2022-03-07,7.3438519295999996,0,7
2022-03-08,3.780950528,0,8
2022-03-09,2.0625555456,0,5
2022-03-10,51.6546407424,1,1
2022-03-11,6.064937267200001,0,3
2022-03-12,-0.3854097408000037,0,1
2022-03-13,-6.860585984000003,2,0
2022-03-14,7.785997107199998,0,2
2022-03-15,13.584175104,0,5
2022-03-16,1.9750071295999998,0,9
2022-03-17,4.368978124799999,0,4
2022-03-18,0.5931928576000018,0,1
2022-03-19,7.511646720000002,0,2
2022-03-20,-1.7591366655999998,1,0
2022-03-21,34.8826840064,2,13
2022-03-22,7.448920576000003,3,9
2022-03-23,12.0799567872,0,10
2022-03-24,-6.249479065600001,0,4
2022-03-25,2.227784806399999,0,5
2022-03-26,-2.536994816000001,1,0
2022-03-27,16.763344793599998,2,0
2022-03-28,11.7427796992,0,8
2022-03-29,4.137256652800001,14,13
2022-03-30,9.0562295808,6,9
2022-03-31,1.8563397632000012,1,3
2022-04-01,-1.881027072000001,0,2
2022-04-02,0.6426698751999993,0,0
2022-04-03,5.9687903231999995,0,0
2022-04-04,19.2420692992,0,17
2022-04-05,1.1819202560000015,0,5
2022-04-06,6.116947660799999,0,4
2022-04-07,2.1017773056000006,0,4
2022-04-08,2.898738688,0,2
2022-04-09,19.2613879808,0,0
2022-04-10,18.2129502208,2,0
2022-04-11,9.5757922304,0,8
2022-04-12,12.0787759104,1,12
2022-04-13,6.677355724799998,1,8
2022-04-14,36.5891637248,1,5
2022-04-15,18.9705737216,0,5
2022-04-16,16.140318003199997,0,0
2022-04-17,2.3041907711999983,0,0
2022-04-18,-2.077184819200001,2,7
2022-04-19,-4.606462976000001,0,1
2022-04-20,10.5834774528,0,4
2022-04-21,13.067756032,1,4
2022-04-22,-3.030029823999998,0,6
2022-04-23,-2.479453081599999,0,0
2022-04-24,-3.8078020607999985,0,0
2022-04-25,0.665296998400001,0,5
2022-04-26,6.897497088000001,0,2
2022-04-27,7.9091985408,4,5
2022-04-28,19.1511021568,2,4
2022-04-29,4.354016153600002,0,3
2022-04-30,-5.3191137280000005,0,1
2022-05-01,-2.7502202880000013,1,0
2022-05-02,2.146256588799999,3,5
2022-05-03,7.8228515839999995,0,6
2022-05-04,16.5761502208,0,5
2022-05-05,14.1234796544,0,5
2022-05-06,16.1313258496,1,8
2022-05-07,-7.043203891199999,0,0
2022-05-08,-1.1462380544000021,0,0
2022-05-09,8.761285119999998,0,5
2022-05-10,27.393085952,0,9
2022-05-11,-3.0657929216,0,10
2022-05-12,0.3168194559999993,0,4
2022-05-13,5.357307392000001,0,2
2022-05-14,-2.8081495039999993,1,0
2022-05-15,9.8961394688,2,0
2022-05-16,6.492709273599999,0,3
2022-05-17,32.3004955648,0,5
2022-05-18,23.939267891200004,0,2
2022-05-19,-2.5670658048000004,0,4
2022-05-20,-2.3688351744000036,0,1
2022-05-21,-4.394217062400002,0,0
2022-05-22,-2.717465088000001,0,1
2022-05-23,-0.8446624768,0,10
2022-05-24,16.4329417728,0,4
2022-05-25,34.40184412160001,0,6
2022-05-26,8.119831347200003,0,1
2022-05-27,17.3367542784,0,1
2022-05-28,12.449009766399998,0,0
2022-05-29,-4.355702784000002,0,0
2022-05-30,21.883302297599997,11,3
2022-05-31,30.4052115456,1,3
2022-06-01,15.7533427712,1,7
2022-06-02,17.2610253824,1,7
2022-06-03,51.029851136,0,3
2022-06-04,-8.7365380096,0,0
2022-06-05,-0.05321277440000394,0,0
2022-06-06,-1.7379084288000044,1,4
2022-06-07,-5.739186688000001,0,8
2022-06-08,11.351706828800001,0,3
2022-06-09,3.640641536000002,2,3
2022-06-10,15.667498598400002,2,2
2022-06-11,-0.09372159999999496,0,0
2022-06-12,-3.833126297599999,0,0
2022-06-13,-2.3857987584000004,0,8
2022-06-14,-2.4099729408000004,0,5
2022-06-15,1.3524067327999996,2,2
2022-06-16,2.175354675200001,7,3
2022-06-17,-0.03073402879999909,0,2
2022-06-18,-1.5194998783999987,0,0
2022-06-19,2.103490355200001,2,0
2022-06-20,1.9475350528000004,0,8
2022-06-21,18.8900431872,1,8
2022-06-22,23.4199632896,0,11
2022-06-23,-0.5965276160000004,0,3
2022-06-24,21.0937796608,0,1
2022-06-25,-2.992547225600001,0,0
2022-06-26,6.995474739199997,0,0
2022-06-27,23.499272704,0,5
2022-06-28,3.956536012799999,2,10
2022-06-29,-3.2700480512000016,0,10
2022-06-30,8.935241216,0,2
2022-07-01,-4.0169265152,0,1
2022-07-02,5.319510835200001,0,0
2022-07-03,5.7099344896,0,0
2022-07-04,25.620007424,0,1
2022-07-05,2.474657587200003,0,6
2022-07-06,25.6641665024,0,1
2022-07-07,5.2166919168,0,3
2022-07-08,10.179621990399998,2,3
