,highcharts/highcharts,plotly/plotly.js,apache/echarts
2017-07-31,6,0,0.0
2017-08-01,8,8,1.0
2017-08-02,12,8,0.6000000000000001
2017-08-03,13,3,1.48
2017-08-04,11,10,-0.9839999999999999
2017-08-05,1,13,-0.3456
2017-08-06,0,0,-0.19955200000000006
2017-08-07,13,9,1.8638848
2017-08-08,13,8,3.09876224
2017-08-09,5,0,-1.9194526719999996
2017-08-10,9,5,3.3273050112
2017-08-11,4,2,2.0176904192
2017-08-12,0,0,1.6680996864000002
2017-08-13,0,0,-2.5017343999999997
2017-08-14,9,16,2.9690060799999998
2017-08-15,1,11,4.753998336
2017-08-16,13,3,-1.7442799615999998
2017-08-17,8,0,-2.2323356672
2017-08-18,9,0,0.9196421119999998
2017-08-19,0,0,-1.5243057152000001
2017-08-20,0,0,3.2634677248
2017-08-21,16,2,3.9266787328
2017-08-22,7,1,3.8016568320000004
2017-08-23,14,2,0.970072268800001
2017-08-24,7,2,2.4437750784000003
2017-08-25,18,1,-2.8797454335999997
2017-08-26,0,0,-2.033076224
2017-08-27,0,0,-1.1585217536000005
2017-08-28,15,2,-0.7949486080000003
2017-08-29,17,0,4.3931511808
2017-08-30,25,2,-0.4424629247999996
2017-08-31,31,1,4.3014477824
2017-09-01,16,3,-1.1332956159999994
2017-09-02,0,0,-1.9479446528
2017-09-03,0,0,-0.8697581568000001
2017-09-04,13,0,0.44767999999999963
2017-09-05,15,7,-0.8006912000000002
2017-09-06,11,5,4.56979712
2017-09-07,2,1,-2.3144519679999993
2017-09-08,4,1,7.2051282944
2017-09-09,0,0,-3.6570523647999993
2017-09-10,0,0,-1.2165595136000003
2017-09-11,11,1,1.31986944
2017-09-12,15,2,-1.2627717120000002
2017-09-13,21,25,1.4157330432
2017-09-14,21,3,0.8125158400000001
2017-09-15,14,6,4.665844736
2017-09-16,4,0,-2.949149695999999
2017-09-17,0,0,-1.0795116544
2017-09-18,13,3,-0.5638451200000001
2017-09-19,9,15,-0.3857418240000003
2017-09-20,15,23,-0.2879758336000001
2017-09-21,4,4,-0.20483174400000004
2017-09-22,5,28,0.8338689024000001
2017-09-23,0,0,-0.5165305855999999
2017-09-24,0,0,-0.19678894079999998
2017-09-25,9,9,4.936
2017-09-26,25,2,2.9584000000000006
2017-09-27,14,10,1.3700480000000006
2017-09-28,36,15,0.45703680000000046
2017-09-29,41,3,-2.22637056
2017-09-30,16,5,-0.9889157120000003
2017-10-01,3,0,-0.6357741568000004
2017-10-02,42,8,-0.4512768000000002
2017-10-03,19,20,-0.34934016
2017-10-04,24,23,-0.282141184
2017-10-05,13,27,-0.17972531199999991
2017-10-06,9,19,-0.09665976319999997
2017-10-07,11,0,-0.03839447039999999
2017-10-08,3,0,0.0
2017-10-09,0,12,2.0
2017-10-10,3,9,1.2000000000000002
2017-10-11,1,0,3.96
2017-10-12,7,5,10.632000000000001
2017-10-13,11,1,-3.0111999999999997
2017-10-14,3,0,-0.22310399999999975
2017-10-15,13,1,-2.7058304
2017-10-16,7,14,2.6747724799999992
2017-10-17,10,9,-0.4880445440000001
2017-10-18,12,14,-0.9409381375999999
2017-10-19,13,14,-1.3949377535999998
2017-10-20,9,19,2.20058368
2017-10-21,1,0,-1.7339628543999999
2017-10-22,3,0,2.3627815936
2017-10-23,6,23,0.42024488960000017
2017-10-24,1,14,1.594872832
2017-10-25,0,7,-1.8217306111999998
2017-10-26,1,13,1.2775583743999999
2017-10-27,0,8,-0.23296583680000005
2017-10-28,3,0,-0.9390607360000001
2017-10-29,4,0,-0.47728855040000007
2017-10-30,11,1,1.701702144
2017-10-31,11,15,4.9746784256000005
2017-11-01,13,6,10.2130581504
2017-11-02,9,25,-3.146098790399999
2017-11-03,13,4,6.724118016
2017-11-04,4,0,-3.5422560255999995
2017-11-05,6,0,2.0287634431999995
2017-11-06,7,1,5.43130368
2017-11-07,4,0,-3.2729123839999996
2017-11-08,7,1,5.9930425344
2017-11-09,8,0,-2.242460876799999
2017-11-10,11,0,6.6263648256
2017-11-11,2,0,-4.630276710399999
2017-11-12,0,0,1.316881408
2017-11-13,5,4,-0.06700431360000003
2017-11-14,8,6,-1.6936581120000005
2017-11-15,15,15,1.2631605248
2017-11-16,5,12,-0.15509340159999985
2017-11-17,0,8,-0.8359273471999997
2017-11-18,0,0,-1.2636309503999998
2017-11-19,0,0,-0.6882611200000001
2017-11-20,6,6,0.6114481151999999
2017-11-21,4,2,-0.6854239232
2017-11-22,5,3,-0.3045402624
2017-11-23,2,2,0.8180303872000001
2017-11-24,0,4,0.4713235456
2017-11-25,0,0,-0.5907040255999999
2017-11-26,0,0,-0.2197613568
2017-11-27,9,8,4.87602944
2017-11-28,1,6,4.913292288000001
2017-11-29,3,1,2.5342866432000006
2017-11-30,0,0,-2.6013337599999993
2017-12-01,2,1,0.19047372799999973
2017-12-02,0,0,1.2270861311999997
2017-12-03,0,0,-2.0908781568
2017-12-04,10,1,4.0380928
2017-12-05,25,1,0.3526963200000006
2017-12-06,11,1,4.712028672000001
2017-12-07,15,11,-1.8146743295999994
2017-12-08,5,14,2.7624246272
2017-12-09,0,1,0.9392187392000002
2017-12-10,0,0,-2.8949354496
2017-12-11,8,19,1.7079991295999997
2017-12-12,12,1,-1.01553664
2017-12-13,1,0,-1.3601382400000002
2017-12-14,15,0,5.2721504256
2017-12-15,13,17,1.1075958784000006
2017-12-16,0,1,-2.6263131135999997
2017-12-17,0,0,-1.087455232
2017-12-18,10,13,1.3651324927999997
2017-12-19,16,8,17.790050304
2017-12-20,11,6,1.8488626176000018
2017-12-21,7,1,5.377125683200001
2017-12-22,12,6,-6.463616511999999
2017-12-23,0,1,-3.467715788800001
2017-12-24,0,0,-0.9702070272000007
2017-12-25,0,0,2.2642380799999993
2017-12-26,0,0,14.269991936
2017-12-27,0,1,8.853229158400001
2017-12-28,0,4,6.2242679808000005
2017-12-29,0,9,1.9474273280000016
2017-12-30,0,7,0.17329520640000062
2017-12-31,0,0,6.5965944832
2018-01-01,0,0,-8.101796352000001
2018-01-02,12,0,2.589473075199999
2018-01-03,1,6,-4.538374451199999
2018-01-04,2,10,12.7993288704
2018-01-05,5,1,-3.316103577599998
2018-01-06,0,0,-3.1786108928
2018-01-07,1,1,-3.2453943296
2018-01-08,7,4,6.2379716607999995
2018-01-09,8,4,7.638880972800001
2018-01-10,11,10,-0.4976299007999989
2018-01-11,2,21,14.0746082304
2018-01-12,9,4,16.186131251200003
2018-01-13,0,0,9.8798938112
2018-01-14,0,0,-3.823031807999998
2018-01-15,13,11,11.6377688064
2018-01-16,4,6,-11.786159615999999
2018-01-17,2,35,2.2480700415999992
2018-01-18,0,27,-5.6150439936000005
2018-01-19,1,9,-3.6461708288000008
2018-01-20,0,1,-3.2888461312
2018-01-21,0,1,-2.0860597248000006
2018-01-22,5,11,-0.3407153152000002
2018-01-23,14,12,3.7808806912
2018-01-24,10,10,-0.6730843135999995
2018-01-25,16,9,-1.6857020415999997
2018-01-26,23,6,-0.7654653952
2018-01-27,0,1,-0.40670402560000024
2018-01-28,6,0,0.7312786431999998
2018-01-29,12,11,3.40690944
2018-01-30,12,23,4.127065088
2018-01-31,17,9,0.9306821632000006
2018-02-01,18,17,-1.7119022079999997
2018-02-02,5,20,-1.4859483136000002
2018-02-03,0,0,-0.7683712000000004
2018-02-04,0,11,-0.5203353600000002
2018-02-05,8,12,-0.3878251520000001
2018-02-06,0,14,-0.3054491648
2018-02-07,0,5,0.7614276608000001
2018-02-08,3,29,1.4442176512000002
2018-02-09,26,10,1.0136516608000001
2018-02-10,3,0,-0.11679815679999983
2018-02-11,0,0,0.1904
2018-02-12,10,14,3.238848
2018-02-13,16,4,0.04993280000000011
2018-02-14,16,5,1.49019904
2018-02-15,8,3,-1.8653752319999999
2018-02-16,13,22,-0.7871659008000002
2018-02-17,9,6,-0.49224949760000014
2018-02-18,4,0,-0.3356793856000002
2018-02-19,5,14,-0.23721850880000003
2018-02-20,17,14,-0.17905172479999998
2018-02-21,3,5,1.8633842688
2018-02-22,3,2,1.1289365504000002
2018-02-23,2,7,-0.0783944703999997
2018-02-24,10,0,1.2320000000000002
2018-02-25,6,4,1.8688
2018-02-26,6,11,9.352896
2018-02-27,19,12,-0.03543039999999831
2018-02-28,6,29,2.2921804800000007
2018-03-01,5,22,1.0212802560000003
2018-03-02,33,17,-1.7076606976000002
2018-03-03,0,1,-2.4678547456000004
2018-03-04,0,0,-1.3101764608000004
2018-03-05,12,26,3.0963323903999997
2018-03-06,14,16,2.7323006976000004
2018-03-07,12,22,1.0184983552000006
2018-03-08,18,8,-0.7487042559999995
2018-03-09,17,10,2.0442913792
2018-03-10,0,0,-2.518110208
2018-03-11,0,0,-1.0416091136000003
2018-03-12,22,5,6.352693759999999
2018-03-13,24,5,-3.2706324479999997
2018-03-14,15,6,0.7938121728
2018-03-15,22,11,-1.501207552
2018-03-16,30,4,2.3138137087999997
2018-03-17,0,1,-1.6238831615999998
2018-03-18,0,0,-0.6551350272
2018-03-19,9,7,0.61950208
2018-03-20,20,5,3.323183616
2018-03-21,9,2,0.0638157824000003
2018-03-22,29,3,-1.443201024
2018-03-23,9,6,2.3816920064
2018-03-24,0,0,-0.569819136
2018-03-25,0,0,1.9756343296
2018-03-26,7,12,-0.6821273599999997
2018-03-27,11,16,-1.083364352
2018-03-28,0,29,0.44638187519999994
2018-03-29,0,16,4.230854348799999
2018-03-30,0,13,-1.3551271935999996
2018-03-31,0,0,-1.226679296
2018-04-01,0,0,-0.6132250624000001
2018-04-02,0,2,1.6214121471999998
2018-04-03,40,1,3.9321266176
2018-04-04,7,8,-0.41593671679999966
2018-04-05,8,15,0.3420282880000003
2018-04-06,10,18,-1.5501472767999998
2018-04-07,0,0,-0.7150504960000003
2018-04-08,0,0,2.5803154432
2018-04-09,9,11,-0.49466111999999995
2018-04-10,1,11,0.012005376000000068
2018-04-11,9,17,3.1039576064000003
2018-04-12,2,9,-2.039843328
2018-04-13,9,13,6.2686362624
2018-04-14,0,0,-3.2220379135999995
2018-04-15,0,0,-1.1144268800000001
2018-04-16,38,29,5.345391104
2018-04-17,9,29,0.1450264576000002
2018-04-18,14,7,7.7688998912
2018-04-19,8,6,-3.978163404799999
2018-04-20,46,1,2.7786134528
2018-04-21,0,0,-1.1706019839999997
2018-04-22,0,8,0.8027777023999998
2018-04-23,0,0,0.7197670399999998
2018-04-24,4,10,0.6983700480000001
2018-04-25,8,4,-1.3138848768
2018-04-26,3,20,2.5401578496
2018-04-27,3,10,2.59242752
2018-04-28,0,0,1.0471365632000005
2018-04-29,0,1,-0.8057594879999996
2018-04-30,3,20,-1.9914167296
2018-05-01,0,21,-0.9857444864000002
2018-05-02,11,10,6.3617550336
2018-05-03,6,6,-1.2448564223999994
2018-05-04,15,0,3.0429693952
2018-05-05,0,0,-2.9343798271999995
2018-05-06,0,1,2.8194452479999996
2018-05-07,13,1,0.7056319488000002
2018-05-08,16,1,-1.1342427136
2018-05-09,0,14,-1.34028032
2018-05-10,1,6,-0.7360471040000002
2018-05-11,0,10,-0.5203593216000002
2018-05-12,0,0,-0.32468367360000006
2018-05-13,0,0,-0.23631462399999997
2018-05-14,2,6,0.8613022720000001
2018-05-15,2,3,-0.5150303231999999
2018-05-16,1,10,-0.17355018239999997
2018-05-17,0,14,-0.0767981568
2018-05-18,0,12,-0.04160000000000005
2018-05-19,0,0,-0.029952000000000017
2018-05-20,0,0,-0.022963200000000007
2018-05-21,0,5,6.98162944
2018-05-22,0,19,-2.8151557119999993
2018-05-23,0,24,-0.8527981567999999
2018-05-24,7,9,-0.448
2018-05-25,1,6,-0.29120000000000035
2018-05-26,0,0,-0.20966400000000013
2018-05-27,0,0,-0.16074240000000004
2018-05-28,6,7,0.8714060800000001
2018-05-29,16,11,7.493910016
2018-05-30,6,14,-2.4095870975999993
2018-05-31,6,7,-1.424
2018-06-01,12,9,-0.6736000000000001
2018-06-02,0,1,-0.4267520000000004
2018-06-03,0,0,-0.30417920000000015
2018-06-04,8,10,-0.23202816000000007
2018-06-05,2,12,-0.18508339199999996
2018-06-06,2,13,-0.15241441279999995
2018-06-07,0,9,0.8824590336
2018-06-08,4,6,-0.4127981567999999
2018-06-09,0,0,-0.12
2018-06-10,0,0,-0.064
2018-06-11,10,23,-0.04160000000000005
2018-06-12,11,3,0.970048
2018-06-13,8,3,8.5770368
2018-06-14,10,2,-2.738370559999999
2018-06-15,9,9,-1.559155712
2018-06-16,0,0,-0.7503981568000001
2018-06-17,0,0,-0.46835200000000043
2018-06-18,12,9,0.6658687999999998
2018-06-19,11,6,1.34500864
2018-06-20,5,8,-0.12345395199999976
2018-06-21,3,15,1.1284298752000002
2018-06-22,8,0,-1.2199391231999999
2018-06-23,0,0,-0.4299501568000001
2018-06-24,2,0,-0.2524672000000001
2018-06-25,3,0,1.8225510399999998
2018-06-26,18,5,-0.9347640319999999
2018-06-27,8,28,-0.3474065408
2018-06-28,12,14,-0.20549314559999998
2018-06-29,3,11,-0.12630958080000007
2018-06-30,0,0,-0.08550031360000003
2018-07-01,0,1,-0.04592640000000001
2018-07-02,5,1,-0.03674111999999999
2018-07-03,5,11,1.969688576
2018-07-04,15,12,-0.8255963135999999
2018-07-05,5,21,-0.24
2018-07-06,12,8,-0.128
2018-07-07,5,0,-0.0832000000000001
2018-07-08,3,1,-0.059904000000000034
2018-07-09,24,10,-0.04592640000000001
2018-07-10,3,5,-0.03674111999999999
2018-07-11,1,7,0.969688576
2018-07-12,4,5,-0.4255963135999999
2018-07-13,7,7,-0.12
2018-07-14,0,0,-0.064
2018-07-15,0,0,-0.04160000000000005
2018-07-16,2,5,-0.029952000000000017
2018-07-17,9,2,-0.022963200000000007
2018-07-18,15,15,-0.018370559999999994
2018-07-19,3,4,-0.015155711999999993
2018-07-20,3,8,-0.012798156799999997
2018-07-21,0,0,0.0
2018-07-22,0,0,0.0
2018-07-23,12,3,0.0
2018-07-24,11,3,0.0
2018-07-25,14,2,0.0
2018-07-26,4,4,2.0
2018-07-27,7,4,1.2000000000000002
2018-07-28,0,0,-1.0399999999999998
2018-07-29,0,0,1.6320000000000001
2018-07-30,13,4,-1.0111999999999999
2018-07-31,43,19,-0.3831040000000001
2018-08-01,17,6,-0.23383040000000005
2018-08-02,17,8,-0.1658675200000001
2018-08-03,5,6,-0.126956544
2018-08-04,0,1,-0.10183413759999999
2018-08-05,0,0,-0.06233743359999998
2018-08-06,3,2,-0.030311423999999986
2018-08-07,24,5,0.9744036864
2018-08-08,7,5,-0.3999999999999999
2018-08-09,9,13,1.88
2018-08-10,9,7,2.136
2018-08-11,0,0,-1.4815999999999998
2018-08-12,0,0,-0.517952
2018-08-13,6,10,0.7018367999999999
2018-08-14,8,10,-0.60307456
2018-08-15,35,16,2.729061888
2018-08-16,39,23,-0.3824288767999997
2018-08-17,17,29,-0.887023104
2018-08-18,0,0,-0.4130154496
2018-08-19,0,0,-0.25015767040000014
2018-08-20,13,11,-0.14982656000000008
2018-08-21,12,30,-0.11399731200000003
2018-08-22,35,16,-0.09087303679999999
2018-08-23,17,16,-0.06383769599999997
2018-08-24,17,9,-0.053550182399999986
2018-08-25,0,0,0.9872018432
2018-08-26,0,0,1.6
2018-08-27,27,13,2.08
2018-08-28,9,5,-1.5039999999999998
2018-08-29,24,18,-0.5296000000000001
2018-08-30,15,12,-0.3051520000000001
2018-08-31,12,9,-0.20766720000000016
2018-09-01,0,12,-0.15415296000000006
2018-09-02,0,0,-0.120786432
2018-09-03,34,0,19.9017787392
2018-09-04,5,11,6.928936550400001
2018-09-05,33,20,-2.4383944703999987
2018-09-06,29,9,-3.4799999999999995
2018-09-07,30,29,-2.3120000000000007
2018-09-08,2,2,-2.247040000000001
2018-09-09,0,0,3.5938559999999993
2018-09-10,24,23,1.9612288000000007
2018-09-11,7,18,0.5820441600000006
2018-09-12,6,9,0.8105994240000007
2018-09-13,26,7,-1.9506109439999997
2018-09-14,32,12,1.3807690752
2018-09-15,0,7,-2.0477280256
2018-09-16,0,2,-0.9296749568000003
2018-09-17,18,13,-0.6128921600000001
2018-09-18,7,8,-0.4598563840000001
2018-09-19,86,4,1.689084928
2018-09-20,11,5,-0.9990756351999998
2018-09-21,6,9,17.6385399808
2018-09-22,0,2,-7.386265292799998
2018-09-23,0,0,-2.2815944704000004
2018-09-24,5,11,-1.211904
2018-09-25,13,10,-0.7947264000000008
2018-09-26,85,3,0.42412287999999976
2018-09-27,29,5,-0.8436490240000001
2018-09-28,9,21,-0.47626639359999984
2018-09-29,0,0,-0.3368028159999999
2018-09-30,2,18,-0.2719668224
2018-10-01,7,9,-0.029952000000000017
2018-10-02,15,22,-0.022963200000000007
2018-10-03,10,17,-0.018370559999999994
2018-10-04,7,20,-0.015155711999999993
2018-10-05,12,20,-0.012798156799999997
2018-10-06,0,2,0.0
2018-10-07,0,2,0.0
2018-10-08,26,7,4.0
2018-10-09,15,8,-1.5999999999999996
2018-10-10,12,15,4.52
2018-10-11,7,11,3.7440000000000007
2018-10-12,11,21,-1.1663999999999994
2018-10-13,0,3,-1.9598079999999998
