,playcanvas/engine,mrdoob/three.js,BabylonJS/Babylon.js
2013-06-27,0,0,3.0
2013-06-28,4,0,1.0999999999999999
2013-06-29,0,18,-0.9149999999999998
2013-06-30,0,11,-0.38849999999999973
2013-07-01,0,7,0.7605125
2013-07-02,0,2,-0.46948575000000003
2013-07-03,0,4,-0.2342830874999999
2013-07-04,0,2,-0.16293354624999998
2013-07-05,0,4,3.874292802203125
2013-07-06,0,0,-0.30222392322968794
2013-07-07,0,12,-0.7704476889656248
2013-07-08,2,9,1.6380427262500001
2013-07-09,6,0,-0.8360267167656251
2013-07-10,3,2,-0.3826269132328124
2013-07-11,5,13,-0.2418436999999999
2013-07-12,0,11,-0.1794349575
2013-07-13,0,13,0.8580953591874998
2013-07-14,0,15,-0.41677209469687515
2013-07-15,0,16,0.8435020392671875
2013-07-16,4,2,-0.3912534335312501
2013-07-17,0,1,1.827670673534375
2013-07-18,0,3,0.3107797499999999
2013-07-19,0,16,6.4265566375
2013-07-20,0,1,-0.3726775237500002
2013-07-21,0,10,-1.5139825792656245
2013-07-22,0,20,5.241356313017188
2013-07-23,1,24,-1.292296191765625
2013-07-24,0,13,-1.293145573232812
2013-07-25,0,11,-0.7351172447812497
2013-07-26,2,0,-0.5227811844812501
2013-07-27,0,1,-0.3811189780921878
2013-07-28,0,0,-0.29624275116093773
2013-07-29,1,0,0.835808668534375
2013-07-30,0,11,-0.4142175743437503
2013-07-31,0,8,-0.2023771961625001
2013-08-01,0,0,-0.07308341323281249
2013-08-02,0,7,-0.0401625
2013-08-03,4,0,-0.029720249999999997
2013-08-04,0,1,-0.023280862499999996
2013-08-05,0,1,0.98104272625
2013-08-06,0,2,-0.31587671676562507
2013-08-07,2,1,-0.11858341323281245
2013-08-08,3,0,3.9405
2013-08-09,3,2,-1.2401625000000003
2013-08-10,0,3,-0.4497202499999997
2013-08-11,0,7,-0.2612808624999999
2013-08-12,0,1,-0.17960727375
2013-08-13,4,11,0.8652422832343749
2013-08-14,2,10,1.5932931367671874
2013-08-15,7,4,-0.7808290950000001
2013-08-16,1,6,-0.3330068670625
2013-08-17,0,9,1.78650384706875
2013-08-18,0,2,-0.7100452500000001
2013-08-19,0,6,-0.29272136249999986
