,gcc-mirror/gcc,golang/go,llvm/llvm-project
2008-03-03,12,2,33
2008-03-04,17,1,46
2008-03-05,14,2,55
2008-03-06,19,1,15
2008-03-07,11,8,33
2008-03-08,18,1,18
2008-03-09,8,0,62
2008-03-10,17,1,77
2008-03-11,12,3,61
2008-03-12,13,7,41
2008-03-13,20,0,37
2008-03-14,15,0,30
2008-03-15,21,0,22
2008-03-16,13,0,31
2008-03-17,2,1,35
2008-03-18,18,1,33
2008-03-19,9,1,39
2008-03-20,25,1,19
2008-03-21,18,0,30
2008-03-22,5,0,25
2008-03-23,9,0,17
2008-03-24,11,0,37
2008-03-25,18,0,33
2008-03-26,72,4,17
2008-03-27,22,1,40
2008-03-28,19,7,13
2008-03-29,8,2,9
2008-03-30,10,0,11
2008-03-31,19,1,32
2008-04-01,19,2,47
2008-04-02,22,0,57
2008-04-03,19,4,52
2008-04-04,21,0,27
2008-04-05,9,0,6
2008-04-06,14,0,41
2008-04-07,20,0,50
2008-04-08,103,0,25
2008-04-09,16,0,28
2008-04-10,14,0,32
2008-04-11,10,0,29
2008-04-12,5,0,17
2008-04-13,9,0,19
2008-04-14,24,0,50
2008-04-15,19,1,33
2008-04-16,14,0,64
2008-04-17,17,0,32
2008-04-18,21,3,48
2008-04-19,8,0,23
2008-04-20,10,0,31
2008-04-21,16,0,39
2008-04-22,20,0,28
2008-04-23,16,0,62
2008-04-24,24,0,23
2008-04-25,15,0,37
2008-04-26,11,0,4
2008-04-27,3,0,13
2008-04-28,13,2,30
2008-04-29,16,1,35
2008-04-30,22,0,32
2008-05-01,11,1,37
2008-05-02,7,5,27
2008-05-03,13,0,5
2008-05-04,12,0,22
2008-05-05,11,0,33
2008-05-06,28,1,93
2008-05-07,17,0,30
2008-05-08,21,2,28
2008-05-09,13,4,39
2008-05-10,17,0,19
2008-05-11,9,0,3
2008-05-12,20,0,48
2008-05-13,11,0,34
2008-05-14,25,0,50
2008-05-15,43,2,26
2008-05-16,27,1,35
2008-05-17,13,0,10
2008-05-18,14,0,7
2008-05-19,15,0,32
2008-05-20,77,0,53
2008-05-21,26,0,26
2008-05-22,17,0,31
2008-05-23,32,0,58
2008-05-24,12,0,20
2008-05-25,13,0,10
2008-05-26,60,0,10
2008-05-27,68,0,40
2008-05-28,38,1,21
2008-05-29,20,0,44
2008-05-30,9,0,76
2008-05-31,7,0,27
2008-06-01,6,0,20
2008-06-02,18,0,20
2008-06-03,12,0,27
2008-06-04,11,7,43
