,gcc-mirror/gcc,golang/go,llvm/llvm-project
2012-03-03,13,6,27
2012-03-04,23,8,18
2012-03-05,38,43,59
2012-03-06,17,35,90
2012-03-07,43,62,88
2012-03-08,12,40,80
2012-03-09,24,12,92
2012-03-10,11,6,67
2012-03-11,11,1,24
2012-03-12,37,33,33
2012-03-13,32,31,82
2012-03-14,19,21,57
2012-03-15,33,21,94
2012-03-16,19,12,81
2012-03-17,6,4,25
2012-03-18,5,3,13
2012-03-19,20,7,30
2012-03-20,22,19,71
2012-03-21,19,9,71
2012-03-22,19,9,61
2012-03-23,14,17,54
2012-03-24,5,0,38
2012-03-25,8,2,19
2012-03-26,15,16,60
2012-03-27,21,29,56
2012-03-28,20,7,61
2012-03-29,19,0,73
2012-03-30,32,8,72
2012-03-31,7,2,33
2012-04-01,3,0,28
2012-04-02,23,12,56
2012-04-03,14,10,65
2012-04-04,10,5,76
2012-04-05,14,15,65
2012-04-06,13,2,75
2012-04-07,8,2,33
2012-04-08,5,0,25
2012-04-09,6,8,45
2012-04-10,18,16,82
2012-04-11,44,8,75
2012-04-12,14,6,52
2012-04-13,24,3,68
2012-04-14,11,2,25
2012-04-15,7,1,24
2012-04-16,21,4,86
2012-04-17,24,7,52
2012-04-18,17,5,63
2012-04-19,14,7,66
2012-04-20,28,8,62
2012-04-21,7,4,30
2012-04-22,14,1,23
2012-04-23,21,9,60
2012-04-24,33,9,67
2012-04-25,33,18,72
2012-04-26,25,13,62
2012-04-27,17,10,56
2012-04-28,6,0,17
2012-04-29,10,1,15
2012-04-30,38,7,41
2012-05-01,12,7,90
2012-05-02,17,10,60
2012-05-03,40,7,78
2012-05-04,26,15,74
2012-05-05,7,0,20
2012-05-06,14,0,19
2012-05-07,24,7,67
2012-05-08,16,2,75
2012-05-09,28,4,63
2012-05-10,22,4,59
2012-05-11,19,2,68
2012-05-12,7,0,40
2012-05-13,9,1,20
2012-05-14,20,7,39
2012-05-15,52,14,75
2012-05-16,22,6,79
2012-05-17,14,8,49
2012-05-18,13,5,44
2012-05-19,5,1,45
2012-05-20,8,3,33
2012-05-21,32,5,41
2012-05-22,19,28,53
2012-05-23,14,10,44
2012-05-24,22,22,71
2012-05-25,20,6,50
2012-05-26,8,1,17
2012-05-27,3,1,27
2012-05-28,7,7,42
2012-05-29,33,23,50
2012-05-30,18,28,60
2012-05-31,30,8,53
2012-06-01,19,5,67
2012-06-02,4,9,31
2012-06-03,6,7,16
2012-06-04,25,22,53
2012-06-05,20,8,60
2012-06-06,15,13,71
2012-06-07,11,15,49
2012-06-08,6,9,61
2012-06-09,7,0,28
2012-06-10,1,1,12
2012-06-11,20,3,38
2012-06-12,45,2,29
2012-06-13,31,16,42
2012-06-14,30,5,50
2012-06-15,25,3,87
2012-06-16,3,0,33
2012-06-17,14,0,40
2012-06-18,26,2,34
2012-06-19,21,7,72
2012-06-20,24,1,103
2012-06-21,9,1,69
2012-06-22,20,3,93
2012-06-23,4,1,28
2012-06-24,5,10,23
2012-06-25,27,20,47
2012-06-26,23,5,52
2012-06-27,18,7,63
2012-06-28,17,4,77
2012-06-29,18,2,75
2012-06-30,3,6,16
2012-07-01,4,2,9
2012-07-02,16,6,97
2012-07-03,25,8,50
2012-07-04,13,1,31
2012-07-05,17,2,40
2012-07-06,19,1,80
2012-07-07,5,0,25
2012-07-08,8,4,12
2012-07-09,25,1,42
2012-07-10,16,3,49
2012-07-11,8,4,59
2012-07-12,14,7,51
2012-07-13,17,6,57
2012-07-14,6,2,12
2012-07-15,4,1,20
2012-07-16,46,4,84
2012-07-17,20,1,72
2012-07-18,24,1,59
2012-07-19,25,3,56
2012-07-20,22,2,50
2012-07-21,12,2,18
2012-07-22,9,2,6
2012-07-23,26,4,33
2012-07-24,21,2,45
2012-07-25,24,4,55
2012-07-26,19,4,60
2012-07-27,14,8,51
2012-07-28,3,2,16
2012-07-29,2,6,9
2012-07-30,17,22,69
2012-07-31,23,5,76
2012-08-01,17,7,47
2012-08-02,26,3,66
2012-08-03,15,13,57
2012-08-04,8,3,19
2012-08-05,3,7,10
2012-08-06,28,5,38
2012-08-07,13,12,76
2012-08-08,15,10,80
2012-08-09,16,10,77
2012-08-10,21,2,68
2012-08-11,9,0,15
2012-08-12,8,1,9
2012-08-13,16,4,63
2012-08-14,19,2,67
2012-08-15,17,11,80
2012-08-16,26,3,60
2012-08-17,24,7,66
2012-08-18,7,2,30
2012-08-19,11,0,7
2012-08-20,23,10,47
2012-08-21,13,4,80
2012-08-22,17,6,79
2012-08-23,18,9,67
2012-08-24,14,13,114
2012-08-25,13,1,14
2012-08-26,23,2,4
2012-08-27,23,3,59
2012-08-28,9,4,94
2012-08-29,17,5,70
2012-08-30,7,5,78
2012-08-31,15,17,76
2012-09-01,5,10,35
2012-09-02,12,2,17
2012-09-03,16,2,28
2012-09-04,29,8,48
2012-09-05,23,3,93
2012-09-06,16,8,81
2012-09-07,17,12,73
2012-09-08,6,3,36
2012-09-09,11,2,10
2012-09-10,18,11,86
2012-09-11,24,11,81
2012-09-12,17,10,85
2012-09-13,20,12,92
2012-09-14,38,9,87
2012-09-15,12,0,32
2012-09-16,12,3,22
2012-09-17,27,14,65
2012-09-18,27,22,97
2012-09-19,37,10,76
2012-09-20,24,9,53
2012-09-21,15,10,87
2012-09-22,12,6,36
2012-09-23,7,7,7
2012-09-24,19,31,48
2012-09-25,24,8,59
2012-09-26,21,19,80
2012-09-27,17,9,64
2012-09-28,20,8,54
2012-09-29,16,2,34
2012-09-30,14,3,15
2012-10-01,48,9,50
2012-10-02,45,4,85
2012-10-03,18,9,99
2012-10-04,35,8,86
2012-10-05,25,8,69
2012-10-06,21,12,18
2012-10-07,11,34,17
2012-10-08,28,13,58
2012-10-09,26,15,93
2012-10-10,37,18,88
2012-10-11,36,11,77
2012-10-12,26,9,78
2012-10-13,8,1,31
2012-10-14,9,1,24
2012-10-15,28,3,69
2012-10-16,16,12,74
2012-10-17,14,10,69
2012-10-18,20,5,85
2012-10-19,15,6,83
2012-10-20,9,4,28
2012-10-21,13,11,23
2012-10-22,24,15,37
2012-10-23,40,1,76
2012-10-24,26,3,93
2012-10-25,25,4,83
2012-10-26,28,6,90
2012-10-27,10,1,38
2012-10-28,13,2,9
2012-10-29,61,11,73
2012-10-30,26,14,77
2012-10-31,39,15,86
2012-11-01,22,32,73
2012-11-02,26,11,72
2012-11-03,13,0,24
2012-11-04,13,3,7
2012-11-05,31,2,39
2012-11-06,68,14,79
2012-11-07,38,20,46
2012-11-08,15,15,34
2012-11-09,21,6,46
2012-11-10,11,3,30
2012-11-11,19,0,17
2012-11-12,32,13,69
2012-11-13,24,12,79
2012-11-14,21,11,94
2012-11-15,21,8,95
2012-11-16,29,7,80
2012-11-17,11,9,42
2012-11-18,13,2,15
2012-11-19,27,7,36
2012-11-20,32,5,43
2012-11-21,27,9,49
2012-11-22,17,0,20
2012-11-23,23,2,24
